爱丽舍,ai'li'she
奥德赛,ao'de'sai
奥迪,ao'di
宝来,bao'lai
宝马,bao'ma
北斗星,bei'dou'xing
本田,ben'tian
比亚迪,bi'ya'di
标致,biao'zhi
别克,bie'ke
宾利,bin'li
波罗,bo'luo
布加迪,bu'jia'di
长城,chang'cheng
长丰,chang'feng
昌河,chang'he
大霸王,da'ba'wang
大众,da'zhong
东方之子,dong'fang'zhi'zi
东南,dong'nan
泛亚,fan'ya
飞度,fei'du
菲亚特,fei'ya'te
丰田,feng'tian
风雅,feng'ya
富康,fu'kang
福克斯,fu'ke'si
福莱尔,fu'lai'er
富利卡,fu'li'ka
福美来,fu'mei'lai
福特,fu'te
高尔,gao'er
高尔夫,gao'er'fu
公爵,gong'jue
哈飞,ha'fei
红旗,hong'qi
华,hua
花冠,hua'guan
华普,hua'pu
皇冠,huang'guan
辉腾,hui'teng
霍顿,huo'dun
吉利,ji'li
吉普,ji'pu
嘉华,jia'hua
佳美,jia'mei
嘉年华,jia'nian'hua
捷豹,jie'bao
捷达,jie'da
金牛座,jin'niu'zuo
景程,jing'cheng
君威,jun'wei
君越,jun'yue
凯越,kai'yue
酷派,ku'pai
蓝鸟,lan'niao
乐骋,le'cheng
雷克萨斯,lei'ke'sa'si
雷鸟,lei'niao
雷诺,lei'nuo
利亚纳,li'ya'na
铃木,ling'mu
菱绅,ling'shen
菱帅,ling'shuai
陆地巡洋舰,lu'di'xun'yang'jian
陆风,lu'feng
陆尊,lu'zun
马自达,ma'zi'da
美,mei
美德赛,mei'de'sai
美规,mei'gui
梅塞得斯奔驰,mei'sai'de'si'ben'chi
蒙迪欧,meng'di'ou
南汽,nan'qi
欧蓝德,ou'lan'de
帕杰罗,pa'jie'luo
帕杰罗速跑,pa'jie'luo'su'pao
帕拉丁,pa'la'ding
帕萨特,pa'sa'te
派力奥,pai'li'ao
派力奥周末风,pai'li'ao'zhou'mo'feng
普拉多,pu'la'duo
普力马,pu'li'ma
奇瑞,qi'rui
起亚,qi'ya
庆铃,qing'ling
日产尼桑,ri'chan'ni'sang
日野,ri'ye
荣御,rong'yu
锐志,rui'zhi
赛拉图,sai'la'tu
三菱,san'ling
桑塔纳,sang'ta'na
水星,shui'xing
思迪,si'di
思域,si'yu
索纳塔,suo'na'ta
特锐,te'rui
天籁,tian'lai
途安,tu'an
途胜,tu'sheng
威驰,wei'chi
威乐,wei'le
威姿,wei'zi
沃尔沃富豪,wo'er'wo'fu'hao
沃尔沃基尼,wo'er'wo'ji'ni
五十铃,wu'shi'ling
西玛,xi'ma
西耶那,xi'ye'na
现代,xian'dai
新锋锐,xin'feng'rui
雪佛兰,xue'fo'lan
雪铁龙,xue'tie'long
雅阁,ya'ge
雅绅,ya'shen
雅士,ya'shi
阳光,yang'guang
颐达,yi'da
伊兰特,yi'lan'te
一汽,yi'qi
雨燕,yu'yan
远舰,yuan'jian
中华,zhong'hua
