潮与虎,chao'yu'hu
城下町的蒲公英,cheng'xia'ding'de'pu'gong'ying
赤发白雪姬,chi'fa'bai'xue'ji
赤龙战役,chi'long'zhan'yi
出包王女第四季,chu'bao'wang'nv'di'si'ji
纯情罗曼史第三季,chun'qing'luo'man'shi'di'san'ji
匪徒,fei'tu
干物妹小埋,gan'wu'mei'xiao'mai
和歌子酒,he'ge'zi'jiu
黑白小姐第二季,hei'bai'xiao'jie'di'er'ji
黑塔利亚第六季,hei'ta'li'ya'di'liu'ji
灰姑娘女孩下,hui'gu'niang'nv'hai'xia
监狱学园,jian'yu'xue'yuan
教室危机,jiao'shi'wei'ji
空战魔导士候补生的教官,kong'zhan'mo'dao'shi'hou'bu'sheng'de'jiao'guan
六花的勇者,liu'hua'de'yong'zhe
龙珠超,long'zhu'chao
没有黄段子无聊世界,mei'you'huang'duan'zi'wu'liao'shi'jie
迷糊餐厅第三季,mi'hu'can'ting'di'san'ji
魔法少女伊莉雅,mo'fa'shao'nv'yi'li'ya
魔物娘的相伴日常,mo'wu'niang'de'xiang'ban'ri'chang
那就是声优,na'jiu'shi'sheng'you
奇幻自卫队,qi'huan'zi'wei'dui
其实我是,qi'shi'wo'shi
青春机关枪,qing'chun'ji'guan'qiang
群居姐妹,qun'ju'jie'mei
若叶女孩,ruo'ye'nv'hai
绅士学院,shen'shi'xue'yuan
噬神者,shi'shen'zhe
兔宝的悲惨日常,tu'bao'de'bei'can'ri'chang
网球并不可笑嘛,wang'qiu'bing'bu'ke'xiao'ma
我老婆是学生会长,wo'lao'po'shi'xue'sheng'hui'zhang
无头骑士异闻录转,wu'tou'qi'shi'yi'wen'lu'zhuan
夏洛特,xia'luo'te
学园孤岛,xue'yuan'gu'dao
妖怪手表第二季,yao'guai'shou'biao'di'er'ji
悠哉日常大王,you'zai'ri'chang'da'wang
战姬绝唱第三季,zhan'ji'jue'chang'di'san'ji
