阿鲁巴,a'lu'ba
阿姨洗铁路,a'yi'xi'tie'lu
艾玛,ai'ma
傲娇,ao'jiao
百合,bai'he
绑带,bang'dai
暴种,bao'zhong
崩坏,beng'huai
便当,bian'dang
病娇,bing'jiao
布鲁马,bu'lu'ma
补魔,bu'mo
诚哥,cheng'ge
虫角,chong'jiao
触手,chu'shou
穿越,chuan'yue
次元,ci'yuan
大萌神,da'meng'shen
大叔,da'shu
呆毛,dai'mao
耽美,dan'mei
地图炮,di'tu'pao
电波,dian'bo
屌爆了,diao'bao'le
都是时辰的错,dou'shi'shi'chen'de'cuo
毒舌,du'she
腹黑,fu'hei
腐女,fu'nv
哥特,ge'te
工口,gong'kou
怪蜀黍,guai'shu'shu
官配,guan'pei
关西腔,guan'xi'qiang
鬼畜,gui'chu
鬼隐,gui'yin
好船,hao'chuan
合体,he'ti
黑化,hei'hua
后宫,hou'gong
回老家结婚,hui'lao'jia'jie'hun
激萌,ji'meng
基情,ji'qing
剑网三,jian'wang'san
剧场版,ju'chang'ban
巨乳,ju'ru
绝对领域,jue'dui'ling'yu
空耳,kong'er
口癖,kou'pi
泪流满面,lei'liu'man'mian
龙之谷,long'zhi'gu
撸管子,lu'guan'zi
乱入,luan'ru
萝莉,luo'li
妈蛋,ma'dan
卖蠢,mai'chun
卖萌,mai'meng
漫画,man'hua
猫娘,mao'niang
妹抖,mei'dou
萌拟人化,meng'ni'ren'hua
萌战,meng'zhan
面码,mian'ma
面瘫,mian'tan
魔法师,mo'fa'shi
魔炮,mo'pao
脑补,nao'bu
女仆,nv'pu
贫乳,pin'ru
噗哈哈哈哈哈,pu'ha'ha'ha'ha'ha
热血,re'xue
人设,ren'she
认真你就输了,ren'zhen'ni'jiu'shu'le
软妹币,ruan'mei'bi
塞高,sai'gao
骚尼,sao'ni
骚年,sao'nian
杀必死,sha'bi'si
神隐,shen'yin
声优,sheng'you
手办,shou'ban
兽耳,shou'er
兽人萝莉,shou'ren'luo'li
水产,shui'chan
四大人渣,si'da'ren'zha
天朝,tian'chao
天然呆,tian'ran'dai
痛车,tong'che
同人,tong'ren
同人志,tong'ren'zhi
吐槽,tu'cao
围观,wei'guan
伪娘,wei'niang
卧槽,wo'cao
无口,wu'kou
型月,xing'yue
性转,xing'zhuan
兄贵,xiong'gui
眼镜娘,yan'jing'niang
乙女,yi'nv
银他妈,yin'ta'ma
油库里,you'ku'li
幼驯染,you'xun'ran
御姐,yu'jie
愉悦,yu'yue
御宅族,yu'zhai'zu
糟糕,zao'gao
正太,zheng'tai
治愈系,zhi'yu'xi
中毒,zhong'du
中二,zhong'er
