阿巴迪征,a'ba'di'zheng
阿苯达唑,a'ben'da'zuo
阿达姆基维支新月形细胞,a'da'mu'ji'wei'zhi'xin'yue'xing'xi'bao
阿尔塞梅茨病,a'er'sai'mei'ci'bing
阿费利斯综合征,a'fei'li'si'zong'he'zheng
阿米巴样神经胶质细胞,a'mi'ba'yang'shen'jing'jiao'zhi'xi'bao
阿米替林,a'mi'ti'lin
阿普唑仑,a'pu'zuo'lun
阿糖胞苷,a'tang'bao'gan
阿糖腺苷,a'tang'xian'gan
阿替洛尔,a'ti'luo'er
阿亚拉指数,a'ya'la'zhi'shu
埃丁格尔定律,ai'ding'ge'er'ding'lv
埃尔本反射,ai'er'ben'fan'she
埃尔本现象,ai'er'ben'xian'xiang
埃尔布点,ai'er'bu'dian
埃尔布杜兴麻痹,ai'er'bu'du'xing'ma'bi
埃尔布麻痹,ai'er'bu'ma'bi
埃尔布梅,ai'er'bu'mei
埃尔布征,ai'er'bu'zheng
埃尔布综合征,ai'er'bu'zong'he'zheng
艾尔试验,ai'er'shi'yan
埃尔兹霍兹体,ai'er'zi'huo'zi'ti
埃可病毒,ai'ke'bing'du
埃克斯内神经丛,ai'ke'si'nei'shen'jing'cong
埃米尔氏器,ai'mi'er'shi'qi
艾司唑仑,ai'si'zuo'lun
氨苯砜,an'ben'feng
鞍鼻畸形,an'bi'ji'xing
暗变性,an'bian'xing
安定,an'ding
安定麻醉,an'ding'ma'zui
安非他命,an'fei'ta'ming
鞍隔,an'ge
氨基比林,an'ji'bi'lin
氨基甲烷,an'ji'jia'wan
氨基酸尿,an'ji'suan'niao
氨甲喋呤,an'jia'die'ling
氨甲酰胆碱,an'jia'xian'dan'jian
氨酪酸,an'lao'suan
安眠酮,an'mian'tong
安秦乐,an'qin'le
安全开颅圆锯,an'quan'kai'lu'yuan'ju
暗视野显微镜,an'shi'ye'xian'wei'jing
安坦,an'tan
昂伯氏征,ang'bo'shi'zheng
奥贝斯坦纳热,ao'bei'si'tan'na're
巴比妥中毒,ba'bi'tuo'zhong'du
巴彬斯基征,ba'bin'si'ji'zheng
巴尔德征,ba'er'de'zheng
巴腊尼症状,ba'la'ni'zheng'zhuang
巴腊尼指向试验,ba'la'ni'zhi'xiang'shi'yan
巴林特综合征,ba'lin'te'zong'he'zheng
巴娄病,ba'lou'bing
巴氏小体,ba'shi'xiao'ti
巴斯欣布伦斯征,ba'si'xin'bu'lun'si'zheng
摆动性眼球震颤,bai'dong'xing'yan'qiu'zhen'chan
白喉,bai'hou
拜劳格氏内带,bai'lao'ge'shi'nei'dai
拜劳格氏外带,bai'lao'ge'shi'wai'dai
白霉素,bai'mei'su
白塞综合征,bai'sai'zong'he'zheng
白色带,bai'se'dai
白网状质,bai'wang'zhuang'zhi
白细胞介素,bai'xi'bao'jie'su
白质,bai'zhi
白质脑病,bai'zhi'nao'bing
白质脑炎,bai'zhi'nao'yan
白质前连合,bai'zhi'qian'lian'he
半规管,ban'gui'guan
半拉脱林,ban'la'tuo'lin
斑马体肌病,ban'ma'ti'ji'bing
斑片状,ban'pian'zhuang
半切综合征,ban'qie'zong'he'zheng
半球,ban'qiu
半乳糖脑苷脂沉积病,ban'ru'tang'nao'gan'zhi'chen'ji'bing
半脱位,ban'tuo'wei
半月神经节,ban'yue'shen'jing'jie
板障,ban'zhang
邦尼埃综合征,bang'ni'ai'zong'he'zheng
保存,bao'cun
胞二磷胆碱,bao'er'lin'dan'jian
包涵体脑炎,bao'han'ti'nao'yan
胞嘧啶,bao'mi'ding
包囊虫眩晕综合征,bao'nang'chong'xuan'yun'zong'he'zheng
胞质内的包涵体,bao'zhi'nei'de'bao'han'ti
背侧,bei'ce
背侧丘脑,bei'ce'qiu'nao
背侧纵束,bei'ce'zong'shu
贝茨细胞,bei'ci'xi'bao
贝措尔德三征,bei'cuo'er'de'san'zheng
贝措尔德征,bei'cuo'er'de'zheng
贝尔病,bei'er'bing
贝尔定律,bei'er'ding'lv
贝尔麻痹,bei'er'ma'bi
贝尔热隆病,bei'er're'long'bing
贝尔现象,bei'er'xian'xiang
被盖,bei'gai
被盖部,bei'gai'bu
被盖中央束,bei'gai'zhong'yang'shu
贝格尔感觉异常,bei'ge'er'gan'jue'yi'chang
贝格曼细胞,bei'ge'man'xi'bao
贝格曼纤维,bei'ge'man'xian'wei
背核,bei'he
贝克肌营养不良,bei'ke'ji'ying'yang'bu'liang
背屈,bei'qu
背外侧束,bei'wai'ce'shu
贝亚尔若线,bei'ya'er'ruo'xian
苯巴比妥,ben'ba'bi'tuo
苯巴比妥钠,ben'ba'bi'tuo'na
苯丙胺,ben'bing'an
苯丁醇,ben'ding'chun
苯丁酰脲,ben'ding'xian'niao
苯氟拉明,ben'fu'la'ming
苯海索,ben'hai'suo
苯磺唑酮,ben'huang'zuo'tong
苯甲恶嗪,ben'jia'e'qin
苯甲嗪,ben'jia'qin
苯甲托品,ben'jia'tuo'pin
苯纳哌嗪,ben'na'pai'qin
本尼迪克特综合征,ben'ni'di'ke'te'zong'he'zheng
苯塞啶,ben'sai'ding
本体感觉,ben'ti'gan'jue
本体感受器,ben'ti'gan'shou'qi
苯妥英钠,ben'tuo'ying'na
苯乙肼,ben'yi'jing
苯乙酰脲,ben'yi'xian'niao
奔走步态流行性脑炎后遗症,ben'zou'bu'tai'liu'xing'xing'nao'yan'hou'yi'zheng
苯唑青霉素,ben'zuo'qing'mei'su
比昂基综合征,bi'ang'ji'zong'he'zheng
比奥呼吸,bi'ao'hu'xi
鼻病毒,bi'bing'du
鼻侧偏盲,bi'ce'pian'mang
吡醇氨酯,bi'chun'an'zhi
臂丛,bi'cong
臂丛麻痹的下丛型,bi'cong'ma'bi'de'xia'cong'xing
吡啶甲醇,bi'ding'jia'chun
吡啶斯的明,bi'ding'si'de'ming
鼻窦炎,bi'dou'yan
吡哆醇缺乏性癫痫,bi'duo'chun'que'fa'xing'dian'xian
比尔神经节细胞,bi'er'shen'jing'jie'xi'bao
比尔肖夫斯基法,bi'er'xiao'fu'si'ji'fa
鼻反射,bi'fan'she
鼻孔,bi'kong
吡喹酮,bi'kui'tong
鼻漏,bi'lou
比罗特征,bi'luo'te'zheng
臂麻痹的上丛型,bi'ma'bi'de'shang'cong'xing
吡嗪酰胺,bi'qin'xian'an
闭塞,bi'se
闭塞性血栓性脉管炎,bi'se'xing'xue'shuan'xing'mai'guan'yan
闭锁综合征,bi'suo'zong'he'zheng
便秘,bian'mi
扁平颅底,bian'ping'lu'di
苄丝肼,bian'si'jing
鞭索样损伤,bian'suo'yang'sun'shang
扁头,bian'tou
变性,bian'xing
苄星青霉素,bian'xing'qing'mei'su
变形性肌张力障碍,bian'xing'xing'ji'zhang'li'zhang'ai
边缘层,bian'yuan'ceng
边缘窦,bian'yuan'dou
边缘系统,bian'yuan'xi'tong
边缘系统环路,bian'yuan'xi'tong'huan'lu
边缘叶,bian'yuan'ye
表达性失语,biao'da'xing'shi'yu
标志,biao'zhi
别尔纳茨基征,bie'er'na'ci'ji'zheng
别赫捷列夫层,bie'he'jie'lie'fu'ceng
别赫捷列夫反射,bie'he'jie'lie'fu'fan'she
别赫捷列夫反应,bie'he'jie'lie'fu'fan'ying
别赫捷列夫核,bie'he'jie'lie'fu'he
别赫捷列夫试验,bie'he'jie'lie'fu'shi'yan
别赫捷列夫症状,bie'he'jie'lie'fu'zheng'zhuang
别嘌呤醇,bie'piao'ling'chun
髌反射,bin'fan'she
宾斯万格病,bin'si'wan'ge'bing
髌阵挛,bin'zhen'luan
丙丁酚,bing'ding'fen
冰冻切片,bing'dong'qie'pian
冰冻切片机,bing'dong'qie'pian'ji
病毒性脑膜炎,bing'du'xing'nao'mo'yan
病毒性脑炎,bing'du'xing'nao'yan
丙磺舒,bing'huang'shu
病觉缺失,bing'jue'que'shi
病理生理学,bing'li'sheng'li'xue
丙咪嗪,bing'mi'qin
丙戊酸钠,bing'wu'suan'na
病因学,bing'yin'xue
搏动,bo'dong
伯恩海默纤维,bo'en'hai'mo'xian'wei
播散性硬化,bo'san'xing'ying'hua
薄束,bo'shu
薄束核,bo'shu'he
跛行,bo'xing
补充说话区,bu'chong'shuo'hua'qu
补充运动区,bu'chong'yun'dong'qu
不对称,bu'dui'chen
不对称型突触,bu'dui'chen'xing'tu'chu
布尔达赫核,bu'er'da'he'he
布尔达赫裂,bu'er'da'he'lie
布尔达赫束,bu'er'da'he'shu
布尔达赫纤维,bu'er'da'he'xian'wei
布尔达赫柱,bu'er'da'he'zhu
部分性癫痫持续状态,bu'fen'xing'dian'xian'chi'xu'zhuang'tai
布吉氏中枢,bu'ji'shi'zhong'shu
布劳德曼区,bu'lao'de'man'qu
布雷恩反射,bu'lei'en'fan'she
卟啉病,bu'lin'bing
布鲁金斯基征,bu'lu'jin'si'ji'zheng
布路门奥核,bu'lu'men'ao'he
布卢门巴赫斜坡,bu'lu'men'ba'he'xie'po
布伦斯综合征,bu'lun'si'zong'he'zheng
布洛芬,bu'luo'fen
不全麻痹性眼球震颤,bu'quan'ma'bi'xing'yan'qiu'zhen'chan
不全偏盲,bu'quan'pian'mang
布若卡氏区,bu'ruo'ka'shi'qu
不适,bu'shi
不随意,bu'sui'yi
步态,bu'tai
步行不能,bu'xing'bu'neng
步行障碍,bu'xing'zhang'ai
不自然姿势,bu'zi'ran'zi'shi
苍白,cang'bai
苍白球被盖纤维,cang'bai'qiu'bei'gai'xian'wei
苍白球底丘脑纤维,cang'bai'qiu'di'qiu'nao'xian'wei
苍白球黑质纤维,cang'bai'qiu'hei'zhi'xian'wei
苍白球丘脑纤维,cang'bai'qiu'qiu'nao'xian'wei
糙皮病,cao'pi'bing
侧副沟,ce'fu'gou
侧副隆起,ce'fu'long'qi
侧副三角,ce'fu'san'jiao
侧角,ce'jiao
侧脑室后角,ce'nao'shi'hou'jiao
