爱爱,ai'ai
爱到底,ai'dao'di
爱到最后一秒也不委屈,ai'dao'zui'hou'yi'miao'ye'bu'wei'qu
爱的弧度,ai'de'hu'du
爱情悬崖,ai'qing'xuan'ya
爱在西元前,ai'zai'xi'yuan'qian
暗号,an'hao
安静,an'jing
爸我回来了,ba'wo'hui'lai'le
白色风车,bai'se'feng'che
半岛铁盒,ban'dao'tie'he
半兽人,ban'shou'ren
保护你,bao'hu'ni
背叛,bei'pan
本草纲目,ben'cao'gang'mu
别太温柔,bie'tai'wen'rou
波间带,bo'jian'dai
不独立宣言,bu'du'li'xuan'yan
不浪漫的家伙,bu'lang'man'de'jia'huo
不流泪的机场,bu'liu'lei'de'ji'chang
不能说的秘密,bu'neng'shuo'de'mi'mi
不死之身,bu'si'zhi'shen
不屑纪念,bu'xie'ji'nian
彩虹,cai'hong
残废,can'fei
曹操,cao'cao
曹格,cao'ge
吵架实录,chao'jia'shi'lu
沉默玩具,chen'mo'wan'ju
翅膀,chi'bang
重开机,chong'kai'ji
吹吹风,chui'chui'feng
大男人小女孩,da'nan'ren'xiao'nv'hai
大女人,da'nv'ren
大舌头,da'she'tou
单数,dan'shu
单挑,dan'tiao
倒带,dao'dai
第二天堂,di'er'tian'tang
东风破,dong'feng'po
冻结,dong'jie
豆浆油条,dou'jiang'you'tiao
斗牛,dou'niu
斗阵俱乐部,dou'zhen'ju'le'bu
独白,du'bai
断了的弦,duan'le'de'xian
对不起,dui'bu'qi
发如雪,fa'ru'xue
发现爱,fa'xian'ai
泛泛之辈,fan'fan'zhi'bei
反方向的钟,fan'fang'xiang'de'zhong
分裂,fen'lie
搁浅,ge'qian
姑娘,gu'niang
刮目相看,gua'mu'xiang'kan
冠军,guan'jun
轨迹,gui'ji
害怕,hai'pa
黑色毛衣,hei'se'mao'yi
黑色幽默,hei'se'you'mo
红模仿,hong'mo'fang
回不来,hui'bu'lai
回到过去,hui'dao'guo'qu
会读书,hui'du'shu
会有那么一天,hui'you'na'me'yi'tian
火车叨位去,huo'che'dao'wei'qu
霍元甲,huo'yuan'jia
家的名字,jia'de'ming'zi
简单爱,jian'dan'ai
简简单单,jian'jian'dan'dan
将军,jiang'jun
将军令,jiang'jun'ling
江南,jiang'nan
借口,jie'kou
解药,jie'yao
进化论,jin'hua'lun
镜子,jing'zi
就是我,jiu'shi'wo
菊花台,ju'hua'tai
距离,ju'li
开不了口,kai'bu'le'kou
开场白,kai'chang'bai
可爱女人,ke'ai'nv'ren
困兽之斗,kun'shou'zhi'dou
来不及了,lai'bu'ji'le
蓝色风暴,lan'se'feng'bao
浪漫手机,lang'man'shou'ji
老子说,lao'zi'shuo
两只恋人,liang'zhi'lian'ren
林俊杰,lin'jun'jie
龙卷风,long'juan'feng
龙拳,long'quan
乱舞春秋,luan'wu'chun'qiu
麦芽糖,mai'ya'tang
妹妹要快乐,mei'mei'yao'kuai'le
美人鱼,mei'ren'yu
迷迭香,mi'die'xiang
米兰的小铁匠,mi'lan'de'xiao'tie'jiang
明天,ming'tian
明天过后,ming'tian'guo'hou
默剧,mo'ju
木乃伊,mu'nai'yi
奈斯男孩,nai'si'nan'hai
男佣,nan'yong
你的歌,ni'de'ge
逆鳞,ni'lin
你是我的宝贝,ni'shi'wo'de'bao'bei
你听得到,ni'ting'de'dao
你我之间,ni'wo'zhi'jian
你要的不是我,ni'yao'de'bu'shi'wo
娘子,niang'zi
牛仔很忙,niu'zai'hen'mang
懦夫,nuo'fu
女儿家,nv'er'jia
漂移,piao'yi
蒲公英的约定,pu'gong'ying'de'yue'ding
起床歌,qi'chuang'ge
起床了,qi'chuang'liao
七里香,qi'li'xiang
千里之外,qian'li'zhi'wai
请安静,qing'an'jing
情歌,qing'ge
青花瓷,qing'hua'ci
情人节快乐,qing'ren'jie'kuai'le
晴天,qing'tian
让我心动的人,rang'wo'xin'dong'de'ren
忍者,ren'zhe
三年二班,san'nian'er'ban
森林浴,sen'lin'yu
莎士比亚的天份,sha'shi'bi'ya'de'tian'fen
杀手,sha'shou
珊瑚海,shan'hu'hai
上海一九四三,shang'hai'yi'jiu'si'san
什么态度,shen'me'tai'du
圣诞分手节,sheng'dan'fen'shou'jie
世界末日,shi'jie'mo'ri
世界唯一的你,shi'jie'wei'yi'de'ni
数到五答应我,shu'dao'wu'da'ying'wo
熟能生巧,shu'neng'sheng'qiao
双刀,shuang'dao
双截棍,shuang'jie'gun
四面楚歌,si'mian'chu'ge
她的睫毛,ta'de'jie'mao
梯田,ti'tian
天使嫉妒的生活,tian'shi'ji'du'de'sheng'huo
天使心,tian'shi'xin
甜甜的,tian'tian'de
听不懂没关系,ting'bu'dong'mei'guan'xi
听妈妈的话,ting'ma'ma'de'hua
同一种调调,tong'yi'zhong'diao'diao
突然累了,tu'ran'lei'le
退后,tui'hou
外婆,wai'po
完美主义,wan'mei'zhu'yi
威廉古堡,wei'lian'gu'bao
未完成,wei'wan'cheng
我不配,wo'bu'pei
我的地盘,wo'de'di'pan
我的甜蜜蜜,wo'de'tian'mi'mi
我有罪,wo'you'zui
无辜,wu'gu
无尽的思念,wu'jin'de'si'nian
吴克群,wu'ke'qun
无双,wu'shuang
西界,xi'jie
戏剧天才,xi'ju'tian'cai
细数,xi'shu
先生你哪位,xian'sheng'ni'na'wei
相信无限,xiang'xin'wu'xian
笑我笨,xiao'wo'ben
心雨,xin'yu
幸福黑眼圈,xing'fu'hei'yan'quan
星空下的吻,xing'kong'xia'de'wen
星晴,xing'qing
星球,xing'qiu
学不会,xue'bu'hui
压力,ya'li
阳光宅男,yang'guang'zhai'nan
夜的第七章,ye'de'di'qi'zhang
夜曲,ye'qu
爷爷泡的茶,ye'ye'pao'de'cha
以父之名,yi'fu'zhi'ming
一个人两个人,yi'ge'ren'liang'ge'ren
一路向北,yi'lu'xiang'bei
一千年以后,yi'qian'nian'yi'hou
伊斯坦堡,yi'si'tan'bao
一直没发现,yi'zhi'mei'fa'xian
印地安老斑鸠,yin'di'an'lao'ban'jiu
音乐频道,yin'yue'pin'dao
游园会,you'yuan'hui
整形攻略,zheng'xing'gong'lue
只对你说,zhi'dui'ni'shuo
纸片人,zhi'pian'ren
止战之殇,zhi'zhan'zhi'shang
周杰伦,zhou'jie'lun
周星星,zhou'xing'xing
烛光晚餐,zhu'guang'wan'can
子弹列车,zi'dan'lie'che
自由不变,zi'you'bu'bian
最长的电影,zui'chang'de'dian'ying
最后的战役,zui'hou'de'zhan'yi
