保护成员,bao'hu'cheng'yuan
编程,bian'cheng
编译,bian'yi
编译器,bian'yi'qi
编译型语言,bian'yi'xing'yu'yan
标记,biao'ji
操作员,cao'zuo'yuan
插件,cha'jian
查找标示符,cha'zhao'biao'shi'fu
超级用户,chao'ji'yong'hu
超文本标记语言,chao'wen'ben'biao'ji'yu'yan
超文本传输协议,chao'wen'ben'chuan'shu'xie'yi
重定向符号,chong'ding'xiang'fu'hao
窗口,chuang'kou
窗口构件,chuang'kou'gou'jian
窗口管理器,chuang'kou'guan'li'qi
磁带归档,ci'dai'gui'dang
磁头,ci'tou
大端序,da'duan'xu
独立,du'li
队列,dui'lie
对齐,dui'qi
多任务,duo'ren'wu
多线程,duo'xian'cheng
多用途因特网邮件交换,duo'yong'tu'yin'te'wang'you'jian'jiao'huan
二进制文件,er'jin'zhi'wen'jian
分发版,fen'fa'ban
分区,fen'qu
分时,fen'shi
封装器,feng'zhuang'qi
符号链接,fu'hao'lian'jie
附加符号,fu'jia'fu'hao
高质量保密程序,gao'zhi'liang'bao'mi'cheng'xu
公共成员,gong'gong'cheng'yuan
公共网关接口,gong'gong'wang'guan'jie'kou
公共域,gong'gong'yu
共享软件,gong'xiang'ruan'jian
公钥加密,gong'yue'jia'mi
工作目录,gong'zuo'mu'lu
工作区,gong'zuo'qu
挂载,gua'zai
挂装,gua'zhuang
管道符号,guan'dao'fu'hao
管理器,guan'li'qi
归档文件,gui'dang'wen'jian
过滤器,guo'lv'qi
后台进程,hou'tai'jin'cheng
会话,hui'hua
继承,ji'cheng
记录日志,ji'lu'ri'zhi
机器人,ji'qi'ren
架构,jia'gou
假脱机,jia'tuo'ji
脚本,jiao'ben
交换,jiao'huan
交换空间,jiao'huan'kong'jian
结构化查询语言,jie'gou'hua'cha'xun'yu'yan
界面,jie'mian
解释型语言,jie'shi'xing'yu'yan
进程,jin'cheng
开发工具箱,kai'fa'gong'ju'xiang
开放软件,kai'fang'ruan'jian
开放声音系统,kai'fang'sheng'yin'xi'tong
开放图形库,kai'fang'tu'xing'ku
开放源码,kai'fang'yuan'ma
开放源码软件,kai'fang'yuan'ma'ruan'jian
可插入的认证模块,ke'cha'ru'de'ren'zheng'mo'kuai
客户,ke'hu
可扩展标记语言,ke'kuo'zhan'biao'ji'yu'yan
可扩展超文本标记语言,ke'kuo'zhan'chao'wen'ben'biao'ji'yu'yan
可移植,ke'yi'zhi
可移植操作系统接口,ke'yi'zhi'cao'zuo'xi'tong'jie'kou
可移植文档格式,ke'yi'zhi'wen'dang'ge'shi
控制台应用程序,kong'zhi'tai'ying'yong'cheng'xu
类成员,lei'cheng'yuan
类成员函数,lei'cheng'yuan'han'shu
廉价磁盘,lian'jia'ci'pan
面板,mian'ban
面向对象,mian'xiang'dui'xiang
命令行界面,ming'ling'hang'jie'mian
内核,nei'he
前台进程,qian'tai'jin'cheng
区域,qu'yu
全局正则表达式,quan'ju'zheng'ze'biao'da'shi
权限,quan'xian
群集,qun'ji
日志记录,ri'zhi'ji'lu
日志文件系统,ri'zhi'wen'jian'xi'tong
软件包,ruan'jian'bao
软件分发版,ruan'jian'fen'fa'ban
扇区,shan'qu
设备驱动程序,she'bei'qu'dong'cheng'xu
设备冗余阵列,she'bei'rong'yu'zhen'lie
实用摘录与报告语言,shi'yong'zhai'lu'yu'bao'gao'yu'yan
守护程序,shou'hu'cheng'xu
私有成员,si'you'cheng'yuan
所有者,suo'you'zhe
同步,tong'bu
网络编程,wang'luo'bian'cheng
网络文件系统,wang'luo'wen'jian'xi'tong
伪代码,wei'dai'ma
文本编辑器,wen'ben'bian'ji'qi
文本格式化程序,wen'ben'ge'shi'hua'cheng'xu
文件系统,wen'jian'xi'tong
系统编程,xi'tong'bian'cheng
系统日志,xi'tong'ri'zhi
线程,xian'cheng
显示管理器,xian'shi'guan'li'qi
小端序,xiao'duan'xu
小型文件传送协议,xiao'xing'wen'jian'chuan'song'xie'yi
新手,xin'shou
修订控制系统,xiu'ding'kong'zhi'xi'tong
虚拟机,xu'ni'ji
虚拟内存,xu'ni'nei'cun
虚拟现实建模语言,xu'ni'xian'shi'jian'mo'yu'yan
虚拟桌面,xu'ni'zhuo'mian
移植,yi'zhi
引导盘,yin'dao'pan
隐写术,yin'xie'shu
用户界面,yong'hu'jie'mian
语法高亮,yu'fa'gao'liang
语言,yu'yan
远程文件共享,yuan'cheng'wen'jian'gong'xiang
源代码,yuan'dai'ma
帐户名称,zhang'hu'ming'cheng
整数排序,zheng'shu'pai'xu
柱面,zhu'mian
注释,zhu'shi
主引导记录,zhu'yin'dao'ji'lu
桌面,zhuo'mian
自动补全,zi'dong'bu'quan
自动换行,zi'dong'huan'hang
自动缩进,zi'dong'suo'jin
字符串,zi'fu'chuan
字节序,zi'jie'xu
字体,zi'ti
