昂扬向上的民族精神,ang'yang'xiang'shang'de'min'zu'jing'shen
必定会坚持正确政绩观,bi'ding'hui'jian'chi'zheng'que'zheng'ji'guan
必须有规矩,bi'xu'you'gui'ju
不仅需要加强思想教育,bu'jin'xu'yao'jia'qiang'si'xiang'jiao'yu
不相符合的问题,bu'xiang'fu'he'de'wen'ti
诚实守信,cheng'shi'shou'xin
成为有理想,cheng'wei'you'li'xiang
从个人的诚信义利观,cong'ge'ren'de'cheng'xin'yi'li'guan
从个人对待劳动的态度,cong'ge'ren'dui'dai'lao'dong'de'tai'du
从个人或团体对待科学的态度,cong'ge'ren'huo'tuan'ti'dui'dai'ke'xue'de'tai'du
从个人或团体与法纪的关系,cong'ge'ren'huo'tuan'ti'yu'fa'ji'de'guan'xi
从个人与他人或团体的利益关系,cong'ge'ren'yu'ta'ren'huo'tuan'ti'de'li'yi'guan'xi
从公职人员与民众的关系,cong'gong'zhi'ren'yuan'yu'min'zhong'de'guan'xi
从哲学意义上讲,cong'zhe'xue'yi'yi'shang'jiang
从总体上说,cong'zong'ti'shang'shuo
促进大学生思想道德素质,cu'jin'da'xue'sheng'si'xiang'dao'de'su'zhi
大道理是为国,da'dao'li'shi'wei'guo
大学生是十分宝贵的人才资源,da'xue'sheng'shi'shi'fen'bao'gui'de'ren'cai'zi'yuan
但党章不可能对党的活动,dan'dang'zhang'bu'ke'neng'dui'dang'de'huo'dong
但归根到底,dan'gui'gen'dao'di
但同时我们要看到,dan'tong'shi'wo'men'yao'kan'dao
但也要看到,dan'ye'yao'kan'dao
但有的价值导向过于单一,dan'you'de'jia'zhi'dao'xiang'guo'yu'dan'yi
党的基层组织达到万个,dang'de'ji'ceng'zu'zhi'da'dao'wan'ge
道德缺失,dao'de'que'shi
道德失范的现象十分突出,dao'de'shi'fan'de'xian'xiang'shi'fen'tu'chu
道德准则如同空气,dao'de'zhun'ze'ru'tong'kong'qi
而且有鲜明的社会主义立场,er'qie'you'xian'ming'de'she'hui'zhu'yi'li'chang
而是独立的,er'shi'du'li'de
二是以爱国主义教育为重点,er'shi'yi'ai'guo'zhu'yi'jiao'yu'wei'zhong'dian
而新的道德体系尚未健全,er'xin'de'dao'de'ti'xi'shang'wei'jian'quan
发展观决定政绩观,fa'zhan'guan'jue'ding'zheng'ji'guan
发展观是关于发展的本质,fa'zhan'guan'shi'guan'yu'fa'zhan'de'ben'zhi
发展观是政绩观的前提和基础,fa'zhan'guan'shi'zheng'ji'guan'de'qian'ti'he'ji'chu
反对迷信互助友爱等内涵,fan'dui'mi'xin'hu'zhu'you'ai'deng'nei'han
更加突出我们民族的特性,geng'jia'tu'chu'wo'men'min'zu'de'te'xing
更需要加强制度建设,geng'xu'yao'jia'qiang'zhi'du'jian'she
规范化,gui'fan'hua
还需要进一步加强制度建设,hai'xu'yao'jin'yi'bu'jia'qiang'zhi'du'jian'she
和谐运转,he'xie'yun'zhuan
后继有人,hou'ji'you'ren
环境污染一样,huan'jing'wu'ran'yi'yang
会让人感觉不舒服,hui'rang'ren'gan'jue'bu'shu'fu
或者说并不依附于全球化,huo'zhe'shuo'bing'bu'yi'fu'yu'quan'qiu'hua
即人的素质,ji'ren'de'su'zhi
加强和改进大学生思想政治教育,jia'qiang'he'gai'jin'da'xue'sheng'si'xiang'zheng'zhi'jiao'yu
建设和改革开放的历史教育,jian'she'he'gai'ge'kai'fang'de'li'shi'jiao'yu
将扫涤道德相对主义的阴魅,jiang'sao'di'dao'de'xiang'dui'zhu'yi'de'yin'mei
解决这些问题,jie'jue'zhe'xie'wen'ti
进而导致更加严重的后果,jin'er'dao'zhi'geng'jia'yan'zhong'de'hou'guo
近三十年来,jin'san'shi'nian'lai
经过多年的发展,jing'guo'duo'nian'de'fa'zhan
敬业奉献的基本道德规范,jing'ye'feng'xian'de'ji'ben'dao'de'gui'fan
就必须树立社会主义荣辱观,jiu'bi'xu'shu'li'she'hui'zhu'yi'rong'ru'guan
旧的道德观念逐渐边缘化,jiu'de'dao'de'guan'nian'zhu'jian'bian'yuan'hua
就会有什么样的政绩观,jiu'hui'you'shen'me'yang'de'zheng'ji'guan
