阿爷无大儿木兰无长兄,a'ye'wu'da'er'mu'lan'wu'zhang'xiong
阿姊闻妹来当户理红妆,a'zi'wen'mei'lai'dang'hu'li'hong'zhuang
不闻机杼声惟闻女叹息,bu'wen'ji'zhu'sheng'wei'wen'nv'tan'xi
策勋十二转赏赐百千强,ce'xun'shi'er'zhuan'shang'ci'bai'qian'qiang
出门看火伴火伴皆惊忙,chu'men'kan'huo'ban'huo'ban'jie'jing'mang
旦辞黄河去暮至黑山头,dan'ci'huang'he'qu'mu'zhi'hei'shan'tou
旦辞爷娘去暮宿黄河边,dan'ci'ye'niang'qu'mu'su'huang'he'bian
当窗理云鬓对镜贴花黄,dang'chuang'li'yun'bin'dui'jing'tie'hua'huang
东市买骏马西市买鞍鞯,dong'shi'mai'jun'ma'xi'shi'mai'an'jian
归来见天子天子坐明堂,gui'lai'jian'tian'zi'tian'zi'zuo'ming'tang
唧唧复唧唧木兰当户织,ji'ji'fu'ji'ji'mu'lan'dang'hu'zhi
将军百战死壮士十年归,jiang'jun'bai'zhan'si'zhuang'shi'shi'nian'gui
军书十二卷卷卷有爷名,jun'shu'shi'er'juan'juan'juan'you'ye'ming
开我东阁门坐我西阁床,kai'wo'dong'ge'men'zuo'wo'xi'ge'chuang
可汗问所欲木兰不用尚书郎,ke'han'wen'suo'yu'mu'lan'bu'yong'shang'shu'lang
南市买辔头北市买长鞭,nan'shi'mai'pei'tou'bei'shi'mai'chang'bian
女亦无所思女亦无所忆,nv'yi'wu'suo'si'nv'yi'wu'suo'yi
双兔傍地走安能辨我是雄雌,shuang'tu'bang'di'zou'an'neng'bian'wo'shi'xiong'ci
朔气传金柝寒光照铁衣,shuo'qi'chuan'jin'tuo'han'guang'zhao'tie'yi
同行十二年不知木兰是女郎,tong'xing'shi'er'nian'bu'zhi'mu'lan'shi'nv'lang
脱我战时袍著我旧时裳,tuo'wo'zhan'shi'pao'zhu'wo'jiu'shi'shang
万里赴戎机关山度若飞,wan'li'fu'rong'ji'guan'shan'du'ruo'fei
问女何所思问女何所忆,wen'nv'he'suo'si'wen'nv'he'suo'yi
小弟闻姊来磨刀霍霍向猪羊,xiao'di'wen'zi'lai'mo'dao'huo'huo'xiang'zhu'yang
雄兔脚扑朔雌兔眼迷离,xiong'tu'jiao'pu'shuo'ci'tu'yan'mi'li
爷娘闻女来出郭相扶将,ye'niang'wen'nv'lai'chu'guo'xiang'fu'jiang
愿驰千里足送儿还故乡,yuan'chi'qian'li'zu'song'er'huan'gu'xiang
愿为市鞍马从此替爷征,yuan'wei'shi'an'ma'cong'ci'ti'ye'zheng
昨夜见军帖可汗大点兵,zuo'ye'jian'jun'tie'ke'han'da'dian'bing
