阿拉斯加号,a'la'si'jia'hao
艾伯特,ai'bo'te
艾萨克,ai'sa'ke
安那波利斯,an'na'bo'li'si
奥尔特星云,ao'er'te'xing'yun
巴勒莫,ba'le'mo
八维,ba'wei
白垩纪往事,bai'e'ji'wang'shi
白沐霖,bai'mu'lin
白蓉,bai'rong
北美舰队,bei'mei'jian'dui
逼近法,bi'jin'fa
避雨器,bi'yu'qi
毕云峰,bi'yun'feng
冰沙王子,bing'sha'wang'zi
薄伽梵歌,bo'jia'fan'ge
猜疑链,cai'yi'lian
曹彬,cao'bin
长铗,chang'jia
常伟思,chang'wei'si
超导腰带,chao'dao'yao'dai
超导中心,chao'dao'zhong'xin
超新星纪元,chao'xin'xing'ji'yuan
程丽华,cheng'li'hua
程心,cheng'xin
赤道基点,chi'dao'ji'dian
迟卉,chi'hui
重庆出版社,chong'qing'chu'ban'she
褚岩,chu'yan
次声波氢弹,ci'sheng'bo'qing'dan
磁性水雷,ci'xing'shui'lei
大低谷,da'di'gu
大低谷纪念碑,da'di'gu'ji'nian'bei
大凤,da'feng
达格,da'ge
大史,da'shi
大撕裂,da'si'lie
带上她的眼晴,dai'shang'ta'de'yan'qing
弹星者,dan'xing'zhe
狄奥伦娜,di'ao'lun'na
第二红岸基地,di'er'hong'an'ji'di
地火,di'huo
低技术战略,di'ji'shu'zhan'lue
蒂莫西,di'mo'xi
地球国际,di'qiu'guo'ji
地球舰队,di'qiu'jian'dui
地球三体叛军,di'qiu'san'ti'pan'jun
地球三体叛军成员,di'qiu'san'ti'pan'jun'cheng'yuan
地球三体运动,di'qiu'san'ti'yun'dong
地球三体组织,di'qiu'san'ti'zu'zhi
地球往事,di'qiu'wang'shi
地球往事三部曲,di'qiu'wang'shi'san'bu'qu
低熵体,di'shang'ti
电磁动能炮,dian'ci'dong'neng'pao
点墙,dian'qiang
丁仪,ding'yi
东方延绪,dong'fang'yan'xu
东郭族,dong'guo'zu
冬眠者社区,dong'mian'zhe'she'qu
对面壁者的笑,dui'mian'bi'zhe'de'xiao
俄罗斯联邦,e'luo'si'lian'bang
二颗飞星,er'ke'fei'xing
二维,er'wei
二维化,er'wei'hua
二维隐喻,er'wei'yin'yu
二向箔,er'xiang'bo
发条橙,fa'tiao'cheng
法扎兰,fa'zha'lan
反触发系统,fan'chu'fa'xi'tong
凡尔纳岛,fan'er'na'dao
飞氘,fei'dao
费米悖论,fei'mi'bei'lun
飞刃,fei'ren
非限制性三体问题,fei'xian'zhi'xing'san'ti'wen'ti
飞星,fei'xing
飞星不动,fei'xing'bu'dong
斐兹罗,fei'zi'luo
分散型指挥系统,fen'san'xing'zhi'hui'xi'tong
浮城,fu'cheng
弗雷德里克,fu'lei'de'li'ke
弗雷斯,fu'lei'si
傅立叶单摆,fu'li'ye'dan'bai
辐射帆,fu'she'fan
辐射推进飞船,fu'she'tui'jin'fei'chuan
伽马射线激光,ga'ma'she'xian'ji'guang
概率云,gai'lv'yun
干仓,gan'cang
干纤维,gan'xian'wei
高边疆,gao'bian'jiang
高技术战略,gao'ji'shu'zhan'lue
高架绞车,gao'jia'jiao'che
高能粒子束,gao'neng'li'zi'shu
歌者,ge'zhe
工介质推进飞船,gong'jie'zhi'tui'jin'fei'chuan
工质,gong'zhi
工质推进飞船,gong'zhi'tui'jin'fei'chuan
古筝行动,gu'zheng'xing'dong
观想之宙,guan'xiang'zhi'zhou
关一帆,guan'yi'fan
广播纪元,guang'bo'ji'yuan
光墓,guang'mu
光速二号,guang'su'er'hao
广田老师,guang'tian'lao'shi
光锥,guang'zhui
归零运动,gui'ling'yun'dong
归零者,gui'ling'zhe
果壳网,guo'ke'wang
国王的新画师,guo'wang'de'xin'hua'shi
郭正明,guo'zheng'ming
哈勃二号,ha'bo'er'hao
哈里斯,ha'li'si
哈马舍尔德,ha'ma'she'er'de
海人,hai'ren
韩松,han'song
航线推进,hang'xian'tui'jin
核弹女孩,he'dan'nv'hai
赫尔辛根默斯肯,he'er'xin'gen'mo'si'ken
赫歇尔,he'xie'er
黑暗森林,hei'an'sen'lin
黑暗森林打击,hei'an'sen'lin'da'ji
黑暗森林理论,hei'an'sen'lin'li'lun
黑暗战役,hei'an'zhan'yi
黑格,hei'ge
黑域,hei'yu
黑域计划,hei'yu'ji'hua
恒纪元,heng'ji'yuan
亨特号,heng'te'hao
恒星呼吸,heng'xing'hu'xi
恒星际远航,heng'xing'ji'yuan'hang
恒星级战舰,heng'xing'ji'zhan'jian
恒星型氢弹,heng'xing'xing'qing'dan
