阿兰若,a'lan're
阿兰若殿下,a'lan're'dian'xia
阿兰若之梦,a'lan're'zhi'meng
阿离,a'li
阿青,a'qing
阿音,a'yin
巴蛇族,ba'she'zu
白辰,bai'chen
白额虎,bai'e'hu
白凤九,bai'feng'jiu
白滚滚,bai'gun'gun
白颀,bai'qi
白浅,bai'qian
白玄,bai'xuan
白奕,bai'yi
白真,bai'zhen
白止,bai'zhi
白止帝君,bai'zhi'di'jun
半月阵,ban'yue'zhen
北海水君,bei'hai'shui'jun
彼端,bi'duan
毕方,bi'fang
闭关长修,bi'guan'chang'xiu
碧海苍灵,bi'hai'cang'ling
陛下,bi'xia
比翼鸟王都,bi'yi'niao'wang'du
比翼鸟族,bi'yi'niao'zu
冰块脸,bing'kuai'lian
苍何剑,cang'he'jian
沧夷神君,cang'yi'shen'jun
茶茶,cha'cha
禅位,chan'wei
嫦棣,chang'di
长笛,chang'di
畅和殿,chang'he'dian
长生大帝,chang'sheng'da'di
长修,chang'xiu
长依,chang'yi
嗔怪,chen'guai
陈贵人,chen'gui'ren
沉晔,chen'ye
沉晔神君,chen'ye'shen'jun
尘缘,chen'yuan
承天台,cheng'tian'tai
成玉,cheng'yu
成玉元君,cheng'yu'yuan'jun
赤狐族,chi'hu'zu
赤炎金猊兽,chi'yan'jin'ni'shou
赤之魔君,chi'zhi'mo'jun
绸扇,chou'shan
慈航真人,ci'hang'zhen'ren
大洪荒,da'hong'huang
大罗天,da'luo'tian
大紫明宫,da'zi'ming'gong
丹露苑,dan'lu'yuan
道德天尊,dao'de'tian'zun
登仙,deng'xian
帝后,di'hou
帝姬,di'ji
帝君,di'jun
地仙,di'xian
叠雍,die'yong
洞府,dong'fu
东海龙宫,dong'hai'long'gong
东海水君,dong'hai'shui'jun
东海瀛洲,dong'hai'ying'zhou
东华,dong'hua
东华帝君,dong'hua'di'jun
东华紫府少阳君,dong'hua'zi'fu'shao'yang'jun
东荒,dong'huang
东荒大泽,dong'huang'da'ze
东荒女君,dong'huang'nv'jun
东皇钟,dong'huang'zhong
渡厄历劫,du'e'li'jie
渡劫,du'jie
断袖,duan'xiu
二殿下,er'dian'xia
二公主,er'gong'zhu
法度,fa'du
法力,fa'li
凡界,fan'jie
凡情,fan'qing
凡世,fan'shi
梵音谷,fan'yin'gu
飞升,fei'sheng
凤九,feng'jiu
凤九殿下,feng'jiu'dian'xia
奉行,feng'xing
凤羽花,feng'yu'hua
凤族,feng'zu
佛铃之花,fo'ling'zhi'hua
佛陀,fo'tuo
父君,fu'jun
伏觅仙母,fu'mi'xian'mu
缚魔石,fu'mo'shi
父神,fu'shen
符禹山,fu'yu'shan
甘草,gan'cao
孤栦君,gu'chou'jun
姑姑,gu'gu
鬼君,gui'jun
鬼族,gui'zu
鬼族之乱,gui'zu'zhi'luan
菡萏院,han'dan'yuan
合虚剑,he'xu'jian
黑龙,hei'long
黑子,hei'zi
红玉郡主,hong'yu'jun'zhu
狐帝,hu'di
花魁,hua'kui
换颜术,huan'yan'shu
晖耀,hui'yao
混沌,hun'dun
火凤凰,huo'feng'huang
火麒麟,huo'qi'lin
姬蘅,ji'heng
汲纳,ji'na
机缘,ji'yuan
戟越枪,ji'yue'qiang
吉兆,ji'zhao
伽昀,jia'yun
鲛人一族,jiao'ren'yi'zu
劫灰,jie'hui
结魂灯,jie'hun'deng
洁绿郡主,jie'lv'jun'zhu
阶品,jie'pin
结魄灯,jie'po'deng
解忧泉,jie'you'quan
金翅大鹏,jin'chi'da'peng
精纯,jing'chun
精神图腾,jing'shen'tu'teng
九重宝塔,jiu'chong'bao'ta
九重天,jiu'chong'tian
九儿,jiu'er
九歌公主,jiu'ge'gong'zhu
九九,jiu'jiu
九尾白狐,jiu'wei'bai'hu
九尾红狐,jiu'wei'hong'hu
九丫头,jiu'ya'tou
九州崩,jiu'zhou'beng
橘诺,ju'nuo
俊疾山,jun'ji'shan
君上,jun'shang
君位,jun'wei
枯等成灰,ku'deng'cheng'hui
昆仑虚,kun'lun'xu
乐胥,le'xu
累世情缘,lei'shi'qing'yuan
雷刑,lei'xing
礼崩乐坏,li'beng'yue'huai
历劫,li'jie
离镜,li'jing
历练,li'lian
炼丹炉,lian'dan'lu
连三殿下,lian'san'dian'xia
连宋,lian'song
连宋君,lian'song'jun
连宋神君,lian'song'shen'jun
两生咒,liang'sheng'zhou
麟儿,lin'er
琳琅阁,lin'lang'ge
灵宝天尊,ling'bao'tian'zun
灵狐,ling'hu
灵狐族,ling'hu'zu
灵兽,ling'shou
灵梳台,ling'shu'tai
令羽,ling'yu
灵越宫,ling'yue'gong
刘亦菲,liu'yi'fei
柳映,liu'ying
龙华,long'hua
龙树菩萨,long'shu'pu'sa
龙族,long'zu
轮回,lun'hui
绿袖公主,lv'xiu'gong'zhu
梅子冻糕,mei'zi'dong'gao
孟春院,meng'chun'yuan
孟昊,meng'hao
萌少,meng'shao
迷谷,mi'gu
迷谷花,mi'gu'hua
迷谷老儿,mi'gu'lao'er
迷谷树,mi'gu'shu
妙华镜,miao'hua'jing
缈落,miao'luo
妙义慧明境,miao'yi'hui'ming'jing
闽酥,min'su
命格,ming'ge
缪清,miu'qing
缪清公主,miu'qing'gong'zhu
魔狐,mo'hu
墨渊,mo'yuan
墨渊上神,mo'yuan'shang'shen
魔族,mo'zu
母神,mu'shen
奈奈,nai'nai
南荒,nan'huang
娘亲,niang'qin
聂初寅,nie'chu'yin
孽根,nie'gen
糯米团子,nuo'mi'tuan'zi
女帝,nv'di
女君,nv'jun
女仙,nv'xian
盘古,pan'gu
蟠桃,pan'tao
品阶,pin'jie
频婆果,pin'po'guo
频婆树,pin'po'shu
平安城,ping'an'cheng
平安珠串,ping'an'zhu'chuan
破云扇,po'yun'shan
菩提,pu'ti
菩提净土,pu'ti'jing'tu
歧南神宫,qi'nan'shen'gong
祈山神女,qi'shan'shen'nv
浅浅,qian'qian
擎苍,qing'cang
青殿,qing'dian
倾画夫人,qing'hua'fu'ren
庆姜,qing'jiang
情劫,qing'jie
青冥剑,qing'ming'jian
青丘,qing'qiu
青丘白家,qing'qiu'bai'jia
青丘帝姬,qing'qiu'di'ji
青丘狐狸洞,qing'qiu'hu'li'dong
青丘女君,qing'qiu'nv'jun
青丘五荒,qing'qiu'wu'huang
青丘之国,qing'qiu'zhi'guo
情深不渝,qing'shen'bu'yu
清修,qing'xiu
庆云殿,qing'yun'dian
青云殿,qing'yun'dian
青之魔君,qing'zhi'mo'jun
穷奇,qiong'qi
秋水毒,qiu'shui'du
人形,ren'xing
人族,ren'zu
肉白骨,rou'bai'gu
若水神君,ruo'shui'shen'jun
若水一战,ruo'shui'yi'zhan
若水之滨,ruo'shui'zhi'bin
三殿下,san'dian'xia
三毒浊息,san'du'zhuo'xi
三清幻境,san'qing'huan'jing
三清四御,san'qing'si'yu
三生爱恨,san'sheng'ai'hen
三生三世,san'sheng'san'shi
三生三世步生莲,san'sheng'san'shi'bu'sheng'lian
三生三世菩提劫,san'sheng'san'shi'pu'ti'jie
三生三世十里桃花,san'sheng'san'shi'shi'li'tao'hua
三生三世枕上书,san'sheng'san'shi'zhen'shang'shu
三世纠葛,san'shi'jiu'ge
三十六大罗天,san'shi'liu'da'luo'tian
三叔,san'shu
三爷爷,san'ye'ye
桑籍,sang'ji
上古大神,shang'gu'da'shen
上古神祇,shang'gu'shen'qi
上古神族,shang'gu'shen'zu
上古天神,shang'gu'tian'shen
上古战神,shang'gu'zhan'shen
上古尊神,shang'gu'zun'shen
上君,shang'jun
上神,shang'shen
上仙,shang'xian
少绾,shao'wan
少辛,shao'xin
蛇阵,she'zhen
神宫,shen'gong
神官长,shen'guan'zhang
神籍,shen'ji
神迹,shen'ji
神君,shen'jun
神力,shen'li
神女,shen'nv
神识,shen'shi
神兽,shen'shou
神芝草,shen'zhi'cao
神族,shen'zu
神尊,shen'zun
生死人,sheng'si'ren
十恶莲花境,shi'e'lian'hua'jing
十里桃花林,shi'li'tao'hua'lin
十里桃林,shi'li'tao'lin
十丈红尘,shi'zhang'hong'chen
氏族,shi'zu
始祖女神,shi'zu'nv'shen
守钟仙娥,shou'zhong'xian'e
谁点相思,shui'dian'xiang'si
水晶宫,shui'jing'gong
水沼泽,shui'zhao'ze
谁种桃花,shui'zhong'tao'hua
四大凶兽,si'da'xiong'shou
四殿下,si'dian'xia
四哥,si'ge
四海八荒,si'hai'ba'huang
四海水君,si'hai'shui'jun
四极摧,si'ji'cui
四季果,si'ji'guo
四季树,si'ji'shu
四舅,si'jiu
司命,si'ming
司命星君,si'ming'xing'jun
司墨文官,si'mo'wen'guan
四叔,si'shu
思行河,si'xing'he
四凶兽,si'xiong'shou
司音,si'yin
宋元贞,song'yuan'zhen
素锦,su'jin
素锦天妃,su'jin'tian'fei
苏陌叶,su'mo'ye
素素,su'su
锁妖塔,suo'yao'ta
太晨宫,tai'chen'gong
太清,tai'qing
太上老君,tai'shang'lao'jun
太子侧妃,tai'zi'ce'fei
太子殿下,tai'zi'dian'xia
贪爱,tan'ai
唐七,tang'qi
唐七公子,tang'qi'gong'zi
桃花扇,tao'hua'shan
饕餮,tao'tie
梼杌,tao'wu
陶铸剑,tao'zhu'jian
天帝,tian'di
天地共主,tian'di'gong'zhu
天地之主,tian'di'zhi'zhu
天恩,tian'en
天妃,tian'fei
天宫,tian'gong
天后,tian'hou
天狐,tian'hu
天劫,tian'jie
天界储君,tian'jie'chu'jun
天精地气,tian'jing'di'qi
天君,tian'jun
天雷,tian'lei
天雷之劫,tian'lei'zhi'jie
天命,tian'ming
天命石批,tian'ming'shi'pi
天数,tian'shu
天孙,tian'sun
天族,tian'zu
调伏,tiao'fu
铜镜,tong'jing
头虎精,tou'hu'jing
团子,tuan'zi
万人迷,wan'ren'mi
万仙辑录,wan'xian'ji'lu
王都,wang'du
忘尽前尘,wang'jin'qian'chen
忘情水,wang'qing'shui
忘忧散,wang'you'san
未书,wei'shu
文恬,wen'tian
五彩鸟,wu'cai'niao
五大妙树,wu'da'miao'shu
五方五帝,wu'fang'wu'di
五荒五帝,wu'huang'wu'di
乌鸡白凤丸,wu'ji'bai'feng'wan
无赖,wu'lai
无忧,wu'you
熙朝,xi'chao
西方梵境,xi'fang'fan'jing
西海水君,xi'hai'shui'jun
吸纳,xi'na
西天梵境,xi'tian'fan'jing
洗梧宫,xi'wu'gong
息泽,xi'ze
息泽神君,xi'ze'shen'jun
下凡,xia'fan
下界,xia'jie
仙婢,xian'bi
仙丹,xian'dan
仙娥,xian'e
仙格,xian'ge
仙狐,xian'hu
仙籍,xian'ji
仙力,xian'li
仙气,xian'qi
仙逝,xian'shi
仙胎,xian'tai
仙泽,xian'ze
仙障,xian'zhang
仙者,xian'zhe
仙族,xian'zu
相里阿兰若,xiang'li'a'lan're
相里贺,xiang'li'he
相里萌,xiang'li'meng
相里阕,xiang'li'que
相里殷,xiang'li'yin
祥云,xiang'yun
小白,xiao'bai
小九,xiao'jiu
小浅,xiao'qian
小十七,xiao'shi'qi
小叔,xiao'shu
小叔父,xiao'shu'fu
小天孙,xiao'tian'sun
小五,xiao'wu
小丫头,xiao'ya'tou
谢孤栦,xie'gu'chou
心头血,xin'tou'xue
修为,xiu'wei
煦旸,xu'yang
玄晶甲,xuan'jing'jia
玄女,xuan'nv
玄色衣袍,xuan'se'yi'pao
轩辕剑,xuan'yuan'jian
玄之魔君,xuan'zhi'mo'jun
燕池悟,yan'chi'wu
阎浮提,yan'fu'ti
湮岚,yan'lan
央错,yang'cuo
杨幂,yang'mi
杨洋,yang'yang
瑶池,yao'chi
瑶光,yao'guang
妖狐,yao'hu
药君,yao'jun
妖尊,yao'zun
夜华,ye'hua
夜华君,ye'hua'jun
业火,ye'huo
夜明珠,ye'ming'zhu
叶青缇,ye'qing'ti
