岸田隆宏,an'tian'long'hong
巴麻美,ba'ma'mei
百江渚,bai'jiang'zhu
白毛,bai'mao
白色线膛燧发枪,bai'se'xian'tang'sui'fa'qiang
贝贝,bei'bei
悲叹之种,bei'tan'zhi'zhong
苍树梅,cang'shu'mei
长矛,chang'mao
吃货,chi'huo
处刑魔女,chu'xing'mo'nv
达也,da'ye
恶魔焰,e'mo'yan
发带圆弓焰,fa'dai'yuan'gong'yan
粉毛,fen'mao
孵化者,fu'hua'zhe
恭介,gong'jie
海的女儿,hai'de'nv'er
黑长直,hei'chang'zhi
红毛,hong'mao
吼姆啦,hou'mu'la
胡桃夹子魔女,hu'tao'jia'zi'mo'nv
画妆魔女,hua'zhuang'mo'nv
黄毛,huang'mao
加藤英美里,jia'teng'ying'mei'li
见泷源,jian'long'yuan
结界,jie'jie
救济魔女,jiu'ji'mo'nv
蓝毛,lan'mao
灵魂宝石,ling'hun'bao'shi
零食魔女,ling'shi'mo'nv
鹿目达也,lu'mu'da'ye
鹿目询子,lu'mu'xun'zi
鹿目圆,lu'mu'yuan
鹿目圆香,lu'mu'yuan'xiang
鹿目知久,lu'mu'zhi'jiu
马猴烧酒,ma'hou'shao'jiu
麻花焰,ma'hua'yan
麻美,ma'mei
馒头卡,man'tou'ka
美树沙耶加,mei'shu'sha'ye'jia
美树沙耶香,mei'shu'sha'ye'xiang
美树爽,mei'shu'shuang
梦魇,meng'yan
魔法少女,mo'fa'shao'nv
魔法少女小圆,mo'fa'shao'nv'xiao'yuan
魔女,mo'nv
魔女结界,mo'nv'jie'jie
魔女之吻,mo'nv'zhi'wen
魔女之夜,mo'nv'zhi'ye
魔兽,mo'shou
女神圆,nv'shen'yuan
叛逆的物语,pan'ni'de'wu'yu
契约,qi'yue
丘比,qiu'bi
仁美,ren'mei
人鱼魔女,ren'yu'mo'nv
日式圆弓,ri'shi'yuan'gong
沙耶加,sha'ye'jia
沙耶香,sha'ye'xiang
上条恭介,shang'tiao'gong'jie
上条君,shang'tiao'jun
时间回朔者,shi'jian'hui'shuo'zhe
时间盘,shi'jian'pan
使魔,shi'mo
水桥香织,shui'qiao'xiang'zhi
丝带,si'dai
伪街的孩子,wei'jie'de'hai'zi
梶浦由记,wei'pu'you'ji
武旦魔女,wu'dan'mo'nv
喜多村英梨,xi'duo'cun'ying'li
西洋剑,xi'yang'jian
晓美炎,xiao'mei'yan
晓美焰,xiao'mei'yan
小爽,xiao'shuang
小炎,xiao'yan
小焰,xiao'yan
小圆,xiao'yuan
小渚,xiao'zhu
新番,xin'fan
新房昭之,xin'fang'zhao'zhi
杏子,xing'zi
虚渊玄,xu'yuan'xuan
学姐,xue'jie
焰魔,yan'mo
野中蓝,ye'zhong'lan
悠木碧,you'mu'bi
圆环之理,yuan'huan'zhi'li
圆神,yuan'shen
圆香,yuan'xiang
早乙女和子,zao'yi'nv'he'zi
斋藤千和,zhai'teng'qian'he
志筑仁美,zhi'zhu'ren'mei
转校生,zhuan'xiao'sheng
佐仓杏子,zuo'cang'xing'zi
