阿克里地树虫,a'ke'li'di'shu'chong
阿纳圣域,a'na'sheng'yu
阿纳信徒,a'na'xin'tu
阿托格,a'tuo'ge
哀恸欲绝,ai'tong'yu'jue
矮种刃背猪,ai'zhong'ren'bei'zhu
暗崇天使,an'chong'tian'shi
黯光堡垒,an'guang'bao'lei
暗礁祭师,an'jiao'ji'shi
暗巷骗徒,an'xiang'pian'tu
巴拉斯驮登,ba'la'si'tuo'deng
巴林,ba'lin
巴林之怨,ba'lin'zhi'yuan
巴斯驮登,ba'si'tuo'deng
白木甲,bai'mu'jia
百兽女皇裘蕾尔,bai'shou'nv'huang'qiu'lei'er
白子巨魔,bai'zi'ju'mo
暴风警鹰,bao'feng'jing'ying
暴凌空,bao'ling'kong
暴食眼鏡蛇,bao'shi'yan'jing'she
孢子生殖,bao'zi'sheng'zhi
贝尔蓓的飞鸟,bei'er'bei'de'fei'niao
贝尔蓓的时光通道,bei'er'bei'de'shi'guang'tong'dao
贝尔蓓之铠,bei'er'bei'zhi'kai
崩坏边界,beng'huai'bian'jie
迸焰蜥,beng'yan'xi
逼从,bi'cong
庇荫祝祷,bi'yin'zhu'dao
鞭笞狮头象,bian'chi'shi'tou'xiang
遍地野藻,bian'di'ye'zao
变节羁绊,bian'jie'ji'ban
编枝杯,bian'zhi'bei
编枝六分仪,bian'zhi'liu'fen'yi
宾纳里亚布陷兵,bin'na'li'ya'bu'xian'bing
宾纳里亚枪骑兵,bin'na'li'ya'qiang'qi'bing
冰碛岩缘,bing'qi'yan'yuan
病蛆带原体,bing'qu'dai'yuan'ti
波动机,bo'dong'ji
薄暮行者,bo'mu'xing'zhe
不从者死,bu'cong'zhe'si
不当之利,bu'dang'zhi'li
捕获的狮头象,bu'huo'de'shi'tou'xiang
不顺者夷,bu'shun'zhe'yi
彩华山猫,cai'hua'shan'mao
彩华狮,cai'hua'shi
长春藤预言师,chang'chun'teng'yu'yan'shi
唱反调,chang'fan'diao
偿付,chang'fu
潮汐幻视师,chao'xi'huan'shi'shi
潮汐巨怪,chao'xi'ju'guai
晨晓哨班,chen'xiao'shao'ban
城塞纪律,cheng'sai'ji'lv
城塞机械技师,cheng'sai'ji'xie'ji'shi
城塞生物学者,cheng'sai'sheng'wu'xue'zhe
城塞先决战,cheng'sai'xian'jue'zhan
成雄败寇,cheng'xiong'bai'kou
持鞭士官,chi'bian'shi'guan
冲锋巨魔,chong'feng'ju'mo
仇视,chou'shi
触媒石,chu'mei'shi
除灭,chu'mie
初羽鹗,chu'yu'e
穿山甲外衣,chuan'shan'jia'wai'yi
传心间谍,chuan'xin'jian'die
纯量反射,chun'liang'fan'she
刺风仙灵,ci'feng'xian'ling
刺棘腐鲁虫,ci'ji'fu'lu'chong
刺角卡甫,ci'jiao'ka'fu
刺毛兽,ci'mao'shou
刺铁丝,ci'tie'si
刺针屏障,ci'zhen'ping'zhang
丛林守护神奈玛塔,cong'lin'shou'hu'shen'nai'ma'ta
翠玉石蛭,cui'yu'shi'zhi
达奥布网师,da'ao'bu'wang'shi
达奥族骑士长,da'ao'zu'qi'shi'chang
大道抢匪,da'dao'qiang'fei
达尔巴鸟,da'er'ba'niao
达里迦的炎息,da'li'jia'de'yan'xi
大学院长蕾安,da'xue'yuan'zhang'lei'an
打肢怪,da'zhi'guai
蛋白石泰坦像,dan'bai'shi'tai'tan'xiang
单峰兽,dan'feng'shou
滴答侏儒,di'da'zhu'ru
狄迦信徒,di'jia'xin'tu
地窟哈痞,di'ku'ha'pi
地裂,di'lie
迪锐奇,di'rui'qi
地穴通,di'xue'tong
地狱创生,di'yu'chuang'sheng
