安全剂量,an'quan'ji'liang
安全密度,an'quan'mi'du
半伤害剂量,ban'shang'hai'ji'liang
半伤害浓度,ban'shang'hai'nong'du
半衰弱层,ban'shuai'ruo'ceng
半致死剂量,ban'zhi'si'ji'liang
半致死染毒浓度,ban'zhi'si'ran'du'nong'du
爆高,bao'gao
爆后,bao'hou
暴露人员,bao'lu'ren'yuan
爆区,bao'qu
爆深,bao'shen
爆心,bao'xin
爆炸高度,bao'zha'gao'du
爆炸深度,bao'zha'shen'du
爆炸中心,bao'zha'zhong'xin
爆震波,bao'zhen'bo
爆震风,bao'zhen'feng
被防护,bei'fang'hu
被防护对象,bei'fang'hu'dui'xiang
苯氯乙酮,ben'lv'yi'tong
比高,bi'gao
比例爆高,bi'li'bao'gao
比兹,bi'zi
丙射线,bing'she'xian
布氏杆菌,bu'shi'gan'jun
超压动压,chao'ya'dong'ya
持久性毒剂,chi'jiu'xing'du'ji
迟滞性化学袭击,chi'zhi'xing'hua'xue'xi'ji
冲击波,chong'ji'bo
冲击波超压,chong'ji'bo'chao'ya
冲击波动压,chong'ji'bo'dong'ya
冲击伤,chong'ji'shang
冲击压力,chong'ji'ya'li
刺激性毒剂,ci'ji'xing'du'ji
催泪性毒剂,cui'lei'xing'du'ji
带菌,dai'jun
带菌昆虫,dai'jun'kun'chong
敌辐射袭击企图,di'fu'she'xi'ji'qi'tu
敌化学袭击,di'hua'xue'xi'ji
地面染毒,di'mian'ran'du
地面照射率衰变规律,di'mian'zhao'she'lv'shuai'bian'gui'lv
电磁脉冲,dian'ci'mai'chong
毒害剂量,du'hai'ji'liang
毒剂,du'ji
毒剂持久度,du'ji'chi'jiu'du
毒剂扩散,du'ji'kuo'san
毒剂扩散界,du'ji'kuo'san'jie
毒剂袭击,du'ji'xi'ji
毒剂性质,du'ji'xing'zhi
毒剂液滴持久度,du'ji'ye'di'chi'jiu'du
毒区,du'qu
毒区边界,du'qu'bian'jie
毒伤,du'shang
毒伤急救,du'shang'ji'jiu
毒袭区,du'xi'qu
毒烟施放器材,du'yan'shi'fang'qi'cai
二元化学武器,er'yuan'hua'xue'wu'qi
发病,fa'bing
防毒口罩,fang'du'kou'zhao
防毒面具,fang'du'mian'ju
防毒手套,fang'du'shou'tao
防毒通道,fang'du'tong'dao
防毒掩蔽部,fang'du'yan'bi'bu
防毒衣,fang'du'yi
防护,fang'hu
防护层,fang'hu'ceng
防护措施,fang'hu'cuo'shi
防护服,fang'hu'fu
防护工事,fang'hu'gong'shi
防护器材,fang'hu'qi'cai
防护行动,fang'hu'xing'dong
防护有效期,fang'hu'you'xiao'qi
防护作用,fang'hu'zuo'yong
防化,fang'hua
防化器材,fang'hua'qi'cai
防化设备,fang'hua'she'bei
防化设施,fang'hua'she'shi
防化学,fang'hua'xue
防化装备器材,fang'hua'zhuang'bei'qi'cai
放射病,fang'she'bing
放射性,fang'she'xing
放射性落下灰,fang'she'xing'luo'xia'hui
放射性强度,fang'she'xing'qiang'du
放射性物质,fang'she'xing'wu'zhi
放射性烟云,fang'she'xing'yan'yun
放射性沾染,fang'she'xing'zhan'ran
防细菌,fang'xi'jun
防原子,fang'yuan'zi
飞机布撒器,fei'ji'bu'sa'qi
复合伤,fu'he'shang
辐射级,fu'she'ji
辐射杀伤破坏因素,fu'she'sha'shang'po'huai'yin'su
辐射侦察,fu'she'zhen'cha
感生放射性,gan'sheng'fang'she'xing
感应放射性,gan'ying'fang'she'xing
高速,gao'su
高温,gao'wen
高压气浪,gao'ya'qi'lang
隔绝式,ge'jue'shi
