阿伯丁,a'bo'ding
阿伯里斯特威斯城,a'bo'li'si'te'wei'si'cheng
阿布蓝特斯,a'bu'lan'te'si
阿布罗斯,a'bu'luo'si
阿德拉诺,a'de'la'nuo
阿德莱德蓝鹰,a'de'lai'de'lan'ying
阿德莱德联,a'de'lai'de'lian
阿德米拉勇敢者,a'de'mi'la'yong'gan'zhe
阿迪达,a'di'da
阿迪达斯梦之队,a'di'da'si'meng'zhi'dui
阿迪杰,a'di'jie
阿尔阿拉比,a'er'a'la'bi
阿尔阿拉比阿联酋,a'er'a'la'bi'a'lian'qiu
阿尔巴隆戈,a'er'ba'long'ge
阿尔巴切特,a'er'ba'qie'te
阿尔比,a'er'bi
阿尔比诺勒菲,a'er'bi'nuo'le'fei
阿尔多斯沃,a'er'duo'si'wo
阿尔法鲁,a'er'fa'lu
阿尔弗里顿城,a'er'fu'li'dun'cheng
阿尔海罗,a'er'hai'luo
阿尔卡里奇,a'er'ka'li'qi
阿尔科拉,a'er'ke'la
阿尔科亚诺,a'er'ke'ya'nuo
阿尔利雅德,a'er'li'ya'de
阿尔马格罗,a'er'ma'ge'luo
阿尔梅里亚,a'er'mei'li'ya
阿尔切夫斯克,a'er'qie'fu'si'ke
阿尔斯特,a'er'si'te
阿尔塔利阿阿曼,a'er'ta'li'a'a'man
阿尔泰得阿联酋,a'er'tai'de'a'lian'qiu
阿尔特林汉姆,a'er'te'lin'han'mu
阿尔特伊,a'er'te'yi
阿尔托纳,a'er'tuo'na
阿尔维斯竞技,a'er'wei'si'jing'ji
阿尔扎凯纳,a'er'zha'kai'na
阿法足球协会,a'fa'zu'qiu'xie'hui
阿富汗联队,a'fu'han'lian'dui
阿富汗足球俱乐部,a'fu'han'zu'qiu'ju'le'bu
阿格德,a'ge'de
阿戈里亚尼斯,a'ge'li'ya'ni'si
阿根廷防卫者,a'gen'ting'fang'wei'zhe
阿根廷联赛,a'gen'ting'lian'sai
阿根廷青年人,a'gen'ting'qing'nian'ren
阿古兰尼,a'gu'lan'ni
阿古路,a'gu'lu
阿吉拉斯,a'ji'la'si
阿积士,a'ji'shi
阿贾克斯,a'jia'ke'si
阿卡德卡竞技,a'ka'de'ka'jing'ji
阿卡德米斯克,a'ka'de'mi'si'ke
阿卡普尔科,a'ka'pu'er'ke
阿克灵顿斯坦利,a'ke'ling'dun'si'tan'li
阿拉德,a'la'de
阿拉贡尼斯,a'la'gong'ni'si
阿拉维斯竞技,a'la'wei'si'jing'ji
阿莱桑德里亚,a'lai'sang'de'li'ya
阿朗素,a'lang'su
阿劳,a'lao
阿勒塔姆拉,a'le'ta'mu'la
阿雷佐,a'lei'zuo
阿利坎特,a'li'kan'te
阿历斯,a'li'si
阿里斯,a'li'si
阿伦,a'lun
阿马城,a'ma'cheng
阿玛多拉竞技,a'ma'duo'la'jing'ji
阿迈厄,a'mai'e
阿迈厄弗尔马德,a'mai'e'fu'er'ma'de
阿曼泛嘉,a'man'fan'jia
阿密达尔,a'mi'da'er
阿穆里奥,a'mu'li'ao
阿帕尔顿,a'pa'er'dun
阿奇雷亚莱,a'qi'lei'ya'lai
阿萨斯体育,a'sa'si'ti'yu
阿瑟拉那,a'se'la'na
阿森纳,a'sen'na
阿森纳阿根廷,a'sen'na'a'gen'ting
阿森纳卡基夫,a'sen'na'ka'ji'fu
阿沙芬堡,a'sha'fen'bao
阿什顿联,a'shen'dun'lian
阿士东维拉,a'shi'dong'wei'la
阿什哈巴德阿苏达利,a'shi'ha'ba'de'a'su'da'li
阿什哈巴德科佩达,a'shi'ha'ba'de'ke'pei'da
阿什哈巴德足球俱乐部,a'shi'ha'ba'de'zu'qiu'ju'le'bu
阿斯顿维拉,a'si'dun'wei'la
阿斯科利,a'si'ke'li
阿斯科特,a'si'ke'te
阿斯特埃斯,a'si'te'ai'si
阿斯特拉,a'si'te'la
阿斯特拉斯艾沃斯莫,a'si'te'la'si'ai'wo'si'mo
阿斯特里亚,a'si'te'li'ya
阿瓦尼卡,a'wa'ni'ka
阿维,a'wei
阿韦利诺,a'wei'li'nuo
阿维斯竞技,a'wei'si'jing'ji
阿韦扎诺,a'wei'zha'nuo
阿西卡特纳,a'xi'ka'te'na
阿仙奴,a'xian'nu
阿雅克修,a'ya'ke'xiu
艾邦拉荷,ai'bang'la'he
艾保尔,ai'bao'er
艾比奧尔,ai'bi'ao'er
艾比度,ai'bi'du
艾比路亚,ai'bi'lu'ya
埃波里塔纳,ai'bo'li'ta'na
埃伯斯瓦尔德,ai'bo'si'wa'er'de
艾迪拜约,ai'di'bai'yue
艾迪索特城,ai'di'suo'te'cheng
艾杜亚度,ai'du'ya'du
艾恩德霍芬,ai'en'de'huo'fen
艾恩德灵,ai'en'de'ling
艾尔布斯,ai'er'bu'si
艾尔德里联,ai'er'de'li'lian
埃尔登,ai'er'deng
埃尔福特,ai'er'fu'te
艾尔格博格,ai'er'ge'bo'ge
埃尔金城,ai'er'jin'cheng
爱尔兰联赛,ai'er'lan'lian'sai
艾尔联,ai'er'lian
艾尔茂联合,ai'er'mao'lian'he
艾尔帕索,ai'er'pa'suo
艾尔切,ai'er'qie
艾尔塔赫,ai'er'ta'he
埃弗顿,ai'fu'dun
艾夫华,ai'fu'hua
艾夫斯伯格,ai'fu'si'bo'ge
艾格,ai'ge
埃格尼奥,ai'ge'ni'ao
艾格特利斯,ai'ge'te'li'si
艾禾斯堡,ai'he'si'bao
爱华顿,ai'hua'dun
艾积多,ai'ji'duo
艾喀斯特,ai'ka'si'te
埃科迪米亚,ai'ke'di'mi'ya
艾克马亚,ai'ke'ma'ya
埃克塞特城,ai'ke'sai'te'cheng
埃克塞西奥,ai'ke'sai'xi'ao
埃拉泽,ai'la'ze
艾兰奴,ai'lan'nu
埃朗内,ai'lang'nei
艾历臣,ai'li'chen
艾洛亚竞技,ai'luo'ya'jing'ji
艾马臣,ai'ma'chen
艾美臣,ai'mei'chen
艾美利亚,ai'mei'li'ya
埃门丁根,ai'men'ding'gen
埃蒙,ai'meng
艾蒙尼亚,ai'meng'ni'ya
艾默当踢球者,ai'mo'dang'ti'qiu'zhe
埃姆斯德特恩,ai'mu'si'de'te'en
埃皮纳勒,ai'pi'na'le
埃森,ai'sen
艾沙云,ai'sha'yun
埃施波恩,ai'shi'bo'en
艾殊利高尔,ai'shu'li'gao'er
埃斯比约,ai'si'bi'yue
爱斯宾奴,ai'si'bin'nu
艾思莫茨,ai'si'mo'ci
埃斯皮纽,ai'si'pi'niu
艾斯特,ai'si'te
埃斯特雷马杜拉,ai'si'te'lei'ma'du'la
埃斯特里亚新星,ai'si'te'li'ya'xin'xing
埃斯托里尔,ai'si'tuo'li'er
艾索拉利里,ai'suo'la'li'li
艾特得,ai'te'de
艾特莱,ai'te'lai
艾辛,ai'xin
埃因霍温,ai'yin'huo'wen
艾治拿斯,ai'zhi'na'si
安察洛堤,an'cha'luo'di
安达臣,an'da'chen
安德莱赫特队,an'de'lai'he'te'dui
安德里亚,an'de'li'ya
安格里,an'ge'li
安古路,an'gu'lu
安卡拉,an'ka'la
安卡拉竞技,an'ka'la'jing'ji
安卡什体育,an'ka'shi'ti'yu
安卡坦贝尔森吉塔,an'ka'tan'bei'er'sen'ji'ta
安科纳,an'ke'na
安历卡,an'li'ka
安齐奥拉瓦诺,an'qi'ao'la'wa'nuo
安塔利亚,an'ta'li'ya
安特卫普,an'te'wei'pu
昂热,ang're
奥伯尔纽兰德,ao'bo'er'niu'lan'de
奥波莱,ao'bo'lai
澳大利亚联赛,ao'da'li'ya'lian'sai
澳大利亚体育学会,ao'da'li'ya'ti'yu'xue'hui
奥德格林兰,ao'de'ge'lin'lan
奥德拉乌兹斯拉沃,ao'de'la'wu'zi'si'la'wo
奥德纳尔德,ao'de'na'er'de
奥地利肯顿,ao'di'li'ken'dun
奥地利联赛,ao'di'li'lian'sai
奥地利鲁斯特瑙,ao'di'li'lu'si'te'nao
奥地利维也纳,ao'di'li'wei'ye'na
奥迪韦拉什,ao'di'wei'la'shen
奧度,ao'du
奥尔巴萨诺安全,ao'er'ba'sa'nuo'an'quan
奥尔堡,ao'er'bao
奥尔比亚,ao'er'bi'ya
奥尔德汉姆,ao'er'de'han'mu
奥尔丁,ao'er'ding
奥尔杜,ao'er'du
奥尔格纳特,ao'er'ge'na'te
奥芬巴赫,ao'fen'ba'he
奥格莱特,ao'ge'lai'te
奥胡斯,ao'hu'si
奥胡斯体育,ao'hu'si'ti'yu
奥科蒂卡纳福托维科,ao'ke'di'ka'na'fu'tuo'wei'ke
奥克基拉,ao'ke'ji'la
奥莱科萨德里亚,ao'lai'ke'sa'de'li'ya
奥兰多阿贾克斯,ao'lan'duo'a'jia'ke'si
奥勒尼,ao'le'ni
奥勒松,ao'le'song
奧利古亚,ao'li'gu'ya
奥利维拉,ao'li'wei'la
奥里韦拉,ao'li'wei'la
