八舍,ba'she
百脑汇,bai'nao'hui
北京街,bei'jing'jie
北门,bei'men
采矿馆,cai'kuang'guan
材料与冶金学院,cai'liao'yu'ye'jin'xue'yuan
材冶,cai'ye
出国,chu'guo
大活,da'huo
大西门,da'xi'men
顶好快餐,ding'hao'kuai'can
动车组,dong'che'zu
东大医院,dong'da'yi'yuan
东门,dong'men
东荣宾馆,dong'rong'bin'guan
东软,dong'ruan
东软电脑城,dong'ruan'dian'nao'cheng
东软集团,dong'ruan'ji'tuan
东软实习,dong'ruan'shi'xi
东软医疗,dong'ruan'yi'liao
二舍东,er'she'dong
二舍篮球场,er'she'lan'qiu'chang
二舍食堂,er'she'shi'tang
二舍西,er'she'xi
风味餐厅,feng'wei'can'ting
工管,gong'guan
工商管理学院,gong'shang'guan'li'xue'yuan
管理馆,guan'li'guan
国际合作与交流处,guo'ji'he'zuo'yu'jiao'liu'chu
汉卿会堂,han'qing'hui'tang
好口味,hao'kou'wei
何世礼教学馆,he'shi'li'jiao'xue'guan
化学馆,hua'xue'guan
黄金学院,huang'jin'xue'yuan
回民餐厅,hui'min'can'ting
基础学院,ji'chu'xue'yuan
机电馆,ji'dian'guan
计算机等级考试,ji'suan'ji'deng'ji'kao'shi
计算中心,ji'suan'zhong'xin
机械,ji'xie
机械工程及其自动化学院,ji'xie'gong'cheng'ji'qi'zi'dong'hua'xue'yuan
机械学院,ji'xie'xue'yuan
继续教育学院,ji'xu'jiao'yu'xue'yuan
家乐福,jia'le'fu
家属区,jia'shu'qu
建筑馆,jian'zhu'guan
教务处,jiao'wu'chu
九舍,jiu'she
九舍食堂,jiu'she'shi'tang
考研,kao'yan
科学馆,ke'xue'guan
理学院,li'xue'yuan
理院,li'yuan
刘长春体育馆,liu'chang'chun'ti'yu'guan
六舍,liu'she
留学生公寓,liu'xue'sheng'gong'yu
南门,nan'men
南门出版社书店,nan'men'chu'ban'she'shu'dian
南站,nan'zhan
培训餐厅,pei'xun'can'ting
品味快餐,pin'wei'kuai'can
七舍,qi'she
软件,ruan'jian
软件学院,ruan'jian'xue'yuan
赛千味,sai'qian'wei
赛千味永和豆浆,sai'qian'wei'yong'he'dou'jiang
三好街,san'hao'jie
三人行书店,san'ren'xing'shu'dian
三舍西区,san'she'xi'qu
邵逸夫教学馆,shao'yi'fu'jiao'xue'guan
社体,she'ti
社团联合会,she'tuan'lian'he'hui
沈阳北站,shen'yang'bei'zhan
沈阳站,shen'yang'zhan
生物医学工程,sheng'wu'yi'xue'gong'cheng
四舍,si'she
桃仙机场,tao'xian'ji'chang
体育部,ti'yu'bu
体育场,ti'yu'chang
体育馆,ti'yu'guan
图书馆,tu'shu'guan
托福,tuo'fu
托业,tuo'ye
外国语学院,wai'guo'yu'xue'yuan
外事处,wai'shi'chu
外语,wai'yu
外语学院,wai'yu'xue'yuan
文法,wen'fa
文法学院,wen'fa'xue'yuan
文化路,wen'hua'lu
文化路立交桥,wen'hua'lu'li'jiao'qiao
文体西路,wen'ti'xi'lu
五舍,wu'she
五五体育场,wu'wu'ti'yu'chang
校部,xiao'bu
小西门,xiao'xi'men
信息,xin'xi
信息科学与工程学院,xin'xi'ke'xue'yu'gong'cheng'xue'yuan
信息学馆,xin'xi'xue'guan
信息学院,xin'xi'xue'yuan
学生城食堂,xue'sheng'cheng'shi'tang
学生处,xue'sheng'chu
学生会,xue'sheng'hui
学生浴池,xue'sheng'yu'chi
雅思,ya'si
研究生会,yan'jiu'sheng'hui
研究生院,yan'jiu'sheng'yuan
冶金馆,ye'jin'guan
易购,yi'gou
一舍东,yi'she'dong
一舍篮球场,yi'she'lan'qiu'chang
一舍食堂,yi'she'shi'tang
一舍西,yi'she'xi
艺术,yi'shu
艺术学院,yi'shu'xue'yuan
音乐学院,yin'yue'xue'yuan
永和豆浆,yong'he'dou'jiang
张学良,zhang'xue'liang
中国工商银行,zhong'guo'gong'shang'yin'hang
中国建设银行,zhong'guo'jian'she'yin'hang
中荷,zhong'he
中荷生物医学与信息工程学院,zhong'he'sheng'wu'yi'xue'yu'xin'xi'gong'cheng'xue'yuan
中荷生医,zhong'he'sheng'yi
中心花园,zhong'xin'hua'yuan
中心食堂,zhong'xin'shi'tang
主楼,zhu'lou
主楼广场,zhu'lou'guang'chang
自动化,zi'dong'hua
资土,zi'tu
资土学院,zi'tu'xue'yuan
资源与土木工程学院,zi'yuan'yu'tu'mu'gong'cheng'xue'yuan
