哀公问政,ai'gong'wen'zheng
爱其所亲,ai'qi'suo'qin
闇然而日章,an'ran'er'ri'zhang
百辟其刑之,bai'pi'qi'xing'zhi
白刃可蹈也,bai'ren'ke'dao'ye
百世以俟圣人而不惑,bai'shi'yi'si'sheng'ren'er'bu'huo
半涂而废,ban'tu'er'fei
保佑命之,bao'you'ming'zhi
宝藏兴焉,bao'zang'xing'yan
北方之强也,bei'fang'zhi'qiang'ye
北方之强与,bei'fang'zhi'qiang'yu
本诸身,ben'zhu'shen
必得其禄,bi'de'qi'lu
必得其名,bi'de'qi'ming
必得其寿,bi'de'qi'shou
必因其材而笃焉,bi'yin'qi'cai'er'du'yan
必有妖孽,bi'you'yao'nie
必有祯祥,bi'you'zhen'xiang
变则化,bian'ze'hua
辨之弗明,bian'zhi'fu'ming
博厚配地,bo'hou'pei'di
博厚所以载物也,bo'hou'suo'yi'zai'wu'ye
博厚则高明,bo'hou'ze'gao'ming
博学之,bo'xue'zhi
博也,bo'ye
不报无道,bu'bao'wu'dao
不变塞焉,bu'bian'sai'yan
不诚乎身矣,bu'cheng'hu'shen'yi
不诚无物,bu'cheng'wu'wu
不大声以色,bu'da'sheng'yi'se
不动而变,bu'dong'er'bian
不敢不勉,bu'gan'bu'mian
不敢尽,bu'gan'jin
不敢作礼乐焉,bu'gan'zuo'li'yue'yan
不获乎上矣,bu'huo'hu'shang'yi
不考文,bu'kao'wen
不可度思,bu'ke'du'si
不可须臾离也,bu'ke'xu'yu'li'ye
不可以不事亲,bu'ke'yi'bu'shi'qin
不可以不知人,bu'ke'yi'bu'zhi'ren
不可以不知天,bu'ke'yi'bu'zhi'tian
不可以为道,bu'ke'yi'wei'dao
不明乎善,bu'ming'hu'shan
不怒而民威于鈇钺,bu'nu'er'min'wei'yu'fu'yue
不善必先知之,bu'shan'bi'xian'zhi'zhi
不顺乎亲,bu'shun'hu'qin
不顺乎亲矣,bu'shun'hu'qin'yi
不思而得,bu'si'er'de
不息则久,bu'xi'ze'jiu
不显惟德,bu'xian'wei'de
不肖者不及也,bu'xiao'zhe'bu'ji'ye
不信乎朋友,bu'xin'hu'peng'you
不信乎朋友矣,bu'xin'hu'peng'you'yi
不信民弗从,bu'xin'min'fu'cong
不言而信,bu'yan'er'xin
不议礼,bu'yi'li
不豫则废,bu'yu'ze'fei
不愿乎其外,bu'yuan'hu'qi'wai
布在方策,bu'zai'fang'ce
不制度,bu'zhi'du
不尊不信,bu'zun'bu'xin
草木生之,cao'mu'sheng'zhi
察乎天地,cha'hu'tian'di
朝聘以时,chao'pin'yi'shi
陈其宗器,chen'qi'zong'qi
成己仁也,cheng'ji'ren'ye
诚身有道,cheng'shen'you'dao
成物知也,cheng'wu'zhi'ye
诚则明矣,cheng'ze'ming'yi
诚则形,cheng'ze'xing
诚者,cheng'zhe
诚者不勉而中,cheng'zhe'bu'mian'er'zhong
诚者非自成己而已也,cheng'zhe'fei'zi'cheng'ji'er'yi'ye
诚者物之终始,cheng'zhe'wu'zhi'zhong'shi
诚者自成也,cheng'zhe'zi'cheng'ye
诚之不可掩如此夫,cheng'zhi'bu'ke'yan'ru'ci'fu
诚之者,cheng'zhi'zhe
春秋修其祖庙,chun'qiu'xiu'qi'zu'miao
纯亦不已,chun'yi'bu'yi
此天地之这所以为大也,ci'tian'di'zhi'zhe'suo'yi'wei'da'ye
从容中道,cong'rong'zhong'dao
大德敦化,da'de'dun'hua
达乎大夫,da'hu'dai'fu
达乎天子,da'hu'tian'zi
达乎诸侯大夫,da'hu'zhu'hou'dai'fu
大哉,da'zai
待其人然后行,dai'qi'ren'ran'hou'xing
淡而面不厌,dan'er'mian'bu'yan
道并行而不相悖,dao'bing'xing'er'bu'xiang'bei
道不远人,dao'bu'yuan'ren
道其不行矣夫,dao'qi'bu'xing'yi'fu
道前定则不穷,dao'qian'ding'ze'bu'qiong
道也者,dao'ye'zhe
道之不明也,dao'zhi'bu'ming'ye
道之不行也,dao'zhi'bu'xing'ye
的然而日亡,de'ran'er'ri'wang
德为圣人,de'wei'sheng'ren
得一善,de'yi'shan
德輶如毛,de'you'ru'mao
禘尝之义,di'chang'zhi'yi
