包摄一罪,bao'she'yi'zui
本来的一罪,ben'lai'de'yi'zui
本刑,ben'xing
并合论罪,bing'he'lun'zui
并科主义并罚原则,bing'ke'zhu'yi'bing'fa'yuan'ze
剥夺政治权利,bo'duo'zheng'zhi'quan'li
剥夺自由刑,bo'duo'zi'you'xing
不可罚的事后行为,bu'ke'fa'de'shi'hou'xing'wei
不可罚的事前行为,bu'ke'fa'de'shi'qian'xing'wei
财产刑,cai'chan'xing
裁定情节,cai'ding'qing'jie
裁量情节,cai'liang'qing'jie
裁判的一罪,cai'pan'de'yi'zui
残刑,can'xing
长期徒刑,chang'qi'tu'xing
长期自由刑,chang'qi'zi'you'xing
常习累犯,chang'xi'lei'fan
重行为吸害轻行为,chong'xing'wei'xi'hai'qing'xing'wei
初犯,chu'fan
从轻,cong'qing
从刑,cong'xing
从刑并科,cong'xing'bing'ke
从一重处断,cong'yi'chong'chu'duan
从重,cong'zhong
大赦,da'she
大赦令,da'she'ling
大赦权,da'she'quan
单一罪,dan'yi'zui
定罪,ding'zui
短期徒刑,duan'qi'tu'xing
短期自由刑,duan'qi'zi'you'xing
法定从轻,fa'ding'cong'qing
法定从重,fa'ding'cong'zhong
法定加重,fa'ding'jia'zhong
法定减轻,fa'ding'jian'qing
法定绝对从轻,fa'ding'jue'dui'cong'qing
法定绝对从重,fa'ding'jue'dui'cong'zhong
法定绝对减轻,fa'ding'jue'dui'jian'qing
法定免处,fa'ding'mian'chu
法定情节,fa'ding'qing'jie
法定特别从轻,fa'ding'te'bie'cong'qing
法定特别从重,fa'ding'te'bie'cong'zhong
法定特别加重,fa'ding'te'bie'jia'zhong
法定特别减轻,fa'ding'te'bie'jian'qing
法定特别免除,fa'ding'te'bie'mian'chu
法定相对从轻,fa'ding'xiang'dui'cong'qing
法定相对从重,fa'ding'xiang'dui'cong'zhong
法定相对减轻,fa'ding'xiang'dui'jian'qing
法定刑期,fa'ding'xing'qi
法定一般从轻,fa'ding'yi'ban'cong'qing
法定一般从重,fa'ding'yi'ban'cong'zhong
法定一般加重,fa'ding'yi'ban'jia'zhong
法定一般减轻,fa'ding'yi'ban'jian'qing
法定一般免除,fa'ding'yi'ban'mian'chu
罚金刑,fa'jin'xing
法律后果,fa'lv'hou'guo
法律制裁,fa'lv'zhi'cai
法条竞合,fa'tiao'jing'he
反革命累犯,fan'ge'ming'lei'fan
犯罪情节,fan'zui'qing'jie
犯罪性质,fan'zui'xing'zhi
放逐,fang'zhu
非刑罚方法,fei'xing'fa'fang'fa
分期缴纳,fen'qi'jiao'na
附加刑,fu'jia'xing
附条件赦免主义,fu'tiao'jian'she'mian'zhu'yi
附条件宣告主义,fu'tiao'jian'xuan'gao'zhu'yi
附条件执行主义,fu'tiao'jian'zhi'xing'zhu'yi
