阿巴耶卡罗笈多,a'ba'ye'ka'luo'ji'duo
阿鼻,a'bi
阿鼻地狱,a'bi'di'yu
阿比罗提,a'bi'luo'ti
阿鞞跋致,a'bing'ba'zhi
阿波陀那,a'bo'tuo'na
阿部肇一,a'bu'zhao'yi
阿阐底迦,a'chan'di'jia
阿达婆吠陀,a'da'po'fei'tuo
阿地瞿多,a'di'qu'duo
阿地瞿多译师,a'di'qu'duo'yi'shi
阿底峡,a'di'xia
阿底峡尊者,a'di'xia'zun'zhe
阿颠底迦,a'dian'di'jia
阿闍世王,a'du'shi'wang
阿浮陀达磨,a'fu'tuo'da'mo
阿革卑跋致,a'ge'bei'ba'zhi
阿格旺波尊者,a'ge'wang'bo'zun'zhe
阿贡喇嘛,a'gong'la'ma
阿果洛桑强巴饶杰,a'guo'luo'sang'qiang'ba'rao'jie
阿果南喀森格,a'guo'nan'ka'sen'ge
阿含,a'han
阿含部,a'han'bu
阿含经,a'han'jing
阿含时,a'han'shi
阿吽,a'hong
阿迦答沙都,a'jia'da'sha'dou
阿嘉罗桑嘉央嘉措,a'jia'luo'sang'jia'yang'jia'cuo
阿迦曼,a'jia'man
阿伽色,a'jia'se
阿伽陀,a'jia'tuo
阿伽陀药,a'jia'tuo'yao
阿姜查,a'jiang'cha
阿姜达摩答罗,a'jiang'da'mo'da'luo
阿姜摩诃布瓦,a'jiang'mo'he'bu'wa
阿姜念,a'jiang'nian
阿姜朱连,a'jiang'zhu'lian
阿津达,a'jin'da
阿克巴,a'ke'ba
阿拉汉,a'la'han
阿拉善延寿寺,a'la'shan'yan'shou'si
阿赖耶,a'lai'ye
阿赖耶识,a'lai'ye'shi
阿赖耶缘起,a'lai'ye'yuan'qi
阿兰若,a'lan're
阿兰若处,a'lan're'chu
阿兰若行,a'lan're'xing
阿利路亚,a'li'lu'ya
阿利耶,a'li'ye
阿离耶,a'li'ye
阿离耶跋摩,a'li'ye'ba'mo
阿梨耶识,a'li'ye'shi
阿卢那,a'lu'na
阿罗汉,a'luo'han
阿罗汉果位,a'luo'han'guo'wei
阿罗逻迦兰,a'luo'luo'jia'lan
阿罗毗国,a'luo'pi'guo
阿莽班智达贡却坚赞,a'mang'ban'zhi'da'gong'que'jian'zan
阿秘特尊者,a'mi'te'zun'zhe
阿弥陀,a'mi'tuo
阿弥陀忏法,a'mi'tuo'chan'fa
阿弥陀发哦,a'mi'tuo'fa'o
阿弥驼佛纯,a'mi'tuo'fo'chun
阿弥陀经,a'mi'tuo'jing
阿弥陀净土变,a'mi'tuo'jing'tu'bian
阿弥陀三尊,a'mi'tuo'san'zun
阿摩勒树,a'mo'le'shu
阿摩罗梵语辞典,a'mo'luo'fan'yu'ci'dian
阿摩落迦塔,a'mo'luo'jia'ta
阿摩罗婆提,a'mo'luo'po'ti
阿摩罗普罗派,a'mo'luo'pu'luo'pai
阿摩罗识,a'mo'luo'shi
阿那含,a'na'han
阿那含果,a'na'han'guo
阿那含向,a'na'han'xiang
阿那律,a'na'lv
阿那摩低,a'na'mo'di
阿难,a'nan
阿难达,a'nan'da
阿南科,a'nan'ke
阿难陀,a'nan'tuo
阿难陀寺,a'nan'tuo'si
阿难尊者结集三藏,a'nan'zun'zhe'jie'ji'san'zang
阿难尊者说是,a'nan'zun'zhe'shuo'shi
阿尼哥,a'ni'ge
阿耨达池,a'nou'da'chi
阿耨达龙王,a'nou'da'long'wang
阿耨多罗三藐三菩提,a'nou'duo'luo'san'miao'san'pu'ti
阿耨菩提,a'nou'pu'ti
阿奴波村,a'nu'bo'cun
阿奴卢塔,a'nu'lu'ta
阿奴律陀,a'nu'lv'tuo
阿槃提,a'pan'ti
阿毗达摩,a'pi'da'mo
阿毗达磨,a'pi'da'mo
阿毗达磨大乘经,a'pi'da'mo'da'cheng'jing
阿毗达磨灯论,a'pi'da'mo'deng'lun
阿毗昙八犍度论,a'pi'tan'ba'jian'du'lun
阿毗昙毗婆沙论,a'pi'tan'pi'po'sha'lun
阿毗昙心论,a'pi'tan'xin'lun
阿菩黎阿黎,a'pu'li'a'li
阿耆多翅舍钦婆罗,a'qi'duo'chi'she'qin'po'luo
