阿贝尔,a'bei'er
阿基米德,a'ji'mi'de
爱因斯坦,ai'yin'si'tan
巴比伦,ba'bi'lun
八边形,ba'bian'xing
八进记数法,ba'jin'ji'shu'fa
八面体,ba'mian'ti
百分比,bai'fen'bi
百分号,bai'fen'hao
百分数,bai'fen'shu
摆线,bai'xian
半闭,ban'bi
半闭区间,ban'bi'qu'jian
半角公式,ban'jiao'gong'shi
半径,ban'jing
半开,ban'kai
半开半闭区间,ban'kai'ban'bi'qu'jian
半球面,ban'qiu'mian
板书设计,ban'shu'she'ji
半圆,ban'yuan
半圆周,ban'yuan'zhou
半轴,ban'zhou
半轴长,ban'zhou'chang
半周期,ban'zhou'qi
蚌线,bang'xian
包含,bao'han
包含关系,bao'han'guan'xi
被除数,bei'chu'shu
被积函数,bei'ji'han'shu
被减数,bei'jian'shu
倍角公式,bei'jiao'gong'shi
被开方数,bei'kai'fang'shu
倍立方,bei'li'fang
悖论,bei'lun
倍数,bei'shu
备择假设,bei'ze'jia'she
毕达哥拉斯,bi'da'ge'la'si
毕达哥拉斯定理,bi'da'ge'la'si'ding'li
比较,bi'jiao
比较法,bi'jiao'fa
逼近,bi'jin
逼近函数,bi'jin'han'shu
比例,bi'li
比例尺,bi'li'chi
比例抽样,bi'li'chou'yang
比例第三项,bi'li'di'san'xiang
比例分量,bi'li'fen'liang
比例内项,bi'li'nei'xiang
比例外项,bi'li'wai'xiang
比例系数,bi'li'xi'shu
比例线段,bi'li'xian'duan
比例中项,bi'li'zhong'xiang
闭区间,bi'qu'jian
必然事件,bi'ran'shi'jian
必然性,bi'ran'xing
必修,bi'xiu
必要,bi'yao
必要不充分条件,bi'yao'bu'chong'fen'tiao'jian
必要充分统计量,bi'yao'chong'fen'tong'ji'liang
必要条件,bi'yao'tiao'jian
边边边,bian'bian'bian
变分法,bian'fen'fa
边角边,bian'jiao'bian
边界,bian'jie
边界点,bian'jie'dian
边界值,bian'jie'zhi
变量,bian'liang
变数,bian'shu
变形,bian'xing
标准差,biao'zhun'cha
标准方程,biao'zhun'fang'cheng
标准化,biao'zhun'hua
标准正态分布,biao'zhun'zheng'tai'fen'bu
并号,bing'hao
并集,bing'ji
饼图,bing'tu
并运算,bing'yun'suan
伯努利分布,bo'nu'li'fen'bu
泊松,bo'song
博奕论,bo'yi'lun
步长,bu'chang
不等边三角形,bu'deng'bian'san'jiao'xing
不等号,bu'deng'hao
不等式,bu'deng'shi
不定,bu'ding
不定方程,bu'ding'fang'cheng
不定积分,bu'ding'ji'fen
不动点,bu'dong'dian
不动点定理,bu'dong'dian'ding'li
不动点问题,bu'dong'dian'wen'ti
布尔代数,bu'er'dai'shu
不放回,bu'fang'hui
不规则三角形,bu'gui'ze'san'jiao'xing
不规则四边形,bu'gui'ze'si'bian'xing
补集,bu'ji
补角,bu'jiao
布朗运动,bu'lang'yun'dong
不能除尽,bu'neng'chu'jin
不能通约,bu'neng'tong'yue
不属于,bu'shu'yu
不完全归纳法,bu'wan'quan'gui'na'fa
不相交,bu'xiang'jiao
猜想,cai'xiang
残差,can'cha
残差和,can'cha'he
残差平方和,can'cha'ping'fang'he
残差图,can'cha'tu
参数,can'shu
参数表示,can'shu'biao'shi
参数方程,can'shu'fang'cheng
参数检验,can'shu'jian'yan
草图,cao'tu
测度,ce'du
侧面,ce'mian
侧面积,ce'mian'ji
侧视图,ce'shi'tu
差分,cha'fen
差集,cha'ji
插空法,cha'kong'fa
差运算,cha'yun'suan
插值,cha'zhi
长半轴,chang'ban'zhou
长度,chang'du
长度单位,chang'du'dan'wei
长方体,chang'fang'ti
长方形,chang'fang'xing
常量,chang'liang
常数,chang'shu
常数项,chang'shu'xiang
常系数,chang'xi'shu
常项,chang'xiang
常用对数,chang'yong'dui'shu
常用对数的底,chang'yong'dui'shu'de'di
长轴,chang'zhou
超代数,chao'dai'shu
超几何分布,chao'ji'he'fen'bu
超越数,chao'yue'shu
陈省身,chen'xing'shen
乘法,cheng'fa
乘法交换律,cheng'fa'jiao'huan'lv
乘法结合律,cheng'fa'jie'he'lv
乘法原理,cheng'fa'yuan'li
乘方,cheng'fang
乘号,cheng'hao
乘积,cheng'ji
乘数,cheng'shu
赤道半径,chi'dao'ban'jing
尺规作图,chi'gui'zuo'tu
充分不必要条件,chong'fen'bu'bi'yao'tiao'jian
充分条件,chong'fen'tiao'jian
充分性,chong'fen'xing
重复,chong'fu
重复排列,chong'fu'pai'lie
重合,chong'he
重排,chong'pai
充要条件,chong'yao'tiao'jian
抽奖,chou'jiang
抽象,chou'xiang
抽象代数,chou'xiang'dai'shu
抽象函数,chou'xiang'han'shu
抽样,chou'yang
抽样调查,chou'yang'diao'cha
抽样法,chou'yang'fa
初步,chu'bu
初等变换,chu'deng'bian'huan
初等函数,chu'deng'han'shu
初等几何,chu'deng'ji'he
除法,chu'fa
出生率,chu'sheng'lv
初始化,chu'shi'hua
初始解,chu'shi'jie
初始位置,chu'shi'wei'zhi
除数,chu'shu
初速度,chu'su'du
初相,chu'xiang
传递性,chuan'di'xing
垂面,chui'mian
垂线,chui'xian
垂线段,chui'xian'duan
垂心,chui'xin
垂直,chui'zhi
垂直平分线,chui'zhi'ping'fen'xian
垂足,chui'zu
纯虚数,chun'xu'shu
纯循环小数,chun'xun'huan'xiao'shu
次数,ci'shu
存在,cun'zai
存在定理,cun'zai'ding'li
存在量词,cun'zai'liang'ci
存在证明,cun'zai'zheng'ming
错位相减求和法,cuo'wei'xiang'jian'qiu'he'fa
达布,da'bu
大括号,da'kuo'hao
达朗贝尔,da'lang'bei'er
大数定律,da'shu'ding'lv
大于,da'yu
大于等于,da'yu'deng'yu
大于或等于,da'yu'huo'deng'yu
大圆,da'yuan
戴德金,dai'de'jin
待定系数法,dai'ding'xi'shu'fa
带分数,dai'fen'shu
代码,dai'ma
代入,dai'ru
代数,dai'shu
代数数,dai'shu'shu
代数与几何,dai'shu'yu'ji'he
代数运算,dai'shu'yun'suan
单摆,dan'bai
单调递减,dan'diao'di'jian
单调递减函数,dan'diao'di'jian'han'shu
单调递减区间,dan'diao'di'jian'qu'jian
单调递增,dan'diao'di'zeng
单调递增函数,dan'diao'di'zeng'han'shu
单调递增区间,dan'diao'di'zeng'qu'jian
单调函数,dan'diao'han'shu
单调性,dan'diao'xing
单位,dan'wei
单位表示,dan'wei'biao'shi
单位长度,dan'wei'chang'du
单位矩阵,dan'wei'ju'zhen
单位向量,dan'wei'xiang'liang
单位圆,dan'wei'yuan
单项式,dan'xiang'shi
当且仅当,dang'qie'jin'dang
导出,dao'chu
导函数,dao'han'shu
倒数,dao'shu
导数,dao'shu
倒序相加求和法,dao'xu'xiang'jia'qiu'he'fa
等比数列,deng'bi'shu'lie
等比数列的公比,deng'bi'shu'lie'de'gong'bi
等边三角形,deng'bian'san'jiao'xing
等差数列,deng'cha'shu'lie
等差数列的公差,deng'cha'shu'lie'de'gong'cha
等高条形图,deng'gao'tiao'xing'tu
等高线,deng'gao'xian
等号,deng'hao
等价,deng'jia
等价关系,deng'jia'guan'xi
等价于,deng'jia'yu
等距,deng'ju
等距抽样,deng'ju'chou'yang
等式,deng'shi
等温线,deng'wen'xian
等腰三角形,deng'yao'san'jiao'xing
等腰梯形,deng'yao'ti'xing
等腰直角三角形,deng'yao'zhi'jiao'san'jiao'xing
等于,deng'yu
等轴双曲线,deng'zhou'shuang'qu'xian
等周问题,deng'zhou'wen'ti
第二分量,di'er'fen'liang
第二象限,di'er'xiang'xian
第二象限角,di'er'xiang'xian'jiao
递归,di'gui
递归关系,di'gui'guan'xi
递减,di'jian
递减函数,di'jian'han'shu
递减区间,di'jian'qu'jian
底角,di'jiao
笛卡尔,di'ka'er
笛卡尔坐标系,di'ka'er'zuo'biao'xi
狄利克雷,di'li'ke'lei
底面,di'mian
棣莫弗公式,di'mo'fu'gong'shi
第三象限,di'san'xiang'xian
第三象限角,di'san'xiang'xian'jiao
底数,di'shu
第四比例项,di'si'bi'li'xiang
第四象限,di'si'xiang'xian
第四象限角,di'si'xiang'xian'jiao
递推公式,di'tui'gong'shi
递推关系,di'tui'guan'xi
第五公设,di'wu'gong'she
第一象限,di'yi'xiang'xian
第一象限角,di'yi'xiang'xian'jiao
递增,di'zeng
递增函数,di'zeng'han'shu
递增区间,di'zeng'qu'jian
点集,dian'ji
迭代,die'dai
定比分点,ding'bi'fen'dian
顶点,ding'dian
定点,ding'dian
定积分,ding'ji'fen
顶角,ding'jiao
定理,ding'li
定量,ding'liang
定量分析,ding'liang'fen'xi
定位问题,ding'wei'wen'ti
定向,ding'xiang
定性分析,ding'xing'fen'xi
定义,ding'yi
定义域,ding'yi'yu
定值,ding'zhi
动态角,dong'tai'jiao
独立,du'li
独立重复试验,du'li'chong'fu'shi'yan
独立检验,du'li'jian'yan
独立事件,du'li'shi'jian
独立试验,du'li'shi'yan
独立性,du'li'xing
独立性检验,du'li'xing'jian'yan
度量,du'liang
短除法,duan'chu'fa
断点,duan'dian
端点,duan'dian
短轴,duan'zhou
对边,dui'bian
对称,dui'chen
对称变换,dui'chen'bian'huan
对称点,dui'chen'dian
对称关系,dui'chen'guan'xi
对称性,dui'chen'xing
对称中心,dui'chen'zhong'xin
对称轴,dui'chen'zhou
对顶角,dui'ding'jiao
对换,dui'huan
对角,dui'jiao
对角化,dui'jiao'hua
对角矩阵,dui'jiao'ju'zhen
对角线,dui'jiao'xian
对立事件,dui'li'shi'jian
对数,dui'shu
对数表,dui'shu'biao
对数导数,dui'shu'dao'shu
对数方程,dui'shu'fang'cheng
对数函数,dui'shu'han'shu
对应点,dui'ying'dian
对应法则,dui'ying'fa'ze
对应关系,dui'ying'guan'xi
钝角,dun'jiao
钝角三角形,dun'jiao'san'jiao'xing
多边形,duo'bian'xing
多面体,duo'mian'ti
多维空间,duo'wei'kong'jian
多项式,duo'xiang'shi
多项式系数,duo'xiang'shi'xi'shu
多元函数,duo'yuan'han'shu
多值性,duo'zhi'xing
二倍角公式,er'bei'jiao'gong'shi
二次方程,er'ci'fang'cheng
二次方根,er'ci'fang'gen
二次根式,er'ci'gen'shi
二次函数,er'ci'han'shu
二次曲线,er'ci'qu'xian
二次三项式,er'ci'san'xiang'shi
二次项,er'ci'xiang
二次项系数,er'ci'xiang'xi'shu
二分法,er'fen'fa
二进制,er'jin'zhi
二面角,er'mian'jiao
二面角的平面角,er'mian'jiao'de'ping'mian'jiao
二十面体,er'shi'mian'ti
