阿魏,a'wei
艾蒿,ai'hao
艾片,ai'pian
艾叶,ai'ye
安息香,an'xi'xiang
奥尕,ao'ga
巴豆,ba'dou
巴豆霜,ba'dou'shuang
巴戟天,ba'ji'tian
八角,ba'jiao
八角枫,ba'jiao'feng
八角莲,ba'jiao'lian
八厘麻,ba'li'ma
八月札,ba'yue'zha
白贝齿,bai'bei'chi
白背叶,bai'bei'ye
白扁豆,bai'bian'dou
百部,bai'bu
百草霜,bai'cao'shuang
白丑,bai'chou
白豆蔻,bai'dou'kou
白矾,bai'fan
白茯苓,bai'fu'ling
白附子,bai'fu'zi
白果,bai'guo
百合,bai'he
白河车,bai'he'che
白胡椒,bai'hu'jiao
白花蛇,bai'hua'she
白及,bai'ji
白芨,bai'ji
白蒺藜,bai'ji'li
白降,bai'jiang
白僵蚕,bai'jiang'can
败酱草,bai'jiang'cao
白胶木,bai'jiao'mu
白胶香,bai'jiao'xiang
白芥子,bai'jie'zi
白菊花,bai'ju'hua
白蔻,bai'kou
白蔻仁,bai'kou'ren
白雷丸,bai'lei'wan
百里霜,bai'li'shuang
白蔹,bai'lian
百两金,bai'liang'jin
白马骨,bai'ma'gu
白茅根,bai'mao'gen
白茅花,bai'mao'hua
白蜜,bai'mi
白木耳,bai'mu'er
白平子,bai'ping'zi
白前,bai'qian
白茄根,bai'qie'gen
白求,bai'qiu
白屈菜,bai'qu'cai
白商陆,bai'shang'lu
白芍,bai'shao
白参,bai'shen
白石英,bai'shi'ying
白首乌,bai'shou'wu
白苏,bai'su
白头翁,bai'tou'weng
白头须,bai'tou'xu
白兔根,bai'tu'gen
白微,bai'wei
白鲜皮,bai'xian'pi
百芯草,bai'xin'cao
百药煎,bai'yao'jian
白药子,bai'yao'zi
白英,bai'ying
白芷,bai'zhi
白术,bai'zhu
柏子仁,bai'zi'ren
半边莲,ban'bian'lian
半边旗,ban'bian'qi
半枫荷,ban'feng'he
板兰根,ban'lan'gen
板栗壳,ban'li'ke
斑蟊,ban'mao
半天雷,ban'tian'lei
半夏,ban'xia
半夏曲,ban'xia'qu
斑蛰,ban'zhe
半枝莲,ban'zhi'lian
蚌花,bang'hua
豹骨,bao'gu
北柴胡,bei'chai'hu
贝齿,bei'chi
北豆根,bei'dou'gen
贝母,bei'mu
贝母花,bei'mu'hua
北沙参,bei'sha'shen
北玄参,bei'xuan'shen
北野菊,bei'ye'ju
贝子,bei'zi
荜拔,bi'ba
壁虎,bi'hu
蓖麻子,bi'ma'zi
荸荠,bi'qi
扁豆,bian'dou
