变通血府逐瘀汤,bian'tong'xue'fu'zhu'yu'tang
补益肺气方,bu'yi'fei'qi'fang
当归贝母苦参丸,dang'gui'bei'mu'ku'shen'wan
地黄二至丸,di'huang'er'zhi'wan
定经汤,ding'jing'tang
葛老经验方,ge'lao'jing'yan'fang
化肝消癥汤加减,hua'gan'xiao'zheng'tang'jia'jian
化痰散结方,hua'tan'san'jie'fang
黄芪赤风汤加减,huang'qi'chi'feng'tang'jia'jian
活解合剂,huo'jie'he'ji
加减龙胆泻肝汤,jia'jian'long'dan'xie'gan'tang
加味补中益气汤,jia'wei'bu'zhong'yi'qi'tang
加味没竭汤加减,jia'wei'mei'jie'tang'jia'jian
加味香砂六君子汤,jia'wei'xiang'sha'liu'jun'zi'tang
健脾化湿方,jian'pi'hua'shi'fang
健脾丸,jian'pi'wan
六味地黄,liu'wei'di'huang
牡蛎汤,mu'li'tang
木贼贯众煎加减,mu'zei'guan'zhong'jian'jia'jian
宁咽汤,ning'yan'tang
平肝汤,ping'gan'tang
清化饮,qing'hua'yin
清热理气抗癌方,qing're'li'qi'kang'ai'fang
三叉神经痛方,san'cha'shen'jing'tong'fang
三圣饮子,san'sheng'yin'zi
苏黄止咳汤,su'huang'zhi'ke'tang
温经通督汤,wen'jing'tong'du'tang
香砂二陈汤,xiang'sha'er'chen'tang
消痹号方,xiao'bi'hao'fang
消肿通利汤,xiao'zhong'tong'li'tang
异功散,yi'gong'san
乙癸并荣汤加减,yi'gui'bing'rong'tang'jia'jian
益气养血止血方,yi'qi'yang'xue'zhi'xue'fang
益胃汤,yi'wei'tang
薏苡附子败醬散加味,yi'yi'fu'zi'bai'jiang'san'jia'wei
银翘散加生地丹皮赤芍麦冬方,yin'qiao'san'jia'sheng'di'dan'pi'chi'shao'mai'dong'fang
引血归经汤,yin'xue'gui'jing'tang
镇肝熄风汤,zhen'gan'xi'feng'tang
枳术汤,zhi'shu'tang
侄子根汤加减,zhi'zi'gen'tang'jia'jian
