艾夫斯,ai'fu'si
爱见你,ai'jian'ni
安达圣,an'da'sheng
安妮娜,an'ni'na
安宇花苑,an'yu'hua'yuan
安泽,an'ze
安泽县,an'ze'xian
奥美拉唑胶囊,ao'mei'la'zuo'jiao'nang
熬米汤,ao'mi'tang
拔丝红薯,ba'si'hong'shu
八一宾馆,ba'yi'bin'guan
八一公园,ba'yi'gong'yuan
白龙矿,bai'long'kuang
白沙滩,bai'sha'tan
百思富,bai'si'fu
柏仙多格,bai'xian'duo'ge
北固楼,bei'gu'lou
北门外,bei'men'wai
北平,bei'ping
北西庄,bei'xi'zhuang
北孝,bei'xiao
碧云轩,bi'yun'xuan
扁担巷,bian'dan'xiang
别胡跑,bie'hu'pao
滨河路,bin'he'lu
滨河湾,bin'he'wan
滨河西路,bin'he'xi'lu
宾站路,bin'zhan'lu
冰河路,bing'he'lu
饼丝,bing'si
兵站路,bing'zhan'lu
博浩源,bo'hao'yuan
泊庄,bo'zhuang
不爱见,bu'ai'jian
不爱见你,bu'ai'jian'ni
不多去,bu'duo'qu
不多上,bu'duo'shang
不够数,bu'gou'shu
不撇了,bu'pie'le
步森,bu'sen
不停点,bu'ting'dian
布同,bu'tong
不在临汾,bu'zai'lin'fen
不值顾,bu'zhi'gu
财神楼,cai'shen'lou
藏机诗,cang'ji'shi
曹村,cao'cun
曹家庄,cao'jia'zhuang
操心点,cao'xin'dian
柴村,chai'cun
炒饼丝,chao'bing'si
炒馍花,chao'mo'hua
车站街,che'zhan'jie
陈郭,chen'guo
陈氏大虾,chen'shi'da'xia
程村,cheng'cun
呈王路,cheng'wang'lu
吃饼子,chi'bing'zi
吃的啥呢,chi'de'sha'ne
吃饭啦么,chi'fan'la'me
吃饭恰,chi'fan'qia
吃饭着呢,chi'fan'zhe'ne
吃啦么,chi'la'me
吃涮锅,chi'shuan'guo
吃席,chi'xi
池野,chi'ye
冲鸡蛋,chong'ji'dan
丑女子,chou'nv'zi
褚村,chu'cun
串串叔叔,chuan'chuan'shu'shu
瓷壶,ci'hu
从临汾,cong'lin'fen
从太原,cong'tai'yuan
村里了,cun'li'le
村里吗,cun'li'ma
村里呢,cun'li'ne
大邓,da'deng
大槐树镇,da'huai'shu'zhen
大临汾,da'lin'fen
大南庄,da'nan'zhuang
大宁县,da'ning'xian
大暖,da'nuan
打死你吧,da'si'ni'ba
大宿舍,da'su'she
大文大理,da'wen'da'li
大阳镇,da'yang'zhen
大运路,da'yun'lu
大众路,da'zhong'lu
到多会,dao'duo'hui
到多会了,dao'duo'hui'le
到洪洞,dao'hong'tong
到侯马,dao'hou'ma
到霍州,dao'huo'zhou
到几点了,dao'ji'dian'le
到临汾,dao'lin'fen
到临汾了,dao'lin'fen'le
到明天了,dao'ming'tian'le
到山西,dao'shan'xi
到一会了,dao'yi'hui'le
等你这,deng'ni'zhe
等你着呢,deng'ni'zhe'ne
等我这,deng'wo'zhe
邓庄,deng'zhuang
邓庄镇,deng'zhuang'zhen
堤村,di'cun
东关小学,dong'guan'xiao'xue
东岳庙,dong'yue'miao
豆腐菜,dou'fu'cai
都买下了,dou'mai'xia'le
都找不下,dou'zhao'bu'xia
杜村,du'cun
段店,duan'dian
段店乡,duan'dian'xiang
对凑,dui'cou
对症治疗,dui'zheng'zhi'liao
多会,duo'hui
多会啊,duo'hui'a
多会出来,duo'hui'chu'lai
多回到,duo'hui'dao
多会的事,duo'hui'de'shi
多会都行,duo'hui'dou'xing
多会发货,duo'hui'fa'huo
多会放假,duo'hui'fang'jia
多会回家,duo'hui'hui'jia
多会回来,duo'hui'hui'lai
多会回来啊,duo'hui'hui'lai'a
多会回来的,duo'hui'hui'lai'de
多会回来呢,duo'hui'hui'lai'ne
多会回去,duo'hui'hui'qu
多会回去的,duo'hui'hui'qu'de
多会结婚,duo'hui'jie'hun
多会开学,duo'hui'kai'xue
多会考,duo'hui'kao
多会来,duo'hui'lai
多回来呢,duo'hui'lai'ne
多会了,duo'hui'le
多会买,duo'hui'mai
多会呢,duo'hui'ne
多会能,duo'hui'neng
多会去,duo'hui'qu
多回去的,duo'hui'qu'de
多回去呢,duo'hui'qu'ne
多会上班,duo'hui'shang'ban
多会睡,duo'hui'shui
多会睡觉,duo'hui'shui'jiao
多会说的,duo'hui'shuo'de
多会下来,duo'hui'xia'lai
多会呀,duo'hui'ya
多会要,duo'hui'yao
多会有,duo'hui'you
多会有时间,duo'hui'you'shi'jian
多会走,duo'hui'zou
多会走呢,duo'hui'zou'ne
多种维生素糖丸,duo'zhong'wei'sheng'su'tang'wan
二女,er'nv
儿删,er'shan
二校,er'xiao
二中路,er'zhong'lu
发再盛,fa'zai'sheng
防风通圣丸水丸,fang'feng'tong'sheng'wan'shui'wan
放星期,fang'xing'qi
汾城,fen'cheng
汾城镇,fen'cheng'zhen
汾东,fen'dong
汾河,fen'he
汾河公园,fen'he'gong'yuan
汾西,fen'xi
汾西县,fen'xi'xian
汾阳王,fen'yang'wang
凤城村,feng'cheng'cun
佛爷山,fo'ye'shan
妇科千金片,fu'ke'qian'jin'pian
福利巷,fu'li'xiang
福润达,fu'run'da
浮山,fu'shan
浮山的,fu'shan'de
浮山县,fu'shan'xian
富士龙,fu'shi'long
肤阴洁洗液,fu'yin'jie'xi'ye
干河,gan'he
干嘛里呢,gan'ma'li'ne
干嘛着呢,gan'ma'zhe'ne
干啥了呢,gan'sha'le'ne
干啥里呢,gan'sha'li'ne
干什么着呢,gan'shen'me'zhe'ne
甘亭,gan'ting
甘亭镇,gan'ting'zhen
岗楼,gang'lou
刚买下,gang'mai'xia
高村,gao'cun
高河店,gao'he'dian
高河桥,gao'he'qiao
高显站,gao'xian'zhan
高显镇,gao'xian'zhen
给头,gei'tou
贡院,gong'yuan
贡院东街,gong'yuan'dong'jie
贡院街,gong'yuan'jie
狗舌头,gou'she'tou
古城公园,gu'cheng'gong'yuan
古城镇,gu'cheng'zhen
鼓楼北,gu'lou'bei
鼓楼东大街,gu'lou'dong'da'jie
鼓楼广场,gu'lou'guang'chang
鼓楼南,gu'lou'nan
鼓楼西,gu'lou'xi
古县,gu'xian
古县的,gu'xian'de
管头,guan'tou
管头镇,guan'tou'zhen
关王庙,guan'wang'miao
胱胺酸片,guang'an'suan'pian
光华镇,guang'hua'zhen
广胜寺,guang'sheng'si
广宣街,guang'xuan'jie
郭村,guo'cun
郭家庄,guo'jia'zhuang
还不一样啊,hai'bu'yi'yang'a
还多里,hai'duo'li
还没找下,hai'mei'zhao'xia
害怕里,hai'pa'li
还小里,hai'xiao'li
还在临汾,hai'zai'lin'fen
还在太原,hai'zai'tai'yuan
还早里,hai'zao'li
韩国城,han'guo'cheng
韩家庄,han'jia'zhuang
憨女子,han'nv'zi
好伦哥,hao'lun'ge
好熄火,hao'xi'huo
浩野,hao'ye
和川,he'chuan
河底,he'di
和杜威与,he'du'wei'yu
合欢街,he'huan'jie
贺家庄,he'jia'zhuang
河津,he'jin
和捞面,he'lao'mian
喝米汤,he'mi'tang
和谁在家,he'shei'zai'jia
和谁呢,he'shui'ne
喝药了么,he'yao'le'me
