爱伦坡,ai'lun'po
艾山,ai'shan
安静村,an'jing'cun
安居小区,an'ju'xiao'qu
安通驾校,an'tong'jia'xiao
安子林,an'zi'lin
奥尔诺家居,ao'er'nuo'jia'ju
澳尔诺家居,ao'er'nuo'jia'ju
奥林匹克花园,ao'lin'pi'ke'hua'yuan
澳龙商贸,ao'long'shang'mao
澳龙鞋帽城,ao'long'xie'mao'cheng
八厂家属院,ba'chang'jia'shu'yuan
八湖,ba'hu
八块石,ba'kuai'shi
八里屯居委,ba'li'tun'ju'wei
百货二店,bai'huo'er'dian
百货五店,bai'huo'wu'dian
白沙埠交管处,bai'sha'bu'jiao'guan'chu
白沙埠商场,bai'sha'bu'shang'chang
百易家装饰城,bai'yi'jia'zhuang'shi'cheng
白云服装城,bai'yun'fu'zhuang'cheng
板材市场,ban'cai'shi'chang
宝达无缝钢钢管,bao'da'wu'feng'gang'gang'guan
宝泉寺,bao'quan'si
保险公司,bao'xian'gong'si
北城车站,bei'cheng'che'zhan
北城换乘中心,bei'cheng'huan'cheng'zhong'xin
北城客运换乘中心,bei'cheng'ke'yun'huan'cheng'zhong'xin
北城客运站,bei'cheng'ke'yun'zhan
北城新立方,bei'cheng'xin'li'fang
北大桥,bei'da'qiao
北道,bei'dao
北坊,bei'fang
北官庄,bei'guan'zhuang
北屠苏,bei'tu'su
北行,bei'xing
北砚台岭,bei'yan'tai'ling
北园花卉,bei'yuan'hua'hui
北园花苑,bei'yuan'hua'yuan
北园路,bei'yuan'lu
北园小区,bei'yuan'xiao'qu
本沂,ben'yi
滨河国际,bin'he'guo'ji
滨河新天地,bin'he'xin'tian'di
财产保险公司,cai'chan'bao'xian'gong'si
曹王庄,cao'wang'zhuang
册山,ce'shan
茶业市场,cha'ye'shi'chang
拆车站,chai'che'zhan
柴河,chai'he
长城驾校,chang'cheng'jia'xiao
长途车站,chang'tu'che'zhan
长途汽车站,chang'tu'qi'che'zhan
长途汽车站东门,chang'tu'qi'che'zhan'dong'men
长途汽车站西门,chang'tu'qi'che'zhan'xi'men
长途汽车总站北门,chang'tu'qi'che'zong'zhan'bei'men
常庄村委,chang'zhuang'cun'wei
常庄信用社,chang'zhuang'xin'yong'she
车管所,che'guan'suo
车站派出所,che'zhan'pai'chu'suo
陈家沟,chen'jia'gou
陈围子,chen'wei'zi
陈围子路口,chen'wei'zi'lu'kou
诚德,cheng'de
诚德清华俊景,cheng'de'qing'hua'jun'jing
城后,cheng'hou
城建时代庄园,cheng'jian'shi'dai'zhuang'yuan
城市主人,cheng'shi'zhu'ren
程庄,cheng'zhuang
城子,cheng'zi
船流,chuan'liu
大程子河,da'cheng'zi'he
大葛庄,da'ge'zhuang
大官庄,da'guan'zhuang
大恒丰机电,da'heng'feng'ji'dian
大恒丰机械,da'heng'feng'ji'xie
大里庄,da'li'zhuang
大岭,da'ling
大岭派出所,da'ling'pai'chu'suo
大陆商业村,da'lu'shang'ye'cun
大太平,da'tai'ping
大学城景泰宾馆,da'xue'cheng'jing'tai'bin'guan
大姚家村,da'yao'jia'cun
大义堂,da'yi'tang
大张家五湖,da'zhang'jia'wu'hu
大芝房村委,da'zhi'fang'cun'wei
大朱夏,da'zhu'xia
大朱夏村,da'zhu'xia'cun
代庄路口,dai'zhuang'lu'kou
代庄中心街,dai'zhuang'zhong'xin'jie
德盛世华庭,de'sheng'shi'hua'ting
第三人民医院,di'san'ren'min'yi'yuan
第四人民医院,di'si'ren'min'yi'yuan
电厂,dian'chang
电厂家属院,dian'chang'jia'shu'yuan
电缆厂,dian'lan'chang
电力技校,dian'li'ji'xiao
电视塔,dian'shi'ta
电业局,dian'ye'ju
店子煤矿,dian'zi'mei'kuang
鼎峰,ding'feng
东部铜业,dong'bu'tong'ye
东掸,dong'dan
东掸庄里,dong'dan'zhuang'li
东都超市,dong'du'chao'shi
东方不夜城,dong'fang'bu'ye'cheng
东方购物广场,dong'fang'gou'wu'guang'chang
东方购物中心,dong'fang'gou'wu'zhong'xin
东方购物中心解放路店,dong'fang'gou'wu'zhong'xin'jie'fang'lu'dian
东方红广场,dong'fang'hong'guang'chang
东方花苑,dong'fang'hua'yuan
