矮子步,ai'zi'bu
八人班戏,ba'ren'ban'xi
八小出玩艺儿,ba'xiao'chu'wan'yi'er
八掌,ba'zhang
八字翻莣,ba'zi'fan'wang
八字片花,ba'zi'pian'hua
八字腕,ba'zi'wan
白口,bai'kou
摆腰,bai'yao
半班戏,ban'ban'xi
板鼓,ban'gu
板腔体,ban'qiang'ti
板式,ban'shi
伴奏形式,ban'zou'xing'shi
棒棒戏,bang'bang'xi
棒打蹦,bang'da'beng
帮腔,bang'qiang
抱板,bao'ban
抱手转,bao'shou'zhuan
背膀转,bei'bang'zhuan
背段子,bei'duan'zi
背曲,bei'qu
悲调,bei'tiao
蹦蹦,beng'beng
蹦蹦戏,beng'beng'xi
崩口,beng'kou
遍地流板,bian'di'liu'ban
编筐,bian'kuang
边曲,bian'qu
鞭子,bian'zi
别步,bie'bu
不搭调,bu'da'diao
不扑弦,bu'pu'xian
采棒,cai'bang
彩唱,cai'chang
采灯,cai'deng
彩娃子,cai'wa'zi
彩桌子,cai'zhuo'zi
镲锅,cha'guo
插花盖顶,cha'hua'gai'ding
插科打诨,cha'ke'da'hun
颤步,chan'bu
铲地,chan'di
缠头裹脑,chan'tou'guo'nao
缠头扭,chan'tou'niu
缠线,chan'xian
缠袖,chan'xiu
缠腰扭,chan'yao'niu
长短句,chang'duan'ju
唱功戏,chang'gong'xi
场框,chang'kuang
唱棱子,chang'leng'zi
唱说扮舞,chang'shuo'ban'wu
唱说扮舞绝,chang'shuo'ban'wu'jue
撤板,che'ban
撤步,che'bu
抻袄袖,chen'ao'xiu
抻板,chen'ban
成口,cheng'kou
吃栗子,chi'li'zi
丑帽,chou'mao
出手活,chu'shou'huo
串口,chuan'kou
春典,chun'dian
春歌戏,chun'ge'xi
茨儿山,ci'er'shan
篡口,cuan'kou
翠口,cui'kou
村口,cun'kou
错步,cuo'bu
大板,da'ban
大板落子,da'ban'lao'zi
打边墙,da'bian'qiang
打脖子戏,da'bo'zi'xi
打插,da'cha
大道沿唱手,da'dao'yan'chang'shou
大道沿的玩艺儿,da'dao'yan'de'wan'yi'er
大佛调,da'fo'tiao
大姑娘摘桃,da'gu'niang'zhai'tao
大鼓四平调,da'gu'si'ping'diao
大救驾,da'jiu'jia
打绢,da'juan
大口落子,da'kou'lao'zi
大锣,da'luo
大四套,da'si'tao
打通,da'tong
大雁展翅,da'yan'zhan'chi
打枣,da'zao
单插花,dan'cha'hua
单出头,dan'chu'tou
单顶扭,dan'ding'niu
倒抛扇,dao'pao'shan
刀切菜,dao'qie'cai
倒推磨,dao'tui'mo
踮步,dian'bu
叼绢,diao'juan
叠着唱,die'zhe'chang
顶绢,ding'juan
定口,ding'kou
顶碰玉子,ding'peng'yu'zi
定相,ding'xiang
顶腰,ding'yao
东北地方戏,dong'bei'di'fang'xi
东北曲种,dong'bei'qu'zhong
东方斯卡拉,dong'fang'si'ka'la
冬夏常青唱手,dong'xia'chang'qing'chang'shou
抖肩,dou'jian
抖扇,dou'shan
抖腕,dou'wan
端扇,duan'shan
对翻身,dui'fan'shen
对口,dui'kou
对口唱,dui'kou'chang
对口咬,dui'kou'yao
对菱花,dui'ling'hua
顿板,dun'ban
垛板,duo'ban
跺步,duo'bu
垛句,duo'ju
垛口大鼓,duo'kou'da'gu
二二板,er'er'ban
二人转,er'ren'zhuan
二四板,er'si'ban
翻码,fan'ma
翻腕,fan'wan
反西凉,fan'xi'liang
放风筝,fang'feng'zheng
纺线,fang'xian
分包赶角,fen'bao'gan'jiao
粉段子,fen'duan'zi
粉口,fen'kou
辅调,fu'tiao
盖扇,gai'shan
高粱红唱手,gao'liang'hong'chang'shou
疙瘩口,ge'da'kou
歌舞小戏,ge'wu'xiao'xi
跟半截,gen'ban'jie
拱肩,gong'jian
勾口,gou'kou
刮旋风,gua'xuan'feng
光棍曲,guang'gun'qu
滚地包,gun'di'bao
滚口,gun'kou
滚扇,gun'shan
过板,guo'ban
过顶绢,guo'ding'juan
过门,guo'men
喊落,han'luo
河北梆子,he'bei'bang'zi
合唱,he'chang
和弦,he'xian
黑板,hei'ban
黑虎出山,hei'hu'chu'shan
横摆柳,heng'bai'liu
横拉扇,heng'la'shan
横抛玉子,heng'pao'yu'zi
红板,hong'ban
红柳子,hong'liu'zi
后翻扇,hou'fan'shan
后抛绢,hou'pao'juan
后碰玉子,hou'peng'yu'zi
后绕花,hou'rao'hua
后甩花,hou'shuai'hua
后踢步,hou'ti'bu
胡胡腔,hu'hu'qiang
花梆步,hua'bang'bu
化出化入,hua'chu'hua'ru
划大圈,hua'da'quan
花棍,hua'gun
花口,hua'kou
晃肩,huang'jian
晃腰,huang'yao
回旋绢,hui'xuan'juan
荤口,hun'kou
浑门,hun'men
家门口唱手,jia'men'kou'chang'shou
