爱的供养,ai'de'gong'yang
安利,an'li
八嘎,ba'ga
巴拉拉小魔仙,ba'la'la'xiao'mo'xian
板子,ban'zi
抱大腿,bao'da'tui
报复社会,bao'fu'she'hui
北斗神拳,bei'dou'shen'quan
北方,bei'fang
哔了狗了,bi'le'gou'le
哔哩哔哩,bi'li'bi'li
比利海灵顿,bi'li'hai'ling'dun
比利王,bi'li'wang
逼傻是都的读着倒,bi'sha'shi'dou'de'du'zhe'dao
鼻血,bi'xue
博丽灵梦,bo'li'ling'meng
补刀,bu'dao
补番,bu'fan
不忍直视,bu'ren'zhi'shi
不作死就不会死,bu'zuo'si'jiu'bu'hui'si
残念,can'nian
查水表,cha'shui'biao
长门,chang'men
嘲讽,chao'feng
城之内悠二,cheng'zhi'nei'you'er
吃吃吃,chi'chi'chi
触手,chu'shou
初音未来,chu'yin'wei'lai
吹雪,chui'xue
大触,da'chu
大法好,da'fa'hao
大攻,da'gong
大丈夫萌大奶,da'zhang'fu'meng'da'nai
弹幕,dan'mu
岛风,dao'feng
盗图,dao'tu
德国骨科,de'guo'gu'ke
德玛西亚,de'ma'xi'ya
电波,dian'bo
顶上去,ding'shang'qu
东条希,dong'tiao'xi
都督,du'du
嘟嘟噜,du'du'lu
肥皂,fei'zao
扶她,fu'ta
感觉不会再爱了,gan'jue'bu'hui'zai'ai'le
高坂穗乃果,gao'ban'sui'nai'guo
搞基,gao'ji
更新姬,geng'xin'ji
狗逼,gou'bi
挂逼,gua'bi
乖乖站好,guai'guai'zhan'hao
关西腔,guan'xi'qiang
海未,hai'wei
海爷,hai'ye
好多孩子看到了根本把持不住,hao'duo'hai'zi'kan'dao'le'gen'ben'ba'chi'bu'zhu
黑又硬,hei'you'ying
后宫,hou'gong
后入,hou'ru
画面太美我不敢看,hua'mian'tai'mei'wo'bu'gan'kan
黄金五舅,huang'jin'wu'jiu
基佬,ji'lao
舰娘,jian'niang
舰娘大法好,jian'niang'da'fa'hao
节操,jie'cao
节操子,jie'cao'zi
戒律之心做得还不够好啊,jie'lv'zhi'xin'zuo'de'hai'bu'gou'hao'a
金刚,jin'gang
金馆长,jin'guan'zhang
金坷垃,jin'ke'la
警察叔叔就是这个人,jing'cha'shu'shu'jiu'shi'zhe'ge'ren
焗染烫,ju'ran'tang
巨乳,ju'ru
开门查水表,kai'men'cha'shui'biao
看看看,kan'kan'kan
可爱的男孩子,ke'ai'de'nan'hai'zi
氪金,ke'jin
口含大屌,kou'han'da'diao
蓝白碗,lan'bai'wan
兰州烧饼,lan'zhou'shao'bing
里番,li'fan
灵梦,ling'meng
漏尿,lou'niao
楼主傻逼,lou'zhu'sha'bi
论外,lun'wai
萝莉,luo'li
洛天依,luo'tian'yi
马建国,ma'jian'guo
买买买,mai'mai'mai
卖萌,mai'meng
漫展,man'zhan
么么哒,me'me'da
么么扎,me'me'zha
萌妹纸,meng'mei'zhi
萌萌哒,meng'meng'da
萌娘百科,meng'niang'bai'ke
迷之娇喘,mi'zhi'jiao'chuan
咩哈哈哈,mie'ha'ha'ha
魔理沙,mo'li'sha
那珂,na'ke
呐呢,na'ne
奈亚子,nai'ya'zi
南琴梨,nan'qin'li
南小鸟,nan'xiao'niao
你的剑就是我的剑,ni'de'jian'jiu'shi'wo'de'jian
妮可妮可妮,ni'ke'ni'ke'ni
你全家都萝莉,ni'quan'jia'dou'luo'li
娘娘腔,niang'niang'qiang
娘炮,niang'pao
暖男,nuan'nan
女装山脉,nv'zhuang'shan'mai
哦吼吼吼,o'hou'hou'hou
哦嚯嚯嚯,o'huo'huo'huo
哦活活活,o'huo'huo'huo
啪啪啪,pa'pa'pa
胖次,pang'ci
贫乳,pin'ru
平胸,ping'xiong
平胸而论,ping'xiong'er'lun
岂可修,qi'ke'xiu
琪露诺,qi'lu'nuo
千本萝莉,qian'ben'luo'li
千本樱,qian'ben'ying
千本幼女,qian'ben'you'nv
去年买了个表,qu'nian'mai'le'ge'biao
蛆娘,qu'niang
然并卵,ran'bing'luan
人头狗,ren'tou'gou
人妖,ren'yao
日了狗了,ri'le'gou'le
肉山大魔王,rou'shan'da'mo'wang
乳不巨何以聚人心,ru'bu'ju'he'yi'ju'ren'xin
赛高,sai'gao
赛钱,sai'qian
三星大法好,san'xing'da'fa'hao
丧心病狂,sang'xin'bing'kuang
沙包,sha'bao
杀马特,sha'ma'te
烧烧烧,shao'shao'shao
烧死异性恋,shao'si'yi'xing'lian
十连抽,shi'lian'chou
食我大屌,shi'wo'da'diao
矢泽妮可,shi'ze'ni'ke
矢泽日香,shi'ze'ri'xiang
鼠绘,shu'hui
数位板,shu'wei'ban
双马尾,shuang'ma'wei
双性恋,shuang'xing'lian
水查子,shui'cha'zi
顺丰快递,shun'feng'kuai'di
斯大林,si'da'lin
死盖,si'gai
碎觉,sui'jue
穗乃果,sui'nai'guo
孙渣,sun'zha
索尼大法好,suo'ni'da'fa'hao
钛合金,tai'he'jin
唐马儒,tang'ma'ru
特技,te'ji
提督,ti'du
条纹,tiao'wen
同性恋,tong'xing'lian
屠龙宝刀,tu'long'bao'dao
图样图森破,tu'yang'tu'sen'po
推到,tui'dao
腿玩年,tui'wan'nian
哇卡卡卡,wa'ka'ka'ka
弯腰,wan'yao
王尼玛,wang'ni'ma
王司徒,wang'si'tu
伪娘,wei'niang
微笑小香香,wei'xiao'xiao'xiang'xiang
文明观球,wen'ming'guan'qiu
我的大刀早已饥渴难耐,wo'de'da'dao'zao'yi'ji'ke'nan'nai
我和我的小伙伴都惊呆了,wo'he'wo'de'xiao'huo'ban'dou'jing'dai'le
