艾玛,ai'ma
操蛋,cao'dan
草泥马,cao'ni'ma
叉烧包,cha'shao'bao
赤司,chi'si
大触,da'chu
耽美,dan'mei
帝韦伯,di'wei'bo
屌爆了,diao'bao'le
碉堡了,diao'bao'le
二黄,er'huang
二缺,er'que
法克,fa'ke
肥皂,fei'zao
果咩,guo'mie
黑花,hei'hua
黑执事,hei'zhi'shi
黑子,hei'zi
黄濑,huang'lai
火影忍者,huo'ying'ren'zhe
基友,ji'you
剑三,jian'san
角虫,jiao'chong
节操余额,jie'cao'yu'e
金闪闪,jin'shan'shan
巨巨,ju'ju
菊苣,ju'ju
卡密,ka'mi
口桀口桀,kou'jie'kou'jie
劳资,lao'zi
李狗蛋,li'gou'dan
妈蛋,ma'dan
麻婆,ma'po
面码,mian'ma
鸣佐,ming'zuo
尼玛,ni'ma
尼玛币,ni'ma'bi
瓶邪,ping'xie
噗哈哈哈哈哈,pu'ha'ha'ha'ha'ha
奇基的时代,qi'ji'de'shi'dai
软妹币,ruan'mei'bi
赛高,sai'gao
塞夏,sai'xia
骚年,sao'nian
王妃,wang'fei
卧槽,wo'cao
夏洛克,xia'luo'ke
小足球,xiao'zu'qiu
性转,xing'zhuan
虚渊玄,xu'yuan'xuan
愉悦,yu'yue
紫原,zi'yuan
紫苑,zi'yuan
佐鸣,zuo'ming
