白石,bai'shi
白石镇,bai'shi'zhen
宝丰,bao'feng
宝丰乡,bao'feng'xiang
宝华,bao'hua
宝华镇,bao'hua'zhen
北斗,bei'dou
北斗彝族乡,bei'dou'yi'zu'xiang
碧溪,bi'xi
碧溪乡,bi'xi'xiang
表村,biao'cun
表村傈僳族乡,biao'cun'li'su'zu'xiang
宾居,bin'ju
宾居镇,bin'ju'zhen
博南,bo'nan
博南镇,bo'nan'zhen
彩风,cai'feng
苍山西,cang'shan'xi
苍山西镇,cang'shan'xi'zhen
草海,cao'hai
草海镇,cao'hai'zhen
漕涧,cao'jian
漕涧镇,cao'jian'zhen
厂街,chang'jie
厂街彝族乡,chang'jie'yi'zu'xiang
长新,chang'xin
长新乡,chang'xin'xiang
茈碧湖,ci'bi'hu
茈碧湖镇,ci'bi'hu'zhen
大仓,da'cang
大仓镇,da'cang'zhen
大理,da'li
大理镇,da'li'zhen
大营,da'ying
大营镇,da'ying'zhen
德苴,de'ju
德苴乡,de'ju'xiang
邓川,deng'chuan
邓川镇,deng'chuan'zhen
甸南,dian'nan
甸南镇,dian'nan'zhen
东山,dong'shan
东山彝族乡,dong'shan'yi'zu'xiang
朵美,duo'mei
朵美乡,duo'mei'xiang
凤仪,feng'yi
凤仪镇,feng'yi'zhen
凤羽,feng'yu
凤羽镇,feng'yu'zhen
富恒,fu'heng
富恒乡,fu'heng'xiang
公郎,gong'lang
公郎镇,gong'lang'zhen
关坪,guan'ping
关坪乡,guan'ping'xiang
果郎,guo'lang
果郎乡,guo'lang'xiang
国营宾居华侨农场,guo'ying'bin'ju'hua'qiao'nong'chang
国营彩风华侨农场,guo'ying'cai'feng'hua'qiao'nong'chang
国营太和华侨农场,guo'ying'tai'he'hua'qiao'nong'chang
海东,hai'dong
海东镇,hai'dong'zhen
禾甸,he'dian
禾甸镇,he'dian'zhen
红旗林业局,hong'qi'lin'ye'ju
红岩,hong'yan
红岩镇,hong'yan'zhen
黄坪,huang'ping
黄坪镇,huang'ping'zhen
鸡街,ji'jie
鸡街乡,ji'jie'xiang
鸡足山,ji'zu'shan
鸡足山镇,ji'zu'shan'zhen
检槽,jian'cao
检槽乡,jian'cao'xiang
金墩,jin'dun
金墩乡,jin'dun'xiang
金华,jin'hua
金华镇,jin'hua'zhen
金牛,jin'niu
金牛镇,jin'niu'zhen
旧州,jiu'zhou
旧州镇,jiu'zhou'zhen
苴力,ju'li
苴力镇,ju'li'zhen
老君山,lao'jun'shan
老君山镇,lao'jun'shan'zhen
乐秋,le'qiu
乐秋乡,le'qiu'xiang
力角,li'jiao
力角镇,li'jiao'zhen
炼铁,lian'tie
炼铁乡,lian'tie'xiang
刘厂,liu'chang
刘厂镇,liu'chang'zhen
龙街,long'jie
龙街镇,long'jie'zhen
龙门,long'men
龙门乡,long'men'xiang
龙潭,long'tan
龙潭乡,long'tan'xiang
六合,lu'he
六合彝族乡,lu'he'yi'zu'xiang
鹿鸣,lu'ming
鹿鸣乡,lu'ming'xiang
马鞍山,ma'an'shan
马鞍山乡,ma'an'shan'xiang
马登,ma'deng
马登镇,ma'deng'zhen
脉地,mai'di
脉地镇,mai'di'zhen
弥城,mi'cheng
弥城镇,mi'cheng'zhen
米甸,mi'dian
米甸镇,mi'dian'zhen
弥沙,mi'sha
弥沙乡,mi'sha'xiang
密祉,mi'zhi
密祉乡,mi'zhi'xiang
庙街,miao'jie
庙街镇,miao'jie'zhen
民建,min'jian
民建乡,min'jian'xiang
南涧,nan'jian
南涧镇,nan'jian'zhen
南诏,nan'zhao
南诏镇,nan'zhao'zhen
牛街,niu'jie
牛街乡,niu'jie'xiang
牛街彝族乡,niu'jie'yi'zu'xiang
平川,ping'chuan
平川镇,ping'chuan'zhen
平坡,ping'po
平坡镇,ping'po'zhen
普棚,pu'peng
普棚镇,pu'peng'zhen
乔甸,qiao'dian
乔甸镇,qiao'dian'zhen
乔后,qiao'hou
乔后镇,qiao'hou'zhen
青华,qing'hua
青华乡,qing'hua'xiang
三营,san'ying
三营镇,san'ying'zhen
沙龙,sha'long
沙龙镇,sha'long'zhen
沙溪,sha'xi
沙溪镇,sha'xi'zhen
杉阳,shan'yang
杉阳镇,shan'yang'zhen
上关,shang'guan
上关镇,shang'guan'zhen
石门,shi'men
石门镇,shi'men'zhen
双涧,shuang'jian
双涧乡,shuang'jian'xiang
双廊,shuang'lang
双廊镇,shuang'lang'zhen
水泄,shui'xie
水泄彝族乡,shui'xie'yi'zu'xiang
顺濞,shun'bi
顺濞乡,shun'bi'xiang
松桂,song'gui
松桂镇,song'gui'zhen
太和,tai'he
太平,tai'ping
太平乡,tai'ping'xiang
太邑,tai'yi
太邑彝族乡,tai'yi'yi'zu'xiang
团结,tuan'jie
团结彝族乡,tuan'jie'yi'zu'xiang
瓦厂,wa'chang
瓦厂乡,wa'chang'xiang
挖色,wa'se
挖色镇,wa'se'zhen
湾桥,wan'qiao
湾桥镇,wan'qiao'zhen
巍宝山,wei'bao'shan
巍宝山乡,wei'bao'shan'xiang
无量,wu'liang
无量乡,wu'liang'xiang
五印,wu'yin
五印乡,wu'yin'xiang
西山,xi'shan
西山乡,xi'shan'xiang
西邑,xi'yi
西邑镇,xi'yi'zhen
喜洲,xi'zhou
喜洲镇,xi'zhou'zhen
下关,xia'guan
下关镇,xia'guan'zhen
下庄,xia'zhuang
下庄镇,xia'zhuang'zhen
祥城,xiang'cheng
祥城镇,xiang'cheng'zhen
象图,xiang'tu
象图乡,xiang'tu'xiang
小湾东,xiao'wan'dong
小湾东镇,xiao'wan'dong'zhen
新街,xin'jie
新街镇,xin'jie'zhen
辛屯,xin'tun
辛屯镇,xin'tun'zhen
羊岑,yang'cen
羊岑乡,yang'cen'xiang
寅街,yin'jie
寅街镇,yin'jie'zhen
银桥,yin'qiao
银桥镇,yin'qiao'zhen
拥翠,yong'cui
拥翠乡,yong'cui'xiang
永和,yong'he
永和彝族乡,yong'he'yi'zu'xiang
永建,yong'jian
永建镇,yong'jian'zhen
右所,you'suo
右所镇,you'suo'zhen
云鹤,yun'he
云鹤镇,yun'he'zhen
云南驿,yun'nan'yi
云南驿镇,yun'nan'yi'zhen
钟,zhong
钟彝族乡,zhong'yi'zu'xiang
钟英,zhong'ying
钟英傈僳族彝族乡,zhong'ying'li'su'zu'yi'zu'xiang
州城,zhou'cheng
州城镇,zhou'cheng'zhen
紫金,zi'jin
紫金乡,zi'jin'xiang
