安宁,an'ning
安宁市,an'ning'shi
白鹤滩,bai'he'tan
保山,bao'shan
保山市,bao'shan'shi
碧鸡,bi'ji
宾川,bin'chuan
宾川县,bin'chuan'xian
沧源,cang'yuan
沧源佤族自治县,cang'yuan'wa'zu'zi'zhi'xian
沧源县,cang'yuan'xian
昌宁,chang'ning
昌宁县,chang'ning'xian
呈贡,cheng'gong
呈贡县,cheng'gong'xian
澄江,cheng'jiang
澄江县,cheng'jiang'xian
楚雄,chu'xiong
楚雄市,chu'xiong'shi
楚雄彝族自治州,chu'xiong'yi'zu'zi'zhi'zhou
楚雄州,chu'xiong'zhou
大朝山,da'chao'shan
大关,da'guan
大关县,da'guan'xian
大理,da'li
大理白族自治州,da'li'bai'zu'zi'zhi'zhou
大理市,da'li'shi
大理州,da'li'zhou
大姚,da'yao
大姚县,da'yao'xian
德宏,de'hong
德宏傣族景颇族自治州,de'hong'dai'zu'jing'po'zu'zi'zhi'zhou
德宏州,de'hong'zhou
德钦,de'qin
德钦县,de'qin'xian
迪庆,di'qing
迪庆藏族自治州,di'qing'zang'zu'zi'zhi'zhou
迪庆州,di'qing'zhou
滇北,dian'bei
滇东,dian'dong
滇东北,dian'dong'bei
滇东南,dian'dong'nan
滇南,dian'nan
滇西,dian'xi
滇西北,dian'xi'bei
滇西南,dian'xi'nan
滇中,dian'zhong
东川,dong'chuan
东川区,dong'chuan'qu
峨山,e'shan
峨山县,e'shan'xian
峨山彝族自治县,e'shan'yi'zu'zi'zhi'xian
洱源,er'yuan
洱源县,er'yuan'xian
凤庆,feng'qing
凤庆县,feng'qing'xian
福贡,fu'gong
福贡县,fu'gong'xian
富民,fu'min
富民县,fu'min'xian
富宁,fu'ning
富宁县,fu'ning'xian
抚仙湖,fu'xian'hu
富源,fu'yuan
富源县,fu'yuan'xian
个旧,ge'jiu
个旧市,ge'jiu'shi
耿马,geng'ma
耿马傣族佤族自治县,geng'ma'dai'zu'wa'zu'zi'zhi'xian
耿马县,geng'ma'xian
贡山,gong'shan
贡山独龙族怒族自治县,gong'shan'du'long'zu'nu'zu'zi'zhi'xian
贡山县,gong'shan'xian
古城,gu'cheng
古城区,gu'cheng'qu
官渡区,guan'du'qu
广南,guang'nan
广南县,guang'nan'xian
河口,he'kou
河口县,he'kou'xian
河口瑶族自治县,he'kou'yao'zu'zi'zhi'xian
鹤庆,he'qing
鹤庆县,he'qing'xian
红河,hong'he
红河哈尼族彝族自治州,hong'he'ha'ni'zu'yi'zu'zi'zhi'zhou
红河县,hong'he'xian
红河州,hong'he'zhou
红塔,hong'ta
红塔区,hong'ta'qu
华宁,hua'ning
华宁县,hua'ning'xian
华坪,hua'ping
华坪县,hua'ping'xian
黄土坡,huang'tu'po
会泽,hui'ze
会泽县,hui'ze'xian
剑川,jian'chuan
剑川县,jian'chuan'xian
建水,jian'shui
建水县,jian'shui'xian
江城,jiang'cheng
江城哈尼族彝族自治县,jiang'cheng'ha'ni'zu'yi'zu'zi'zhi'xian
江城县,jiang'cheng'xian
江川,jiang'chuan
江川县,jiang'chuan'xian
金马,jin'ma
晋宁,jin'ning
晋宁县,jin'ning'xian
金平,jin'ping
金平苗族瑶族傣族自治县,jin'ping'miao'zu'yao'zu'dai'zu'zi'zhi'xian
金平县,jin'ping'xian
金沙江,jin'sha'jiang
景东,jing'dong
景东县,jing'dong'xian
景东彝族自治县,jing'dong'yi'zu'zi'zhi'xian
景谷,jing'gu
景谷傣族彝族自治县,jing'gu'dai'zu'yi'zu'zi'zhi'xian
景谷县,jing'gu'xian
景洪,jing'hong
景洪市,jing'hong'shi
开远,kai'yuan
开远市,kai'yuan'shi
昆明市,kun'ming'shi
拉市海,la'shi'hai
澜沧,lan'cang
澜沧江,lan'cang'jiang
澜沧拉祜族自治县,lan'cang'la'hu'zu'zi'zhi'xian
澜沧县,lan'cang'xian
兰坪,lan'ping
兰坪白族普米族自治县,lan'ping'bai'zu'pu'mi'zu'zi'zhi'xian
兰坪县,lan'ping'xian
丽江,li'jiang
丽江市,li'jiang'shi
梁河,liang'he
梁河县,liang'he'xian
临沧,lin'cang
临沧市,lin'cang'shi
临翔,lin'xiang
临翔区,lin'xiang'qu
陇川,long'chuan
陇川县,long'chuan'xian
龙陵,long'ling
龙陵县,long'ling'xian
隆阳,long'yang
隆阳区,long'yang'qu
鲁布革,lu'bu'ge
鲁甸,lu'dian
鲁甸县,lu'dian'xian
禄丰,lu'feng
禄丰县,lu'feng'xian
陆良,lu'liang
陆良县,lu'liang'xian
禄劝,lu'quan
禄劝县,lu'quan'xian
禄劝彝族苗族自治县,lu'quan'yi'zu'miao'zu'zi'zhi'xian
泸水,lu'shui
泸水县,lu'shui'xian
泸西,lu'xi
潞西,lu'xi
潞西市,lu'xi'shi
泸西县,lu'xi'xian
罗平,luo'ping
罗平县,luo'ping'xian
绿春,lv'chun
绿春县,lv'chun'xian
马关,ma'guan
马关县,ma'guan'xian
麻栗坡,ma'li'po
麻栗坡县,ma'li'po'xian
马龙,ma'long
马龙县,ma'long'xian
漫湾,man'wan
勐海,meng'hai
勐海县,meng'hai'xian
勐腊,meng'la
勐腊县,meng'la'xian
孟连,meng'lian
孟连傣族拉祜族佤族自治县,meng'lian'dai'zu'la'hu'zu'wa'zu'zi'zhi'xian
孟连县,meng'lian'xian
蒙自,meng'zi
蒙自县,meng'zi'xian
弥渡,mi'du
弥渡县,mi'du'xian
弥勒,mi'le
弥勒县,mi'le'xian
墨江,mo'jiang
墨江哈尼族自治县,mo'jiang'ha'ni'zu'zi'zhi'xian
墨江县,mo'jiang'xian
牟定,mou'ding
牟定县,mou'ding'xian
慕连,mu'lian
南华,nan'hua
南华县,nan'hua'xian
南涧,nan'jian
南涧县,nan'jian'xian
南涧彝族自治县,nan'jian'yi'zu'zi'zhi'xian
宁洱,ning'er
宁洱哈尼族彝族自治县,ning'er'ha'ni'zu'yi'zu'zi'zhi'xian
宁洱县,ning'er'xian
宁蒗,ning'lang
宁蒗县,ning'lang'xian
宁蒗彝族自治县,ning'lang'yi'zu'zi'zhi'xian
怒江,nu'jiang
怒江傈僳族自治州,nu'jiang'li'su'zu'zi'zhi'zhou
怒江州,nu'jiang'zhou
糯扎渡,nuo'zha'du
盘龙,pan'long
盘龙区,pan'long'qu
屏边,ping'bian
屏边苗族自治县,ping'bian'miao'zu'zi'zhi'xian
屏边县,ping'bian'xian
普洱,pu'er
普洱市,pu'er'shi
普者黑,pu'zhe'hei
麒麟区,qi'lin'qu
巧家,qiao'jia
巧家县,qiao'jia'xian
蜻蛉河,qing'ling'he
青山嘴,qing'shan'zui
青山嘴水库,qing'shan'zui'shui'ku
丘北,qiu'bei
丘北县,qiu'bei'xian
曲靖,qu'jing
曲靖市,qu'jing'shi
瑞丽,rui'li
瑞丽市,rui'li'shi
三江并流,san'jiang'bing'liu
施甸,shi'dian
施甸县,shi'dian'xian
石林,shi'lin
石林县,shi'lin'xian
石林彝族自治县,shi'lin'yi'zu'zi'zhi'xian
石屏,shi'ping
石屏县,shi'ping'xian
师宗,shi'zong
师宗县,shi'zong'xian
双柏,shuang'bai
双柏县,shuang'bai'xian
双江,shuang'jiang
双江县,shuang'jiang'xian
水富,shui'fu
水富县,shui'fu'xian
思茅,si'mao
思茅区,si'mao'qu
嵩明,song'ming
嵩明县,song'ming'xian
绥江,sui'jiang
绥江县,sui'jiang'xian
腾冲,teng'chong
腾冲县,teng'chong'xian
通海,tong'hai
通海县,tong'hai'xian
畹町,wan'ding
畹町市,wan'ding'shi
巍山,wei'shan
巍山县,wei'shan'xian
巍山彝族回族自治县,wei'shan'yi'zu'hui'zu'zi'zhi'xian
维西,wei'xi
维西傈僳族自治县,wei'xi'li'su'zu'zi'zhi'xian
维西县,wei'xi'xian
威信,wei'xin
威信县,wei'xin'xian
文山,wen'shan
文山县,wen'shan'xian
文山州,wen'shan'zhou
文山壮族苗族自治州,wen'shan'zhuang'zu'miao'zu'zi'zhi'zhou
武定,wu'ding
武定县,wu'ding'xian
乌东德,wu'dong'de
五华,wu'hua
五华区,wu'hua'qu
西畴,xi'chou
西畴县,xi'chou'xian
西耳河,xi'er'he
溪洛渡,xi'luo'du
西盟,xi'meng
西盟佤族自治县,xi'meng'wa'zu'zi'zhi'xian
西盟县,xi'meng'xian
西山区,xi'shan'qu
西双版纳,xi'shuang'ban'na
西双版纳傣族自治州,xi'shuang'ban'na'dai'zu'zi'zhi'zhou
西双版纳州,xi'shuang'ban'na'zhou
下山口,xia'shan'kou
香格里拉,xiang'ge'li'la
香格里拉县,xiang'ge'li'la'xian
向家坝,xiang'jia'ba
祥云,xiang'yun
祥云县,xiang'yun'xian
小湾,xiao'wan
新平,xin'ping
新平县,xin'ping'xian
新平彝族傣族自治县,xin'ping'yi'zu'dai'zu'zi'zhi'xian
宣威,xuan'wei
宣威市,xuan'wei'shi
寻甸,xun'dian
寻甸回族彝族自治县,xun'dian'hui'zu'yi'zu'zi'zhi'xian
寻甸县,xun'dian'xian
盐津,yan'jin
盐津县,yan'jin'xian
砚山,yan'shan
砚山县,yan'shan'xian
漾濞,yang'bi
