按钮,an'niu
安全继电器,an'quan'ji'dian'qi
避雷器,bi'lei'qi
编码器,bian'ma'qi
变频电机,bian'pin'dian'ji
变频器,bian'pin'qi
变压器,bian'ya'qi
剥线钳,bo'xian'qian
步进电机,bu'jin'dian'ji
操作机构,cao'zuo'ji'gou
插头,cha'tou
插座,cha'zuo
常闭触点,chang'bi'chu'dian
常开触点,chang'kai'chu'dian
超声波传感器,chao'sheng'bo'chuan'gan'qi
抽出式,chou'chu'shi
触头,chu'tou
磁脱扣,ci'tuo'kou
磁性开关,ci'xing'kai'guan
带灯按钮,dai'deng'an'niu
单相电度表,dan'xiang'dian'du'biao
导轨,dao'gui
刀开关,dao'kai'guan
等电位,deng'dian'wei
低压配电柜,di'ya'pei'dian'gui
电磁线圈,dian'ci'xian'quan
电动机保护器,dian'dong'ji'bao'hu'qi
电度表,dian'du'biao
电感式,dian'gan'shi
电铃,dian'ling
电流表,dian'liu'biao
电流继电器,dian'liu'ji'dian'qi
电容式,dian'rong'shi
电位器,dian'wei'qi
电压表,dian'ya'biao
电压继电器,dian'ya'ji'dian'qi
电阻器,dian'zu'qi
动力配电箱,dong'li'pei'dian'xiang
断路器,duan'lu'qi
端子排,duan'zi'pai
对讲门铃,dui'jiang'men'ling
多芯电缆,duo'xin'dian'lan
额定电流,e'ding'dian'liu
额定电压,e'ding'dian'ya
额定功率,e'ding'gong'lv
额定频率,e'ding'pin'lv
额定容量,e'ding'rong'liang
额定转速,e'ding'zhuan'su
二次方案,er'ci'fang'an
防爆电机,fang'bao'dian'ji
分励脱扣,fen'li'tuo'kou
蜂鸣器,feng'ming'qi
负荷开关,fu'he'kai'guan
辅助触点,fu'zhu'chu'dian
隔离开关,ge'li'kai'guan
隔离器,ge'li'qi
固定式,gu'ding'shi
固态继电器,gu'tai'ji'dian'qi
管接头,guan'jie'tou
管状端子,guan'zhuang'duan'zi
光电传感器,guang'dian'chuan'gan'qi
光电开关,guang'dian'kai'guan
光幕,guang'mu
过渡夹,guo'du'jia
过压脱扣,guo'ya'tuo'kou
航空插头,hang'kong'cha'tou
互感器,hu'gan'qi
弧焊机,hu'han'ji
护套线,hu'tao'xian
混合式,hun'he'shi
继电器,ji'dian'qi
继电器线圈,ji'dian'qi'xian'quan
计量,ji'liang
急停按钮,ji'ting'an'niu
加热管,jia're'guan
尖嘴钳,jian'zui'qian
交流接触器,jiao'liu'jie'chu'qi
交流驱动,jiao'liu'qu'dong
接触器,jie'chu'qi
接近开关,jie'jin'kai'guan
接线端子,jie'xian'duan'zi
接线端子板,jie'xian'duan'zi'ban
金属软管,jin'shu'ruan'guan
控制按钮,kong'zhi'an'niu
框架断路器,kuang'jia'duan'lu'qi
馈电,kui'dian
浪涌保护器,lang'yong'bao'hu'qi
浪涌吸收器,lang'yong'xi'shou'qi
漏电断路器,lou'dian'duan'lu'qi
铝排,lv'pai
灭弧栅,mie'hu'shan
灭弧栅片,mie'hu'shan'pian
灭弧室,mie'hu'shi
蘑菇头按钮,mo'gu'tou'an'niu
母线排,mu'xian'pai
配电箱,pei'dian'xiang
频率变阻器,pin'lv'bian'zu'qi
频率表,pin'lv'biao
屏蔽层,ping'bi'ceng
屏蔽电缆,ping'bi'dian'lan
屏蔽线,ping'bi'xian
屏蔽罩,ping'bi'zhao
平头按钮,ping'tou'an'niu
启动器,qi'dong'qi
欠压脱扣,qian'ya'tuo'kou
热磁脱扣,re'ci'tuo'kou
热电偶,re'dian'ou
热继电器,re'ji'dian'qi
热缩管,re'suo'guan
热脱扣,re'tuo'kou
熔断器,rong'duan'qi
软导线,ruan'dao'xian
三相电度表,san'xiang'dian'du'biao
声控开关,sheng'kong'kai'guan
时间继电器,shi'jian'ji'dian'qi
时控开关,shi'kong'kai'guan
受电,shou'dian
双电源,shuang'dian'yuan
伺服电机,si'fu'dian'ji
塑壳断路器,su'ke'duan'lu'qi
调节仪,tiao'jie'yi
调压器,tiao'ya'qi
同步控制继电器,tong'bu'kong'zhi'ji'dian'qi
铜排,tong'pai
凸头按钮,tu'tou'an'niu
脱扣器,tuo'kou'qi
外形尺寸,wai'xing'chi'cun
微动开关,wei'dong'kai'guan
温控仪,wen'kong'yi
线鼻,xian'bi
线槽,xian'cao
线槽剪,xian'cao'jian
相位表,xiang'wei'biao
小型断路器,xiao'xing'duan'lu'qi
信号灯,xin'hao'deng
行程开关,xing'cheng'kai'guan
压线钳,ya'xian'qian
一次方案,yi'ci'fang'an
银基合金,yin'ji'he'jin
硬导线,ying'dao'xian
荧光灯,ying'guang'deng
应急灯,ying'ji'deng
预付费电度表,yu'fu'fei'dian'du'biao
扎线带,zha'xian'dai
真空泵,zhen'kong'beng
真空度,zhen'kong'du
真空断路器,zhen'kong'duan'lu'qi
真空计,zhen'kong'ji
真空检漏,zhen'kong'jian'lou
真空接触器,zhen'kong'jie'chu'qi
真空开关,zhen'kong'kai'guan
真空灭弧室,zhen'kong'mie'hu'shi
直流接触器,zhi'liu'jie'chu'qi
直流驱动,zhi'liu'qu'dong
指示灯,zhi'shi'deng
中间继电器,zhong'jian'ji'dian'qi
主触点,zhu'chu'dian
主开关,zhu'kai'guan
主令开关,zhu'ling'kai'guan
转换触点,zhuan'huan'chu'dian
转换开关,zhuan'huan'kai'guan
转速表,zhuan'su'biao
自动开关,zi'dong'kai'guan
自耦变压器,zi'ou'bian'ya'qi
组合开关,zu'he'kai'guan
