阿达婆吠陀,a'da'po'fei'tuo
阿浮陀达磨,a'fu'tuo'da'mo
阿含经,a'han'jing
阿弥陀经,a'mi'tuo'jing
阿摩罗梵语辞典,a'mo'luo'fan'yu'ci'dian
阿毗达磨大乘经,a'pi'da'mo'da'cheng'jing
阿毗达磨灯论,a'pi'da'mo'deng'lun
阿毗昙八犍度论,a'pi'tan'ba'jian'du'lun
阿毗昙毗婆沙论,a'pi'tan'pi'po'sha'lun
阿毗昙心论,a'pi'tan'xin'lun
阿娑缚抄,a'suo'fu'chao
阿育王法勒,a'yu'wang'fa'le
阿育王经,a'yu'wang'jing
阿育王息坏目因缘经,a'yu'wang'xi'huai'mu'yin'yuan'jing
安多政教多,an'duo'zheng'jiao'duo
安乐集,an'le'ji
安流传授纪要,an'liu'chuan'shou'ji'yao
安心决定钞,an'xin'jue'ding'chao
安养抄,an'yang'chao
安养集,an'yang'ji
安宅神咒经,an'zhai'shen'zhou'jing
奥义书,ao'yi'shu
八大灵塔梵赞,ba'da'ling'ta'fan'zan
八大灵塔名号经,ba'da'ling'ta'ming'hao'jing
八大菩萨曼荼罗经,ba'da'pu'sa'man'tu'luo'jing
八大人觉经,ba'da'ren'jue'jing
巴尔拉姆与乔萨发特,ba'er'la'mu'yu'qiao'sa'fa'te
八吉祥经,ba'ji'xiang'jing
巴利律藏,ba'li'lv'cang
巴利语佛典,ba'li'yu'fo'dian
八十八祖道影传赞,ba'shi'ba'zu'dao'ying'chuan'zan
八识规矩颂,ba'shi'gui'ju'song
巴协,ba'xie
八支甘露心要祕密教授续,ba'zhi'gan'lu'xin'yao'mi'mi'jiao'shou'xu
八指头陀诗集,ba'zhi'tou'tuo'shi'ji
八宗纲要,ba'zong'gang'yao
白国因由,bai'guo'yin'you
百论,bai'lun
百论疏,bai'lun'shu
百颂诗集,bai'song'shi'ji
百喻经,bai'yu'jing
百丈丛林清规,bai'zhang'cong'lin'qing'gui
百丈清规证义记,bai'zhang'qing'gui'zheng'yi'ji
百字论,bai'zi'lun
班玛瓜唐,ban'ma'gua'tang
宝女所问经,bao'nv'suo'wen'jing
宝庆记,bao'qing'ji
宝王三昧念佛直指,bao'wang'san'mei'nian'fo'zhi'zhi
宝行王正论,bao'xing'wang'zheng'lun
宝雨经,bao'yu'jing
宝藏论,bao'zang'lun
悲华经,bei'hua'jing
北涧居简禅师语录,bei'jian'ju'jian'chan'shi'yu'lu
北山录,bei'shan'lu
贝叶经,bei'ye'jing
本朝高僧传,ben'chao'gao'seng'chuan
本化别头佛祖统纪,ben'hua'bie'tou'fo'zu'tong'ji
本生鬘,ben'sheng'man
本生注,ben'sheng'zhu
比丘尼传,bi'qiu'ni'chuan
碧巖录,bi'yan'lu
辨法法性论,bian'fa'fa'xing'lun
辩伪录,bian'wei'lu
辨显密二教论,bian'xian'mi'er'jiao'lun
辩显密二教论,bian'xian'mi'er'jiao'lun
辩正论,bian'zheng'lun
辩中边论,bian'zhong'bian'lun
表制集,biao'zhi'ji
薄伽梵歌,bo'jia'fan'ge
波你尼文法,bo'ni'ni'wen'fa
般若波罗蜜多心经,bo're'bo'luo'mi'duo'xin'jing
般若灯论释,bo're'deng'lun'shi
般若经,bo're'jing
般若理趣释,bo're'li'qu'shi
般若心经祕键,bo're'xin'jing'mi'jian
博山无异禅师广录,bo'shan'wu'yi'chan'shi'guang'lu
不动智神妙录,bu'dong'zhi'shen'miao'lu
布顿佛教史,bu'dun'fo'jiao'shi
不空罥索神变真言经,bu'kong'juan'suo'shen'bian'zhen'yan'jing
不空罥索神咒心经,bu'kong'juan'suo'shen'zhou'xin'jing
不空罥索陀罗尼经,bu'kong'juan'suo'tuo'luo'ni'jing
补续高僧传,bu'xu'gao'seng'chuan
不增不减经,bu'zeng'bu'jian'jing
部执异论,bu'zhi'yi'lun
菜根谭,cai'gen'tan
参天台五台山记,can'tian'tai'wu'tai'shan'ji
藏论,cang'lun
曹洞教会修证义,cao'dong'jiao'hui'xiu'zheng'yi
曹溪宝林传,cao'xi'bao'lin'chuan
禅茶录,chan'cha'lu
禅灯世谱,chan'deng'shi'pu
禅法要解,chan'fa'yao'jie
禅关策进,chan'guan'ce'jin
禅海十珍,chan'hai'shi'zhen
禅林宝训,chan'lin'bao'xun
禅林类聚,chan'lin'lei'ju
禅林僧宝传,chan'lin'seng'bao'chuan
禅林疏语考证,chan'lin'shu'yu'kao'zheng
禅林象器笺,chan'lin'xiang'qi'jian
禅门锻鍊说,chan'men'duan'lian'shuo
禅门口诀,chan'men'kou'jue
禅门拈颂集,chan'men'nian'song'ji
禅门日诵,chan'men'ri'song
禅门师资承袭图,chan'men'shi'zi'cheng'xi'tu
禅门要略,chan'men'yao'lue
禅祕要法经,chan'mi'yao'fa'jing
禅苑蒙求,chan'yuan'meng'qiu
禅苑清规,chan'yuan'qing'gui
禅源诸诠集都序,chan'yuan'zhu'quan'ji'dou'xu
禅月集,chan'yue'ji
禅宗决疑集,chan'zong'jue'yi'ji
禅宗全书,chan'zong'quan'shu
禅宗永嘉集,chan'zong'yong'jia'ji
禅宗语录,chan'zong'yu'lu
禅宗杂毒海,chan'zong'za'du'hai
禅宗正脉,chan'zong'zheng'mai
禅宗直指,chan'zong'zhi'zhi
长阿含经,chang'a'han'jing
长老尼偈,chang'lao'ni'ji
长寿灭罪护诸童子陀罗尼经,chang'shou'mie'zui'hu'zhu'tong'zi'tuo'luo'ni'jing
长松茹退,chang'song'ru'tui
抄经,chao'jing
朝鲜佛教通史,chao'xian'fo'jiao'tong'shi
成就法鬘,cheng'jiu'fa'man
成实论,cheng'shi'lun
成唯识论,cheng'wei'shi'lun
成唯识论述记,cheng'wei'shi'lun'shu'ji
称赞净土佛摄受经,cheng'zan'jing'tu'fo'she'shou'jing
喫茶养生记,chi'cha'yang'sheng'ji
持明咒藏,chi'ming'zhou'cang
持世经,chi'shi'jing
出定后语,chu'ding'hou'yu
出定笑语,chu'ding'xiao'yu
出三藏记集,chu'san'zang'ji'ji
楚石禅师语录,chu'shi'chan'shi'yu'lu
出曜经,chu'yao'jing
传灯录,chuan'deng'lu
传灯玉英集,chuan'deng'yu'ying'ji
传法宝纪,chuan'fa'bao'ji
传法正宗记,chuan'fa'zheng'zong'ji
传光录,chuan'guang'lu
春日版,chun'ri'ban
慈悲道场忏法,ci'bei'dao'chang'chan'fa
慈悲水忏法,ci'bei'shui'chan'fa
丛林集,cong'lin'ji
从容录,cong'rong'lu
大阿弥陀经,da'a'mi'tuo'jing
大爱道比丘尼经,da'ai'dao'bi'qiu'ni'jing
大安般守意经,da'an'ban'shou'yi'jing
大般涅槃经,da'ban'nie'pan'jing
