白师傅,bai'shi'fu
北操场,bei'cao'chang
北大门,bei'da'men
北方轻工城,bei'fang'qing'gong'cheng
北郭马,bei'guo'ma
北西庄,bei'xi'zhuang
彩蝶轩,cai'die'xuan
曾韬,ceng'tao
常蕾,chang'lei
陈炳霖,chen'bing'lin
陈国智,chen'guo'zhi
陈记火锅,chen'ji'huo'guo
陈亮,chen'liang
陈旺,chen'wang
陈欣,chen'xin
陈昕亮,chen'xin'liang
陈旭,chen'xu
陈兆阳,chen'zhao'yang
陈峥,chen'zheng
成凯,cheng'kai
程王村,cheng'wang'cun
程文彬,cheng'wen'bin
程庄,cheng'zhuang
储文杰,chu'wen'jie
崔翔,cui'xiang
大李村,da'li'cun
大礼堂,da'li'tang
大王啤酒,da'wang'pi'jiu
党超,dang'chao
邓俊杰,deng'jun'jie
邓睿,deng'rui
邓怡丰,deng'yi'feng
邓振东,deng'zhen'dong
地方生,di'fang'sheng
垤上,die'shang
丁峰,ding'feng
丁鹏文,ding'peng'wen
董斌,dong'bin
董霖,dong'lin
窦,dou
窦长明,dou'chang'ming
二库,er'ku
范栋,fan'dong
樊泷泽,fan'long'ze
樊宇涵,fan'yu'han
范玉森,fan'yu'sen
冯斌,feng'bin
凤城,feng'cheng
冯福,feng'fu
冯建华,feng'jian'hua
风雷厂,feng'lei'chang
风雷机械厂,feng'lei'ji'xie'chang
冯强,feng'qiang
冯译娴,feng'yi'xian
冯治博,feng'zhi'bo
冯治渊,feng'zhi'yuan
高静,gao'jing
高鑫凯,gao'xin'kai
高艺文,gao'yi'wen
工程示范场,gong'cheng'shi'fan'chang
宫殿为,gong'dian'wei
弓婷,gong'ting
顾冰,gu'bing
顾唐俊,gu'tang'jun
顾晓杰,gu'xiao'jie
郭秉林,guo'bing'lin
郭村,guo'cun
国防生,guo'fang'sheng
郭峰,guo'feng
郭江勇,guo'jiang'yong
郭琦,guo'qi
郭千万,guo'qian'wan
郭喆,guo'zhe
韩颖荇,han'ying'xing
号楼,hao'lou
浩奇,hao'qi
浩奇网吧,hao'qi'wang'ba
郝亚雄,hao'ya'xiong
饸村面,he'cun'mian
何杰,he'jie
餄师傅面,he'shi'fu'mian
何妤,he'yu
红红装饰,hong'hong'zhuang'shi
红虎桃子鱼,hong'hu'tao'zi'yu
红肩章,hong'jian'zhang
红色老虎桃子鱼,hong'se'lao'hu'tao'zi'yu
红卫厂,hong'wei'chang
侯百万,hou'bai'wan
侯超,hou'chao
侯纺,hou'fang
侯林山,hou'lin'shan
侯马电缆厂,hou'ma'dian'lan'chang
侯马盟书,hou'ma'meng'shu
侯马三中,hou'ma'san'zhong
侯马一中,hou'ma'yi'zhong
猴头健胃灵,hou'tou'jian'wei'ling
侯翼寅,hou'yi'yin
候运,hou'yun
侯运家属院,hou'yun'jia'shu'yuan
胡赞浩,hu'zan'hao
胡志平,hu'zhi'ping
花卉市场,hua'hui'shi'chang
华翔,hua'xiang
华翔购物广场,hua'xiang'gou'wu'guang'chang
华翔龙,hua'xiang'long
华云大酒店,hua'yun'da'jiu'dian
华章,hua'zhang
黄超,huang'chao
浍滨,hui'bin
基础部,ji'chu'bu
家家利,jia'jia'li
贾笠,jia'li
贾鹏,jia'peng
蒋斌,jiang'bin
蒋闯,jiang'chuang
蒋建平,jiang'jian'ping
姜庆磊,jiang'qing'lei
蒋洋,jiang'yang
蒋永岗,jiang'yong'gang
靳大伟,jin'da'wei
锦都,jin'du
金鑫,jin'xin
句容,ju'rong
赖夏欢,lai'xia'huan
老董家,lao'dong'jia
李冲,li'chong
李聪,li'cong
李恩泽,li'en'ze
李桂莲,li'gui'lian
李海贵,li'hai'gui
李杰,li'jie
李锴,li'kai
李科,li'ke
李龙,li'long
李鹏,li'peng
李强,li'qiang
李权毅,li'quan'yi
李伟,li'wei
李维,li'wei
李文龙,li'wen'long
李晓烨,li'xiao'ye
李延锟,li'yan'kun
李哲,li'zhe
李宙洋,li'zhou'yang
李子天,li'zi'tian
连心桥,lian'xin'qiao
廉振华,lian'zhen'hua
梁津铖,liang'jin'cheng
梁烨珑,liang'ye'long
林峰,lin'feng
林强,lin'qiang
林巧凯,lin'qiao'kai
刘承,liu'cheng
刘继耀,liu'ji'yao
刘麟,liu'lin
刘帅,liu'shuai
刘通,liu'tong
刘夏明,liu'xia'ming
刘晓林,liu'xiao'lin
刘洋,liu'yang
刘英华,liu'ying'hua
刘曌,liu'zhao
龙须沟,long'xu'gou
路东,lu'dong
路慧峰,lu'hui'feng
路西,lu'xi
罗智圣,luo'zhi'sheng
吕佳瞳,lv'jia'tong
吕磊,lv'lei
马,ma
马杰,ma'jie
马军,ma'jun
麦克斯,mai'ke'si
孟繁浩,meng'fan'hao
孟盟,meng'meng
孟夏,meng'xia
孟宪伟,meng'xian'wei
苗端阳,miao'duan'yang
莫慧慧,mo'hui'hui
母云龙,mu'yun'long
南操场,nan'cao'chang
南大门,nan'da'men
南炮,nan'pao
内训生,nei'xun'sheng
倪剑彪,ni'jian'biao
宁阳,ning'yang
欧阳晶,ou'yang'jing
庞飞,pang'fei
庞明杰,pang'ming'jie
炮场,pao'chang
炮营,pao'ying
炮院,pao'yuan
炮缘,pao'yuan
炮指系,pao'zhi'xi
裴意露,pei'yi'lu
平阳机械厂,ping'yang'ji'xie'chang
亓鹏飞,qi'peng'fei
千禧鹤,qian'xi'he
乔村,qiao'cun
乔健,qiao'jian
秦村,qin'cun
秦淑红,qin'shu'hong
秦玉涛,qin'yu'tao
庆丰,qing'feng
轻工城,qing'gong'cheng
曲村,qu'cun
全正,quan'zheng
任鹏,ren'peng
任倩,ren'qian
任倩倩,ren'qian'qian
三十队,san'shi'dui
商磊,shang'lei
申坚定,shen'jian'ding
沈杰,shen'jie
沈玉聪,shen'yu'cong
省建一公司,sheng'jian'yi'gong'si
施博然,shi'bo'ran
史村羊汤,shi'cun'yang'tang
十二系,shi'er'xi
世纪广场,shi'ji'guang'chang
史磊,shi'lei
石磊,shi'lei
石鹏,shi'peng
施颂超,shi'song'chao
十一系,shi'yi'xi
四十八队,si'shi'ba'dui
四十队,si'shi'dui
四十二队,si'shi'er'dui
四十九队,si'shi'jiu'dui
四十六队,si'shi'liu'dui
四十七队,si'shi'qi'dui
四十三队,si'shi'san'dui
四十四队,si'shi'si'dui
四十五队,si'shi'wu'dui
四十一队,si'shi'yi'dui
宋斌,song'bin
宋文行,song'wen'xing
苏晓波,su'xiao'bo
隋荣海,sui'rong'hai
孙光远,sun'guang'yuan
孙久杰,sun'jiu'jie
孙恺,sun'kai
孙立,sun'li
孙正阳,sun'zheng'yang
汤山,tang'shan
唐维,tang'wei
陶化元,tao'hua'yuan
天河电子城,tian'he'dian'zi'cheng
通盛,tong'sheng
外婆烧,wai'po'shao
王成财,wang'cheng'cai
王帝,wang'di
王刚,wang'gang
王海龙,wang'hai'long
王海生,wang'hai'sheng
王浩亮,wang'hao'liang
王华龙,wang'hua'long
王季鹏,wang'ji'peng
王金龙,wang'jin'long
王靖宇,wang'jing'yu
王骏,wang'jun
王凯,wang'kai
王利欣,wang'li'xin
王亮,wang'liang
王伟,wang'wei
王文理,wang'wen'li
王小波,wang'xiao'bo
王兴鹏,wang'xing'peng
王暄,wang'xuan
王学科,wang'xue'ke
王阳,wang'yang
韦昌昇,wei'chang'sheng
魏鲁,wei'lu
卫生队,wei'sheng'dui
卫淑瑞,wei'shu'rui
伟涛,wei'tao
伟涛网吧,wei'tao'wang'ba
文服,wen'fu
文化服务中心,wen'hua'fu'wu'zhong'xin
文锦苑,wen'jin'yuan
吴鉴,wu'jian
吴健,wu'jian
五交化,wu'jiao'hua
五零二,wu'ling'er
五零一,wu'ling'yi
吴启芝,wu'qi'zhi
吴翔,wu'xiang
吴鑫诚,wu'xin'cheng
五一二,wu'yi'er
吴震,wu'zhen
吴振,wu'zhen
西马路,xi'ma'lu
席沛钊,xi'pei'zhao
小李村,xiao'li'cun
小礼堂,xiao'li'tang
小西门,xiao'xi'men
谢尚友,xie'shang'you
辛坤,xin'kun
新区,xin'qu
新天园,xin'tian'yuan
幸福路,xing'fu'lu
徐奥,xu'ao
许彬,xu'bin
许飞,xu'fei
薛峰,xue'feng
严明志,yan'ming'zhi
闫庆天,yan'qing'tian
颜忻烨,yan'xin'ye
颜扬滨,yan'yang'bin
杨晨,yang'chen
杨聪,yang'cong
杨飞,yang'fei
杨康,yang'kang
杨梦思,yang'meng'si
杨三河,yang'san'he
杨士波,yang'shi'bo
杨玺,yang'xi
杨洋,yang'yang
杨勇,yang'yong
杨有义,yang'you'yi
杨哲,yang'zhe
阳峥,yang'zheng
姚仁文,yao'ren'wen
姚玩明,yao'wan'ming
一公司,yi'gong'si
映霞湖,ying'xia'hu
英语角,ying'yu'jiao
于,yu
于晨,yu'chen
于春明,yu'chun'ming
鱼府,yu'fu
宇蛟,yu'jiao
宇蛟网吧,yu'jiao'wang'ba
于文昌,yu'wen'chang
于占杰,yu'zhan'jie
袁德伟,yuan'de'wei
翟乃一,zhai'nai'yi
湛朝韬,zhan'chao'tao
战队,zhan'dui
章骜,zhang'ao
张宝华,zhang'bao'hua
张超,zhang'chao
张朝阳,zhang'chao'yang
张晨凯,zhang'chen'kai
张辉,zhang'hui
张吉庆,zhang'ji'qing
张杰,zhang'jie
张井加,zhang'jing'jia
张俊生,zhang'jun'sheng
张岚弈,zhang'lan'yi
张磊,zhang'lei
张泷,zhang'long
张龙年,zhang'long'nian
张明哲,zhang'ming'zhe
张腾,zhang'teng
赵杰,zhao'jie
赵乐,zhao'le
赵蕾,zhao'lei
赵敏强,zhao'min'qiang
赵石磊,zhao'shi'lei
赵王强,zhao'wang'qiang
赵萧航,zhao'xiao'hang
赵震,zhao'zhen
中北,zhong'bei
中北学院,zhong'bei'xue'yuan
中天,zhong'tian
中央街,zhong'yang'jie
周成东,zhou'cheng'dong
周冲,zhou'chong
周珏翔,zhou'jue'xiang
周康,zhou'kang
周前程,zhou'qian'cheng
周术,zhou'shu
周泽宇,zhou'ze'yu
朱明海,zhu'ming'hai
祝其科,zhu'qi'ke
朱伟,zhu'wei
紫程花园,zi'cheng'hua'yuan
紫程花圆,zi'cheng'hua'yuan
紫金城,zi'jin'cheng
左六强,zuo'liu'qiang
