阿婆情熟牡丹开,a'po'qing'shu'mu'dan'kai
阿若憍陈如,a'ruo'jiao'chen'ru
阿修罗王掌中月,a'xiu'luo'wang'zhang'zhong'yue
阿爷是龙飞入云,a'ye'shi'long'fei'ru'yun
蔼蔼北阜松,ai'ai'bei'fu'song
霭霭曈曈江溢晓,ai'ai'tong'tong'jiang'yi'xiao
爱此多诗兴,ai'ci'duo'shi'xing
爱此青苔光,ai'ci'qing'tai'guang
爱而伤不见,ai'er'shang'bu'jian
哀呼不应,ai'hu'bu'ying
爱客不言钱,ai'ke'bu'yan'qian
哀闽也,ai'min'ye
爱女复边茔,ai'nv'fu'bian'ying
哀猿万木阴,ai'yuan'wan'mu'yin
哀乐讵关身,ai'yue'ju'guan'shen
爱捉狂夫问闲事,ai'zhuo'kuang'fu'wen'xian'shi
安得处其薄,an'de'chu'qi'bao
安得此生同草木,an'de'ci'sheng'tong'cao'mu
安得凌风翰,an'de'ling'feng'han
暗发前军连夜战,an'fa'qian'jun'lian'ye'zhan
暗将心事隔风尘,an'jiang'xin'shi'ge'feng'chen
暗哭苍苍天,an'ku'cang'cang'tian
安能此终毕,an'neng'ci'zhong'bi
暗上莲舟鸟不知,an'shang'lian'zhou'niao'bu'zhi
岸上沙,an'shang'sha
安危托妇人,an'wei'tuo'fu'ren
暗闻弦管九天上,an'wen'xian'guan'jiu'tian'shang
安用才士为,an'yong'cai'shi'wei
安用冉冉孤生根,an'yong'ran'ran'gu'sheng'gen
岸帻题诗身自闲,an'ze'ti'shi'shen'zi'xian
暗知浇沥圣姑神,an'zhi'jiao'li'sheng'gu'shen
安知我有不平色,an'zhi'wo'you'bu'ping'se
暗贮报恩珠,an'zhu'bao'en'zhu
鳌背参差日气红,ao'bei'cen'ci'ri'qi'hong
八河注大海,ba'he'zhu'da'hai
八九雏飞其母惊,ba'jiu'chu'fei'qi'mu'jing
把酒留君听琴,ba'jiu'liu'jun'ting'qin
把酒说羁游,ba'jiu'shuo'ji'you
八郡趋下风,ba'jun'qu'xia'feng
把君诗卷西归去,ba'jun'shi'juan'xi'gui'qu
八龙三虎俨成行,ba'long'san'hu'yan'cheng'xing
八鸾五凤纷在御,ba'luan'wu'feng'fen'zai'yu
巴人夜唱竹枝后,ba'ren'ye'chang'zhu'zhi'hou
