暧暧澄湖光,ai'ai'cheng'hu'guang
蔼蔼军容静,ai'ai'jun'rong'jing
哀哀哭枯骨,ai'ai'ku'ku'gu
哀哀泪如霰,ai'ai'lei'ru'xian
爱此沧江闲白鸥,ai'ci'cang'jiang'xian'bai'ou
爱此清阴欲栖宿,ai'ci'qing'yin'yu'qi'su
爱此众容秀,ai'ci'zhong'rong'xiu
哀断不堪闻,ai'duan'bu'kan'wen
爱尔含天姿,ai'er'han'tian'zi
爱尔文章远,ai'er'wen'zhang'yuan
爱君清川口,ai'jun'qing'chuan'kou
爱君心自弘,ai'jun'xin'zi'hong
哀鸣万变如成曲,ai'ming'wan'bian'ru'cheng'qu
蔼然沧波夕,ai'ran'cang'bo'xi
霭然空水合,ai'ran'kong'shui'he
按兵辽水阳,an'bing'liao'shui'yang
安得上方断马剑,an'de'shang'fang'duan'ma'jian
暗觉海风度,an'jue'hai'feng'du
安流净而平,an'liu'jing'er'ping
岸柳遮浮鹢,an'liu'zhe'fu'yi
岸明残雪在,an'ming'can'xue'zai
安能穷波澜,an'neng'qiong'bo'lan
安能守拘束,an'neng'shou'ju'shu
安期始遗舄,an'qi'shi'yi'xi
岸上谁家游冶郎,an'shang'shui'jia'you'ye'lang
按俗五花嘶,an'su'wu'hua'si
安闲性所便,an'xian'xing'suo'bian
暗牖藏昏晓,an'you'cang'hun'xiao
岸远荆门闭,an'yuan'jing'men'bi
昂藏千里骥,ang'cang'qian'li'ji
傲吏方见狎,ao'li'fang'jian'xia
傲俗宜纱帽,ao'su'yi'sha'mao
八卦真形一气中,ba'gua'zhen'xing'yi'qi'zhong
罢归无旧业,ba'gui'wu'jiu'ye
拔剑四顾心茫然,ba'jian'si'gu'xin'mang'ran
拔剑因高歌,ba'jian'yin'gao'ge
把袂相看衣共缁,ba'mei'xiang'kan'yi'gong'zi
巴峤南行远,ba'qiao'nan'xing'yuan
巴曲谁堪听,ba'qu'shui'kan'ting
罢去游说客,ba'qu'you'shui'ke
巴人此路偏,ba'ren'ci'lu'pian
巴人峡里自闻猿,ba'ren'xia'li'zi'wen'yuan
八使推邦彦,ba'shi'tui'bang'yan
八十西来钓渭滨,ba'shi'xi'lai'diao'wei'bin
罢战逢时泰,ba'zhan'feng'shi'tai
白璧如山谁敢沽,bai'bi'ru'shan'shui'gan'gu
白波连山倒蓬壶,bai'bo'lian'shan'dao'peng'hu
白波走雷电,bai'bo'zou'lei'dian
百步九折萦岩峦,bai'bu'jiu'zhe'ying'yan'luan
百尺寒泉辘轳上,bai'chi'han'quan'lu'lu'shang
百尺旌竿沉黑云,bai'chi'jing'gan'chen'hei'yun
百尺珠楼临狭斜,bai'chi'zhu'lou'lin'xia'xie
白帝城边足风波,bai'di'cheng'bian'zu'feng'bo
白发惭皎镜,bai'fa'can'jiao'jing
白发渐多身未退,bai'fa'jian'duo'shen'wei'tui
白发经多难,bai'fa'jing'duo'nan
白发乱生相顾老,bai'fa'luan'sheng'xiang'gu'lao
白发那堪戴铁冠,bai'fa'na'kan'dai'tie'guan
白发强临觞,bai'fa'qiang'lin'shang
白发如今雪相似,bai'fa'ru'jin'xue'xiang'si
白发如丝叹何益,bai'fa'ru'si'tan'he'yi
白发生沧洲,bai'fa'sheng'cang'zhou
白发生扁舟,bai'fa'sheng'pian'zhou
白发向人垂,bai'fa'xiang'ren'chui
白发有高士,bai'fa'you'gao'shi
白发沾黄泥,bai'fa'zhan'huang'ni
白鹤双飞忽相见,bai'he'shuang'fei'hu'xiang'jian
百花满云梦,bai'hua'man'yun'meng
百花辇路为苍苔,bai'hua'nian'lu'wei'cang'tai
百花如旧日,bai'hua'ru'jiu'ri
