阿一焖斋,a'yi'men'zhai
安徽菜,an'hui'cai
安阳三熏,an'yang'san'xun
八宝菠菜,ba'bao'bo'cai
八宝桂鱼,ba'bao'gui'yu
八宝甲鱼,ba'bao'jia'yu
八宝青蟹饭,ba'bao'qing'xie'fan
八块鸡,ba'kuai'ji
拔丝什锦山药,ba'si'shi'jin'shan'yao
拔丝楂糕,ba'si'zha'gao
霸王别姬,ba'wang'bie'ji
白扒鱼翅,bai'ba'yu'chi
白炒刀鱼丝,bai'chao'dao'yu'si
白炒虾球,bai'chao'xia'qiu
白干煮三丝,bai'gan'zhu'san'si
白果桂花羹,bai'guo'gui'hua'geng
百花大虾,bai'hua'da'xia
白浇鳙鱼头,bai'jiao'yong'yu'tou
百鸟朝凤,bai'niao'chao'feng
白油肝片,bai'you'gan'pian
白玉翡翠,bai'yu'fei'cui
白斩鸡,bai'zhan'ji
白汁菜心,bai'zhi'cai'xin
白汁玉翅,bai'zhi'yu'chi
白灼虾,bai'zhuo'xia
白灼响螺片,bai'zhuo'xiang'luo'pian
板栗红烧肉,ban'li'hong'shao'rou
爆炒腰花,bao'chao'yao'hua
爆墨鱼卷,bao'mo'yu'juan
爆三脆,bao'san'cui
爆氽,bao'tun
宝箱豆腐,bao'xiang'dou'fu
煲仔鱼丸,bao'zai'yu'wan
爆竹鸡,bao'zhu'ji
碧波田鸡,bi'bo'tian'ji
碧绿虾仁,bi'lv'xia'ren
冰糖燕窝,bing'tang'yan'wo
钵钵鸡,bo'bo'ji
菠菜鸡煲,bo'cai'ji'bao
玻璃鲜墨,bo'li'xian'mo
菠萝鳜鱼,bo'luo'gui'yu
菠萝鸡丁,bo'luo'ji'ding
彩带鱼头,cai'dai'yu'tou
菜干扣肉,cai'gan'kou'rou
彩色肉丝,cai'se'rou'si
彩丝金柳,cai'si'jin'liu
菜远牛肉,cai'yuan'niu'rou
叉烤鳜鱼,cha'kao'gui'yu
叉烧鸭子,cha'shao'ya'zi
茶香骨,cha'xiang'gu
柴把鱼,chai'ba'yu
拆烩大鱼头,chai'hui'da'yu'tou
拆烩鲢鱼头,chai'hui'lian'yu'tou
炒白鸽,chao'bai'ge
炒葱椒鸡,chao'cong'jiao'ji
炒肝片,chao'gan'pian
炒禾花雀,chao'he'hua'que
炒西施舌,chao'xi'shi'she
炒虾丝,chao'xia'si
炒羊肚丝,chao'yang'du'si
潮州烧雁鹅,chao'zhou'shao'yan'e
陈年菜脯鸡,chen'nian'cai'pu'ji
橙花排骨,cheng'hua'pai'gu
蛏溜奇,cheng'liu'qi
成双成对,cheng'shuang'cheng'dui
炊莲花鸡,chui'lian'hua'ji
莼菜黄鱼羹,chun'cai'huang'yu'geng
春笋白拌鸡,chun'sun'bai'ban'ji
椿芽焖蛋,chun'ya'men'dan
葱爆肉丝,cong'bao'rou'si
葱穿排骨,cong'chuan'pai'gu
葱油鸡,cong'you'ji
葱油蒸鸭,cong'you'zheng'ya
醋熘鳜鱼,cu'liu'gui'yu
醋溜黄瓜,cu'liu'huang'gua
翠绿玉米,cui'lv'yu'mi
脆皮卷,cui'pi'juan
脆皮炸鸡,cui'pi'zha'ji
翠竹粉蒸鮰鱼,cui'zhu'fen'zheng'hui'yu
翠珠鹿筋,cui'zhu'lu'jin
大边炉,da'bian'lu
大肠生炒咸酸菜,da'chang'sheng'chao'xian'suan'cai
大围山蒸方肉,da'wei'shan'zheng'fang'rou
担担面,dan'dan'mian
灯影牛肉,deng'ying'niu'rou
丁香排骨,ding'xiang'pai'gu
东安子鸡,dong'an'zi'ji
东壁龙珠,dong'bi'long'zhu
冬菜炖鸭,dong'cai'dun'ya
冬菜扣肉,dong'cai'kou'rou
冬菇藕夹,dong'gu'ou'jia
冬瓜煲汤,dong'gua'bao'tang
冬瓜鳖裙羹,dong'gua'bie'qun'geng
东江豆腐煲,dong'jiang'dou'fu'bao
东江盐焗鸡,dong'jiang'yan'ju'ji
东坡方肉,dong'po'fang'rou
东坡肉,dong'po'rou
东坡肘子,dong'po'zhou'zi
冬笋鸽脯,dong'sun'ge'pu
洞庭金龟,dong'ting'jin'gui
侗乡腌鱼,dong'xiang'yan'yu
豆瓣鲫鱼,dou'ban'ji'yu
豆腐炒韭菜,dou'fu'chao'jiu'cai
豆鼓鱼,dou'gu'yu
豆茸酿枇杷,dou'rong'niang'pi'pa
炖菜核,dun'cai'he
炖健身全鸭,dun'jian'shen'quan'ya
剁椒胖鱼头,duo'jiao'pang'yu'tou
发丝百叶,fa'si'bai'ye
发丝百页,fa'si'bai'ye
蕃茄鸡煲,fan'qie'ji'bao
番茄腰柳,fan'qie'yao'liu
方鱼蒸鸡,fang'yu'zheng'ji
翡翠豆腐,fei'cui'dou'fu
翡翠鸡翅,fei'cui'ji'chi
翡翠桃仁鸡,fei'cui'tao'ren'ji
粉蒸鳜鱼,fen'zheng'gui'yu
奉化摇蜡,feng'hua'yao'la
凤凰萝卜,feng'huang'luo'bo
风鸡斩肉,feng'ji'zhan'rou
凤筋龙爪,feng'jin'long'zhua
风林茄子,feng'lin'qie'zi
凤丝仙人掌,feng'si'xian'ren'zhang
风味南美螺,feng'wei'nan'mei'luo
凤尾腰花,feng'wei'yao'hua
佛跳墙,fo'tiao'qiang
富春鸡,fu'chun'ji
福建菜,fu'jian'cai
腐皮肉卷,fu'pi'rou'juan
夫妻肺片,fu'qi'fei'pian
芙蓉菜心,fu'rong'cai'xin
芙蓉干贝,fu'rong'gan'bei
芙蓉海底,fu'rong'hai'di
芙蓉海参,fu'rong'hai'shen
芙蓉鲫鱼,fu'rong'ji'yu
芙蓉套蟹,fu'rong'tao'xie
芙蓉燕菜,fu'rong'yan'cai
福寿临门,fu'shou'lin'men
咖喱大豆烩肉,ga'li'da'dou'hui'rou
咖喱饺,ga'li'jiao
咖喱牛排,ga'li'niu'pai
干贝水晶鸡,gan'bei'shui'jing'ji
干煸鳝背,gan'bian'shan'bei
干菜焖肉,gan'cai'men'rou
干锅带皮牛肉,gan'guo'dai'pi'niu'rou
干煎黄鱼,gan'jian'huang'yu
干烹仔鸡,gan'peng'zi'ji
干烧冬笋,gan'shao'dong'sun
鸽戏牛蛙,ge'xi'niu'wa
宫保鸡,gong'bao'ji
宫保鸡丁,gong'bao'ji'ding
宫保魔芋豆腐,gong'bao'mo'yu'dou'fu
挂炉烤鸭,gua'lu'kao'ya
怪味鸡,guai'wei'ji
怪味鸡块,guai'wei'ji'kuai
灌蟹鱼圆,guan'xie'yu'yuan
广东菜,guang'dong'cai
广州文昌鸡,guang'zhou'wen'chang'ji
贵妃鸡,gui'fei'ji
鬼马牛肉,gui'ma'niu'rou
桂鱼排骨,gui'yu'pai'gu
