不是女神更不是小公主,bu'shi'nv'shen'geng'bu'shi'xiao'gong'zhu
不喜欢暖男,bu'xi'huan'nuan'nan
才能过想过的生活,cai'neng'guo'xiang'guo'de'sheng'huo
才能学会好好生活,cai'neng'xue'hui'hao'hao'sheng'huo
承认吧你不是萌妹子,cheng'ren'ba'ni'bu'shi'meng'mei'zi
吃一碗饭睡一张床回一个家,chi'yi'wan'fan'shui'yi'zhang'chuang'hui'yi'ge'jia
但是关键时候气场强大,dan'shi'guan'jian'shi'hou'qi'chang'qiang'da
都是我觉得最幸福的事,dou'shi'wo'jue'de'zui'xing'fu'de'shi
都足以令我和我爱的人痛苦,dou'zu'yi'ling'wo'he'wo'ai'de'ren'tong'ku
对方正在输入,dui'fang'zheng'zai'shu'ru
多看一眼就心软,duo'kan'yi'yan'jiu'xin'ruan
而不确定你对象爱不爱你,er'bu'que'ding'ni'dui'xiang'ai'bu'ai'ni
发现什么也没有,fa'xian'shen'me'ye'mei'you
反而觉得你想太多,fan'er'jue'de'ni'xiang'tai'duo
根本原因是你确定你妈爱你,gen'ben'yuan'yin'shi'ni'que'ding'ni'ma'ai'ni
还有你,hai'you'ni
浩然,hao'ran
槿柒,jin'qi
就觉得生活一下子不艰难了,jiu'jue'de'sheng'huo'yi'xia'zi'bu'jian'nan'le
就算有时候你顾忌了别人的感受,jiu'suan'you'shi'hou'ni'gu'ji'le'bie'ren'de'gan'shou
就要找一个,jiu'yao'zhao'yi'ge
旧衣服里的零钱,jiu'yi'fu'li'de'ling'qian
林依落,lin'yi'luo
买到炸鸡店里最后一只鸡腿,mai'dao'zha'ji'dian'li'zui'hou'yi'zhi'ji'tui
没有什么很大的抱负,mei'you'shen'me'hen'da'de'bao'fu
喵祝今晚有个好梦,miao'zhu'jin'wan'you'ge'hao'meng
那种失落感就像被打了一记闷拳,na'zhong'shi'luo'gan'jiu'xiang'bei'da'le'yi'ji'men'quan
能压制住你的男生,neng'ya'zhi'zhu'ni'de'nan'sheng
你的一拖再拖最终换来我的绝望,ni'de'yi'tuo'zai'tuo'zui'zhong'huan'lai'wo'de'jue'wang
你给对象发短信对象不回你,ni'gei'dui'xiang'fa'duan'xin'dui'xiang'bu'hui'ni
