阿巴嘎旗,a'ba'ga'qi
阿尔山市,a'er'shan'shi
阿拉善盟,a'la'shan'meng
阿拉善右旗,a'la'shan'you'qi
阿拉善左旗,a'la'shan'zuo'qi
阿鲁科尔沁旗,a'lu'ke'er'qin'qi
阿马嗄旗,a'ma'a'qi
阿荣旗,a'rong'qi
敖汉旗,ao'han'qi
巴林右旗,ba'lin'you'qi
巴林左旗,ba'lin'zuo'qi
巴彦淖尔,ba'yan'nao'er
白云鄂博,bai'yun'e'bo
白云矿区,bai'yun'kuang'qu
包头,bao'tou
察哈尔右翼后旗,cha'ha'er'you'yi'hou'qi
察哈尔右翼前旗,cha'ha'er'you'yi'qian'qi
察哈尔右翼中旗,cha'ha'er'you'yi'zhong'qi
陈巴尔虎旗,chen'ba'er'hu'qi
赤峰,chi'feng
达尔罕茂明安联合旗,da'er'han'mao'ming'an'lian'he'qi
达拉特旗,da'la'te'qi
达茂旗,da'mao'qi
得耳布尔林业局,de'er'bu'er'lin'ye'ju
得耳布尔镇,de'er'bu'er'zhen
得耳布尔镇金诚电脑服务部,de'er'bu'er'zhen'jin'cheng'dian'nao'fu'wu'bu
得森公司,de'sen'gong'si
磴口县,deng'kou'xian
东河区,dong'he'qu
东胜区,dong'sheng'qu
东乌珠穆沁旗,dong'wu'zhu'mu'qin'qi
多伦县,duo'lun'xian
鄂尔多斯,e'er'duo'si
额尔古纳市,e'er'gu'na'shi
额尔古纳右旗,e'er'gu'na'you'qi
额济纳旗,e'ji'na'qi
鄂伦春自治旗,e'lun'chun'zi'zhi'qi
鄂托克旗,e'tuo'ke'qi
鄂托克前旗,e'tuo'ke'qian'qi
鄂温克族自治旗,e'wen'ke'zu'zi'zhi'qi
耳布尔林场,er'bu'er'lin'chang
二道河林场,er'dao'he'lin'chang
二连浩特市,er'lian'hao'te'shi
方圆木业,fang'yuan'mu'ye
丰镇市,feng'zhen'shi
根河市,gen'he'shi
固阳县,gu'yang'xian
海勃湾区,hai'bo'wan'qu
海拉尔区,hai'la'er'qu
海南区,hai'nan'qu
杭锦后旗,hang'jin'hou'qi
杭锦旗,hang'jin'qi
杭棉旗,hang'mian'qi
和林格尔县,he'lin'ge'er'xian
红山区,hong'shan'qu
呼和浩特,hu'he'hao'te
呼和浩特市,hu'he'hao'te'shi
呼伦贝尔,hu'lun'bei'er
化德县,hua'de'xian
回民区,hui'min'qu
霍林郭勒市,huo'lin'guo'le'shi
集宁区,ji'ning'qu
金诚电脑服务部,jin'cheng'dian'nao'fu'wu'bu
喀喇沁旗,ka'la'qin'qi
开鲁县,kai'lu'xian
康达岭林场,kang'da'ling'lin'chang
科尔沁区,ke'er'qin'qu
科尔沁右翼前旗,ke'er'qin'you'yi'qian'qi
科尔沁右翼中旗,ke'er'qin'you'yi'zhong'qi
科尔沁左翼后旗,ke'er'qin'zuo'yi'hou'qi
科尔沁左翼中旗,ke'er'qin'zuo'yi'zhong'qi
克什克腾旗,ke'shi'ke'teng'qi
科右中旗,ke'you'zhong'qi
库伦旗,ku'lun'qi
昆都伦区,kun'du'lun'qu
凉城县,liang'cheng'xian
临河区,lin'he'qu
林西县,lin'xi'xian
满洲里市,man'zhou'li'shi
莫力达瓦达斡尔族自治旗,mo'li'da'wa'da'wo'er'zu'zi'zhi'qi
莫力达瓦旗,mo'li'da'wa'qi
奈曼旗,nai'man'qi
宁城县,ning'cheng'xian
青山区,qing'shan'qu
清水河县,qing'shui'he'xian
森宇公司,sen'yu'gong'si
商都县,shang'du'xian
四子王旗,si'zi'wang'qi
松山区,song'shan'qu
苏尼特右旗,su'ni'te'you'qi
苏尼特左旗,su'ni'te'zuo'qi
太仆寺旗,tai'pu'si'qi
通辽,tong'liao
土默特右旗,tu'mo'te'you'qi
土默特左旗,tu'mo'te'zuo'qi
突泉县,tu'quan'xian
托克托县,tuo'ke'tuo'xian
万年青林场,wan'nian'qing'lin'chang
翁牛特旗,weng'niu'te'qi
武川县,wu'chuan'xian
乌达区,wu'da'qu
乌海,wu'hai
乌拉特后旗,wu'la'te'hou'qi
乌拉特后镇,wu'la'te'hou'zhen
乌拉特前旗,wu'la'te'qian'qi
乌拉特前镇,wu'la'te'qian'zhen
乌拉特中旗,wu'la'te'zhong'qi
乌拉特中镇,wu'la'te'zhong'zhen
乌兰察布,wu'lan'cha'bu
乌兰浩特市,wu'lan'hao'te'shi
乌审旗,wu'shen'qi
五原县,wu'yuan'xian
锡林郭勒盟,xi'lin'guo'le'meng
锡林浩特市,xi'lin'hao'te'shi
西乌珠穆沁旗,xi'wu'zhu'mu'qin'qi
镶黄旗,xiang'huang'qi
新巴尔虎右旗,xin'ba'er'hu'you'qi
新巴尔虎左旗,xin'ba'er'hu'zuo'qi
新城区,xin'cheng'qu
兴安盟,xing'an'meng
兴和县,xing'he'xian
薛家湾镇,xue'jia'wan'zhen
牙克石市,ya'ke'shi'shi
伊金霍洛旗,yi'jin'huo'luo'qi
玉泉区,yu'quan'qu
元宝山区,yuan'bao'shan'qu
扎赉特旗,zha'lai'te'qi
扎兰屯市,zha'lan'tun'shi
扎鲁特旗,zha'lu'te'qi
正蓝旗,zheng'lan'qi
正镶白旗,zheng'xiang'bai'qi
准格尔旗,zhun'ge'er'qi
卓资县,zhuo'zi'xian
