阿维,a'wei
阿维菌素,a'wei'jun'su
艾氏剂,ai'shi'ji
氨苷霉素,an'gan'mei'su
氨基寡糖素,an'ji'gua'tang'su
桉油精,an'you'jing
八甲磷,ba'jia'lin
巴黎绿,ba'li'lv
百部碱,bai'bu'jian
拜耳,bai'er
白僵菌,bai'jiang'jun
百菌清,bai'jun'qing
百治磷,bai'zhi'lin
斑蝥素,ban'mao'su
拌种灵,ban'zhong'ling
保棉磷,bao'mian'lin
倍硫磷,bei'liu'lin
苯甲酸,ben'jia'suan
苯菌灵,ben'jun'ling
苯硫威,ben'liu'wei
苯螨特,ben'man'te
苯醚菊酯,ben'mi'ju'zhi
苯醚菌酯,ben'mi'jun'zhi
苯霜灵,ben'shuang'ling
苯酰菌胺,ben'xian'jun'an
苯氧菌酯,ben'yang'jun'zhi
苯氧威,ben'yang'wei
苯扎溴胺,ben'zha'xiu'an
吡弗咯菌素,bi'fu'ge'jun'su
蓖麻油酸,bi'ma'you'suan
吡螨胺,bi'man'an
吡蚜酮,bi'ya'tong
苄呋菊酯,bian'fu'ju'zhi
苄螨醚,bian'man'mi
病毒星,bing'du'xing
丙环唑,bing'huan'zuo
丙硫多菌灵,bing'liu'duo'jun'ling
丙硫克百威,bing'liu'ke'bai'wei
冰片基氯,bing'pian'ji'lv
病氰硝,bing'qing'xiao
丙酸,bing'suan
丙烷脒,bing'wan'mi
丙烯酸,bing'xi'suan
波尔多液,bo'er'duo'ye
菜青虫颗粒体病毒,cai'qing'chong'ke'li'ti'bing'du
残杀威,can'sha'wei
草原毛虫核多角体病毒,cao'yuan'mao'chong'he'duo'jiao'ti'bing'du
茶尺蠖核型多角体病毒,cha'chi'huo'he'xing'duo'jiao'ti'bing'du
茶毛虫核型多角体病毒,cha'mao'chong'he'xing'duo'jiao'ti'bing'du
茶毛虫性信息素,cha'mao'chong'xing'xin'xi'su
茶皂素,cha'zao'su
柴油,chai'you
长川霉素,chang'chuan'mei'su
虫螨腈,chong'man'jing
虫螨磷,chong'man'lin
虫酰肼,chong'xian'jing
除虫菊素,chu'chong'ju'su
春雷霉素,chun'lei'mei'su
醋酸苯汞,cu'suan'ben'gong
大黄酚,da'huang'fen
大黄素甲醚,da'huang'su'jia'mi
哒嗪硫磷,da'qin'liu'lin
大蒜素,da'suan'su
代森铵,dai'sen'an
代森联,dai'sen'lian
代森锰,dai'sen'meng
代森锰锌,dai'sen'meng'xin
代森锌,dai'sen'xin
蛋白,dan'bai
