阿保,a'bao
阿碧,a'bi
阿布村,a'bu'cun
阿布地,a'bu'di
阿点,a'dian
阿恩,a'en
阿尔乡,a'er'xiang
阿嘎,a'ga
阿嘎乡,a'ga'xiang
阿戈,a'ge
阿姑村,a'gu'cun
阿吉地,a'ji'di
阿吉斯,a'ji'si
阿加尔,a'jia'er
阿姜,a'jiang
阿开木,a'kai'mu
阿克德,a'ke'de
阿克洛,a'ke'luo
阿库洛,a'ku'luo
阿拉村,a'la'cun
阿里,a'li
阿力别,a'li'bie
阿里门,a'li'men
阿里佐,a'li'zuo
阿列,a'lie
阿六,a'liu
阿鲁,a'lu
阿洛村,a'luo'cun
阿米波,a'mi'bo
阿米山,a'mi'shan
阿尼,a'ni
阿尼加,a'ni'jia
阿尼卡,a'ni'ka
阿尼来,a'ni'lai
阿念,a'nian
阿牛撒,a'niu'sa
阿偏偏,a'pian'pian
阿普,a'pu
阿普乐,a'pu'le
阿七乡,a'qi'xiang
阿萨乡,a'sa'xiang
阿色家,a'se'jia
阿田村,a'tian'cun
阿妥,a'tuo
阿洼,a'wa
阿雍,a'yong
阿月乡,a'yue'xiang
阿吒,a'zha
阿子都,a'zi'du
埃岱村,ai'dai'cun
爱国村,ai'guo'cun
爱国乡,ai'guo'xiang
艾来,ai'lai
矮郎乡,ai'lang'xiang
爱民村,ai'min'cun
爱民乡,ai'min'xiang
爱婴医院,ai'ying'yi'yuan
矮子沟,ai'zi'gou
安定桥,an'ding'qiao
安家村,an'jia'cun
安家沟,an'jia'gou
安家拉,an'jia'la
安家坪,an'jia'ping
安家田,an'jia'tian
安家屋基,an'jia'wu'ji
安居,an'ju
安乐村,an'le'cun
安龙村,an'long'cun
安莫,an'mo
安南,an'nan
安宁村,an'ning'cun
安宁河,an'ning'he
安宁小区,an'ning'xiao'qu
安宁镇,an'ning'zhen
安普,an'pu
安普村,an'pu'cun
安曲,an'qu
安全村,an'quan'cun
安义,an'yi
安寨坪,an'zhai'ping
安子家,an'zi'jia
凹凼,ao'dang
凹多,ao'duo
凹坎,ao'kan
奥科,ao'ke
坳口,ao'kou
凹托,ao'tuo
凹中,ao'zhong
凹子,ao'zi
八百亩,ba'bai'mu
巴布洛,ba'bu'luo
巴厂,ba'chang
八撮,ba'cuo
坝地,ba'di
坝地村,ba'di'cun
巴洞乡,ba'dong'xiang
巴都,ba'dou
八斗种,ba'dou'zhong
把尔,ba'er
八二信箱,ba'er'xin'xiang
八嘎村,ba'ga'cun
巴公,ba'gong
八姑,ba'gu
巴古,ba'gu
巴姑村,ba'gu'cun
巴古乡,ba'gu'xiang
巴姑乡,ba'gu'xiang
八哈,ba'ha
巴哈,ba'ha
八合村,ba'he'cun
巴亨,ba'heng
八贾,ba'jia
八家,ba'jia
八家村,ba'jia'cun
八家沟,ba'jia'gou
八家湾,ba'jia'wan
巴蕉,ba'jiao
八角地,ba'jiao'di
芭蕉箐,ba'jiao'jing
芭蕉林,ba'jiao'lin
八角庙,ba'jiao'miao
芭蕉坪,ba'jiao'ping
芭蕉山,ba'jiao'shan
八角山,ba'jiao'shan
芭蕉滩,ba'jiao'tan
芭蕉弯,ba'jiao'wan
芭蕉湾,ba'jiao'wan
芭蕉湾村,ba'jiao'wan'cun
芭蕉乡,ba'jiao'xiang
八界,ba'jie
巴久乡,ba'jiu'xiang
八克,ba'ke
八科,ba'ke
把克,ba'ke
坝口,ba'kou
坝口村,ba'kou'cun
巴苦,ba'ku
巴库,ba'ku
八拉,ba'la
巴拉村,ba'la'cun
巴郎,ba'lang
巴朗,ba'lang
八连,ba'lian
吧龙,ba'long
把洛,ba'luo
八米罗,ba'mi'luo
八木,ba'mu
巴普,ba'pu
巴普镇,ba'pu'zhen
巴千,ba'qian
巴钦,ba'qin
巴汝乡,ba'ru'xiang
坝山,ba'shan
巴山村,ba'shan'cun
巴山沟,ba'shan'gou
巴施,ba'shi
巴松村,ba'song'cun
坝塘村,ba'tang'cun
八通,ba'tong
巴托,ba'tuo
八窝,ba'wo
坝心,ba'xin
坝心村,ba'xin'cun
巴休,ba'xiu
八岩,ba'yan
八岩村,ba'yan'cun
巴衣,ba'yi
八一村,ba'yi'cun
八一桥,ba'yi'qiao
巴则,ba'ze
八寨乡,ba'zhai'xiang
巴折,ba'zhe
巴折村,ba'zhe'cun
巴折乡,ba'zhe'xiang
把主,ba'zhu
坝子村,ba'zi'cun
白凹,bai'ao
摆摆顶,bai'bai'ding
白草,bai'cao
白草坝,bai'cao'ba
白草村,bai'cao'cun
白草地,bai'cao'di
白草沟,bai'cao'gou
白草坪,bai'cao'ping
白草坡,bai'cao'po
百草坡,bai'cao'po
白草坡村,bai'cao'po'cun
白草山,bai'cao'shan
白草湾,bai'cao'wan
白冲,bai'chong
白地沟,bai'di'gou
白房子,bai'fang'zi
白果村,bai'guo'cun
白果树,bai'guo'shu
白果乡,bai'guo'xiang
白果站,bai'guo'zhan
白鹤村,bai'he'cun
白鹤沟,bai'he'gou
白鹤山,bai'he'shan
白鹤滩,bai'he'tan
白虎沟,bai'hu'gou
白虎山,bai'hu'shan
白花塘,bai'hua'tang
白鸡村,bai'ji'cun
白鸡沟,bai'ji'gou
白鸡乡,bai'ji'xiang
柏家村,bai'jia'cun
