案卷,an'juan
保护现场,bao'hu'xian'chang
保人,bao'ren
保释,bao'shi
保障诉讼参与人依法享有诉讼权利,bao'zhang'su'song'can'yu'ren'yi'fa'xiang'you'su'song'quan'li
被告人,bei'gao'ren
被害人,bei'hai'ren
本诉,ben'su
辩护,bian'hu
辩护词,bian'hu'ci
辩护权,bian'hu'quan
辩护人,bian'hu'ren
辩护士,bian'hu'shi
辩护职能,bian'hu'zhi'neng
辩论主义,bian'lun'zhu'yi
并案管辖,bing'an'guan'xia
驳回申请回避的决定,bo'hui'shen'qing'hui'bi'de'jue'ding
补充鉴定,bu'chong'jian'ding
不告不理,bu'gao'bu'li
不间断原则,bu'jian'duan'yuan'ze
不立案决定,bu'li'an'jue'ding
部门管辖,bu'men'guan'xia
不起诉,bu'qi'su
不起诉决定书,bu'qi'su'jue'ding'shu
查封,cha'feng
撤回起诉,che'hui'qi'su
撤回诉讼,che'hui'su'song
撤回自诉,che'hui'zi'su
撤诉,che'su
撤销不起诉决定书,che'xiao'bu'qi'su'jue'ding'shu
撤销免予起诉决定书,che'xiao'mian'yu'qi'su'jue'ding'shu
程序法,cheng'xu'fa
重新鉴定,chong'xin'jian'ding
传唤,chuan'huan
传票,chuan'piao
传讯,chuan'xun
逮捕,dai'bu
逮捕证,dai'bu'zheng
担保保证书,dan'bao'bao'zheng'shu
当事人,dang'shi'ren
当事人主义,dang'shi'ren'zhu'yi
地区管辖,di'qu'guan'xia
地域管辖,di'yu'guan'xia
对公民在适用法律上一律平等,dui'gong'min'zai'shi'yong'fa'lv'shang'yi'lv'ping'deng
多数辩护,duo'shu'bian'hu
法定代理人,fa'ding'dai'li'ren
法定期间,fa'ding'qi'jian
法院直接受理的刑事案件,fa'yuan'zhi'jie'shou'li'de'xing'shi'an'jian
反诉,fan'su
翻译人员,fan'yi'ren'yuan
非常诉讼,fei'chang'su'song
非法逮捕,fei'fa'dai'bu
非法拘留,fei'fa'ju'liu
分工负责互相配合互相制约,fen'gong'fu'ze'hu'xiang'pei'he'hu'xiang'zhi'yue
附带民事诉讼,fu'dai'min'shi'su'song
附带民事诉讼的当事人,fu'dai'min'shi'su'song'de'dang'shi'ren
附带民事诉讼的原告人和被告人,fu'dai'min'shi'su'song'de'yuan'gao'ren'he'bei'gao'ren
告诉,gao'su
告诉才处理,gao'su'cai'chu'li
告诉乃论,gao'su'nai'lun
更换鉴定人,geng'huan'jian'ding'ren
公安机关侦查的刑事案件,gong'an'ji'guan'zhen'cha'de'xing'shi'an'jian
公诉,gong'su
公诉案件,gong'su'an'jian
公诉词,gong'su'ci
公诉机关,gong'su'ji'guan
公诉人,gong'su'ren
公诉制度,gong'su'zhi'du
共同辩护,gong'tong'bian'hu
管辖,guan'xia
管辖争议,guan'xia'zheng'yi
广义的刑事诉讼法,guang'yi'de'xing'shi'su'song'fa
国家职权主义,guo'jia'zhi'quan'zhu'yi
国家追诉主义,guo'jia'zhui'su'zhu'yi
互诉,hu'su
回避,hui'bi
回避决定,hui'bi'jue'ding
混合式诉讼,hun'he'shi'su'song
级别管辖,ji'bie'guan'xia
羁押,ji'ya
羁押时限,ji'ya'shi'xian
监被居住决定书,jian'bei'ju'zhu'jue'ding'shu
检察院自行侦查的刑事案件,jian'cha'yuan'zi'xing'zhen'cha'de'xing'shi'an'jian
鉴定人,jian'ding'ren
检举,jian'ju
检举权,jian'ju'quan
