岸本齐史,an'ben'qi'shi
安达充,an'da'chong
庵野秀明,an'ye'xiu'ming
奥山丰彦,ao'shan'feng'yan
北条司,bei'tiao'si
冰川京子,bing'chuan'jing'zi
朝雾夕,chao'wu'xi
成田美名子,cheng'tian'mei'ming'zi
赤石路代,chi'shi'lu'dai
川尻善昭,chuan'kao'shan'zhao
大暮维人,da'mu'wei'ren
大野克夫,da'ye'ke'fu
大友克洋,da'you'ke'yang
岛光裕,dao'guang'yu
都筑伸一郎,dou'zhu'shen'yi'lang
渡边信一郎,du'bian'xin'yi'lang
渡濑悠宇,du'lai'you'yu
读卖电视台,du'mai'dian'shi'tai
儿玉兼嗣,er'yu'jian'si
饭冈顺一,fan'gang'shun'yi
富坚义博,fu'jian'yi'bo
冈田光满,gang'tian'guang'man
高桥良辅,gao'qiao'liang'fu
高桥留美子,gao'qiao'liu'mei'zi
高畑勲,gao'tian'xun
高永,gao'yong
宫崎骏,gong'qi'jun
宫崎吾朗,gong'qi'wu'lang
桂正和,gui'zheng'he
河内由加利,he'nei'you'jia'li
和月伸宏,he'yue'shen'hong
吉卜力工作室,ji'bo'li'gong'zuo'shi
吉冈昌人,ji'gang'chang'ren
吉田洁,ji'tian'jie
集英社,ji'ying'she
吉住涉,ji'zhu'she
加贺谷玲,jia'he'gu'ling
加贺谷穰,jia'he'gu'rang
菅野洋子,jian'ye'yang'zi
今敏,jin'min
今千秋,jin'qian'qiu
近藤喜文,jin'teng'xi'wen
井上雄彦,jing'shang'xiong'yan
久保带人,jiu'bao'dai'ren
久石让,jiu'shi'rang
梁邦彦,liang'bang'yan
凉宫春日,liang'gong'chun'ri
铃木翼,ling'mu'yi
龙骑士,long'qi'shi
奈须蘑菇,nai'xu'mo'gu
鸟山明,niao'shan'ming
平出真弓,ping'chu'zhen'gong
平山礼子,ping'shan'li'zi
齐藤千穗,qi'teng'qian'sui
浅井认,qian'jing'ren
桥本一子,qiao'ben'yi'zi
青山刚昌,qing'shan'gang'chang
清水玲子,qing'shui'ling'zi
秋乃茉莉,qiu'nai'mo'li
取访道彦,qu'fang'dao'yan
森永爱,sen'yong'ai
山本泰一郎,shan'ben'tai'yi'lang
山口佑司,shan'kou'you'si
上野耕路,shang'ye'geng'lu
涉谷辛弘,she'gu'xin'hong
神尾叶子,shen'wei'ye'zi
时雨泽惠一,shi'yu'ze'hui'yi
矢泽爱,shi'ze'ai
手冢治虫,shou'zhong'zhi'chong
树夏实,shu'xia'shi
水岛努,shui'dao'nu
水上八重子,shui'shang'ba'zhong'zi
水野良,shui'ye'liang
藤本美步,teng'ben'mei'bu
藤岛康介,teng'dao'kang'jie
田中芳树,tian'zhong'fang'shu
望月智充,wang'yue'zhi'chong
尾崎南,wei'qi'nan
尾田荣一郎,wei'tian'rong'yi'lang
小川隆久,xiao'chuan'long'jiu
小林弘明,xiao'lin'hong'ming
小林克良,xiao'lin'ke'liang
小林智树,xiao'lin'zhi'shu
筱原千绘,xiao'yuan'qian'hui
筱冢广梦,xiao'zhong'guang'meng
新房昭之,xin'fang'zhao'zhi
新海诚,xin'hai'cheng
许斐刚,xu'fei'gang
须藤昌朋,xu'teng'chang'peng
押井守,ya'jing'shou
叶恭宏,ye'gong'hong
永井若菜,yong'jing'ruo'cai
由贵香织里,you'gui'xiang'zhi'li
游素兰,you'su'lan
元秀莲,yuan'xiu'lian
増田俊郎,zeng'tian'jun'lang
斋藤朋之,zhai'teng'peng'zhi
贞本义行,zhen'ben'yi'xing
仲村佳树,zhong'cun'jia'shu
种村有菜,zhong'cun'you'cai
椎名林檎,zhui'ming'lin'qin
紫堂恭子,zi'tang'gong'zi
