爱丽丝,ai'li'si
艾斯,ai'si
岸本齐史,an'ben'qi'shi
暗转,an'zhuan
凹招,ao'zhao
八割,ba'ge
八神疾风,ba'shen'ji'feng
霸体,ba'ti
八意永琳,ba'yi'yong'lin
八云橙,ba'yun'cheng
八云蓝,ba'yun'lan
八云紫,ba'yun'zi
白胡子,bai'hu'zi
白金,bai'jin
白金露娜,bai'jin'lu'na
柏叶巴,bai'ye'ba
版边,ban'bian
版边连,ban'bian'lian
坂井悠二,ban'jing'you'er
搬运连,ban'yun'lian
版中,ban'zhong
暴血,bao'xue
暴血段,bao'xue'duan
本城莲,ben'cheng'lian
崩坏,beng'huai
必杀,bi'sha
必杀技,bi'sha'ji
变化系,bian'hua'xi
鞭尸,bian'shi
表里,biao'li
表里择,biao'li'ze
表演连,biao'yan'lian
表纸,biao'zhi
冰属性,bing'shu'xing
波动,bo'dong
博丽灵梦,bo'li'ling'meng
波升,bo'sheng
不可受身,bu'ke'shou'shen
苍星石,cang'xing'shi
操纵系,cao'zong'xi
插动,cha'dong
缠斗型,chan'dou'xing
长门有希,chang'men'you'xi
朝比奈实玖瑠,chao'bi'nai'shi'jiu'liu
超必杀技,chao'bi'sha'ji
朝仓凉子,chao'cang'liang'zi
超杀,chao'sha
赤月知佳,chi'yue'zhi'jia
抽筋连,chou'jin'lian
初回特典,chu'hui'te'dian
雏苺,chu'mei
川壁桃花,chuan'bi'tao'hua
川尻善昭,chuan'kao'shan'zhao
次麻吕,ci'ma'lv
翠星石,cui'xing'shi
打点,da'dian
打防,da'fang
打击防御,da'ji'fang'yu
大剑,da'jian
大崎娜娜,da'qi'na'na
大人气作,da'ren'qi'zuo
大跳,da'tiao
打投择,da'tou'ze
大吾,da'wu
大小姐,da'xiao'jie
大友克洋,da'you'ke'yang
登场,deng'chang
低空中段,di'kong'zhong'duan
地雷震,di'lei'zhen
底力,di'li
电波,dian'bo
电波病毒,dian'bo'bing'du
电波警察,dian'bo'jing'cha
电波通讯,dian'bo'tong'xun
定身,ding'shen
碇真嗣,ding'zhen'si
东方院行人,dong'fang'yuan'xing'ren
动画设计,dong'hua'she'ji
动画者,dong'hua'zhe
动画专业词汇,dong'hua'zhuan'ye'ci'hui
动画总监,dong'hua'zong'jian
动作,dong'zuo
渡边信一郎,du'bian'xin'yi'lang
蹲防,dun'fang
蹲精防,dun'jing'fang
蹲强,dun'qiang
蹲弱,dun'ruo
蹲中,dun'zhong
多择,duo'ze
二段,er'duan
二段跳取消,er'duan'tiao'qu'xiao
二宫雏子,er'gong'chu'zi
二择,er'ze
发生确认,fa'sheng'que'ren
发生时间,fa'sheng'shi'jian
返技,fan'ji
反击确认,fan'ji'que'ren
反精防,fan'jing'fang
反叛的鲁鲁修,fan'pan'de'lu'lu'xiu
放出系,fang'chu'xi
芳野祐介,fang'ye'you'jie
防御槽,fang'yu'cao
防御型,fang'yu'xing
防御值,fang'yu'zhi
飞道,fei'dao
分镜表,fen'jing'biao
芙兰朵露,fu'lan'duo'lu
弗兰奇,fu'lan'qi
弗朗基,fu'lang'ji
腐女,fu'nv
腐女子,fu'nv'zi
冈崎真一,gang'qi'zhen'yi
冈太,gang'tai
高达,gao'da
高町奈叶,gao'ding'nai'ye
高木泰士,gao'mu'tai'shi
高速中段,gao'su'zhong'duan
高畑勲,gao'tian'xun
攻击型,gong'ji'xing
工口,gong'kou
宫崎骏,gong'qi'jun
古泉一树,gu'quan'yi'shu
故事设定,gu'shi'she'ding
刮网刀,gua'wang'dao
怪叔叔,guai'shu'shu
怪蜀黍,guai'shu'shu
关厕所,guan'ce'suo
桂雏菊,gui'chu'ju
贵岛沙希,gui'dao'sha'xi
鬼梗,gui'geng
桂心,gui'xin
桂言叶,gui'yan'ye
国民连,guo'min'lian
哈尔的移动城堡,ha'er'de'yi'dong'cheng'bao
海贼王,hai'zei'wang
黑胡子,hei'hu'zi
黒井奈奈子,hei'jing'nai'nai'zi
黑田光,hei'tian'guang
红发,hong'fa
红美铃,hong'mei'ling
滑铲,hua'chan
画集,hua'ji
画面扩大或缩小,hua'mian'kuo'da'huo'suo'xiao
花园花铃,hua'yuan'hua'ling
花泽香菜,hua'ze'xiang'cai
幻术,huan'shu
回防取消,hui'fang'qu'xiao
秽土转生,hui'tu'zhuan'sheng
魂魄妖梦,hun'po'yao'meng
火遁,huo'dun
火属性,huo'shu'xing
惑星,huo'xing
火影忍者,huo'ying'ren'zhe
击壁,ji'bi
基德,ji'de
基底修正,ji'di'xiu'zheng
