艾昂尼尔锡青铜,ai'ang'ni'er'xi'qing'tong
爱尔兰钢公司,ai'er'lan'gang'gong'si
爱尔兰共和国,ai'er'lan'gong'he'guo
艾罗纳克高硅耐热耐蚀铸铁,ai'luo'na'ke'gao'gui'nai're'nai'shi'zhu'tie
艾罗纳铸铁,ai'luo'na'zhu'tie
埃诺镍铬钼合金,ai'nuo'nie'ge'mu'he'jin
碍视曲线,ai'shi'qu'xian
艾索弗雷克斯小型钟表用发条,ai'suo'fu'lei'ke'si'xiao'xing'zhong'biao'yong'fa'tiao
岸崩,an'beng
岸壁,an'bi
暗槽,an'cao
氨的间接回收,an'de'jian'jie'hui'shou
按电钮点焊,an'dian'niu'dian'han
暗丁砖,an'ding'zhuan
按钢锭计算的生产能力,an'gang'ding'ji'suan'de'sheng'chan'neng'li
暗沟排水,an'gou'pai'shui
暗红,an'hong
氨基甲酸酯,an'ji'jia'suan'zhi
按钮,an'niu
按钮开关,an'niu'kai'guan
鞍桥,an'qiao
安全阀,an'quan'fa
安全盒,an'quan'he
安全臼,an'quan'jiu
安全零件,an'quan'ling'jian
按日计工,an'ri'ji'gong
按照事实本身,an'zhao'shi'shi'ben'shen
安置初始值,an'zhi'chu'shi'zhi
安装,an'zhuang
安装地点,an'zhuang'di'dian
安装费,an'zhuang'fei
安装费用,an'zhuang'fei'yong
安装规程,an'zhuang'gui'cheng
安装技术员,an'zhuang'ji'shu'yuan
安装能力,an'zhuang'neng'li
安装时间,an'zhuang'shi'jian
安装试验,an'zhuang'shi'yan
安装头,an'zhuang'tou
安装图,an'zhuang'tu
安装用人字架,an'zhuang'yong'ren'zi'jia
安装在顶棚上的,an'zhuang'zai'ding'peng'shang'de
凹刨刨刀,ao'bao'bao'dao
凹碴床,ao'cha'chuang
凹锭夹钳,ao'ding'jia'qian
奥多莱西轧钢工业公司,ao'duo'lai'xi'zha'gang'gong'ye'gong'si
螯合,ao'he
螯合的,ao'he'de
螯合滴定,ao'he'di'ding
螯合剂,ao'he'ji
螯合物萃取,ao'he'wu'cui'qu
螯合物树脂,ao'he'wu'shu'zhi
凹面焊缝,ao'mian'han'feng
凹模,ao'mo
凹入的,ao'ru'de
奥氏体本质晶粒度,ao'shi'ti'ben'zhi'jing'li'du
螯形的,ao'xing'de
螯形化合物,ao'xing'hua'he'wu
螯型络合物萃取,ao'xing'luo'he'wu'cui'qu
巴巴拉冶金公司,ba'ba'la'ye'jin'gong'si
巴比合金离心熔注机,ba'bi'he'jin'li'xin'rong'zhu'ji
拔锭起重机,ba'ding'qi'zhong'ji
疤钢,ba'gang
巴塞式上下双动式水压机,ba'sai'shi'shang'xia'shuang'dong'shi'shui'ya'ji
巴塞式上下双动水压机,ba'sai'shi'shang'xia'shuang'dong'shui'ya'ji
巴特尔式换接电极尖,ba'te'er'shi'huan'jie'dian'ji'jian
巴特勒分厂,ba'te'le'fen'chang
巴特雷斯型丝扣,ba'te'lei'si'xing'si'kou
巴特斯多中真空过滤机,ba'te'si'duo'zhong'zhen'kong'guo'lv'ji
巴西钢公司,ba'xi'gang'gong'si
巴西褐铁矿,ba'xi'he'tie'kuang
巴西炼铁公司,ba'xi'lian'tie'gong'si
巴西裂试验,ba'xi'lie'shi'yan
巴西棕榈蜡,ba'xi'zong'lv'la
巴西棕榈酸,ba'xi'zong'lv'suan
靶心,ba'xin
扒渣并造渣,ba'zha'bing'zao'zha
扒中渣,ba'zhong'zha
百磅重,bai'bang'zhong
白炽带,bai'chi'dai
白炽的,bai'chi'de
白炽灯泡,bai'chi'deng'pao
白炽灯丝,bai'chi'deng'si
白炽电灯,bai'chi'dian'deng
白炽光,bai'chi'guang
摆锤式冲击试验,bai'chui'shi'chong'ji'shi'yan
白垩,bai'e
拜厄德肯韦斯特工程公司,bai'e'de'ken'wei'si'te'gong'cheng'gong'si
白垩涂层试验,bai'e'tu'ceng'shi'yan
百分温标,bai'fen'wen'biao
百分温度,bai'fen'wen'du
百分温度计,bai'fen'wen'du'ji
百分之一巴,bai'fen'zhi'yi'ba
百分之一泊,bai'fen'zhi'yi'bo
柏格哈特指数,bai'ge'ha'te'zhi'shu
柏格斯回路,bai'ge'si'hui'lu
柏格斯矢量,bai'ge'si'shi'liang
柏格斯位错,bai'ge'si'wei'cuo
白光照明,bai'guang'zhao'ming
摆轮式混砂机,bai'lun'shi'hun'sha'ji
白铅矿,bai'qian'kuang
白圈,bai'quan
白热温度,bai're'wen'du
柏瑞奥赛特气体分析器,bai'rui'ao'sai'te'qi'ti'fen'xi'qi
白色锈层,bai'se'xiu'ceng
板,ban
瓣,ban
斑点模糊,ban'dian'mo'hu
瓣阀,ban'fa
半截锭,ban'jie'ding
半结晶,ban'jie'jing
半块砖,ban'kuai'zhuan
板料展开,ban'liao'zhan'kai
板坯,ban'pi
半平面,ban'ping'mian
半球面凹槽镘刀,ban'qiu'mian'ao'cao'man'dao
半酸性耐火砖,ban'suan'xing'nai'huo'zhuan
板钛矿,ban'tai'kuang
斑铜矿,ban'tong'kuang
半无烟煤,ban'wu'yan'mei
半悬钢板,ban'xuan'gang'ban
搬运,ban'yun
搬运机,ban'yun'ji
板桩挡土墙码头,ban'zhuang'dang'tu'qiang'ma'tou
板桩联系帽梁,ban'zhuang'lian'xi'mao'liang
磅秤,bang'cheng
邦杜尔可锻铝合金,bang'du'er'ke'duan'lv'he'jin
邦杜耐蚀铝合金,bang'du'nai'shi'lv'he'jin
绑接钢丝,bang'jie'gang'si
邦克希尔预烧结法,bang'ke'xi'er'yu'shao'jie'fa
棒料感应加热器,bang'liao'gan'ying'jia're'qi
邦奇钢工业公司,bang'qi'gang'gong'ye'gong'si
包层的金属,bao'ceng'de'jin'shu
包层钢丝,bao'ceng'gang'si
包底大块砖,bao'di'da'kuai'zhuan
鲍尔巴尔夫法,bao'er'ba'er'fu'fa
包尔登管式压力计,bao'er'deng'guan'shi'ya'li'ji
爆发,bao'fa
爆发现象,bao'fa'xian'xiang
包覆层,bao'fu'ceng
包覆的,bao'fu'de
包覆的金属,bao'fu'de'jin'shu
包复金属的,bao'fu'jin'shu'de
包钢层压制品,bao'gang'ceng'ya'zhi'pin
曝光过度的,bao'guang'guo'du'de
饱和度,bao'he'du
保护垫圈,bao'hu'dian'quan
保护硬杆焊,bao'hu'ying'gan'han
保护罩,bao'hu'zhao
刨花板,bao'hua'ban
爆裂,bao'lie
爆裂强度,bao'lie'qiang'du
爆裂应力,bao'lie'ying'li
薄膜集成电阻,bao'mo'ji'cheng'dian'zu
爆皮,bao'pi
爆破数据,bao'po'shu'ju
爆破压力,bao'po'ya'li
包壳,bao'qiao
包青铜钢,bao'qing'tong'gang
包砂,bao'sha
鲍氏比重计,bao'shi'bi'zhong'ji
鲍氏反应,bao'shi'fan'ying
鲍氏反应曲线,bao'shi'fan'ying'qu'xian
鲍斯曼垫物防溅铸锭法,bao'si'man'dian'wu'fang'jian'zhu'ding'fa
包套,bao'tao
包套剂压法,bao'tao'ji'ya'fa
保温,bao'wen
保温垫片,bao'wen'dian'pian
保温期,bao'wen'qi
保温时间孕育期时间,bao'wen'shi'jian'yun'yu'qi'shi'jian
保温贴片,bao'wen'tie'pian
保温纸,bao'wen'zhi
保温砖,bao'wen'zhuan
保险费,bao'xian'fei
保险杆角撑板,bao'xian'gan'jiao'cheng'ban
保险件,bao'xian'jian
保险器,bao'xian'qi
保险器支架,bao'xian'qi'zhi'jia
保险丝盒,bao'xian'si'he
保险碗,bao'xian'wan
爆炸,bao'zha
爆炸掩蔽室,bao'zha'yan'bi'shi
胞状反应,bao'zhuang'fan'ying
胞状晶体,bao'zhuang'jing'ti
包装台,bao'zhuang'tai
被变址,bei'bian'zhi
钡长石,bei'chang'shi
被调量的变化,bei'diao'liang'de'bian'hua
被调用程序,bei'diao'yong'cheng'xu
被调用过程,bei'diao'yong'guo'cheng
贝尔戈米内拉黑色冶金公司,bei'er'ge'mi'nei'la'hei'se'ye'jin'gong'si
被服壁,bei'fu'bi
被呼叫用户,bei'hu'jiao'yong'hu
焙解,bei'jie
备料,bei'liao
备料车间,bei'liao'che'jian
被膜,bei'mo
焙砂,bei'sha
焙砂仓,bei'sha'cang
焙砂淬冷槽,bei'sha'cui'leng'cao
焙砂浸出,bei'sha'jin'chu
焙砂浸出流程,bei'sha'jin'chu'liu'cheng
焙砂浸出系统,bei'sha'jin'chu'xi'tong
焙砂冷却器,bei'sha'leng'que'qi
焙砂料仓,bei'sha'liao'cang
焙砂排出口,bei'sha'pai'chu'kou
焙砂小车,bei'sha'xiao'che
焙砂溢流,bei'sha'yi'liu
焙砂溢流管,bei'sha'yi'liu'guan
焙烧不足,bei'shao'bu'zu
焙烧操作,bei'shao'cao'zuo
焙烧的一致性,bei'shao'de'yi'zhi'xing
焙烧工段,bei'shao'gong'duan
焙烧过程,bei'shao'guo'cheng
焙烧矿,bei'shao'kuang
焙烧矿石辊碎机,bei'shao'kuang'shi'gun'sui'ji
焙烧矿装料反射炉,bei'shao'kuang'zhuang'liao'fan'she'lu
焙烧炉罩,bei'shao'lu'zhao
焙烧设备,bei'shao'she'bei
焙烧铁矿石,bei'shao'tie'kuang'shi
焙烧杨,bei'shao'yang
焙烧窑,bei'shao'yao
备用电缆,bei'yong'dian'lan
本恩图表,ben'en'tu'biao
本领,ben'ling
本生灯,ben'sheng'deng
本生漏斗,ben'sheng'lou'dou
本生式光度计,ben'sheng'shi'guang'du'ji
本生吸收系数,ben'sheng'xi'shou'xi'shu
本体,ben'ti
本土点,ben'tu'dian
本性,ben'xing
本征半导体,ben'zheng'ban'dao'ti
本征层,ben'zheng'ceng
本征吸收,ben'zheng'xi'shou
本征型,ben'zheng'xing
本征籽晶,ben'zheng'zi'jing
本质的细晶粒,ben'zhi'de'xi'jing'li
本质光电晶体,ben'zhi'guang'dian'jing'ti
本质晶粒度,ben'zhi'jing'li'du
本质色晶体,ben'zhi'se'jing'ti
本质锗,ben'zhi'zhe
泵回气体,beng'hui'qi'ti
崩料,beng'liao
崩裂,beng'lie
铋,bi
毕奥萨瓦尔定律,bi'ao'sa'wa'er'ding'lv
毕奥数,bi'ao'shu
铋除,bi'chu
壁橱,bi'chu
壁灯,bi'deng
铋碲化合物,bi'di'hua'he'wu
铋浮渣,bi'fu'zha
铋汞合金,bi'gong'he'jin
铋焊料,bi'han'liao
铋华,bi'hua
铋基合金,bi'ji'he'jin
铋卷线,bi'juan'xian
壁炉,bi'lu
闭路器,bi'lu'qi
壁炉燃烧室,bi'lu'ran'shao'shi
蓖麻油,bi'ma'you
蓖麻油石墨胶体溶液,bi'ma'you'shi'mo'jiao'ti'rong'ye
闭门扣,bi'men'kou
铋锰,bi'meng
铋青铜,bi'qing'tong
闭塞,bi'se
闭塞的,bi'se'de
闭塞了的,bi'se'le'de
闭塞系统,bi'se'xi'tong
避湿层,bi'shi'ceng
闭式叶轮,bi'shi'ye'lun
铋酸盐,bi'suan'yan
闭锁,bi'suo
闭锁继电器,bi'suo'ji'dian'qi
闭锁了的,bi'suo'le'de
闭锁弹簧,bi'suo'tan'huang
比特,bi'te
毕特磁畴图象,bi'te'ci'chou'tu'xiang
毕特粉纹,bi'te'fen'wen
毕特粉纹法,bi'te'fen'wen'fa
毕特线圈,bi'te'xian'quan
闭销电压,bi'xiao'dian'ya
闭销阀,bi'xiao'fa
壁行式抛砂机,bi'xing'shi'pao'sha'ji
比喻,bi'yu
编比机带,bian'bi'ji'dai
边部裂纹,bian'bu'lie'wen
辫带式钢索,bian'dai'shi'gang'suo
扁锭模,bian'ding'mu
变动,bian'dong
扁锻锤,bian'duan'chui
扁钢锭模,bian'gang'ding'mu
变更记录,bian'geng'ji'lu
变更转储,bian'geng'zhuan'chu
变黑焦粉灰浆,bian'hei'jiao'fen'hui'jiang
变化荷载,bian'hua'he'zai
变化检测器,bian'hua'jian'ce'qi
变换表,bian'huan'biao
变换逻辑,bian'huan'luo'ji
变换器,bian'huan'qi
边界,bian'jie
边界层,bian'jie'ceng
边界层空吸,bian'jie'ceng'kong'xi
边界层理论,bian'jie'ceng'li'lun
边界层吸取,bian'jie'ceng'xi'qu
边界成分,bian'jie'cheng'fen
边界尺寸,bian'jie'chi'cun
边界回波,bian'jie'hui'bo
边界膜,bian'jie'mo
边界摩擦,bian'jie'mo'ca
边界能量,bian'jie'neng'liang
边界曲线,bian'jie'qu'xian
边界线,bian'jie'xian
边界效应,bian'jie'xiao'ying
变蓝的,bian'lan'de
变料单,bian'liao'dan
编目,bian'mu
编目控制,bian'mu'kong'zhi
扁平型芯,bian'ping'xing'xin
扁千斤顶,bian'qian'jin'ding
辨认,bian'ren
边射天线,bian'she'tian'xian
变速齿轮,bian'su'chi'lun
变速齿轮架,bian'su'chi'lun'jia
变速轮,bian'su'lun
变速运转,bian'su'yun'zhuan
辫线,bian'xian
变形镍基耐热合金,bian'xing'nie'ji'nai're'he'jin
变压器安全管,bian'ya'qi'an'quan'guan
变异点,bian'yi'dian
变应力蠕变试验,bian'ying'li'ru'bian'shi'yan
扁圆坯,bian'yuan'pi
编织层,bian'zhi'ceng
编织机,bian'zhi'ji
编制目录,bian'zhi'mu'lu
编织线,bian'zhi'xian
编织线钢丝绳,bian'zhi'xian'gang'si'sheng
变址装置,bian'zhi'zhuang'zhi
变址字,bian'zhi'zi
扁铸坯,bian'zhu'pi
扁钻,bian'zuan
表层,biao'ceng
表层渗碳炉,biao'ceng'shen'tan'lu
表层硬度,biao'ceng'ying'du
标定曲线,biao'ding'qu'xian
标定式内孔窥视仪,biao'ding'shi'nei'kong'kui'shi'yi
标度内孔探测镜,biao'du'nei'kong'tan'ce'jing
表观增量磁化力,biao'guan'zeng'liang'ci'hua'li
标记,biao'ji
标镜,biao'jing
标距筒,biao'ju'tong
杓轮,biao'lun
表面变形现象,biao'mian'bian'xing'xian'xiang
表面层起鳞,biao'mian'ceng'qi'lin
表面淬硬性,biao'mian'cui'ying'xing
表面镀铬活塞环,biao'mian'du'ge'huo'sai'huan
表面分层,biao'mian'fen'ceng
表面激冷的,biao'mian'ji'leng'de
表面清理车间,biao'mian'qing'li'che'jian
表面渗碳,biao'mian'shen'tan
表面渗碳层,biao'mian'shen'tan'ceng
表面渗碳钢,biao'mian'shen'tan'gang
表面碳化钢,biao'mian'tan'hua'gang
表面特征,biao'mian'te'zheng
表面涂碳,biao'mian'tu'tan
表面脱碳层,biao'mian'tuo'tan'ceng
表面无涂覆钢丝绳,biao'mian'wu'tu'fu'gang'si'sheng
表面氧化发黑处理,biao'mian'yang'hua'fa'hei'chu'li
表面硬化,biao'mian'ying'hua
表面硬化钢,biao'mian'ying'hua'gang
表面硬化剂,biao'mian'ying'hua'ji
表面硬化炉,biao'mian'ying'hua'lu
表面硬化能力,biao'mian'ying'hua'neng'li
表面硬化深度,biao'mian'ying'hua'shen'du
表面硬化用渗碳剂,biao'mian'ying'hua'yong'shen'tan'ji
表面硬化铸件,biao'mian'ying'hua'zhu'jian
表面张力毛细管测定法,biao'mian'zhang'li'mao'xi'guan'ce'ding'fa
表明,biao'ming
表皮硬化,biao'pi'ying'hua
表色管,biao'se'guan
标识码,biao'shi'ma
表示特性,biao'shi'te'xing
表征,biao'zheng
标志,biao'zhi
标志卡,biao'zhi'ka
标识伦琴射线,biao'zhi'lun'qin'she'xian
标准点,biao'zhun'dian
标准电容器,biao'zhun'dian'rong'qi
标准件,biao'zhun'jian
标准块,biao'zhun'kuai
标准量规,biao'zhun'liang'gui
标准仪表,biao'zhun'yi'biao
饼,bing
冰,bing
冰点,bing'dian
冰冻水,bing'dong'shui
冰花状组织,bing'hua'zhuang'zu'zhi
冰阱,bing'jing
冰晶石,bing'jing'shi
冰冷的,bing'leng'de
冰冷溶液,bing'leng'rong'ye
并联,bing'lian
并联电路,bing'lian'dian'lu
并联放大器,bing'lian'fang'da'qi
并联塞孔,bing'lian'sai'kong
冰模,bing'mo
并排断续焊,bing'pai'duan'xu'han
并排断续焊缝,bing'pai'duan'xu'han'feng
并排断续角焊,bing'pai'duan'xu'jiao'han
并排断续角焊缝,bing'pai'duan'xu'jiao'han'feng
冰却捕集器,bing'que'bu'ji'qi
冰室,bing'shi
冰水,bing'shui
丙烷丁烷混合气,bing'wan'ding'wan'hun'he'qi
冰箱,bing'xiang
冰箱效应,bing'xiang'xiao'ying
冰洲石,bing'zhou'shi
饼状物,bing'zhuang'wu
钵,bo
博毕尔高锌黄铜,bo'bi'er'gao'xin'huang'tong
波长范围,bo'chang'fan'wei
波长展开引起的增宽,bo'chang'zhan'kai'yin'qi'de'zeng'kuan
波导管阻波凸缘,bo'dao'guan'zu'bo'tu'yuan
博德钢公司,bo'de'gang'gong'si
伯德图,bo'de'tu
波动,bo'dong
波段宽度,bo'duan'kuan'du
伯恩钢管公司,bo'en'gang'guan'gong'si
伯恩斯港厂,bo'en'si'gang'chang
玻尔半径,bo'er'ban'jing
玻尔磁子,bo'er'ci'zi
玻尔磁子数,bo'er'ci'zi'shu
波尔顿灰口铁浸蚀剂,bo'er'dun'hui'kou'tie'jin'shi'ji
波尔多尼峰,bo'er'duo'ni'feng
玻尔模型,bo'er'mo'xing
波尔南德电炉,bo'er'nan'de'dian'lu
玻尔萨默菲尔德量子理论,bo'er'sa'mo'fei'er'de'liang'zi'li'lun
玻尔萨默菲尔德原子模型,bo'er'sa'mo'fei'er'de'yuan'zi'mo'xing
玻尔原子结构理论,bo'er'yuan'zi'jie'gou'li'lun
玻尔原子模型,bo'er'yuan'zi'mo'xing
玻耳兹曼常数,bo'er'zi'man'chang'shu
玻耳兹曼定理,bo'er'zi'man'ding'li
