案由,an'you
捌级,ba'ji
捌级伤残,ba'ji'shang'can
被申请人,bei'shen'qing'ren
带薪年休假,dai'xin'nian'xiu'jia
工伤保险待遇,gong'shang'bao'xian'dai'yu
关联性,guan'lian'xing
合法性,he'fa'xing
护理费,hu'li'fei
伙食补助,huo'shi'bu'zhu
加班加点工资,jia'ban'jia'dian'gong'zi
鉴定费,jian'ding'fei
交通费,jiao'tong'fei
解除劳动关系,jie'chu'lao'dong'guan'xi
解除劳动关系通知书,jie'chu'lao'dong'guan'xi'tong'zhi'shu
解除劳动合同,jie'chu'lao'dong'he'tong
玖级,jiu'ji
玖级伤残,jiu'ji'shang'can
劳动合同书,lao'dong'he'tong'shu
劳动能力初次鉴定,lao'dong'neng'li'chu'ci'jian'ding
劳动仲裁,lao'dong'zhong'cai
履行劳动合同,lv'xing'lao'dong'he'tong
捺印,na'yin
请求事项,qing'qiu'shi'xiang
确认劳动关系,que'ren'lao'dong'guan'xi
认定工伤决定书,ren'ding'gong'shang'jue'ding'shu
认可,ren'ke
拾级,she'ji
拾级伤残,she'ji'shang'can
申请人,shen'qing'ren
事实和理由,shi'shi'he'li'you
授权委托,shou'quan'wei'tuo
特别授权,te'bie'shou'quan
停工留薪期,ting'gong'liu'xin'qi
停工留薪期工资,ting'gong'liu'xin'qi'gong'zi
委托代理人,wei'tuo'dai'li'ren
无异议,wu'yi'yi
一般代理,yi'ban'dai'li
一般授权,yi'ban'shou'quan
一次性工伤医疗补助,yi'ci'xing'gong'shang'yi'liao'bu'zhu
一次性工伤医疗补助金,yi'ci'xing'gong'shang'yi'liao'bu'zhu'jin
一次性伤残补助,yi'ci'xing'shang'can'bu'zhu
一次性伤残补助金,yi'ci'xing'shang'can'bu'zhu'jin
一次性伤残就业补助,yi'ci'xing'shang'can'jiu'ye'bu'zhu
一次性伤残就业补助金,yi'ci'xing'shang'can'jiu'ye'bu'zhu'jin
壹级,yi'ji
壹级伤残,yi'ji'shang'can
愿意,yuan'yi
真实性,zhen'shi'xing
仲裁申请书,zhong'cai'shen'qing'shu
终止劳动合同,zhong'zhi'lao'dong'he'tong
住院伙食补助费,zhu'yuan'huo'shi'bu'zhu'fei
