阿北路,a'bei'lu
阿北小区,a'bei'xiao'qu
阿尔丁北大街,a'er'ding'bei'da'jie
阿尔丁大街,a'er'ding'da'jie
阿吉奈道,a'ji'nai'dao
阿南小区,a'nan'xiao'qu
安利公司,an'li'gong'si
鞍山道,an'shan'dao
八地质队,ba'di'zhi'dui
八一公园,ba'yi'gong'yuan
白草沟,bai'cao'gou
白云路,bai'yun'lu
白云药店,bai'yun'yao'dian
白云综合市场,bai'yun'zong'he'shi'chang
包百大楼,bao'bai'da'lou
包百南口,bao'bai'nan'kou
包钢八中,bao'gang'ba'zhong
包钢二十六小,bao'gang'er'shi'liu'xiao
包钢技校,bao'gang'ji'xiao
包钢九中,bao'gang'jiu'zhong
包钢科技楼,bao'gang'ke'ji'lou
包钢七小,bao'gang'qi'xiao
包钢三中,bao'gang'san'zhong
包钢设计处,bao'gang'she'ji'chu
包钢十七小,bao'gang'shi'qi'xiao
包钢十三中,bao'gang'shi'san'zhong
包钢十五中,bao'gang'shi'wu'zhong
包钢十小,bao'gang'shi'xiao
包钢五中,bao'gang'wu'zhong
包钢医院,bao'gang'yi'yuan
包钢印刷厂,bao'gang'yin'shua'chang
包钢招待所,bao'gang'zhao'dai'suo
包钢重菱锅炉厂,bao'gang'zhong'ling'guo'lu'chang
保利花园,bao'li'hua'yuan
宝立龙汽车贸易公司,bao'li'long'qi'che'mao'yi'gong'si
保利沁心园,bao'li'qin'xin'yuan
宝林商厦,bao'lin'shang'sha
包师院,bao'shi'yuan
包头财校,bao'tou'cai'xiao
包头钢院,bao'tou'gang'yuan
包头火车站,bao'tou'huo'che'zhan
包头客车厂,bao'tou'ke'che'chang
包头乐园,bao'tou'le'yuan
包头啤酒厂,bao'tou'pi'jiu'chang
包头市扶贫医院,bao'tou'shi'fu'pin'yi'yuan
包头市宏腾贸易公司,bao'tou'shi'hong'teng'mao'yi'gong'si
包头市建委,bao'tou'shi'jian'wei
包头市粮油批发市场,bao'tou'shi'liang'you'pi'fa'shi'chang
包头师院,bao'tou'shi'yuan
包头兽药厂,bao'tou'shou'yao'chang
包头糖厂,bao'tou'tang'chang
包头铜厂,bao'tou'tong'chang
包头王酒厂,bao'tou'wang'jiu'chang
