安德路,an'de'lu
安定门,an'ding'men
安华里,an'hua'li
安化楼,an'hua'lou
安华桥,an'hua'qiao
安慧桥,an'hui'qiao
安苑路,an'yuan'lu
安贞里,an'zhen'li
安贞桥,an'zhen'qiao
安贞西里,an'zhen'xi'li
奥体北门,ao'ti'bei'men
八宝山,ba'bao'shan
八宝山地铁,ba'bao'shan'di'tie
八大处,ba'da'chu
八大处中学,ba'da'chu'zhong'xue
巴沟村,ba'gou'cun
巴沟村西口,ba'gou'cun'xi'kou
八角西街,ba'jiao'xi'jie
八里桥北站,ba'li'qiao'bei'zhan
八里庄,ba'li'zhuang
八里庄南里,ba'li'zhuang'nan'li
八王坟,ba'wang'fen
八一湖,ba'yi'hu
八一射击场,ba'yi'she'ji'chang
白堆子,bai'dui'zi
白家庄,bai'jia'zhuang
百利宝专线,bai'li'bao'zhuan'xian
白庙,bai'miao
白桥大街,bai'qiao'da'jie
白石桥,bai'shi'qiao
白塔寺,bai'ta'si
百万庄东口,bai'wan'zhuang'dong'kou
白云路,bai'yun'lu
白纸坊,bai'zhi'fang
百子湾,bai'zi'wan
百子湾火车站,bai'zi'wan'huo'che'zhan
半壁店,ban'bi'dian
半步桥,ban'bu'qiao
梆子井,bang'zi'jing
宝钞胡同,bao'chao'hu'tong
豹房,bao'fang
保福寺,bao'fu'si
北兵马司,bei'bing'ma'si
北辰路,bei'chen'lu
北池子,bei'chi'zi
北方交大,bei'fang'jiao'da
北宫门,bei'gong'men
北官厅,bei'guan'ting
北海,bei'hai
北海北门,bei'hai'bei'men
北海后门,bei'hai'hou'men
北郊长途汽车站,bei'jiao'chang'tu'qi'che'zhan
北郊市场,bei'jiao'shi'chang
北京,bei'jing
北京大学,bei'jing'da'xue
北京经济技术开发区专线,bei'jing'jing'ji'ji'shu'kai'fa'qu'zhuan'xian
北京南站,bei'jing'nan'zhan
北京南站长途汽车站,bei'jing'nan'zhan'chang'tu'qi'che'zhan
北京体育馆,bei'jing'ti'yu'guan
北京西站,bei'jing'xi'zhan
北京游乐园,bei'jing'you'le'yuan
北京站,bei'jing'zhan
北京站口,bei'jing'zhan'kou
北京字站,bei'jing'zi'zhan
北普陀专线,bei'pu'tuo'zhuan'xian
北沙滩,bei'sha'tan
北太平庄,bei'tai'ping'zhuang
北太平庄西站,bei'tai'ping'zhuang'xi'zhan
北土城,bei'tu'cheng
北土城路,bei'tu'cheng'lu
北纬路,bei'wei'lu
北下关,bei'xia'guan
北线阁,bei'xian'ge
北小街豁口,bei'xiao'jie'huo'kou
北新桥,bei'xin'qiao
北苑,bei'yuan
菜户营,cai'hu'ying
菜户营南路,cai'hu'ying'nan'lu
菜户营南站,cai'hu'ying'nan'zhan
菜市口,cai'shi'kou
曹家沟,cao'jia'gou
