阿德勒心理学,a'de'le'xin'li'xue
阿德勒心理治疗,a'de'le'xin'li'zhi'liao
阿蒂斯现象,a'di'si'xian'xiang
阿窦,a'dou
阿芬太尼,a'fen'tai'ni
阿弗他溃疡,a'fu'ta'kui'yang
阿洪病,a'hong'bing
阿克卡环,a'ke'ka'huan
阿米巴病,a'mi'ba'bing
阿米巴肺脓肿,a'mi'ba'fei'nong'zhong
阿尼齐科夫细胞,a'ni'qi'ke'fu'xi'bao
阿佩尔综合征,a'pei'er'zong'he'zheng
阿曲库铵,a'qu'ku'an
阿绍夫小体,a'shao'fu'xiao'ti
癌变,ai'bian
艾宾豪斯错觉,ai'bin'hao'si'cuo'jue
埃伯内腺,ai'bo'nei'xian
埃伯内线,ai'bo'nei'xian
爱德华兹心脏瓣膜,ai'de'hua'zi'xin'zang'ban'mo
爱德生试验,ai'de'sheng'shi'yan
爱好,ai'hao
癌基因,ai'ji'yin
埃勒斯,ai'le'si
埃利森综合征,ai'li'sen'zong'he'zheng
埃利希侧链学说,ai'li'xi'ce'lian'xue'shuo
艾默夹板,ai'mo'jia'ban
癌胚抗原,ai'pei'kang'yuan
癌前病变,ai'qian'bing'bian
癌肉瘤,ai'rou'liu
艾森克人格问卷,ai'sen'ke'ren'ge'wen'juan
癌症,ai'zheng
艾滋病,ai'zi'bing
安定,an'ding
按抚法,an'fu'fa
安氟醚,an'fu'mi
鞍基,an'ji
氨基丁酸,an'ji'ding'suan
氨基己糖苷酶,an'ji'ji'tang'gan'mei
氨基酸代谢病,an'ji'suan'dai'xie'bing
暗间隙,an'jian'xi
鞍结节脑膜瘤,an'jie'jie'nao'mo'liu
按摩,an'mo
按摩膏,an'mo'gao
鞍区阻滞,an'qu'zu'zhi
安全标准,an'quan'biao'zhun
安全带伤,an'quan'dai'shang
安全分析,an'quan'fen'xi
安全工程,an'quan'gong'cheng
安全面切盘,an'quan'mian'qie'pan
安全评价,an'quan'ping'jia
安全心理学,an'quan'xin'li'xue
安全训练,an'quan'xun'lian
暗色丝孢霉病,an'se'si'bao'mei'bing
鞍上脑膜瘤,an'shang'nao'mo'liu
暗示,an'shi
暗视觉,an'shi'jue
暗示性,an'shi'xing
暗适应,an'shi'ying
暗适应曲线,an'shi'ying'qu'xian
暗示治疗,an'shi'zhi'liao
氨水烧伤,an'shui'shao'shang
安泰酮,an'tai'tong
安慰剂,an'wei'ji
安慰剂效应,an'wei'ji'xiao'ying
氨酰胆碱,an'xian'dan'jian
奥伯试验,ao'bo'shi'yan
奥迪括约肌成形术,ao'di'kuo'yue'ji'cheng'xing'shu
奥迪括约肌切开术,ao'di'kuo'yue'ji'qie'kai'shu
奥迪括约肌狭窄,ao'di'kuo'yue'ji'xia'zhai
奥地利学派,ao'di'li'xue'pai
奥尔布赖特综合征,ao'er'bu'lai'te'zong'he'zheng
奥尔德里奇综合征,ao'er'de'li'qi'zong'he'zheng
奥斯皮茨征,ao'si'pi'ci'zheng
凹陷,ao'xian
