艾慈灸,ai'ci'jiu
艾慈灸热敷贴,ai'ci'jiu're'fu'tie
嗳气,ai'qi
癌性发热,ai'xing'fa're
安乐死,an'le'si
安眠药,an'mian'yao
按摩,an'mo
安全性,an'quan'xing
按压,an'ya
凹陷性水肿,ao'xian'xing'shui'zhong
巴比妥,ba'bi'tuo
拔火罐,ba'huo'guan
拔尿管,ba'niao'guan
白带,bai'dai
白蛋白,bai'dan'bai
白喉,bai'hou
百日咳,bai'ri'ke
白色念珠菌,bai'se'nian'zhu'jun
白细胞,bai'xi'bao
败血症,bai'xue'zheng
柏油样便,bai'you'yang'bian
办理出院,ban'li'chu'yuan
半身不遂,ban'shen'bu'sui
斑秃,ban'tu
半坐卧位,ban'zuo'wo'wei
保肝,bao'gan
保护脑细胞,bao'hu'nao'xi'bao
宝湖山庄,bao'hu'shan'zhuang
保护性隔离,bao'hu'xing'ge'li
包茎,bao'jing
保卫科,bao'wei'ke
背痛,bei'tong
苯二氮卓类受体,ben'er'dan'zhuo'lei'shou'ti
本患者,ben'huan'zhe
本患者不考虑,ben'huan'zhe'bu'kao'lv
本患者可能性小,ben'huan'zhe'ke'neng'xing'xiao
本院,ben'yuan
鼻出血,bi'chu'xue
鼻唇沟变浅,bi'chun'gou'bian'qian
鼻唇沟对称,bi'chun'gou'dui'chen
避免,bi'mian
闭目,bi'mu
鼻衄,bi'nv
鼻腔,bi'qiang
鼻塞,bi'se
鼻饲,bi'si
鼻饲流质食物,bi'si'liu'zhi'shi'wu
鼻炎,bi'yan
必要时,bi'yao'shi
避孕,bi'yun
避孕药,bi'yun'yao
便闭,bian'bi
便秘,bian'mi
变浅,bian'qian
扁桃体,bian'tao'ti
扁桃体无肿大,bian'tao'ti'wu'zhong'da
扁桃体炎,bian'tao'ti'yan
便血,bian'xie
变形,bian'xing
濒死,bin'si
病案室,bing'an'shi
病程记录,bing'cheng'ji'lu
病程中,bing'cheng'zhong
并感,bing'gan
病例,bing'li
病历,bing'li
病理反射未引出,bing'li'fan'she'wei'yin'chu
病理科,bing'li'ke
病例讨论,bing'li'tao'lun
病理性杂音,bing'li'xing'za'yin
病理征阳性,bing'li'zheng'yang'xing
并请,bing'qing
病情好转,bing'qing'hao'zhuan
病情加重,bing'qing'jia'zhong
病情较稳定,bing'qing'jiao'wen'ding
病情进展,bing'qing'jin'zhan
病情稳定,bing'qing'wen'ding
病情无好转,bing'qing'wu'hao'zhuan
病情无明显好转,bing'qing'wu'ming'xian'hao'zhuan
病区,bing'qu
病人,bing'ren
病史陈述者,bing'shi'chen'shu'zhe
并有,bing'you
病原微生物,bing'yuan'wei'sheng'wu
病灶,bing'zao
冰枕,bing'zhen
搏动性,bo'dong'xing
博动性疼痛,bo'dong'xing'teng'tong
博动性痛,bo'dong'xing'tong
搏动样疼痛,bo'dong'yang'teng'tong
勃起,bo'qi
不成形,bu'cheng'xing
不成形大便,bu'cheng'xing'da'bian
补充血容量,bu'chong'xue'rong'liang
补充诊断,bu'chong'zhen'duan
不规则热,bu'gui'ze're
补钾,bu'jia
不良反应,bu'liang'fan'ying
不良嗜好,bu'liang'shi'hao
不能耐受,bu'neng'nai'shou
不能行走,bu'neng'xing'zou
不能言语,bu'neng'yan'yu
不能站立及行走,bu'neng'zhan'li'ji'xing'zou
不能作,bu'neng'zuo
不适,bu'shi
补体,bu'ti
不稳定型心绞痛,bu'wen'ding'xing'xin'jiao'tong
步行困难,bu'xing'kun'nan
补液,bu'ye
补液抗休克,bu'ye'kang'xiu'ke
补液量,bu'ye'liang
不育,bu'yu
不重,bu'zhong
擦剂,ca'ji
擦伤,ca'shang
彩超,cai'chao
采血管,cai'xue'guan
嘈杂,cao'za
操作技术,cao'zuo'ji'shu
侧腹部疼痛,ce'fu'bu'teng'tong
测体温,ce'ti'wen
侧头部痛,ce'tou'bu'tong
侧卧位,ce'wo'wei
曾在,ceng'zai
曾在当地及我院门诊,ceng'zai'dang'di'ji'wo'yuan'men'zhen
查对,cha'dui
查对制度,cha'dui'zhi'du
插尿管,cha'niao'guan
插入,cha'ru
查体,cha'ti
查体合作,cha'ti'he'zuo
查体欠合作,cha'ti'qian'he'zuo
查血糖高,cha'xue'tang'gao
查因,cha'yin
颤动,chan'dong
产后,chan'hou
肠癌,chang'ai
肠道隔离,chang'dao'ge'li
常见,chang'jian
肠镜,chang'jing
肠鸣音,chang'ming'yin
肠鸣音正常,chang'ming'yin'zheng'chang
长期医嘱,chang'qi'yi'zhu
长时间受压,chang'shi'jian'shou'ya
常有,chang'you
肠胀气,chang'zhang'qi
超高热,chao'gao're
潮湿,chao'shi
超室,chao'shi
尘肺,chen'fei
晨间护理,chen'jian'hu'li
呈持续性,cheng'chi'xu'xing
程度不重,cheng'du'bu'zhong
程度较前稍减轻,cheng'du'jiao'qian'shao'jian'qing
程度较轻稍加重,cheng'du'jiao'qing'shao'jia'zhong
程度较重,cheng'du'jiao'zhong
程度稍减轻,cheng'du'shao'jian'qing
呈发作性,cheng'fa'zuo'xing
呈固体状,cheng'gu'ti'zhuang
呈轻至中度,cheng'qing'zhi'zhong'du
呈阵发性,cheng'zhen'fa'xing
迟发脑病,chi'fa'nao'bing
耻骨联合,chi'gu'lian'he
迟缓性瘫痪,chi'huan'xing'tan'huan
齿颊之间,chi'jia'zhi'jian
齿衄,chi'nv
尺神经,chi'shen'jing
持续发热,chi'xu'fa're
持续数分钟,chi'xu'shu'fen'zhong
持续数小时,chi'xu'shu'xiao'shi
持续性疼痛,chi'xu'xing'teng'tong
弛张热,chi'zhang're
冲管,chong'guan
重听,chong'ting
重组赖脯胰岛素,chong'zu'lai'pu'yi'dao'su
抽搐,chou'chu
抽筋,chou'jin
初步诊断,chu'bu'zhen'duan
初潮,chu'chao
初潮年龄,chu'chao'nian'ling
出汗,chu'han
处理,chu'li
出凝血时间,chu'ning'xue'shi'jian
出现或加重,chu'xian'huo'jia'zhong
出血倾向,chu'xie'qing'xiang
出血点,chu'xue'dian
出血性卒中,chu'xue'xing'cu'zhong
出院小结,chu'yuan'xiao'jie
传播途径,chuan'bo'tu'jing
喘鸣,chuan'ming
传染科,chuan'ran'ke
传染源,chuan'ran'yuan
喘息,chuan'xi
床边心电图,chuang'bian'xin'dian'tu
吹口哨,chui'kou'shao
磁共振,ci'gong'zhen
刺激,ci'ji
雌激素,ci'ji'su
刺痛,ci'tong
促黄体生成素,cu'huang'ti'sheng'cheng'su
促进,cu'jin
促卵泡生成素,cu'luan'pao'sheng'cheng'su
促肾上腺皮质激素,cu'shen'shang'xian'pi'zhi'ji'su
卒中,cu'zhong
催眠,cui'mian
催乳素,cui'ru'su
催吐,cui'tu
挫伤,cuo'shang
大便常规,da'bian'chang'gui
大便常规及培养,da'bian'chang'gui'ji'pei'yang
大便失禁,da'bian'shi'jin
大便异常,da'bian'yi'chang
大动脉彩超,da'dong'mai'cai'chao
打嗝,da'ge
大活络胶囊,da'huo'luo'jiao'nang
打喷嚏,da'pen'ti
打酸嗝,da'suan'ge
大小便,da'xiao'bian
大小便常规,da'xiao'bian'chang'gui
大小便困难,da'xiao'bian'kun'nan
大小便失禁,da'xiao'bian'shi'jin
大小便正常,da'xiao'bian'zheng'chang
待辅检回报后,dai'fu'jian'hui'bao'hou
待辅检回报后进一步治疗,dai'fu'jian'hui'bao'hou'jin'yi'bu'zhi'liao
待辅助检查回报后,dai'fu'zhu'jian'cha'hui'bao'hou
待辅助检查回报后进一步治疗,dai'fu'zhu'jian'cha'hui'bao'hou'jin'yi'bu'zhi'liao
待结果,dai'jie'guo
待结果回报后,dai'jie'guo'hui'bao'hou
带离,dai'li
带离我院,dai'li'wo'yuan
黛力新,dai'li'xin
待明日,dai'ming'ri
带药,dai'yao
待诊断明确后,dai'zhen'duan'ming'que'hou
