白银,bai'yin
出金,chu'jin
风险率,feng'xian'lv
黄金,huang'jin
解约,jie'yue
净值,jing'zhi
美联储,mei'lian'chu
美元指数,mei'yuan'zhi'shu
美指,mei'zhi
南交指数,nan'jiao'zhi'shu
签约,qian'yue
强平,qiang'ping
融货费,rong'huo'fei
融资费,rong'zi'fei
入金,ru'jin
钨条,wu'tiao
稀土,xi'tu
氧化镝,yang'hua'di
氧化铥,yang'hua'diu
氧化铒,yang'hua'er
氧化钆,yang'hua'ga
氧化钬,yang'hua'huo
氧化镧,yang'hua'lan
氧化镥,yang'hua'lu
氧化钕,yang'hua'nv
氧化镨,yang'hua'pu
氧化镨钕,yang'hua'pu'nv
氧化钐,yang'hua'shan
氧化铈,yang'hua'shi
氧化铽,yang'hua'te
氧化钇,yang'hua'yi
氧化镱,yang'hua'yi
氧化铕,yang'hua'you
中信异度,zhong'xin'yi'du
