啊吃过啦,a'chi'guo'la
啊到啦,a'dao'la
阿二骨煲,a'er'gu'bao
阿尔卡迪亚,a'er'ka'di'ya
啊方便,a'fang'bian
啊好啊,a'hao'a
啊好玩,a'hao'wan
啊看到,a'kan'dao
啊来啊,a'lai'a
阿米果,a'mi'guo
啊起来啦,a'qi'lai'la
啊是啊,a'shi'a
啊是哒,a'shi'da
啊是的啊,a'shi'de'a
啊睡啦,a'shui'la
啊晓得,a'xiao'de
啊行啊,a'xing'a
啊要我,a'yao'wo
阿英煲,a'ying'bao
啊有钱,a'you'qian
啊有人,a'you'ren
啊有事,a'you'shi
啊有时间,a'you'shi'jian
啊有意思,a'you'yi'si
啊在啊,a'zai'a
挨摆,ai'bai
挨摆的,ai'bai'de
艾贝尔,ai'bei'er
爱蹭网,ai'ceng'wang
爱达花园,ai'da'hua'yuan
挨滴嘛,ai'di'ma
爱冷死,ai'leng'si
艾伦斯,ai'lun'si
爱南京,ai'nan'jing
爱你摸摸,ai'ni'mo'mo
爱上城,ai'shang'cheng
艾尚天地,ai'shang'tian'di
埃斯顿,ai'si'dun
爱婴岛,ai'ying'dao
安德门,an'de'men
安德门了,an'de'men'le
安国村,an'guo'cun
安怀村,an'huai'cun
安乐村,an'le'cun
安乐园,an'le'yuan
安如村,an'ru'cun
安铜,an'tong
安铜线,an'tong'xian
安易客,an'yi'ke
昂刺鱼,ang'ci'yu
奥会,ao'hui
奥莱城,ao'lai'cheng
澳门轩,ao'men'xuan
奥斯博恩,ao'si'bo'en
奥特佳,ao'te'jia
奥体,ao'ti
奥体大街,ao'ti'da'jie
奥体的,ao'ti'de
奥体东,ao'ti'dong
奥体东站,ao'ti'dong'zhan
奥体了,ao'ti'le
奥体新城,ao'ti'xin'cheng
奥体中心,ao'ti'zhong'xin
巴巴烫,ba'ba'tang
巴弟,ba'di
巴弟鸡排,ba'di'ji'pai
八方客,ba'fang'ke
八卦洲,ba'gua'zhou
八街区,ba'jie'qu
扒开来,ba'kai'lai
巴黎城,ba'li'cheng
八一医院,ba'yi'yi'yuan
白痴过,bai'chi'guo
摆的一笔,bai'de'yi'bi
百合果园,bai'he'guo'yuan
百货大厦,bai'huo'da'sha
拜急,bai'ji
百家好,bai'jia'hao
百家湖,bai'jia'hu
百江,bai'jiang
白鹭岛,bai'lu'dao
白鹭东苑,bai'lu'dong'yuan
白鹭花园,bai'lu'hua'yuan
白马公园,bai'ma'gong'yuan
柏楠,bai'nan
佰人王,bai'ren'wang
百世吉,bai'shi'ji
百水,bai'shui
百水芊城,bai'shui'qian'cheng
白水桥,bai'shui'qiao
百思买,bai'si'mai
百味鸡,bai'wei'ji
白下,bai'xia
白下路,bai'xia'lu
白下区,bai'xia'qu
白下站,bai'xia'zhan
百姓人家,bai'xing'ren'jia
百优卡,bai'you'ka
白云亭,bai'yun'ting
白云园,bai'yun'yuan
百子亭,bai'zi'ting
班部,ban'bu
办不起来,ban'bu'qi'lai
板仓,ban'cang
板仓村,ban'cang'cun
板仓街,ban'cang'jie
板等,ban'deng
版聚,ban'ju
板桥,ban'qiao
棒棒的,bang'bang'de
棒棒滴,bang'bang'di
膀子上,bang'zi'shang
包版,bao'ban
包不起来,bao'bu'qi'lai
包藏,bao'cang
包藏货新,bao'cang'huo'xin
宝地园,bao'di'yuan
宝华山,bao'hua'shan
包间,bao'jian
包剪锤,bao'jian'chui
包间了,bao'jian'le
宝来纳,bao'lai'na
宝庆银楼,bao'qing'yin'lou
宝塔路,bao'ta'lu
宝塔桥,bao'ta'qiao
保泰街,bao'tai'jie
宝铁龙,bao'tie'long
保证正品,bao'zheng'zheng'pin
暴走团,bao'zou'tuan
北大活,bei'da'huo
北大楼,bei'da'lou
北大山,bei'da'shan
北固山,bei'gu'shan
北极阁,bei'ji'ge
北极海浪,bei'ji'hai'lang
北京东路,bei'jing'dong'lu
北京西路,bei'jing'xi'lu
贝克街,bei'ke'jie
北门桥,bei'men'qiao
碑亭巷,bei'ting'xiang
北圩路,bei'wei'lu
栟茶,ben'cha
比比落落,bi'bi'luo'luo
比比歪歪,bi'bi'wai'wai
毕博,bi'bo
鼻部,bi'bu
比大胡话,bi'da'hu'hua
比南京,bi'nan'jing
碧树园,bi'shu'yuan
鼻息肉,bi'xi'rou
比下胡,bi'xia'hu
必须的哎,bi'xu'de'ai
碧瑶花园,bi'yao'hua'yuan
碧云山庄,bi'yun'shan'zhuang
边户,bian'hu
卞老师,bian'lao'shi
标超,biao'chao
表烦,biao'fan
表烦了,biao'fan'le
表跟我,biao'gen'wo
表急,biao'ji
表讲,biao'jiang
标营,biao'ying
别处话,bie'chu'hua
别受凉,bie'shou'liang
别受凉了,bie'shou'liang'le
滨江公园,bin'jiang'gong'yuan
滨江开发区,bin'jiang'kai'fa'qu
滨江新城,bin'jiang'xin'cheng
滨江学院,bin'jiang'xue'yuan
博西华,bo'xi'hua
博雅课,bo'ya'ke
不不买,bu'bu'mai
不吃劲,bu'chi'jin
补充习题,bu'chong'xi'ti
不错哎,bu'cuo'ai
不错赖,bu'cuo'lai
不错蛮,bu'cuo'man
不带你吃,bu'dai'ni'chi
不带我吃,bu'dai'wo'chi
不得好了,bu'de'hao'le
不对哎,bu'dui'ai
不烦神,bu'fan'shen
布歌东京,bu'ge'dong'jing
不给我走,bu'gei'wo'zou
不挂水,bu'gua'shui
不管来,bu'guan'lai
不好哎,bu'hao'ai
不好蛮,bu'hao'man
不会哎,bu'hui'ai
不急哎,bu'ji'ai
不急不忙,bu'ji'bu'mang
不讲赖,bu'jiang'lai
不讲你,bu'jiang'ni
不讲我,bu'jiang'wo
不客气哦,bu'ke'qi'o
不阔能,bu'kuo'neng
不来南京,bu'lai'nan'jing
不来斯,bu'lai'si
布料城,bu'liao'cheng
不蛮好的,bu'man'hao'de
不满五年,bu'man'wu'nian
不能急了,bu'neng'ji'le
不去赖,bu'qu'lai
不上裤子,bu'shang'ku'zi
不上路子,bu'shang'lu'zi
不韶了,bu'shao'le
不是哎,bu'shi'ai
不是包,bu'shi'bao
不是南京,bu'shi'nan'jing
不说赖,bu'shuo'lai
不谈对象,bu'tan'dui'xiang
不谈赖,bu'tan'lai
不讨喜,bu'tao'xi
不相干,bu'xiang'gan
不相干的,bu'xiang'gan'de
不晓得哎,bu'xiao'de'ai
不晓得呢,bu'xiao'de'ne
不晓滴,bu'xiao'di
不歇火,bu'xie'huo
不行哎,bu'xing'ai
不要哎,bu'yao'ai
不要烦了,bu'yao'fan'le
不要赖,bu'yao'lai
不一当,bu'yi'dang
不一方,bu'yi'fang
不用哎,bu'yong'ai
不用烦了,bu'yong'fan'le
不用赖,bu'yong'lai
不在南京,bu'zai'nan'jing
菜场了,cai'chang'le
才吃过,cai'chi'guo
才吃过饭,cai'chi'guo'fan
才到南京,cai'dao'nan'jing
才到宿舍,cai'dao'su'she
彩虹苑,cai'hong'yuan
才基础,cai'ji'chu
才忙好,cai'mang'hao
菜山食海,cai'shan'shi'hai
采石矶,cai'shi'ji
才洗过,cai'xi'guo
才洗过澡,cai'xi'guo'zao
才洗好,cai'xi'hao
才洗好澡,cai'xi'hao'zao
彩霞街,cai'xia'jie
彩影,cai'ying
彩云居,cai'yun'ju
惨的一笔,can'de'yi'bi
沧波,cang'bo
沧波门,cang'bo'men
藏龙御景,cang'long'yu'jing
草场门,cao'chang'men
草场门桥,cao'chang'men'qiao
草芳,cao'fang
曹后村,cao'hou'cun
曹记,cao'ji
草鸡蛋,cao'ji'dan
操卡,cao'ka
差不多哎,cha'bu'duo'ai
查不起来,cha'bu'qi'lai
差的一笔,cha'de'yi'bi
叉饭,cha'fan
茶干,cha'gan
察哈尔路,cha'ha'er'lu
查话费,cha'hua'fei
茶客老站,cha'ke'lao'zhan
岔路口,cha'lu'kou
茶社,cha'she
查套餐,cha'tao'can
查账单,cha'zhang'dan
婵之云,chan'zhi'yun
长安国际,chang'an'guo'ji
长白洁,chang'bai'jie
长白街,chang'bai'jie
鲳鳊鱼,chang'bian'yu
长发中心,chang'fa'zhong'xin
常府街,chang'fu'jie
长虹路,chang'hong'lu
常家营,chang'jia'ying
长江,chang'jiang
长江大桥,chang'jiang'da'qiao
长江后街,chang'jiang'hou'jie
