别殿遥闻箫鼓奏,bie'dian'yao'wen'xiao'gu'zou
别时容易见时难,bie'shi'rong'yi'jian'shi'nan
别是一般滋味在心头,bie'shi'yi'ban'zi'wei'zai'xin'tou
衩袜步香阶,cha'wa'bu'xiang'jie
沉腰潘鬓消磨,chen'yao'pan'bin'xiao'mo
垂泪对宫娥,chui'lei'dui'gong'e
春殿嫔娥鱼贯列,chun'dian'pin'e'yu'guan'lie
春花秋月何时了,chun'hua'qiu'yue'he'shi'le
春意阑珊,chun'yi'lan'shan
此情须问天,ci'qing'xu'wen'tian
待踏马蹄清夜月,dai'ta'ma'ti'qing'ye'yue
雕栏玉砌应犹在,diao'lan'yu'qi'ying'you'zai
独自莫凭栏,du'zi'mo'ping'lan
凤阁龙楼连霄汉,feng'ge'long'lou'lian'xiao'han
凤箫吹断水云闲,feng'xiao'chui'duan'shui'yun'xian
感君怜,gan'jun'lian
更漏子,geng'lou'zi
故国不堪回首月明中,gu'guo'bu'kan'hui'shou'yue'ming'zhong
归时休放烛花红,gui'shi'xiu'fang'zhu'hua'hong
还似两人心意,hai'si'liang'ren'xin'yi
红粉面,hong'fen'mian
红锦地衣随步皱,hong'jin'di'yi'sui'bu'zhou
红日已高三丈透,hong'ri'yi'gao'san'zhang'tou
花里暂时相见,hua'li'zan'shi'xiang'jian
花明月黯笼轻雾,hua'ming'yue'an'long'qing'wu
画堂南畔见,hua'tang'nan'pan'jian
画堂昼寝人无语,hua'tang'zhou'qin'ren'wu'yu
浣溪沙,huan'xi'sha
魂迷春梦中,hun'mi'chun'meng'zhong
几曾识干戈,ji'ceng'shi'gan'ge
寂寞画堂深院,ji'mo'hua'tang'shen'yuan
寂寞梧桐深院锁清秋,ji'mo'wu'tong'shen'yuan'suo'qing'qiu
几时重,ji'shi'zhong
佳人舞点金钗溜,jia'ren'wu'dian'jin'chai'liu
剪不断,jian'bu'duan
教坊犹奏离别歌,jiao'fang'you'zou'li'bie'ge
教君恣意怜,jiao'jun'zi'yi'lian
金炉次第添香兽,jin'lu'ci'di'tian'xiang'shou
锦衾寒,jin'qin'han
金雀钗,jin'que'chai
今霄好向郎边去,jin'xiao'hao'xiang'lang'bian'qu
惊觉银屏梦,jing'jue'yin'ping'meng
酒恶时拈花蕊嗅,jiu'e'shi'nian'hua'rui'xiu
觉来更漏残,jue'lai'geng'lou'can
蜡成泪,la'cheng'lei
来便谐衷素,lai'bian'xie'zhong'su
浪淘沙,lang'tao'sha
理还乱,li'hai'luan
脸慢笑盈盈,lian'man'xiao'ying'ying
帘外雨潺潺,lian'wai'yu'chan'chan
临风谁更飘香屑,lin'feng'shui'geng'piao'xiang'xie
林花谢了春红,lin'hua'xie'le'chun'hong
留待舞人归,liu'dai'wu'ren'gui
流水落花春去也,liu'shui'luo'hua'chun'qu'ye
罗衾不耐五更寒,luo'qin'bu'nai'wu'geng'han
梦回芳草思依依,meng'hui'fang'cao'si'yi'yi
梦里不知身是客,meng'li'bu'zhi'shen'shi'ke
奴为出来难,nu'wei'chu'lai'nan
抛枕翠云光,pao'zhen'cui'yun'guang
蓬莱院闭天台女,peng'lai'yuan'bi'tian'tai'nv
片红休扫尽从伊,pian'hong'xiu'sao'jin'cong'yi
破阵子,po'zhen'zi
菩萨蛮,pu'sa'man
恰似一江春水向东流,qia'si'yi'jiang'chun'shui'xiang'dong'liu
潜来珠锁动,qian'lai'zhu'suo'dong
秋波横欲流,qiu'bo'heng'yu'liu
三千里地山河,san'qian'li'di'shan'he
珊枕腻,shan'zhen'ni
是离愁,shi'li'chou
手提金缕鞋,shou'ti'jin'lv'xie
四十年来家国,si'shi'nian'lai'jia'guo
太匆匆,tai'cong'cong
啼莺散余花乱,ti'ying'san'yu'hua'luan
天上人间,tian'shang'ren'jian
天远雁声稀,tian'yuan'yan'sheng'xi
铜簧韵脆锵寒竹,tong'huang'yun'cui'qiang'han'zhu
晚妆初了明肌雪,wan'zhuang'chu'le'ming'ji'xue
往事知多少,wang'shi'zhi'duo'shao
问君能有几多愁,wen'jun'neng'you'ji'duo'chou
无限江山,wu'xian'jiang'shan
无言独上西楼,wu'yan'du'shang'xi'lou
乌夜啼,wu'ye'ti
无语枕边倚,wu'yu'zhen'bian'yi
喜迁莺,xi'qian'ying
相见欢,xiang'jian'huan
相看无限情,xiang'kan'wu'xian'qing
香作穗,xiang'zuo'sui
小楼昨夜又东风,xiao'lou'zuo'ye'you'dong'feng
晓月坠宿云微,xiao'yue'zhui'su'yun'wei
新声慢奏移纤玉,xin'sheng'man'zou'yi'xian'yu
绣衣闻异香,xiu'yi'wen'yi'xiang
宴罢又成空,yan'ba'you'cheng'kong
眼色暗相钩,yan'se'an'xiang'gou
胭脂泪相留醉,yan'zhi'lei'xiang'liu'zui
一旦归为臣虏,yi'dan'gui'wei'chen'lu
一晌贪欢,yi'shang'tan'huan
一向偎人颤,yi'xiang'wei'ren'chan
玉楼春,yu'lou'chun
虞美人,yu'mei'ren
玉树琼枝作烟萝,yu'shu'qiong'zhi'zuo'yan'luo
雨云深绣户,yu'yun'shen'xiu'hu
月如钩,yue'ru'gou
只是朱颜改,zhi'shi'zhu'yan'gai
知我意,zhi'wo'yi
重按霓裳歌遍彻,zhong'an'ni'chang'ge'bian'che
自是人生长恨水长东,zi'shi'ren'sheng'chang'hei'shui'chang'dong
醉拍阑干情味切,zui'pai'lan'gan'qing'wei'qie
最是仓皇辞庙日,zui'shi'cang'huang'ci'miao'ri
