安丰桥,an'feng'qiao
百灵医药,bai'ling'yi'yao
坂后,ban'hou
部队,bu'dui
仓库,cang'ku
长富花园,chang'fu'hua'yuan
长富集团,chang'fu'ji'tuan
长沙尾,chang'sha'wei
创世纪,chuang'shi'ji
大家厂,da'jia'chang
刀霞打猎队,dao'xia'da'lie'dui
第一技校,di'yi'ji'xiao
地藏寺,di'zang'si
电机厂,dian'ji'chang
电缆厂,dian'lan'chang
东教,dong'jiao
东坑村,dong'keng'cun
洞口,dong'kou
东南鞋业,dong'nan'xie'ye
东山路,dong'shan'lu
动物园,dong'wu'yuan
二化,er'hua
二环路口,er'huan'lu'kou
二塑厂,er'su'chang
富民广场,fu'min'guang'chang
妇幼保健院,fu'you'bao'jian'yuan
钢厂,gang'chang
钢窗厂,gang'chuang'chang
高速路口,gao'su'lu'kou
高速桥下,gao'su'qiao'xia
公路稽征所,gong'lu'ji'zheng'suo
公路征稽所,gong'lu'zheng'ji'suo
官沙田,guan'sha'tian
观音坑,guan'yin'keng
光大旅行社,guang'da'lv'xing'she
果树场,guo'shu'chang
好当家超市,hao'dang'jia'chao'shi
豪亨国际家居,hao'heng'guo'ji'jia'ju
合成氨厂,he'cheng'an'chang
后谷,hou'gu
后路口,hou'lu'kou
华孚电器,hua'fu'dian'qi
化工厂,hua'gong'chang
华闽南配,hua'min'nan'pei
华泰楼,hua'tai'lou
化纤厂,hua'xian'chang
黄墩,huang'dun
火车东站,huo'che'dong'zhan
火车南站,huo'che'nan'zhan
火车站,huo'che'zhan
稽征处,ji'zheng'chu
机砖厂,ji'zhuan'chang
嘉联大厦,jia'lian'da'sha
建行,jian'hang
建华楼,jian'hua'lou
建设局,jian'she'ju
江南第一城,jiang'nan'di'yi'cheng
交警,jiao'jing
教师公寓,jiao'shi'gong'yu
教学林场,jiao'xue'lin'chang
解放路口,jie'fang'lu'kou
今日大酒店,jin'ri'da'jiu'dian
今日酒店,jin'ri'jiu'dian
金山路,jin'shan'lu
金山隧道,jin'shan'sui'dao
景宏花园,jing'hong'hua'yuan
酒厂,jiu'chang
九二医院,jiu'er'yi'yuan
九峰山,jiu'feng'shan
军区房管处,jun'qu'fang'guan'chu
开发区,kai'fa'qu
联东招呼站,lian'dong'zhao'hu'zhan
林化厂,lin'hua'chang
临时招呼站,lin'shi'zhao'hu'zhan
林业技术学院,lin'ye'ji'shu'xue'yuan
林业学院,lin'ye'xue'yuan
岭柄洋,ling'bing'yang
岭下桥,ling'xia'qiao
罗源,luo'yuan
铝厂,lv'chang
马坑路口,ma'keng'lu'kou
马站,ma'zhan
马站市场,ma'zhan'shi'chang
煤厂,mei'chang
梅园新村,mei'yuan'xin'cun
棉织厂,mian'zhi'chang
闽北大饭店,min'bei'da'fan'dian
闽北电脑城,min'bei'dian'nao'cheng
闽江大桥,min'jiang'da'qiao
明翠阁,ming'cui'ge
南纺厂,nan'fang'chang
南孚,nan'fu
南平八中,nan'ping'ba'zhong
南平电大,nan'ping'dian'da
南拖生活区,nan'tuo'sheng'huo'qu
南针厂,nan'zhen'chang
南纸生活区,nan'zhi'sheng'huo'qu
南纸星光大厦,nan'zhi'xing'guang'da'sha
农林大学,nong'lin'da'xue
培训队,pei'xun'dui
坡顶,po'ding
轻机厂,qing'ji'chang
人民医院,ren'min'yi'yuan
人行,ren'xing
荣顺大厦,rong'shun'da'sha
三官堂,san'guan'tang
三建宿舍,san'jian'su'she
三元路口,san'yuan'lu'kou
沙溪口,sha'xi'kou
商贸区,shang'mao'qu
上洋村,shang'yang'cun
商业城,shang'ye'cheng
省二建,sheng'er'jian
市场口,shi'chang'kou
市第一医院,shi'di'yi'yi'yuan
师范附小,shi'fan'fu'xiao
市公安局,shi'gong'an'ju
世纪广场,shi'ji'guang'chang
市园林处,shi'yuan'lin'chu
市政府,shi'zheng'fu
市政基地,shi'zheng'ji'di
师专,shi'zhuan
水东,shui'dong
水井窠,shui'jing'ke
水控厂,shui'kong'chang
水南桥头,shui'nan'qiao'tou
水溪口,shui'xi'kou
四鹤,si'he
体育公园,ti'yu'gong'yuan
铁三,tie'san
停车场,ting'che'chang
拖拉机厂,tuo'la'ji'chang
拖拉机厂生活区,tuo'la'ji'chang'sheng'huo'qu
外科部,wai'ke'bu
外洋丹,wai'yang'dan
文化广场,wen'hua'guang'chang
文化中心,wen'hua'zhong'xin
文田,wen'tian
污水处理厂,wu'shui'chu'li'chang
五星桥,wu'xing'qiao
五星桥头,wu'xing'qiao'tou
武夷花园,wu'yi'hua'yuan
武夷香榭,wu'yi'xiang'xie
西芹道口,xi'qin'dao'kou
西芹火车站,xi'qin'huo'che'zhan
西芹市场,xi'qin'shi'chang
西芹小学,xi'qin'xiao'xue
希望高中,xi'wang'gao'zhong
溪源庵,xi'yuan'an
夏道,xia'dao
夏道中学,xia'dao'zhong'xue
下洋村,xia'yang'cun
橡胶厂,xiang'jiao'chang
新建路,xin'jian'lu
新建三路,xin'jian'san'lu
徐洋,xu'yang
亚明,ya'ming
延平区医院,yan'ping'qu'yi'yuan
延祥公司,yan'xiang'gong'si
洋丹,yang'dan
杨真东,yang'zhen'dong
杨真堂,yang'zhen'tang
亿发商贸城,yi'fa'shang'mao'cheng
尤坑,you'keng
游泳场,you'yong'chang
预备役部队,yu'bei'yi'bu'dui
玉屏东路,yu'ping'dong'lu
玉屏公园,yu'ping'gong'yuan
玉屏桥,yu'ping'qiao
玉屏桥头,yu'ping'qiao'tou
玉屏山公园,yu'ping'shan'gong'yuan
悦达建材市场,yue'da'jian'cai'shi'chang
招呼站,zhao'hu'zhan
朝阳路口,zhao'yang'lu'kou
纸厂,zhi'chang
职教园区,zhi'jiao'yuan'qu
职业中专,zhi'ye'zhong'zhuan
中级法院,zhong'ji'fa'yuan
中野大厦,zhong'ye'da'sha
昼锦坊,zhou'jin'fang
贮木场,zhu'mu'chang
竹器厂,zhu'qi'chang
