安定连礁,an'ding'lian'jiao
北边廊,bei'bian'lang
北岛,bei'dao
北礁,bei'jiao
北沙洲,bei'sha'zhou
北水道,bei'shui'dao
北外岛,bei'wai'dao
北外沙洲,bei'wai'sha'zhou
北卫滩,bei'wei'tan
北岩,bei'yan
北子暗沙,bei'zi'an'sha
北子岛,bei'zi'dao
本固暗沙,ben'gu'an'sha
比微暗沙,bi'wei'an'sha
滨湄滩,bin'mei'tan
波洑暗沙,bo'fu'an'sha
琛航岛,chen'hang'dao
东北暗沙,dong'bei'an'sha
东岛,dong'dao
东南暗沙,dong'nan'an'sha
东沙岛,dong'sha'dao
东沙礁,dong'sha'jiao
东沙群岛,dong'sha'qun'dao
东新沙洲,dong'xin'sha'zhou
甘泉岛,gan'quan'dao
甘泉门,gan'quan'men
高尖石,gao'jian'shi
贡士礁,gong'shi'jiao
广金岛,guang'jin'dao
过淀暗沙,guo'dian'an'sha
海鸠暗沙,hai'jiu'an'sha
红草门,hong'cao'men
华光礁,hua'guang'jiao
华夏暗沙,hua'xia'an'sha
黄岩岛民主礁,huang'yan'dao'min'zhu'jiao
济猛暗沙,ji'meng'an'sha
晋卿岛,jin'qing'dao
晋卿门,jin'qing'men
金银岛,jin'yin'dao
控湃暗沙,kong'pai'an'sha
筐仔沙洲,kuang'zai'sha'zhou
浪花礁,lang'hua'jiao
老粗门,lao'cu'men
乐斯暗沙,le'si'an'sha
乐西暗沙,le'xi'an'sha
羚羊礁,ling'yang'jiao
鲁班暗沙,lu'ban'an'sha
漫步暗沙,man'bu'an'sha
美暗沙,mei'an'sha
美滨暗沙,mei'bin'an'sha
美溪暗沙,mei'xi'an'sha
奈罗礁,nai'luo'jiao
南岛,nan'dao
南扉暗沙,nan'fei'an'sha
南海诸岛,nan'hai'zhu'dao
南沙群岛,nan'sha'qun'dao
南沙洲,nan'sha'zhou
南水道,nan'shui'dao
南卫滩,nan'wei'tan
南岩,nan'yan
排波暗沙,pai'bo'an'sha
排洪滩,pai'hong'tan
盘石屿,pan'shi'yu
屏南暗沙,ping'nan'an'sha
七连屿,qi'lian'yu
全富岛,quan'fu'dao
全富门,quan'fu'men
珊瑚岛,shan'hu'dao
神狐暗沙,shen'hu'an'sha
石岛,shi'dao
石塘连礁,shi'tang'lian'jiao
石屿,shi'yu
石屿门,shi'yu'men
双子群礁,shuang'zi'qun'jiao
嵩焘滩,song'tao'tan
涛静暗沙,tao'jing'an'sha
武勇暗沙,wu'yong'an'sha
西渡滩,xi'du'tan
西门暗沙,xi'men'an'sha
西沙群岛,xi'sha'qun'dao
西沙洲,xi'sha'zhou
西新沙洲,xi'xin'sha'zhou
宪法暗沙,xian'fa'an'sha
咸舍屿,xian'she'yu
宣德群岛,xuan'de'qun'dao
鸭公岛,ya'gong'dao
一统暗沙,yi'tong'an'sha
隐矶滩,yin'ji'tan
银砾滩,yin'li'tan
银屿,yin'yu
银屿门,yin'yu'men
银屿仔,yin'yu'zai
永登暗沙,yong'deng'an'sha
永乐群岛,yong'le'qun'dao
永兴岛,yong'xing'dao
玉琢礁,yu'zhuo'jiao
湛涵滩,zhan'han'tan
赵述岛,zhao'shu'dao
赵述门,zhao'shu'men
指掌暗沙,zhi'zhang'an'sha
中北暗沙,zhong'bei'an'sha
中岛,zhong'dao
中建岛,zhong'jian'dao
中南暗沙,zhong'nan'an'sha
中沙群岛,zhong'sha'qun'dao
中沙洲,zhong'sha'zhou
中业群礁,zhong'ye'qun'jiao
