阿英煲,a'ying'bao
爱妃玛丽,ai'fei'ma'li
艾夫斯,ai'fu'si
爱玛会,ai'ma'hui
爱心园,ai'xin'yuan
安达步行街,an'da'bu'xing'jie
安定广场,an'ding'guang'chang
安定小学,an'ding'xiao'xue
奥话起,ao'hua'qi
奥我起,ao'wo'qi
奥要,ao'yao
八佰伴,ba'bai'ban
巴必客,ba'bi'ke
八角亭,ba'jiao'ting
八里庙,ba'li'miao
八仙城,ba'xian'cheng
巴爷,ba'ye
百安,bai'an
百安宜家,bai'an'yi'jia
白甸,bai'dian
百花苑,bai'hua'yuan
百基拉,bai'ji'la
百老汇,bai'lao'hui
白陆,bai'lu
白蒲,bai'pu
白蒲镇,bai'pu'zhen
百岁鱼,bai'sui'yu
半活性,ban'huo'xing
搬经,ban'jing
包福记,bao'fu'ji
保健枕,bao'jian'zhen
包年头,bao'nian'tou
北濠,bei'hao
北濠桥,bei'hao'qiao
被套,bei'tao
被芯,bei'xin
栟茶,ben'cha
扁豆饭,bian'dou'fan
边防村,bian'fang'cun
标标,biao'biao
滨江公园,bin'jiang'gong'yuan
冰岛毛,bing'dao'mao
不宝贝,bu'bao'bei
不睬人,bu'cai'ren
不搭界,bu'da'jie
不得早,bu'de'zao
不定神,bu'ding'shen
不懂呗,bu'dong'bei
不好冲,bu'hao'chong
不好上网,bu'hao'shang'wang
不上裤子,bu'shang'ku'zi
不上路子,bu'shang'lu'zi
不在干嘛,bu'zai'gan'ma
不在看,bu'zai'kan
不在忙,bu'zai'mang
不在南通,bu'zai'nan'tong
不在上班,bu'zai'shang'ban
不在玩,bu'zai'wan
不在下,bu'zai'xia
裁布,cai'bu
才到家的,cai'dao'jia'de
曹埠,cao'bu
曹公祠,cao'gong'ci
草去,cao'qu
茶干,cha'gan
岔河,cha'he
岔河镇,cha'he'zhen
茶泡饭,cha'pao'fan
长江边,chang'jiang'bian
长江镇,chang'jiang'zhen
常乐镇,chang'le'zhen
长青沙,chang'qing'sha
常日班,chang'ri'ban
长泰路,chang'tai'lu
长途车站,chang'tu'che'zhan
超越超市,chao'yue'chao'shi
超越神话,chao'yue'shen'hua
车马湖,che'ma'hu
陈锋,chen'feng
城东镇,cheng'dong'zhen
城港路,cheng'gang'lu
城南新村,cheng'nan'xin'cun
城山,cheng'shan
城山路,cheng'shan'lu
橙士风,cheng'shi'feng
城市嘉苑,cheng'shi'jia'yuan
城市日历,cheng'shi'ri'li
城闸,cheng'zha
城闸大桥,cheng'zha'da'qiao
吃饱乱,chi'bao'luan
吃不消你,chi'bu'xiao'ni
吃吃饱,chi'chi'bao
痴的,chi'de
吃力来,chi'li'lai
吃牛蛙,chi'niu'wa
崇川,chong'chuan
崇川路,chong'chuan'lu
崇川区,chong'chuan'qu
崇启大桥,chong'qi'da'qiao
仇湖,chou'hu
船厂,chuan'chang
川港,chuan'gang
川姜镇,chuan'jiang'zhen
床单,chuang'dan
床单式,chuang'dan'shi
