阿迪达斯专卖店,a'di'da'si'zhuan'mai'dian
阿里郎酒家,a'li'lang'jiu'jia
阿咪果,a'mi'guo
阿依莲,a'yi'lian
爱村,ai'cun
爱德大厦,ai'de'da'sha
爱德华帽业公司,ai'de'hua'mao'ye'gong'si
艾邸,ai'di
爱迪丹顿,ai'di'dan'dun
爱迪丝,ai'di'si
爱丰村,ai'feng'cun
爱国村,ai'guo'cun
爱玛花苑,ai'ma'hua'yuan
爱民村,ai'min'cun
爱民小学,ai'min'xiao'xue
爱茉莉家纺,ai'mo'li'jia'fang
艾唯都,ai'wei'dou
爱西村,ai'xi'cun
爱新村,ai'xin'cun
爱中村,ai'zhong'cun
庵宝村,an'bao'cun
安北村,an'bei'cun
安定村,an'ding'cun
安定广场,an'ding'guang'chang
安定小学,an'ding'xiao'xue
安定幼儿园,an'ding'you'er'yuan
安东村,an'dong'cun
庵东村,an'dong'cun
庵东路口,an'dong'lu'kou
安丰,an'feng
安丰村,an'feng'cun
安港,an'gang
安惠公司,an'hui'gong'si
岸角村,an'jiao'cun
安居苑,an'ju'yuan
安康小区,an'kang'xiao'qu
安康新村,an'kang'xin'cun
安乐村,an'le'cun
安乐桥,an'le'qiao
安联村,an'lian'cun
安良村,an'liang'cun
安林村,an'lin'cun
安民村,an'min'cun
庵南,an'nan
安南村,an'nan'cun
安平村,an'ping'cun
安平村路口,an'ping'cun'lu'kou
安庆村,an'qing'cun
安庆桥,an'qing'qiao
安踏,an'ta
安踏专卖,an'ta'zhuan'mai
岸西,an'xi
岸西村,an'xi'cun
庵西村,an'xi'cun
安婴房,an'ying'fang
安庄村,an'zhuang'cun
凹桥村,ao'qiao'cun
奥特莱斯购物广场,ao'te'lai'si'gou'wu'guang'chang
澳羊一族,ao'yang'yi'zu
靶场村,ba'chang'cun
八大队,ba'da'dui
八大碗,ba'da'wan
芭蒂娜,ba'di'na
坝东村,ba'dong'cun
巴斗山,ba'dou'shan
八方客,ba'fang'ke
八工区,ba'gong'qu
八甲,ba'jia
八甲村,ba'jia'cun
八甲小学,ba'jia'xiao'xue
八角村,ba'jiao'cun
八角殿,ba'jiao'dian
八角井,ba'jiao'jing
八角井村,ba'jiao'jing'cun
八角庙,ba'jiao'miao
八角亭,ba'jiao'ting
八角亭村,ba'jiao'ting'cun
八匡,ba'kuang
八里村,ba'li'cun
八里店,ba'li'dian
八里庙,ba'li'miao
八里庙桥,ba'li'miao'qiao
八里庙子,ba'li'miao'zi
八里桥,ba'li'qiao
八烈村,ba'lie'cun
八南村,ba'nan'cun
坝南村,ba'nan'cun
巴南村,ba'nan'cun
八桥村,ba'qiao'cun
坝桥村,ba'qiao'cun
坝桥路口,ba'qiao'lu'kou
巴蜀鱼馆,ba'shu'yu'guan
八索村,ba'suo'cun
八索镇,ba'suo'zhen
扒头,ba'tou
坝头村,ba'tou'cun
坝西村,ba'xi'cun
巴西村,ba'xi'cun
八仙城,ba'xian'cheng
八仙居宾馆,ba'xian'ju'bin'guan
八圩,ba'xu
八一村,ba'yi'cun
八一加油站,ba'yi'jia'you'zhan
八一小学,ba'yi'xiao'xue
八一中学,ba'yi'zhong'xue
巴渝人家,ba'yu'ren'jia
八灶村,ba'zao'cun
巴掌村,ba'zhang'cun
八字大队,ba'zi'da'dui
八字门,ba'zi'men
八字桥,ba'zi'qiao
八字桥村,ba'zi'qiao'cun
八总,ba'zong
八总村,ba'zong'cun
八总桥,ba'zong'qiao
八总桥村,ba'zong'qiao'cun
百草堂药房,bai'cao'tang'yao'fang
百昌大厦,bai'chang'da'sha
白池村,bai'chi'cun
白荡,bai'dang
白荡村,bai'dang'cun
摆渡村,bai'du'cun
白港,bai'gang
白港村,bai'gang'cun
白果村,bai'guo'cun
白果树,bai'guo'shu
百合大药房,bai'he'da'yao'fang
百合庄,bai'he'zhuang
百花村,bai'hua'cun
百花科技大楼,bai'hua'ke'ji'da'lou
百花南苑,bai'hua'nan'yuan
百花桥,bai'hua'qiao
百花苑,bai'hua'yuan
百惠超市,bai'hui'chao'shi
柏家桥,bai'jia'qiao
白家桥,bai'jia'qiao
白家桥村,bai'jia'qiao'cun
百家桥村,bai'jia'qiao'cun
白家庄,bai'jia'zhuang
百菌健堂,bai'jun'jian'tang
百乐超市,bai'le'chao'shi
百乐门大酒店,bai'le'men'da'jiu'dian
百乐汽车广场,bai'le'qi'che'guang'chang
百乐琴行,bai'le'qin'hang
百乐渔都,bai'le'yu'du
白李村,bai'li'cun
白龙港村,bai'long'gang'cun
白龙庙,bai'long'miao
白马庙村,bai'ma'miao'cun
白庙村,bai'miao'cun
柏木桥,bai'mu'qiao
白南村,bai'nan'cun
百盛宾馆,bai'sheng'bin'guan
百盛大酒店,bai'sheng'da'jiu'dian
百盛游戏厅,bai'sheng'you'xi'ting
百世德咖啡,bai'shi'de'ka'fei
柏树墩村,bai'shu'dun'cun
百岁桥,bai'sui'qiao
白滩河,bai'tan'he
白塘村,bai'tang'cun
白塘桥,bai'tang'qiao
白天鹅大厦,bai'tian'e'da'sha
百味食品,bai'wei'shi'pin
柏仙多格,bai'xian'duo'ge
百新村,bai'xin'cun
百信鞋业,bai'xin'xie'ye
百姓超市,bai'xing'chao'shi
百姓大药房,bai'xing'da'yao'fang
百姓人家,bai'xing'ren'jia
百姓缘大药房,bai'xing'yuan'da'yao'fang
白雁村,bai'yan'cun
白玉兰宾馆,bai'yu'lan'bin'guan
白云宾馆,bai'yun'bin'guan
百子堂,bai'zi'tang
半岛山庄,ban'dao'shan'zhuang
搬东村,ban'dong'cun
班房头,ban'fang'tou
钣焊厂,ban'han'chang
钣金厂,ban'jin'chang
半泾坚河,ban'jing'jian'he
搬经小学,ban'jing'xiao'xue
搬经中学,ban'jing'zhong'xue
板桥,ban'qiao
板桥村,ban'qiao'cun
板桥新村,ban'qiao'xin'cun
浜北村,bang'bei'cun
邦道村,bang'dao'cun
宝宝幼儿园,bao'bao'you'er'yuan
包场,bao'chang
包场村,bao'chang'cun
包东村,bao'dong'cun
宝风制衣,bao'feng'zhi'yi
堡河村,bao'he'cun
保和堂大药房,bao'he'tang'da'yao'fang
包家埭,bao'jia'dai
包家墩,bao'jia'dun
保家桥,bao'jia'qiao
包家桥,bao'jia'qiao
鲍家桥,bao'jia'qiao
鲍家桥村,bao'jia'qiao'cun
保家湾,bao'jia'wan
包家庄,bao'jia'zhuang
鲍家庄,bao'jia'zhuang
报警亭,bao'jing'ting
宝利金,bao'li'jin
宝隆电脑城,bao'long'dian'nao'cheng
保罗服饰,bao'luo'fu'shi
保民村,bao'min'cun
包南村,bao'nan'cun
堡南村,bao'nan'cun
保桥村,bao'qiao'cun
鲍桥村,bao'qiao'cun
宝山村,bao'shan'cun
宝视眼镜,bao'shi'yan'jing
宝塔村,bao'ta'cun
宝塔树,bao'ta'shu
宝塔头,bao'ta'tou
保田村,bao'tian'cun
保田小学,bao'tian'xiao'xue
保通村,bao'tong'cun
保卫村,bao'wei'cun
保卫小学,bao'wei'xiao'xue
保温瓶厂,bao'wen'ping'chang
包西村,bao'xi'cun
堡西村,bao'xi'cun
保险大厦,bao'xian'da'sha
保险公司,bao'xian'gong'si
宝祥村,bao'xiang'cun
宝新村,bao'xin'cun
宝兴村,bao'xing'cun
保障村,bao'zhang'cun
宝芝林大药房,bao'zhi'lin'da'yao'fang
鲍庄,bao'zhuang
鲍庄村,bao'zhuang'cun
北板桥,bei'ban'qiao
贝贝幼儿园,bei'bei'you'er'yuan
北场村,bei'chang'cun
北辰科技,bei'chen'ke'ji
北荡村,bei'dang'cun
北店村,bei'dian'cun
北渡村,bei'du'cun
北二环东路口,bei'er'huan'dong'lu'kou
北阁新村,bei'ge'xin'cun
北固村,bei'gu'cun
北郭北村,bei'guo'bei'cun
北郭新村,bei'guo'xin'cun
北濠大厦,bei'hao'da'sha
北濠东村,bei'hao'dong'cun
北濠桥,bei'hao'qiao
北濠桥东村,bei'hao'qiao'dong'cun
北濠桥新村,bei'hao'qiao'xin'cun
北濠山庄,bei'hao'shan'zhuang
北濠新村,bei'hao'xin'cun
北河村,bei'he'cun
北街小学,bei'jie'xiao'xue
北街新村,bei'jie'xin'cun
蓓蕾幼儿园,bei'lei'you'er'yuan
北李村,bei'li'cun
北凌村,bei'ling'cun
北凌小学,bei'ling'xiao'xue
北刘家庄,bei'liu'jia'zhuang
北楼,bei'lou
北麓园,bei'lu'yuan
北清河,bei'qing'he
北清河村,bei'qing'he'cun
北沙村,bei'sha'cun
北沙子,bei'sha'zi
北山宾馆,bei'shan'bin'guan
北舍,bei'she
北施村,bei'shi'cun
北水关,bei'shui'guan
北潭村,bei'tan'cun
北塘村,bei'tang'cun
北围村,bei'wei'cun
北魏村,bei'wei'cun
北夏村,bei'xia'cun
北小庄村,bei'xiao'zhuang'cun
北新桥,bei'xin'qiao
北兴,bei'xing
北行,bei'xing
北兴村,bei'xing'cun
北星村,bei'xing'cun
北兴居,bei'xing'ju
北兴窑厂,bei'xing'yao'chang
北徐庄,bei'xu'zhuang
北阳村,bei'yang'cun
北洋桥,bei'yang'qiao
北窑,bei'yao
北窑村,bei'yao'cun
北园,bei'yuan
北园村,bei'yuan'cun
北园小区,bei'yuan'xiao'qu
北闸村,bei'zha'cun
北朱家园,bei'zhu'jia'yuan
北庄,bei'zhuang
北庄村,bei'zhuang'cun
栟茶小学,ben'cha'xiao'xue
奔驰天下,ben'chi'tian'xia
贲集村,ben'ji'cun
贲家集,ben'jia'ji
贲巷村,ben'xiang'cun
笔架山,bi'jia'shan
必胜村,bi'sheng'cun
碧水苑,bi'shui'yuan
碧堂庙村,bi'tang'miao'cun
碧霞苑,bi'xia'yuan
扁担桥,bian'dan'qiao
变电所,bian'dian'suo
边防检查站,bian'fang'jian'cha'zhan
边港,bian'gang
卞家桥,bian'jia'qiao
卞家庄,bian'jia'zhuang
卞南村,bian'nan'cun
卞桥村,bian'qiao'cun
卞西村,bian'xi'cun
编织厂,bian'zhi'chang
滨海村,bin'hai'cun
滨河广场,bin'he'guang'chang
滨江公园,bin'jiang'gong'yuan
滨江花园,bin'jiang'hua'yuan
滨江花苑,bin'jiang'hua'yuan
滨江旅馆,bin'jiang'lv'guan
兵房小学,bing'fang'xiao'xue
秉章村,bing'zhang'cun
博爱村,bo'ai'cun
博爱医院,bo'ai'yi'yuan
伯安村,bo'an'cun
驳船厂,bo'chuan'chang
玻璃厂,bo'li'chang
波司登,bo'si'deng
博雅服饰,bo'ya'fu'shi
步东村,bu'dong'cun
不二红辣椒,bu'er'hong'la'jiao
卜家桥,bu'jia'qiao
步林村,bu'lin'cun
埠南村,bu'nan'cun
补南村,bu'nan'cun
步梯村,bu'ti'cun
不锈钢厂,bu'xiu'gang'chang
捕鱼港,bu'yu'gang
蔡坝村,cai'ba'cun
蔡堡村,cai'bao'cun
彩臣三村,cai'chen'san'cun
蔡村,cai'cun
蔡店村,cai'dian'cun
蔡渡村,cai'du'cun
蔡墩村,cai'dun'cun
菜根香大酒店,cai'gen'xiang'da'jiu'dian
彩虹宾馆,cai'hong'bin'guan
蔡家坝,cai'jia'ba
蔡家店,cai'jia'dian
蔡家渡,cai'jia'du
蔡家花园,cai'jia'hua'yuan
蔡家楼,cai'jia'lou
蔡家桥,cai'jia'qiao
蔡家庄,cai'jia'zhuang
才良村,cai'liang'cun
