阿拔斯一世,a'ba'si'yi'shi
阿般提,a'ban'ti
阿保机创建,a'bao'ji'chuang'jian
阿倍仲麻吕,a'bei'zhong'ma'lv
阿扁,a'bian
阿尔伯特,a'er'bo'te
阿芙乐尔号巡洋舰,a'fu'le'er'hao'xun'yang'jian
阿哥尼斯特运动,a'ge'ni'si'te'yun'dong
阿根廷独立运动,a'gen'ting'du'li'yun'dong
阿骨大,a'gu'da
阿忽台,a'hu'tai
阿济格等人,a'ji'ge'deng'ren
阿卡德,a'ka'de
阿奎那,a'kui'na
阿拉伯帝国,a'la'bo'di'guo
阿拉伯文化,a'la'bo'wen'hua
阿剌吉八,a'la'ji'ba
阿里不哥,a'li'bu'ge
阿里不哥也在漠北称汗,a'li'bu'ge'ye'zai'mo'bei'cheng'han
阿蒙神庙,a'meng'shen'miao
阿难答,a'nan'da
阿湿波,a'shi'bo
阿速吉八,a'su'ji'ba
阿速温和吉八,a'su'wen'he'ji'ba
阿维农之囚,a'wei'nong'zhi'qiu
阿维森纳,a'wei'sen'na
阿亚库巧战役,a'ya'ku'qiao'zhan'yi
阿育王,a'yu'wang
艾伯特,ai'bo'te
哀帝哀帝有,ai'di'ai'di'you
哀帝去世,ai'di'qu'shi
爱迪生,ai'di'sheng
矮而粗壮,ai'er'cu'zhuang
爱尔福特纲领,ai'er'fu'te'gang'ling
爱尔兰独立运动,ai'er'lan'du'li'yun'dong
艾服之年,ai'fu'zhi'nian
哀公,ai'gong
爱国诗人,ai'guo'shi'ren
爱国主义,ai'guo'zhu'yi
爱好文学,ai'hao'wen'xue
埃赫那吞,ai'he'na'tun
爱姆斯急电,ai'mu'si'ji'dian
埃帕米农达,ai'pa'mi'nong'da
哀平帝,ai'ping'di
哀平帝苻丕,ai'ping'di'fu'pi
爱琴文化,ai'qin'wen'hua
艾青,ai'qing
爱森那赫派,ai'sen'na'he'pai
哀王,ai'wang
哀王沮渠牧犍,ai'wang'ju'qu'mu'jian
爱新觉罗努尔哈赤,ai'xin'jue'luo'nu'er'ha'chi
爱新觉罗氏,ai'xin'jue'luo'shi
爱因斯坦,ai'yin'si'tan
爱育黎拔力八达,ai'yu'li'ba'li'ba'da
爱育黎拔力八达诱执阿难答,ai'yu'li'ba'li'ba'da'you'zhi'a'nan'da
矮子丕平,ai'zi'pi'ping
哀宗,ai'zong
哀宗完颜守绪,ai'zong'wan'yan'shou'xu
按察使等,an'cha'shi'deng
安德王,an'de'wang
安德王高延宗,an'de'wang'gao'yan'zong
安定王,an'ding'wang
安定王室,an'ding'wang'shi
安定王元朗,an'ding'wang'yuan'lang
安东将军,an'dong'jiang'jun
按肥瘠,an'fei'ji
按官品高低,an'guan'pin'gao'di
安徽凤阳人,an'hui'feng'yang'ren
安徽寿县,an'hui'shou'xian
安济桥,an'ji'qiao
安立甘,an'li'gan
安禄山,an'lu'shan
按满官品级分给为奴,an'man'guan'pin'ji'fen'gei'wei'nu
安南,an'nan
安史之乱,an'shi'zhi'luan
按收成比例纳租,an'shou'cheng'bi'li'na'zu
按台山,an'tai'shan
安童,an'tong
按土地的肥瘠,an'tu'di'de'fei'ji
按土地面积,an'tu'di'mian'ji
按一丁交纳租谷,an'yi'ding'jiao'na'zu'gu
按月分值,an'yue'fen'zhi
按照史家的习惯,an'zhao'shi'jia'de'xi'guan
安政条约,an'zheng'tiao'yue
昂山,ang'shan
澳大利亚联邦,ao'da'li'ya'lian'bang
奥得尼斯河线,ao'de'ni'si'he'xian
奥列格,ao'lie'ge
奥斯曼帝国,ao'si'man'di'guo
奥匈帝国,ao'xiong'di'guo
巴贝夫,ba'bei'fu
巴比伦之囚,ba'bi'lun'zhi'qiu
巴布教徒起义,ba'bu'jiao'tu'qi'yi
巴賨人,ba'cong'ren
巴氐,ba'di
拔都,ba'du
拔都侵入孛烈儿,ba'du'qin'ru'bei'lie'er
拔都推举拖雷长子,ba'du'tui'ju'tuo'lei'zhang'zi
拔都闻窝阔台死讯,ba'du'wen'wo'kuo'tai'si'xun
拔都与贵由不和,ba'du'yu'gui'you'bu'he
巴多利决议,ba'duo'li'jue'yi
巴尔干半岛,ba'er'gan'ban'dao
巴尔喀什湖以东的葱岭地区,ba'er'ka'shi'hu'yi'dong'de'cong'ling'di'qu
巴伐利亚苏维埃共和国,ba'fa'li'ya'su'wei'ai'gong'he'guo
罢废州郡武装,ba'fei'zhou'jun'wu'zhuang
八分之一,ba'fen'zhi'yi
巴高达运动,ba'gao'da'yun'dong
八个,ba'ge
巴基斯坦穆斯林联盟,ba'ji'si'tan'mu'si'lin'lian'meng
巴金,ba'jin
巴枯宁,ba'ku'ning
八剌和术赤后王忙哥帖木儿,ba'la'he'shu'chi'hou'wang'mang'ge'tie'mu'er
巴黎公社,ba'li'gong'she
巴黎和会,ba'li'he'hui
巴黎六月起义,ba'li'liu'yue'qi'yi
把矛头直指,ba'mao'tou'zhi'zhi
巴拿马丑闻,ba'na'ma'chou'wen
八年间,ba'nian'jian
八品的郎中,ba'pin'de'lang'zhong
八旗通志,ba'qi'tong'zhi
八旗制度,ba'qi'zhi'du
八旗之谜,ba'qi'zhi'mi
八千名,ba'qian'ming
八千名少女,ba'qian'ming'shao'nv
八千人,ba'qian'ren
把秦国的,ba'qin'guo'de
八顷,ba'qing
把权力集中到,ba'quan'li'ji'zhong'dao
跋沙,ba'sha
巴士底狱,ba'shi'di'yu
八十多年,ba'shi'duo'nian
巴蜀,ba'shu
巴蜀互攻,ba'shu'hu'gong
巴蜀流民,ba'shu'liu'min
巴蜀全境,ba'shu'quan'jing
把属于,ba'shu'yu
八思巴,ba'si'ba
把统一范围扩及整个北方,ba'tong'yi'fan'wei'kuo'ji'zheng'ge'bei'fang
把头看作,ba'tou'kan'zuo
八王者,ba'wang'zhe
八王之乱,ba'wang'zhi'luan
八王之乱到此终结,ba'wang'zhi'luan'dao'ci'zhong'jie
八王之乱后期的主要人物,ba'wang'zhi'luan'hou'qi'de'zhu'yao'ren'wu
八王之乱以后,ba'wang'zhi'luan'yi'hou
把吴人,ba'wu'ren
八校尉兵,ba'xiao'wei'bing
八姓,ba'xing
拔用,ba'yong
把原先,ba'yuan'xian
八月初二徐达率北伐明军进入大都元政权被推翻,ba'yue'chu'er'xu'da'lv'bei'fa'ming'jun'jin'ru'da'dou'yuan'zheng'quan'bei'tui'fan
八月留守大都的武宗亲信,ba'yue'liu'shou'da'dou'de'wu'zong'qin'xin
八月中,ba'yue'zhong
八月朱元璋令,ba'yue'zhu'yuan'zhang'ling
罢征日本,ba'zheng'ri'ben
跋祗,ba'zhi
白痴的,bai'chi'de
白登,bai'deng
白登之围从此以后,bai'deng'zhi'wei'cong'ci'yi'hou
百夫长,bai'fu'zhang
白公胜,bai'gong'sheng
百工衙,bai'gong'ya
百官党争于下,bai'guan'dang'zheng'yu'xia
白圭,bai'gui
百家语,bai'jia'yu
白居易,bai'ju'yi
百科全书派,bai'ke'quan'shu'pai
白里安凯洛公约,bai'li'an'kai'luo'gong'yue
百里奚,bai'li'xi
白莲教,bai'lian'jiao
白龙堆沙漠,bai'long'dui'sha'mo
白鹭城,bai'lu'cheng
百年翻译运动,bai'nian'fan'yi'yun'dong
白朴,bai'pu
白起,bai'qi
拜上帝会,bai'shang'di'hui
拜上帝教,bai'shang'di'jiao
百室合户,bai'shi'he'hu
白淑湘,bai'shu'xiang
白天则,bai'tian'ze
摆脱亡国,bai'tuo'wang'guo
百姓反攻,bai'xing'fan'gong
白行简,bai'xing'jian
白匈奴,bai'xiong'nu
白衣大食,bai'yi'da'shi
白玉霜,bai'yu'shuang
百余位,bai'yu'wei
白元,bai'yuan
百越,bai'yue
拜占庭,bai'zhan'ting
拜占庭帝国,bai'zhan'ting'di'guo
白种匈奴,bai'zhong'xiong'nu
班彪,ban'biao
颁布均田制,ban'bu'jun'tian'zhi
颁布制度等,ban'bu'zhi'du'deng
班超,ban'chao
半渡击之,ban'du'ji'zhi
半封建半殖民地社会,ban'feng'jian'ban'zhi'min'di'she'hui
半个世纪,ban'ge'shi'ji
半个月前,ban'ge'yue'qian
班固,ban'gu
版籍奉还,ban'ji'feng'huan
班婕妤,ban'jie'yu
斑鸠寺,ban'jiu'si
半老徐娘,ban'lao'xu'niang
班田收授法,ban'tian'shou'shou'fa
版图狭窄,ban'tu'xia'zhai
颁行,ban'xing
颁行全国,ban'xing'quan'guo
扮演的角色,ban'yan'de'jue'se
板垣征四郎,ban'yuan'zheng'si'lang
般遮罗,ban'zhe'luo
帮助或干涉,bang'zhu'huo'gan'she
保持对,bao'chi'dui
保持和平,bao'chi'he'ping
报达,bao'da
保大九年,bao'da'jiu'nian
保大三年,bao'da'san'nian
爆发后,bao'fa'hou
爆发了,bao'fa'le
鲍革,bao'ge
饱含江南特质的,bao'han'jiang'nan'te'zhi'de
保境息民,bao'jing'xi'min
暴君,bao'jun
包括达拉克,bao'kuo'da'la'ke
包括盗法,bao'kuo'dao'fa
包括台湾及其附属岛屿,bao'kuo'tai'wan'ji'qi'fu'shu'dao'yu
包括新罗,bao'kuo'xin'luo
包括在万历二十年,bao'kuo'zai'wan'li'er'shi'nian
