哀哀父母,ai'ai'fu'mu
哀哀欲绝,ai'ai'yu'jue
挨家挨户,ai'jia'ai'hu
安安静静,an'an'jing'jing
安安稳稳,an'an'wen'wen
嗷嗷待哺,ao'ao'dai'bu
百发百中,bai'fa'bai'zhong
白发苍苍,bai'fa'cang'cang
百战百胜,bai'zhan'bai'sheng
半工半读,ban'gong'ban'du
暴饮暴食,bao'yin'bao'shi
本乡本土,ben'xiang'ben'tu
比比划划,bi'bi'hua'hua
比比皆是,bi'bi'jie'shi
彬彬有礼,bin'bin'you'li
病病歪歪,bing'bing'wai'wai
勃勃生机,bo'bo'sheng'ji
不卑不亢,bu'bei'bu'kang
步步莲花,bu'bu'lian'hua
步步为营,bu'bu'wei'ying
不管不顾,bu'guan'bu'gu
不慌不忙,bu'huang'bu'mang
不骄不躁,bu'jiao'bu'zao
不亢不卑,bu'kang'bu'bei
不明不白,bu'ming'bu'bai
不偏不倚,bu'pian'bu'yi
不屈不挠,bu'qu'bu'nao
不三不四,bu'san'bu'si
不上不下,bu'shang'bu'xia
不痛不痒,bu'tong'bu'yang
不闻不问,bu'wen'bu'wen
不折不扣,bu'zhe'bu'kou
草草了事,cao'cao'liao'shi
草草收兵,cao'cao'shou'bing
察察为明,cha'cha'wei'ming
常来常往,chang'lai'chang'wang
吵吵闹闹,chao'chao'nao'nao
吵吵嚷嚷,chao'chao'rang'rang
超超玄著,chao'chao'xuan'zhu
炒买炒卖,chao'mai'chao'mai
潮涨潮落,chao'zhang'chao'luo
彻头彻尾,che'tou'che'wei
陈陈相因,chen'chen'xiang'yin
沉甸甸,chen'dian'dian
诚惶诚恐,cheng'huang'cheng'kong
成名成家,cheng'ming'cheng'jia
称王称霸,cheng'wang'cheng'ba
诚心诚意,cheng'xin'cheng'yi
吃吃喝喝,chi'chi'he'he
赤裸裸,chi'luo'luo
抽抽搭搭,chou'chou'da'da
楚楚动人,chu'chu'dong'ren
楚楚可怜,chu'chu'ke'lian
床上安床,chuang'shang'an'chuang
蠢蠢欲动,chun'chun'yu'dong
绰绰有余,chuo'chuo'you'yu
刺刺不休,ci'ci'bu'xiu
此情此景,ci'qing'ci'jing
匆匆忙忙,cong'cong'mang'mang
从难从严,cong'nan'cong'yan
从重从快,cong'zhong'cong'kuai
大包大揽,da'bao'da'lan
大大方方,da'da'fang'fang
大大咧咧,da'da'lie'lie
大大落落,da'da'luo'luo
大风大浪,da'feng'da'lang
大腹便便,da'fu'pian'pian
大轰大嗡,da'hong'da'weng
大名鼎鼎,da'ming'ding'ding
大起大落,da'qi'da'luo
大是大非,da'shi'da'fei
代代相传,dai'dai'xiang'chuan
旦旦而伐,dan'dan'er'fa
地地道道,di'di'dao'dao
叠词大全,die'ci'da'quan
喋喋不休,die'die'bu'xiu
鼎鼎大名,ding'ding'da'ming
多才多艺,duo'cai'duo'yi
咄咄逼人,duo'duo'bi'ren
咄咄怪事,duo'duo'guai'shi
多多益善,duo'duo'yi'shan
多灾多难,duo'zai'duo'nan
多姿多彩,duo'zi'duo'cai
恶狠狠,e'hen'hen
恩恩相报,en'en'xiang'bao
泛泛而谈,fan'fan'er'tan
泛泛之交,fan'fan'zhi'jiao
泛泛之人,fan'fan'zhi'ren
防不及防,fang'bu'ji'fang
防不胜防,fang'bu'sheng'fang
沸沸扬扬,fei'fei'yang'yang
匪匪翼翼,fei'fei'yi'yi
非亲非故,fei'qin'fei'gu
愤愤不平,fen'fen'bu'ping
纷纷攘攘,fen'fen'rang'rang
纷纷扬扬,fen'fen'yang'yang
缝缝补补,feng'feng'bu'bu
疯疯癫癫,feng'feng'dian'dian
风风火火,feng'feng'huo'huo
风风雨雨,feng'feng'yu'yu
风言风语,feng'yan'feng'yu
服服帖帖,fu'fu'tie'tie
干巴巴,gan'ba'ba
高高兴兴,gao'gao'xing'xing
高高在上,gao'gao'zai'shang
