阿柏怪,a'bai'guai
阿柏蛇,a'bai'she
阿勃梭鲁,a'bo'suo'lu
阿利多斯,a'li'duo'si
艾比郎,ai'bi'lang
爱心鱼,ai'xin'yu
安瓢虫,an'piao'chong
巴大蝴,ba'da'hu
巴尔郎,ba'er'lang
芭瓢虫,ba'piao'chong
霸王花,ba'wang'hua
百变怪,bai'bian'guai
白海狮,bai'hai'shi
斑基拉,ban'ji'la
半莲毒蛾,ban'lian'du'e
半眼蝉,ban'yan'chan
宝宝丁,bao'bao'ding
宝贝龙,bao'bei'long
暴鲤龙,bao'li'long
宝石海星,bao'shi'hai'xing
暴跳龙,bao'tiao'long
爆音怪,bao'yin'guai
比比鸟,bi'bi'niao
比雕,bi'diao
变色龙,bian'se'long
冰鬼护,bing'gui'hu
冰伊布,bing'yi'bu
波波,bo'bo
波波海象,bo'bo'hai'xiang
波克比,bo'ke'bi
波克基古,bo'ke'ji'gu
布鲁,bu'lu
布鲁皇,bu'lu'huang
捕蝇草,bu'ying'cao
草刺猬,cao'ci'wei
草蜥蜴,cao'xi'yi
草伊布,cao'yi'bu
叉尾浮鼬,cha'wei'fu'you
长鼻叶,chang'bi'ye
长睫鳗,chang'jie'man
长毛象,chang'mao'xiang
长毛猪,chang'mao'zhu
朝北鼻,chao'bei'bi
朝北巨鼻,chao'bei'ju'bi
超梦,chao'meng
超能斗士,chao'neng'dou'shi
超音蝠,chao'yin'fu
乘龙,cheng'long
臭臭花,chou'chou'hua
臭臭泥,chou'chou'ni
臭泥,chou'ni
触手百合,chu'shou'bai'he
穿山鼠,chuan'shan'shu
穿山王,chuan'shan'wang
创世神,chuang'shi'shen
刺龙王,ci'long'wang
大葱鸭,da'cong'ya
大灯笼鱼,da'deng'long'yu
大毒鼬,da'du'you
大鄂蚁,da'e'yi
大飞鼠,da'fei'shu
大钢蛇,da'gang'she
大甲,da'jia
大菊花,da'ju'hua
大力鳄,da'li'e
大奶罐,da'nai'guan
大钳蟹,da'qian'xie
大舌贝,da'she'bei
大舌头,da'she'tou
大食花,da'shi'hua
大丸鼠,da'wan'shu
大王燕,da'wang'yan
大尾立,da'wei'li
大岩蛇,da'yan'she
大针蜂,da'zhen'feng
大嘴蝠,da'zui'fu
大嘴鳗,da'zui'man
大嘴鸥,da'zui'ou
大嘴雀,da'zui'que
大嘴娃,da'zui'wa
呆呆兽,dai'dai'shou
呆河马,dai'he'ma
呆火驼,dai'huo'tuo
袋龙,dai'long
戴鲁比,dai'lu'bi
蛋蛋,dan'dan
灯笼鱼,deng'long'yu
迪奥西斯,di'ao'xi'si
地鼠,di'shu
帝牙海象,di'ya'hai'xiang
迪亚鲁卡,di'ya'lu'ka
地狱超人,di'yu'chao'ren
电弧灵,dian'hu'ling
电击猛兽,dian'ji'meng'shou
电击兽,dian'ji'shou
电击小子,dian'ji'xiao'zi
电栗鼠,dian'li'shu
电狮,dian'shi
斗笠菇,dou'li'gu
毒布丁,du'bu'ding
毒臭鼬,du'chou'you
毒刺水母,du'ci'shui'mu
毒斗蛙,du'dou'wa
嘟嘟,du'du
嘟嘟利,du'du'li
独角虫,du'jiao'chong
毒龙蝎,du'long'xie
毒蔷薇,du'qiang'wei
毒牙蝎,du'ya'xie
顿甲,dun'jia
盾头龙,dun'tou'long
多刺菊石兽,duo'ci'ju'shi'shou
翻斗鲨,fan'dou'sha
菲奥奈,fei'ao'nai
飞天螳螂,fei'tian'tang'lang
飞翼兽,fei'yi'shou
粉红蛋,fen'hong'dan
风铃铃,feng'ling'ling
风速狗,feng'su'gou
凤王,feng'wang
浮磁王,fu'ci'wang
负电兔,fu'dian'tu
蝠牙天蝎,fu'ya'tian'xie
嘎拉嘎拉,ga'la'ga'la
刚比,gang'bi
钢甲暴龙,gang'jia'bao'long
钢甲犀牛,gang'jia'xi'niu
钢甲幼龙,gang'jia'you'long
钢炎兽,gang'yan'shou
哥达鸭,ge'da'ya
格斗蛙,ge'dou'wa
耿鬼,geng'gui
咕咕,gu'gu
古空棘鱼,gu'kong'ji'yu
古拉顿,gu'la'dun
古拉海象,gu'la'hai'xiang
古蔓藤,gu'man'teng
古蜻蜓,gu'qing'ting
怪力,guai'li
光伊布,guang'yi'bu
鬼蝉,gui'chan
鬼龙神,gui'long'shen
鬼盆栽,gui'pen'zai
鬼斯,gui'si
鬼斯通,gui'si'tong
鬼雪女,gui'xue'nv
过动猿,guo'dong'yuan
果然翁,guo'ran'weng
哈克龙,ha'ke'long
哈奇蛇,ha'qi'she
海刺龙,hai'ci'long
海皇牙,hai'huang'ya
海星星,hai'xing'xing
豪火猴,hao'huo'hou
豪力,hao'li
核果球,he'guo'qiu
合金十字,he'jin'shi'zi
合金蟹,he'jin'xie
合金爪,he'jin'zhao
赫拉克罗斯,he'la'ke'luo'si
河马王,he'ma'wang
河豚,he'tun
黑暗鸦,hei'an'ya
黑鲁加,hei'lu'jia
黑毛犬,hei'mao'quan
黑啸灵,hei'xiao'ling
黑夜王,hei'ye'wang
红毛虫,hong'mao'chong
红圣姑,hong'sheng'gu
吼爆弹,hou'bao'dan
猴怪,hou'guai
吼鲸王,hou'jing'wang
胡地,hu'di
蝴蝶鱼,hu'die'yu
壶壶,hu'hu
胡说盆栽,hu'shuo'pen'zai
胡说树,hu'shuo'shu
花黄鱼,hua'huang'yu
化石盔,hua'shi'kui
化石翼龙,hua'shi'yi'long
晃晃斑,huang'huang'ban
黄圣姑,huang'sheng'gu
火爆猴,huo'bao'hou
火鸡战士,huo'ji'zhan'shi
火恐龙,huo'kong'long
火球鼠,huo'qiu'shu
火焰鸟,huo'yan'niao
火炎鼠,huo'yan'shu
火伊布,huo'yi'bu
急冻鸟,ji'dong'niao
吉拉奇,ji'la'qi
吉利蛋,ji'li'dan
加肥猫,jia'fei'mao
甲壳龙,jia'qiao'long
毽子草,jian'zi'cao
毽子花,jian'zi'hua
毽子棉,jian'zi'mian
角金鱼,jiao'jin'yu
杰尼龟,jie'ni'gui
金鱼王,jin'yu'wang
惊角鹿,jing'jiao'lu
九尾,jiu'wei
菊草叶,ju'cao'ye
巨钳螳螂,ju'qian'tang'lang
巨钳蟹,ju'qian'xie
菊石兽,ju'shi'shou
巨树龟,ju'shu'gui
巨沼王,ju'zhao'wang
卷耳兔,juan'er'tu
卷尾猫,juan'wei'mao
卡比兽,ka'bi'shou
卡波郎,ka'bo'lang
卡蒂狗,ka'di'gou
卡拉卡拉,ka'la'ka'la
卡咪龟,ka'mi'gui
凯西,kai'xi
可达鸭,ke'da'ya
肯泰罗,ken'tai'luo
口呆花,kou'dai'hua
快龙,kuai'long
快泳蛙,kuai'yong'wa
盔甲鸟,kui'jia'niao
蛞蝓龙,kuo'yu'long
喇叭芽,la'ba'ya
拉达,la'da
拉鲁拉斯,la'lu'la'si
拉提奥斯,la'ti'ao'si
拉提亚斯,la'ti'ya'si
蓝电狮,lan'dian'shi
懒人翁,lan'ren'weng
蓝圣姑,lan'sheng'gu
乐天河童,le'tian'he'tong
雷电球,lei'dian'qiu
雷皇,lei'huang
雷吉艾斯,lei'ji'ai'si
雷吉洛克,lei'ji'luo'ke
雷吉斯奇鲁,lei'ji'si'qi'lu
雷丘,lei'qiu
雷伊布,lei'yi'bu
利牙鱼,li'ya'yu
鲤鱼王,li'yu'wang
镰刀盔,lian'dao'kui
莲叶童子,lian'ye'tong'zi
莲叶小童,lian'ye'xiao'tong
椋鸟,liang'niao
椋雀,liang'que
椋鹰,liang'ying
烈雀,lie'que
烈牙龙,lie'ya'long
烈焰马,lie'yan'ma
烈炎兽,lie'yan'shou
灵铜铎,ling'tong'duo
灵铜镜,ling'tong'jing
六尾,liu'wei
隆隆石,long'long'shi
隆隆岩,long'long'yan
龙虾小兵,long'xia'xiao'bing
卢卡里奥,lu'ka'li'ao
露利丽,lu'li'li
卢尼奥,lu'ni'ao
洛基亚,luo'ji'ya
绿毛虫,lv'mao'chong
马利露,ma'li'lu
马利露丽,ma'li'lu'li
玛娜菲,ma'na'fei
玛瑙水母,ma'nao'shui'mu
玛狃拉,ma'niu'la
麻燕,ma'yan
曼泰飞鱼,man'tai'fei'yu
蔓藤怪,man'teng'guai
猫老大,mao'lao'da
毛球,mao'qiu
猫头夜鹰,mao'tou'ye'ying
猫鼬斩,mao'you'zhan
玫瑰种,mei'gui'zhong
美丽花,mei'li'hua
美丽龙,mei'li'long
煤炭龟,mei'tan'gui
梦歌奈亚,meng'ge'nai'ya
梦幻,meng'huan
猛火猴,meng'huo'hou
蒙面玫瑰,meng'mian'mei'gui
梦魇,meng'yan
梦妖,meng'yao
迷唇姐,mi'chun'jie
迷唇妹,mi'chun'mei
迷你龙,mi'ni'long
绵绵,mian'mian
喵喵,miao'miao
妙蛙草,miao'wa'cao
妙蛙花,miao'wa'hua
妙蛙种子,miao'wa'zhong'zi
咩利羊,mie'li'yang
冥思兽,ming'si'shou
墨海马,mo'hai'ma
蘑蘑菇,mo'mo'gu
魔尼尼,mo'ni'ni
末入蛾,mo'ru'e
木天狗,mu'tian'gou
嫩苗龟,nen'miao'gui
尼多后,ni'duo'hou
尼多兰,ni'duo'lan
尼多郎,ni'duo'lang
尼多利娜,ni'duo'li'na
尼多利诺,ni'duo'li'nuo
尼多王,ni'duo'wang
泥鳅,ni'qiu
鲶鱼王,nian'yu'wang
狃拉,niu'la
牛蛙君,niu'wa'jun
女郎兔,nv'lang'tu
女王蜂,nv'wang'feng
帕鲁基亚,pa'lu'ji'ya
派拉斯,pai'la'si
派拉斯特,pai'la'si'te
胖丁,pang'ding
胖可丁,pang'ke'ding
喷火龙,pen'huo'long
喷火驼,pen'huo'tuo
皮宝宝,pi'bao'bao
皮卡丘,pi'ka'qiu
皮可西,pi'ke'xi
皮皮,pi'pi
皮皮鲸,pi'pi'jing
皮皮犬,pi'pi'quan
皮丘,pi'qiu
噗噗猪,pu'pu'zhu
企鹅皇,qi'e'huang
麒麟奇,qi'lin'qi
齐鲁利安,qi'lu'li'an
气球怪,qi'qiu'guai
气球鬼,qi'qiu'gui
七夕青鸟,qi'xi'qing'niao
恰雷姆,qia'lei'mu
强尾猴,qiang'wei'hou
请假王,qing'jia'wang
蜻蜓龙,qing'ting'long
拳击兔,quan'ji'tu
圈圈熊,quan'quan'xiong
热带飞龙,re'dai'fei'long
熔岩虫,rong'yan'chong
熔岩蜗牛,rong'yan'wo'niu
三地鼠,san'di'shu
三合一磁怪,san'he'yi'ci'guai
三合一土偶,san'he'yi'tu'ou
三目蜂,san'mu'feng
森林蜥蜴,sen'lin'xi'yi
沙暴河马,sha'bao'he'ma
沙河马,sha'he'ma
沙基拉,sha'ji'la
沙漠奈亚,sha'mo'nai'ya
沙奈朵,sha'nai'duo
沙蜻蜓,sha'qing'ting
沙瓦郎,sha'wa'lang
闪电鸟,shan'dian'niao
深洞龙,shen'dong'long
绅士鸦,shen'shi'ya
神柱王,shen'zhu'wang
狩猎凤蝶,shou'lie'feng'die
树林龟,shu'lin'gui
双弹瓦斯,shuang'dan'wa'si
双尾浮鼬,shuang'wei'fu'you
双尾小子,shuang'wei'xiao'zi
双尾鱼,shuang'wei'yu
水箭龟,shui'jian'gui
水君,shui'jun
水蛞蝓,shui'kuo'yu
水伊布,shui'yi'bu
水跃鱼,shui'yue'yu
水蜘蛛,shui'zhi'zhu
松果球,song'guo'qiu
索利拍,suo'li'pai
索利普,suo'li'pu
蓑叶虫,suo'ye'chong
蓑叶蝶,suo'ye'die
蓑衣虫,suo'yi'chong
太古盔甲,tai'gu'kui'jia
太古羽虫,tai'gu'yu'chong
太阳珊瑚,tai'yang'shan'hu
太阳石,tai'yang'shi
天空龙,tian'kong'long
天龙,tian'long
天平偶,tian'ping'ou
天气小子,tian'qi'xiao'zi
天然鸟,tian'ran'niao
天然雀,tian'ran'que
天蝎,tian'xie
跳跳猪,tiao'tiao'zhu
铁鳌龙虾,tie'ao'long'xia
铁甲暴龙,tie'jia'bao'long
铁甲贝,tie'jia'bei
铁甲犀牛,tie'jia'xi'niu
铁甲蛹,tie'jia'yong
铁壳昆,tie'ke'kun
铁面忍者,tie'mian'ren'zhe
铁炮鱼,tie'pao'yu
头盖龙,tou'gai'long
土居忍者,tu'ju'ren'zhe
土龙,tu'long
图图犬,tu'tu'quan
吞食兽,tun'shi'shou
瓦卡火鸡,wa'ka'huo'ji
瓦斯弹,wa'si'dan
腕力,wan'li
顽皮弹,wan'pi'dan
丸鼠,wan'shu
王储企鹅,wang'chu'qi'e
尾立,wei'li
未知图腾,wei'zhi'tu'teng
蚊香蝌蚪,wen'xiang'ke'dou
蚊香蛙,wen'xiang'wa
乌波,wu'bo
吸盘魔偶,xi'pan'mo'ou
蜥蜴王,xi'yi'wang
线球,xian'qiu
相扑兔,xiang'pu'tu
向日葵花,xiang'ri'kui'hua
向日种子,xiang'ri'zhong'zi
橡实果,xiang'shi'guo
向尾猫,xiang'wei'mao
小磁怪,xiao'ci'guai
小果然,xiao'guo'ran
小海鸥,xiao'hai'ou
小海狮,xiao'hai'shi
小火猴,xiao'huo'hou
小火鸡,xiao'huo'ji
小火龙,xiao'huo'long
小火马,xiao'huo'ma
小锯鳄,xiao'ju'e
小拉达,xiao'la'da
小拳石,xiao'quan'shi
小山猪,xiao'shan'zhu
小小象,xiao'xiao'xiang
小鸭嘴龙,xiao'ya'zui'long
小鳐鱼,xiao'yao'yu
信使鸟,xin'shi'niao
幸福蛋,xing'fu'dan
熊宝宝,xiong'bao'bao
雪巨人,xue'ju'ren
雪拉比,xue'la'bi
雪树人,xue'shu'ren
雪童子,xue'tong'zi
血翼飞龙,xue'yi'fei'long
鸭嘴暴龙,ya'zui'bao'long
鸭嘴火龙,ya'zui'huo'long
炎帝,yan'di
阳阳玛,yang'yang'ma
摇篮百合,yao'lan'bai'he
椰蛋树,ye'dan'shu
夜光虫,ye'guang'chong
夜巨人,ye'ju'ren
夜荧虫,ye'ying'chong
伊布,yi'bu
音波兔,yin'bo'tu
音符鹦鹉,yin'fu'ying'wu
硬齿龙,ying'chi'long
荧光虫,ying'guang'chong
樱花怪,ying'hua'guai
樱花种,ying'hua'zhong
影伊布,ying'yi'bu
勇吉拉,yong'ji'la
尤基拉,you'ji'la
游梦兽,you'meng'shou
幼狮,you'shi
悠闲铃,you'xian'ling
优雅猫,you'ya'mao
雨翅蛾,yu'chi'e
圆企鹅,yuan'qi'e
圆舌头,yuan'she'tou
原始鳄,yuan'shi'e
圆眼蛹,yuan'yan'yong
怨影娃娃,yuan'ying'wa'wa
月桂叶,yue'gui'ye
乐师虫,yue'shi'chong
月牙石,yue'ya'shi
云雀,yun'que
寨头龙,zhai'tou'long
章鱼桶,zhang'yu'tong
沼王,zhao'wang
沼跃鱼,zhao'yue'yu
针鼠,zhen'shu
珍珠贝,zhen'zhu'bei
正电兔,zheng'dian'tu
重甲暴龙,zhong'jia'bao'long
走路草,zou'lu'cao
诅咒娃娃,zu'zhou'wa'wa
钻墙怪,zuan'qiang'guai
