阿餐,a'can
按察使,an'cha'shi
按察司副使,an'cha'si'fu'shi
按察司佥事,an'cha'si'qian'shi
安抚大使,an'fu'da'shi
安抚都监,an'fu'dou'jian
安抚副使,an'fu'fu'shi
安抚使,an'fu'shi
安抚使司,an'fu'shi'si
安抚使司大使司参议官,an'fu'shi'si'da'shi'si'can'yi'guan
安抚使司大使司干办公事,an'fu'shi'si'da'shi'si'gan'ban'gong'shi
安抚使司大使司主管机宜文字,an'fu'shi'si'da'shi'si'zhu'guan'ji'yi'wen'zi
安抚使司大使司准备差遣,an'fu'shi'si'da'shi'si'zhun'bei'chai'qian
安抚司安抚使,an'fu'si'an'fu'shi
安抚制置大使,an'fu'zhi'zhi'da'shi
安抚制置使,an'fu'zhi'zhi'shi
安人,an'ren
八品散官,ba'pin'san'guan
把总,ba'zong
百户,bai'hu
百户所管军,bai'hu'suo'guan'jun
伴读,ban'du
宝儿赤,bao'er'chi
宝谟阁待制,bao'mo'ge'dai'zhi
宝谟阁学士,bao'mo'ge'xue'shi
宝谟阁直学士,bao'mo'ge'zhi'xue'shi
宝文阁待制,bao'wen'ge'dai'zhi
宝文阁学士,bao'wen'ge'xue'shi
宝文阁直学士,bao'wen'ge'zhi'xue'shi
保义郎,bao'yi'lang
宝章阁待制,bao'zhang'ge'dai'zhi
宝章阁学士,bao'zhang'ge'xue'shi
宝章阁直学士,bao'zhang'ge'zhi'xue'shi
本省同考,ben'sheng'tong'kao
比部,bi'bu
比部郎中,bi'bu'lang'zhong
比部员外郎,bi'bu'yuan'wai'lang
编修,bian'xiu
编修官,bian'xiu'guan
别将,bie'jiang
兵部,bing'bu
兵部观政,bing'bu'guan'zheng
兵部郎中,bing'bu'lang'zhong
兵部尚书,bing'bu'shang'shu
兵部侍郎,bing'bu'shi'lang
兵部司郎官,bing'bu'si'lang'guan
兵部司郎中,bing'bu'si'lang'zhong
兵部司员外郎,bing'bu'si'yuan'wai'lang
兵部右侍郎,bing'bu'you'shi'lang
兵部员外郎,bing'bu'yuan'wai'lang
兵部主事,bing'bu'zhu'shi
兵部左侍郎,bing'bu'zuo'shi'lang
兵曹,bing'cao
兵曹参军,bing'cao'can'jun
兵科都给事中,bing'ke'du'ji'shi'zhong
兵科给事中,bing'ke'ji'shi'zhong
兵马都部署总管,bing'ma'dou'bu'shu'zong'guan
兵马都监,bing'ma'dou'jian
兵马都钤辖,bing'ma'dou'qian'xia
兵马副都部署总管,bing'ma'fu'dou'bu'shu'zong'guan
兵马监押,bing'ma'jian'ya
兵马钤辖,bing'ma'qian'xia
兵马使,bing'ma'shi
兵马司副指挥,bing'ma'si'fu'zhi'hui
兵马司指挥,bing'ma'si'zhi'hui
秉义郎,bing'yi'lang
博士,bo'shi
补阙,bu'que
布政使,bu'zheng'shi
布政使司布政使,bu'zheng'shi'si'bu'zheng'shi
布政使司参议,bu'zheng'shi'si'can'yi
布政使司参政,bu'zheng'shi'si'can'zheng
布政使司都事,bu'zheng'shi'si'dou'shi
布政使司副使,bu'zheng'shi'si'fu'shi
布政使司检校,bu'zheng'shi'si'jian'jiao
布政使司经历,bu'zheng'shi'si'jing'li
布政使司佥事,bu'zheng'shi'si'qian'shi
布政使司右布政使,bu'zheng'shi'si'you'bu'zheng'shi
布政使司右参议,bu'zheng'shi'si'you'can'yi
布政使司右参政,bu'zheng'shi'si'you'can'zheng
布政使司照磨,bu'zheng'shi'si'zhao'mo
布政使司左布政使,bu'zheng'shi'si'zuo'bu'zheng'shi
布政使司左参议,bu'zheng'shi'si'zuo'can'yi
布政使司左参政,bu'zheng'shi'si'zuo'can'zheng
布政司理问,bu'zheng'si'li'wen
采访处置使,cai'fang'chu'zhi'shi
采访副使,cai'fang'fu'shi
采访使,cai'fang'shi
财赋副总管,cai'fu'fu'zong'guan
才人,cai'ren
参将,can'jiang
参军,can'jun
参谋,can'mou
参议,can'yi
参议官,can'yi'guan
参知政事,can'zhi'zheng'shi
仓部郎中,cang'bu'lang'zhong
仓部司郎官,cang'bu'si'lang'guan
仓部员外郎,cang'bu'yuan'wai'lang
仓曹,cang'cao
仓曹参军,cang'cao'can'jun
仓大使,cang'da'shi
仓副使,cang'fu'shi
曹掾,cao'yuan
漕运使,cao'yun'shi
茶盐转运司同知,cha'yan'zhuan'yun'si'tong'zhi
茶盐转运司运判,cha'yan'zhuan'yun'si'yun'pan
场盐司管勾,chang'yan'si'guan'gou
朝奉大夫,chao'feng'dai'fu
朝奉郎,chao'feng'lang
朝列大夫,chao'lie'dai'fu
朝请大夫,chao'qing'dai'fu
朝请郎,chao'qing'lang
朝散大夫,chao'san'dai'fu
朝散郎,chao'san'lang
朝议大夫,chao'yi'dai'fu
朝义郎,chao'yi'lang
朝议郎,chao'yi'lang
车骑,che'qi
承差,cheng'cha
承德郎,cheng'de'lang
承发架阁照磨,cheng'fa'jia'ge'zhao'mo
承奉郎,cheng'feng'lang
承节郎,cheng'jie'lang
承事郎,cheng'shi'lang
承务郎,cheng'wu'lang
丞相,cheng'xiang
承信郎,cheng'xin'lang
承宣使,cheng'xuan'shi
承议郎,cheng'yi'lang
承旨,cheng'zhi
承直郎,cheng'zhi'lang
成忠郎,cheng'zhong'lang
持节,chi'jie
崇文馆校书郎,chong'wen'guan'xiao'shu'lang
崇文馆学士,chong'wen'guan'xue'shi
崇文院校书,chong'wen'yuan'xiao'shu
崇贤馆学士,chong'xian'guan'xue'shi
崇仪副使,chong'yi'fu'shi
崇仪使,chong'yi'shi
崇政殿说书,chong'zheng'dian'shuo'shu
出使,chu'shi
黜陟使,chu'zhi'shi
祠部郎中,ci'bu'lang'zhong
祠部司郎官,ci'bu'si'lang'guan
祠部员外郎,ci'bu'yuan'wai'lang
赐绯,ci'fei
祠禄官,ci'lu'guan
刺史,ci'shi
赐紫,ci'zi
从事,cong'shi
从事郎,cong'shi'lang
从义郎,cong'yi'lang
从政郎,cong'zheng'lang
催欠司,cui'qian'si
大都留守,da'dou'liu'shou
大都督,da'du'du
大都督府长史,da'du'du'fu'zhang'shi
大都护,da'du'hu
大监,da'jian
大将,da'jiang
大将军,da'jiang'jun
大理评事,da'li'ping'shi
大理卿,da'li'qing
大理少卿,da'li'shao'qing
大理寺丞,da'li'si'cheng
大理寺观政,da'li'si'guan'zheng
大理寺评事,da'li'si'ping'shi
大理寺卿,da'li'si'qing
大理寺少卿,da'li'si'shao'qing
大理寺寺正,da'li'si'si'zheng
大理寺司直,da'li'si'si'zhi
大理寺详断官,da'li'si'xiang'duan'guan
大理寺右评事,da'li'si'you'ping'shi
大理寺右少卿,da'li'si'you'shao'qing
大理寺正,da'li'si'zheng
大理司直,da'li'si'zhi
大理寺主簿,da'li'si'zhu'bu
大理寺左评事,da'li'si'zuo'ping'shi
大理寺左少卿,da'li'si'zuo'shao'qing
大理寺左寺丞,da'li'si'zuo'si'cheng
大理正,da'li'zheng
达鲁花赤,da'lu'hua'chi
大使,da'shi
大司农司大司农,da'si'nong'si'da'si'nong
大司农司大司农卿,da'si'nong'si'da'si'nong'qing
大司农司大司农少卿,da'si'nong'si'da'si'nong'shao'qing
大司徒,da'si'tu
大行台,da'xing'tai
大学士,da'xue'shi
大长公主,da'zhang'gong'zhu
大中大夫,da'zhong'da'fu
大中正,da'zhong'zheng
大总管,da'zong'guan
大宗正府札鲁忽赤,da'zong'zheng'fu'zha'lu'hu'chi
大夫,dai'fu
带御器械,dai'yu'qi'xie
待制,dai'zhi
道观察使,dao'guan'cha'shi
道监察御史,dao'jian'cha'yu'shi
道节度使,dao'jie'du'shi
道行军大总管,dao'xing'jun'da'zong'guan
道御史,dao'yu'shi
等路管民提举司达鲁花赤,deng'lu'guan'min'ti'ju'si'da'lu'hua'chi
登仕郎,deng'shi'lang
登仕佐郎,deng'shi'zuo'lang
迪功郎,di'gong'lang
帝姬,di'ji
帝师,di'shi
递运所大使,di'yun'suo'da'shi
典签,dian'qian
殿前承旨,dian'qian'cheng'zhi
殿前司都虞候,dian'qian'si'dou'yu'hou
殿前司都指挥使,dian'qian'si'du'zhi'hui'shi
殿前司副都指挥使,dian'qian'si'fu'du'zhi'hui'shi
殿前司捧日天武四厢都指挥使,dian'qian'si'peng'ri'tian'wu'si'xiang'du'zhi'hui'shi
殿前指挥使,dian'qian'zhi'hui'shi
典膳,dian'shan
典史,dian'shi
殿侍,dian'shi
典书,dian'shu
典术,dian'shu
典仪,dian'yi
典仗,dian'zhang
殿直,dian'zhi
殿中,dian'zhong
殿中丞,dian'zhong'cheng
殿中监,dian'zhong'jian
殿中少监,dian'zhong'shao'jian
殿中省,dian'zhong'sheng
殿中省丞,dian'zhong'sheng'cheng
殿中省尚乘奉御,dian'zhong'sheng'shang'cheng'feng'yu
殿中省尚辇奉御,dian'zhong'sheng'shang'nian'feng'yu
殿中省尚舍奉御,dian'zhong'sheng'shang'she'feng'yu
殿中省尚衣奉御,dian'zhong'sheng'shang'yi'feng'yu
殿中省少监,dian'zhong'sheng'shao'jian
殿中侍御史,dian'zhong'shi'yu'shi
殿中侍御史内供奉,dian'zhong'shi'yu'shi'nei'gong'feng
殿撰,dian'zhuan
丁父忧,ding'fu'you
丁艰,ding'jian
定九域图志所编修,ding'jiu'yu'tu'zhi'suo'bian'xiu
丁母忧,ding'mu'you
