鹌鹑蛋罐头,an'chun'dan'guan'tou
鹌鹑蛋面包,an'chun'dan'mian'bao
安徽省,an'hui'sheng
桉叶糖,an'ye'tang
八步红瓜子,ba'bu'hong'gua'zi
百草梨膏糖,bai'cao'li'gao'tang
白橙糖,bai'cheng'tang
百合罐头,bai'he'guan'tou
白糖云片糕,bai'tang'yun'pian'gao
百折酥糖,bai'zhe'su'tang
北京米花糖,bei'jing'mi'hua'tang
北京蜜饯果脯,bei'jing'mi'jian'guo'fu
北京市,bei'jing'shi
冰片糖,bing'pian'tang
冰糖,bing'tang
冰糖葫芦,bing'tang'hu'lu
波波糖,bo'bo'tang
薄荷饼糖,bo'he'bing'tang
补骨饼干,bu'gu'bing'gan
补血酥糖,bu'xue'su'tang
采芝斋糖果,cai'zhi'zhai'tang'guo
参苓粉饼干,can'ling'fen'bing'gan
蚕蛹罐头,can'yong'guan'tou
长岛海鲜罐头,chang'dao'hai'xian'guan'tou
长治山楂饼,chang'zhi'shan'zha'bing
城隍庙五香豆,cheng'huang'miao'wu'xiang'dou
重庆芝麻片,chong'qing'zhi'ma'pian
川贝柠檬李,chuan'bei'ning'meng'li
刺梨夹心饼干,ci'li'jia'xin'bing'gan
脆松糖,cui'song'tang
寸金,cun'jin
大白兔奶糖,da'bai'tu'nai'tang
大石四季仔,da'shi'si'ji'zi
蛋形巧克力,dan'xing'qiao'ke'li
道口烧鸡罐头,dao'kou'shao'ji'guan'tou
岛山米糖,dao'shan'mi'tang
低糖蜜饯,di'tang'mi'jian
淀粉软糖,dian'fen'ruan'tang
丁香榄,ding'xiang'lan
豆面酥糖,dou'mian'su'tang
杜任酥糖,du'ren'su'tang
多味果,duo'wei'guo
儿童钙质饼干,er'tong'gai'zhi'bing'gan
蜂蜜蛋白奶糖,feng'mi'dan'bai'nai'tang
蜂蜜麻糖,feng'mi'ma'tang
蜂王软糖,feng'wang'ruan'tang
凤尾鱼罐头,feng'wei'yu'guan'tou
佛手蜜饯,fo'shou'mi'jian
富川蜜枣,fu'chuan'mi'zao
福建省,fu'jian'sheng
符离鸡罐头,fu'li'ji'guan'tou
茯苓饼干,fu'ling'bing'gan
疳积糕,gan'ji'gao
甘青宁新藏五省区,gan'qing'ning'xin'cang'wu'sheng'qu
藁城贡面,gao'cheng'gong'mian
高粱饴糖,gao'liang'yi'tang
高邮董糖,gao'you'dong'tang
各地糖果罐头小食品,ge'di'tang'guo'guan'tou'xiao'shi'pin
恭城柿饼,gong'cheng'shi'bing
枸杞和发菜烤麸罐头,gou'qi'he'fa'cai'kao'fu'guan'tou
骨髓肝酱罐头,gu'sui'gan'jiang'guan'tou
骨髓壮,gu'sui'zhuang
怪味胡豆,guai'wei'hu'dou
冠生牌糖果,guan'sheng'pai'tang'guo
广东省海南省,guang'dong'sheng'hai'nan'sheng
广灵五香瓜子,guang'ling'wu'xiang'gua'zi
广式蜜饯,guang'shi'mi'jian
广西壮族自治区,guang'xi'zhuang'zu'zi'zhi'qu
桂花楂糕,gui'hua'zha'gao
桂林酥糖,gui'lin'su'tang
贵州省,gui'zhou'sheng
哈尔滨面包,ha'er'bin'mian'bao
哈密瓜汁罐头,ha'mi'gua'zhi'guan'tou
海螺罐头,hai'luo'guan'tou
好吃来瓜子,hao'chi'lai'gua'zi
河北省,he'bei'sheng
和菜罐头,he'cai'guan'tou
合川桃片,he'chuan'tao'pian
河南省,he'nan'sheng
黑龙江省,hei'long'jiang'sheng
红豆酱,hong'dou'jiang
红糖米花糖,hong'tang'mi'hua'tang
红虾酥心糖,hong'xia'su'xin'tang
红鹰牌海底鸡,hong'ying'pai'hai'di'ji
湖北省,hu'bei'sheng
湖南省,hu'nan'sheng
化核加应子,hua'he'jia'ying'zi
花生酥心糖,hua'sheng'su'xin'tang
怀来杏脯,huai'lai'xing'pu
皇宫牛肉软罐头,huang'gong'niu'rou'ruan'guan'tou
黄桃罐头,huang'tao'guan'tou
黄岩桔饼,huang'yan'ju'bing
吉林省,ji'lin'sheng
江北花生粘,jiang'bei'hua'sheng'zhan
江帆牌巧克力酒心糖,jiang'fan'pai'qiao'ke'li'jiu'xin'tang
江津米花糖,jiang'jin'mi'hua'tang
江苏省,jiang'su'sheng
姜糖,jiang'tang
江西省,jiang'xi'sheng
金糕,jin'gao
金钩蛋卷,jin'gou'dan'juan
金黄蜜枣,jin'huang'mi'zao
金桔花,jin'jie'hua
金桔丝,jin'jie'si
金牛牌奶油蛋卷,jin'niu'pai'nai'you'dan'juan
金狮奶糖,jin'shi'nai'tang
金丝琥珀蜜枣,jin'si'hu'po'mi'zao
金丝蜜枣,jin'si'mi'zao
金塘李蜜饯,jin'tang'li'mi'jian
金溪藕丝糖,jin'xi'ou'si'tang
靖县蜜饯,jing'xian'mi'jian
酒心巧克力,jiu'xin'qiao'ke'li
砍花糖,kan'hua'tang
可可栗子糖,ke'ke'li'zi'tang
空心魁面,kong'xin'kui'mian
琅琊酥糖,lang'ya'su'tang
醪糟罐头,lao'zao'guan'tou
栗羊羹,li'yang'geng
连城地瓜干,lian'cheng'di'gua'gan
廉州桂圆肉,lian'zhou'gui'yuan'rou
辽宁省,liao'ning'sheng
疗效水果罐头,liao'xiao'shui'guo'guan'tou
疗效糖果,liao'xiao'tang'guo
辽阳塔糖,liao'yang'ta'tang
临洮酥糖,lin'tao'su'tang
鲮鱼罐头,ling'yu'guan'tou
龙虾酥糖,long'xia'su'tang
龙须糖,long'xu'tang
芦笋罐头,lu'sun'guan'tou
滦河米糖,luan'he'mi'tang
罗岗话梅,luo'gang'hua'mei
绿叶薄荷糖,lv'ye'bo'he'tang
旅游便宴罐头,lv'you'bian'yan'guan'tou
旅游罐头,lv'you'guan'tou
妈妈蔬菜蛋卷,ma'ma'shu'cai'dan'juan
麻酥糖,ma'su'tang
麦胚饼干,mai'pei'bing'gan
麦维素饼干,mai'wei'su'bing'gan
蜜桂花生糖,mi'gui'hua'sheng'tang
棉花糖,mian'hua'tang
棉花糖和桔片冻糖,mian'hua'tang'he'ju'pian'dong'tang
绵竹桔片冻糖,mian'zhu'ju'pian'dong'tang
名酒酒心巧克力,ming'jiu'jiu'xin'qiao'ke'li
明心糖,ming'xin'tang
木洞晒枣,mu'dong'shai'zao
纳溪泡糖,na'xi'pao'tang
奶酪软糖,nai'lao'ruan'tang
奶油花生米,nai'you'hua'sheng'mi
奶油花生糖,nai'you'hua'sheng'tang
奶油球糖和荔枝硬糖,nai'you'qiu'tang'he'li'zhi'ying'tang
内江蜜饯,nei'jiang'mi'jian
内江药疗蜜饯,nei'jiang'yao'liao'mi'jian
内蒙古自治区,nei'meng'gu'zi'zhi'qu
宁乡蜜饯,ning'xiang'mi'jian
牛奶朱古力,niu'nai'zhu'gu'li
牛尾汤罐头,niu'wei'tang'guan'tou
欧斯麦蛋卷礼盒,ou'si'mai'dan'juan'li'he
苹果脯和核桃仁罐头,ping'guo'pu'he'he'tao'ren'guan'tou
苹果沙司罐头,ping'guo'sha'si'guan'tou
萍乡花果,ping'xiang'hua'guo
蒲江猪油米花糖,pu'jiang'zhu'you'mi'hua'tang
麒福礼盒,qi'fu'li'he
强儿钙,qiang'er'gai
青岛高粱饴,qing'dao'gao'liang'yi
清水鲜人参罐头,qing'shui'xian'ren'shen'guan'tou
肉松面包,rou'song'mian'bao
如皋董糖,ru'gao'dong'tang
山东省,shan'dong'sheng
山黄皮系列糖果,shan'huang'pi'xi'lie'tang'guo
陕西省,shan'xi'sheng
山西省,shan'xi'sheng
山楂饴糖,shan'zha'yi'tang
上海饼干,shang'hai'bing'gan
上海蜜饯,shang'hai'mi'jian
上海市,shang'hai'shi
苕酥糖,shao'su'tang
沈阳白冰糖,shen'yang'bai'bing'tang
什锦米饭罐头,shi'jin'mi'fan'guan'tou
什锦南糖,shi'jin'nan'tang
食珍桔红糕,shi'zhen'ju'hong'gao
寿星桔蜜饯,shou'xing'ju'mi'jian
双灯牌糖果,shuang'deng'pai'tang'guo
水晶软糖,shui'jing'ruan'tang
水晶楂糕,shui'jing'zha'gao
四川省,si'chuan'sheng
四鲜烤麸罐头,si'xian'kao'fu'guan'tou
松花饼干,song'hua'bing'gan
苏稽米花糖,su'ji'mi'hua'tang
苏式蜜饯,su'shi'mi'jian
苏州话梅,su'zhou'hua'mei
酸蘑罐头,suan'mo'guan'tou
