阿笠博士,a'li'bo'shi
白马探,bai'ma'tan
白鸟任三郎,bai'niao'ren'san'lang
贝尔摩德,bei'er'mo'de
赤井秀一,chi'jing'xiu'yi
冲野洋子,chong'ye'yang'zi
妃英理,fei'ying'li
服部平次,fu'bu'ping'ci
伏特加,fu'te'jia
高木涉,gao'mu'she
宫本由美,gong'ben'you'mei
工藤新一,gong'teng'xin'yi
工藤有希子,gong'teng'you'xi'zi
工藤优作,gong'teng'you'zuo
宫野明美,gong'ye'ming'mei
宫野志保,gong'ye'zhi'bao
怪盗基德,guai'dao'ji'de
灰原哀,hui'yuan'ai
基安蒂,ji'an'di
基尔,ji'er
吉田步美,ji'tian'bu'mei
江户川柯南,jiang'hu'chuan'ke'nan
京极真,jing'ji'zhen
科恩,ke'en
铃木园子,ling'mu'yuan'zi
毛利兰,mao'li'lan
毛利小五郎,mao'li'xiao'wu'lang
名侦探柯南,ming'zhen'tan'ke'nan
目暮十三,mu'mu'shi'san
千叶警官,qian'ye'jing'guan
琴酒,qin'jiu
小岛元太,xiao'dao'yuan'tai
雪莉,xue'li
圆谷光彦,yuan'gu'guang'yan
远山和叶,yuan'shan'he'ye
中森警官,zhong'sen'jing'guan
朱蒂,zhu'di
佐藤美和子,zuo'teng'mei'he'zi
