阿裕尼,a'yu'ni
巴特礼,ba'te'li
巴西立,ba'xi'li
柏提,bai'ti
榜鹅,bang'e
碧山,bi'shan
滨海湾,bin'hai'wan
秉定,bing'ding
波东巴西,bo'dong'ba'xi
博览,bo'lan
波那维塔斯,bo'na'wei'ta'si
布莱德,bu'lai'de
大巴窑,da'ba'yao
淡宾尼,dan'bin'ni
丹甘,dan'gan
丹那美拉,dan'na'mei'la
丹戎巴嘎,dan'rong'ba'ga
德惠,de'hui
杜佛,du'fo
多美歌,duo'mei'ge
法嘉,fa'jia
芬薇,fen'wei
凤凰,feng'huang
港脚,gang'jiao
港湾,gang'wan
高文,gao'wen
海军部,hai'jun'bu
宏茂桥,hong'mao'qiao
红山,hong'shan
后港,hou'gang
湖畔,hu'pan
花拉公园,hua'la'gong'yuan
吉封,ji'feng
金文泰,jin'wen'tai
景万岸,jing'wan'an
卡达鲁,ka'da'lu
卡迪,ka'di
克拉码头,ke'la'ma'tou
克兰芝,ke'lan'zhi
拉雅,la'ya
莱佛士,lai'fo'shi
兰岗,lan'gang
劳明达,lao'ming'da
里维拉,li'wei'la
丽园,li'yuan
联邦,lian'bang
罗弄泉,luo'nong'quan
绿洲,lv'zhou
码高,ma'gao
玛丽蒙,ma'li'meng
马西岭,ma'xi'ling
南景,nan'jing
牛车水,niu'che'shui
纽顿,niu'dun
农道,nong'dao
诺维娜,nuo'wei'na
女皇镇,nv'huang'zhen
欧南园,ou'nan'yuan
仁宗,ren'zong
三巴旺,san'ba'wang
珊瑚,shan'hu
盛港,sheng'gang
实加,shi'jia
十里广场,shi'li'guang'chang
实龙岗,shi'long'gang
四美,si'mei
索美塞,suo'mei'sai
同港,tong'gang
万国,wan'guo
万吉,wan'ji
文礼,wen'li
文庆,wen'qing
武吉巴都,wu'ji'ba'dou
武几班让,wu'ji'ban'rang
武吉甘柏,wu'ji'gan'bai
武吉士,wu'ji'shi
乌节路,wu'jie'lu
兀兰,wu'lan
勿洛,wu'luo
先驱,xian'qu
小印度,xiao'yin'du
信加,xin'jia
义顺,yi'shun
油池,you'chi
友诺士,you'nuo'shi
裕华园,yu'hua'yuan
裕廊东,yu'lang'dong
裕群,yu'qun
泽拉邦,ze'la'bang
樟宜机场,zhang'yi'ji'chang
政府大厦,zheng'fu'da'sha
棕美,zong'mei
