愛士,ai'shi
安死,an'si
報更,bao'geng
本生,ben'sheng
本味,ben'wei
必己,bi'ji
辯土,bian'tu
别類,bie'lei
不廣,bu'an
不二,bu'er
不苟,bu'gou
不苟論,bu'gou'lun
不侵,bu'qin
不屈,bu'qu
察傳,cha'chuan
察今,cha'jin
察微,cha'wei
察賢,cha'xian
長攻,chang'gong
長見,chang'jian
長利,chang'li
誠廉,cheng'lian
侈樂,chi'le
重言,chong'yan
處方,chu'fang
大樂,da'le
達鬱,da'yu
蕩兵,dang'bing
當染,dang'ran
當賞,dang'shang
當務,dang'wu
二日論威,er'ri'lun'wei
高義,gao'yi
功名,gong'ming
古樂,gu'le
觀表,guan'biao
觀世,guan'shi
貴當,gui'dang
貴公,gui'gong
貴生,gui'sheng
貴信,gui'xin
貴因,gui'yin
貴直,gui'zhi
貴直論,gui'zhi'lun
貴卒,gui'zu
過理,guo'li
懐寵,huai'chong
圜道,huan'dao
悔過,hui'guo
季春紀,ji'chun'ji
季冬紀,ji'dong'ji
季秋紀,ji'qiu'ji
季夏紀,ji'xia'ji
驕恣,jiao'zi
介立,jie'li
節喪,jie'sang
禁塞,jin'sai
盡數,jin'shu
謹聽,jin'ting
精通,jing'tong
具備,ju'bei
舉難,ju'nan
決勝,jue'sheng
君守,jun'shou
開春,kai'chun
開春論,kai'chun'lun
樂成,le'cheng
離俗,li'su
離俗覧,li'su'lan
離謂,li'wei
論人,lun'ren
呂氏春秋目錄,lv'shi'chun'qiu'mu'lu
孟春紀,meng'chun'ji
孟冬紀,meng'dong'ji
孟复紀,meng'fu'ji
孟秋紀,meng'qiu'ji
明理,ming'li
無義,mo'yi
期賢,qi'xian
情欲,qing'yu
求人,qiu'ren
去私,qu'si
去宥,qu'you
去尤,qu'you
勸學,quan'xue
權勳,quan'xun
任地,ren'di
任數,ren'shu
三簡简選,san'jian'jian'shua
三日精諭,san'ri'jing'yu
上德,shang'de
上農,shang'nong
慎大,shen'da
慎大覧,shen'da'lan
審分,shen'fen
審分覽,shen'fen'lan
審己,shen'ji
慎人,shen'ren
審時,shen'shi
慎勢,shen'shi
審爲,shen'wei
慎小,shen'xiao
慎行,shen'xing
慎行論,shen'xing'lun
審應,shen'ying
審應覧,shen'ying'lan
士節,shi'jie
恃君,shi'jun
恃君覽,shi'jun'lan
士容,shi'rong
士容論,shi'rong'lun
適威,shi'wei
適音,shi'yin
首時,shou'shi
順民,shun'min
順説,shun'shui
四日分職,si'ri'fen'zhi
似順,si'shun
似順論,si'shun'lun
聽言,ting'yan
摶志,tuan'zhi
爲欲,wei'yu
務本,wu'ben
務大,wu'da
勿躬,wu'gong
五日愛類,wu'ri'ai'lei
誣徒,wu'tu
下賢,xia'xian
先己,xian'ji
先識,xian'shi
先識覧,xian'shi'lan
孝行,xiao'xing
孝行覽,xiao'xing'lan
行論,xing'lun
序意,xu'yi
異寶,yi'bao
義賞,yi'shang
疑似,yi'si
壹行,yi'xing
異用,yi'yong
音初,yin'chu
淫辭,yin'ci
音律,yin'lv
應同,ying'tong
應言,ying'yan
用民,yong'min
壅塞,yong'se
用衆,yong'zhong
有度,you'du
有始,you'shi
諭大,yu'da
遇合,yu'he
原亂,yuan'luan
贊能,zan'neng
召類,zhao'lei
振亂,zhen'luan
正名,zheng'ming
知度,zhi'du
知分,zhi'fen
知化,zhi'hua
直諫,zhi'jian
知接,zhi'jie
制樂,zhi'le
知士,zhi'shi
執一,zhi'yi
至忠,zhi'zhong
仲春紀,zhong'chun'ji
仲冬紀,zhong'dong'ji
重己,zhong'ji
忠廉,zhong'lian
仲秋紀,zhong'qiu'ji
仲夏紀,zhong'xia'ji
自知,zi'zhi
尊師,zun'shi
