阿布都,a'bu'dou
阿布都克热木,a'bu'dou'ke're'mu
阿布都拉,a'bu'dou'la
阿布都热合曼,a'bu'dou're'he'man
阿布都热依木,a'bu'dou're'yi'mu
阿卜杜,a'bu'du
阿卜杜拉,a'bu'du'la
阿卜杜热合曼,a'bu'du're'he'man
阿布拉,a'bu'la
阿布拉江,a'bu'la'jiang
阿不来提,a'bu'lai'ti
阿不力克木,a'bu'li'ke'mu
阿不力米提,a'bu'li'mi'ti
阿不力孜,a'bu'li'zi
阿迪拉,a'di'la
阿迪力,a'di'li
阿迪力江,a'di'li'jiang
阿尔曼,a'er'man
阿克喀什乡,a'ke'ka'shi'xiang
阿克苏,a'ke'su
阿克苏的,a'ke'su'de
阿克苏了,a'ke'su'le
阿克苏市,a'ke'su'shi
阿克陶,a'ke'tao
阿拉尔,a'la'er
阿里木,a'li'mu
阿里木江,a'li'mu'jiang
阿丽亚,a'li'ya
阿曼古丽,a'man'gu'li
阿米娜,a'mi'na
阿木提,a'mu'ti
阿热勒,a're'le
阿图什,a'tu'shi
阿瓦提,a'wa'ti
阿瓦提镇,a'wa'ti'zhen
阿吾提,a'wu'ti
阿西木,a'xi'mu
阿依古丽,a'yi'gu'li
阿依努尔,a'yi'nu'er
艾比布拉,ai'bi'bu'la
艾尔肯,ai'er'ken
艾海提,ai'hai'ti
艾合买提,ai'he'mai'ti
艾克拜尔,ai'ke'bai'er
艾力,ai'li
艾力江,ai'li'jiang
艾买尔,ai'mai'er
艾买提,ai'mai'ti
艾木都拉,ai'mu'dou'la
艾尼瓦尔,ai'ni'wa'er
艾散,ai'san
艾沙,ai'sha
艾山,ai'shan
艾山江,ai'shan'jiang
艾斯卡尔,ai'si'ka'er
艾则孜,ai'ze'zi
艾孜孜,ai'zi'zi
巴楚,ba'chu
巴楚县,ba'chu'xian
巴格,ba'ge
巴格其,ba'ge'qi
巴拉提,ba'la'ti
巴郎子,ba'lang'zi
吧木,ba'mu
吧木呀,ba'mu'ya
巴仁乡,ba'ren'xiang
巴扎,ba'zha
布合力其,bu'he'li'qi
草湖,cao'hu
策勒县,ce'le'xian
从喀什,cong'ka'shi
村警,cun'jing
达瓦昆,da'wa'kun
达吾提,da'wu'ti
大小大,da'xiao'da
到喀什,dao'ka'shi
迪丽努尔,di'li'nu'er
迪力夏提,di'li'xia'ti
地委,di'wei
东南小区,dong'nan'xiao'qu
多来提,duo'lai'ti
多浪河,duo'lang'he
付新华,fu'xin'hua
伽师,ga'shi
伽师总场,ga'shi'zong'chang
古勒巴格,gu'le'ba'ge
古勒巴格乡,gu'le'ba'ge'xiang
古丽,gu'li
古丽米热,gu'li'mi're
还没捡完,hai'mei'jian'wan
好久行,hao'jiu'xing
好难要哟,hao'nan'yao'yo
和田,he'tian
和田的,he'tian'de
和田地区,he'tian'di'qu
和田了,he'tian'le
和田市,he'tian'shi
和田县,he'tian'xian
汇城,hui'cheng
回喀什,hui'ka'shi
伽师县,jia'shi'xian
金胡杨,jin'hu'yang
卡德尔,ka'de'er
卡迪尔,ka'di'er
喀交会,ka'jiao'hui
喀群,ka'qun
喀什,ka'shi
喀什的,ka'shi'de
喀什地区,ka'shi'di'qu
喀什二中,ka'shi'er'zhong
喀什了,ka'shi'le
喀什人,ka'shi'ren
喀什市,ka'shi'shi
喀什师范学院,ka'shi'shi'fan'xue'yuan
卡斯木,ka'si'mu
卡吾力,ka'wu'li
喀院,ka'yuan
克里木,ke'li'mu
克热木,ke're'mu
克尤木,ke'you'mu
克孜都维路,ke'zi'dou'wei'lu
克孜勒,ke'zi'le
库尔,ku'er
库尔班,ku'er'ban
库尔班江,ku'er'ban'jiang
来和田,lai'he'tian
来喀什,lai'ka'shi
老干所,lao'gan'suo
