安徽财经大学,an'hui'cai'jing'da'xue
安徽大学,an'hui'da'xue
安徽工程科技学院,an'hui'gong'cheng'ke'ji'xue'yuan
安徽工业大学,an'hui'gong'ye'da'xue
安徽技术师范学院,an'hui'ji'shu'shi'fan'xue'yuan
安徽建筑工业学院,an'hui'jian'zhu'gong'ye'xue'yuan
安徽经济管理学院,an'hui'jing'ji'guan'li'xue'yuan
安徽理工大学原淮南工业学院,an'hui'li'gong'da'xue'yuan'huai'nan'gong'ye'xue'yuan
安徽农业大学,an'hui'nong'ye'da'xue
安徽师范大学,an'hui'shi'fan'da'xue
安徽医科大学,an'hui'yi'ke'da'xue
安徽中医学院,an'hui'zhong'yi'xue'yuan
安庆师范学院,an'qing'shi'fan'xue'yuan
鞍山科技大学,an'shan'ke'ji'da'xue
鞍山师范学院,an'shan'shi'fan'xue'yuan
安阳师范学院,an'yang'shi'fan'xue'yuan
保定金融高等专科学校,bao'ding'jin'rong'gao'deng'zhuan'ke'xue'xiao
保定师范专科学校,bao'ding'shi'fan'zhuan'ke'xue'xiao
保定职业技术学院,bao'ding'zhi'ye'ji'shu'xue'yuan
宝鸡文理学院,bao'ji'wen'li'xue'yuan
包头钢铁学院,bao'tou'gang'tie'xue'yuan
包头职业技术学院,bao'tou'zhi'ye'ji'shu'xue'yuan
北方工业大学,bei'fang'gong'ye'da'xue
北京大学,bei'jing'da'xue
北京大学医学部原北京医科大学,bei'jing'da'xue'yi'xue'bu'yuan'bei'jing'yi'ke'da'xue
北京第二外国语学院,bei'jing'di'er'wai'guo'yu'xue'yuan
北京电影学院,bei'jing'dian'ying'xue'yuan
北京工商大学,bei'jing'gong'shang'da'xue
北京工业大学,bei'jing'gong'ye'da'xue
北京航空航天大学,bei'jing'hang'kong'hang'tian'da'xue
北京华大研修学院,bei'jing'hua'da'yan'xiu'xue'yuan
北京化工大学,bei'jing'hua'gong'da'xue
北京机械工业学院,bei'jing'ji'xie'gong'ye'xue'yuan
北京建筑工程学院,bei'jing'jian'zhu'gong'cheng'xue'yuan
北京交通大学原北方交通大学,bei'jing'jiao'tong'da'xue'yuan'bei'fang'jiao'tong'da'xue
北京科技大学,bei'jing'ke'ji'da'xue
北京理工大学,bei'jing'li'gong'da'xue
北京联合大学,bei'jing'lian'he'da'xue
北京联合大学应用文理学院,bei'jing'lian'he'da'xue'ying'yong'wen'li'xue'yuan
北京林业大学,bei'jing'lin'ye'da'xue
北京农学院,bei'jing'nong'xue'yuan
北京青年政治学院,bei'jing'qing'nian'zheng'zhi'xue'yuan
北京人民警察学院,bei'jing'ren'min'jing'cha'xue'yuan
北京师范大学,bei'jing'shi'fan'da'xue
北京石油化工学院,bei'jing'shi'you'hua'gong'xue'yuan
北京体育大学,bei'jing'ti'yu'da'xue
北京外国语大学,bei'jing'wai'guo'yu'da'xue
北京舞蹈学院,bei'jing'wu'dao'xue'yuan
北京物资学院,bei'jing'wu'zi'xue'yuan
北京现代职业学校,bei'jing'xian'dai'zhi'ye'xue'xiao
北京信息工程学院,bei'jing'xin'xi'gong'cheng'xue'yuan
北京印刷学院,bei'jing'yin'shua'xue'yuan
北京邮电大学,bei'jing'you'dian'da'xue
北京语言大学,bei'jing'yu'yan'da'xue
北京中医药大学,bei'jing'zhong'yi'yao'da'xue
蚌埠医学院,beng'bu'yi'xue'yuan
滨州学院,bin'zhou'xue'yuan
滨州医学院,bin'zhou'yi'xue'yuan
渤海大学,bo'hai'da'xue
沧州职业技术学院,cang'zhou'zhi'ye'ji'shu'xue'yuan
长安大学,chang'an'da'xue
长春工程学院,chang'chun'gong'cheng'xue'yuan
长春工业大学原吉林工学院,chang'chun'gong'ye'da'xue'yuan'ji'lin'gong'xue'yuan
长春理工大学原长春光学精密机械学院,chang'chun'li'gong'da'xue'yuan'chang'chun'guang'xue'jing'mi'ji'xie'xue'yuan
长春汽车工业高等专科学校,chang'chun'qi'che'gong'ye'gao'deng'zhuan'ke'xue'xiao
长春师范学院,chang'chun'shi'fan'xue'yuan
长江大学,chang'jiang'da'xue
长沙大学,chang'sha'da'xue
长沙理工大学,chang'sha'li'gong'da'xue
常熟理工学院,chang'shu'li'gong'xue'yuan
常州纺织服装职业技术学院,chang'zhou'fang'zhi'fu'zhuang'zhi'ye'ji'shu'xue'yuan
常州轻工职业技术学院,chang'zhou'qing'gong'zhi'ye'ji'shu'xue'yuan
巢湖学院,chao'hu'xue'yuan
承德民族师范高等专科学校,cheng'de'min'zu'shi'fan'gao'deng'zhuan'ke'xue'xiao
承德医学院,cheng'de'yi'xue'yuan
成都大学,cheng'du'da'xue
成都电子机械高等专科学校,cheng'du'dian'zi'ji'xie'gao'deng'zhuan'ke'xue'xiao
成都东软信息技术职业学院,cheng'du'dong'ruan'xin'xi'ji'shu'zhi'ye'xue'yuan
成都理工大学,cheng'du'li'gong'da'xue
成都体育学院,cheng'du'ti'yu'xue'yuan
成都信息工程学院,cheng'du'xin'xi'gong'cheng'xue'yuan
成都中医药大学,cheng'du'zhong'yi'yao'da'xue
池州师范专科学校,chi'zhou'shi'fan'zhuan'ke'xue'xiao
重庆大学,chong'qing'da'xue
重庆工商大学,chong'qing'gong'shang'da'xue
重庆工学院,chong'qing'gong'xue'yuan
重庆交通学院,chong'qing'jiao'tong'xue'yuan
重庆三峡学院,chong'qing'san'xia'xue'yuan
重庆社会工作职业学院,chong'qing'she'hui'gong'zuo'zhi'ye'xue'yuan
重庆师范大学,chong'qing'shi'fan'da'xue
重庆医科大学,chong'qing'yi'ke'da'xue
重庆邮电学院,chong'qing'you'dian'xue'yuan
楚雄师范学院,chu'xiong'shi'fan'xue'yuan
滁州学院,chu'zhou'xue'yuan
川北医学院,chuan'bei'yi'xue'yuan
大理医学院,da'li'yi'xue'yuan
大连大学,da'lian'da'xue
大连东软信息技术职业学院,da'lian'dong'ruan'xin'xi'ji'shu'zhi'ye'xue'yuan
大连广播电视大学,da'lian'guang'bo'dian'shi'da'xue
大连海事大学,da'lian'hai'shi'da'xue
大连交通大学,da'lian'jiao'tong'da'xue
大连交通大学软件学院,da'lian'jiao'tong'da'xue'ruan'jian'xue'yuan
大连理工大学,da'lian'li'gong'da'xue
大连民族学院,da'lian'min'zu'xue'yuan
大连轻工业学院,da'lian'qing'gong'ye'xue'yuan
大连商务职业技术学院,da'lian'shang'wu'zhi'ye'ji'shu'xue'yuan
大连水产学院,da'lian'shui'chan'xue'yuan
大连外国语学院,da'lian'wai'guo'yu'xue'yuan
大连医科大学,da'lian'yi'ke'da'xue
大连职业技术学院,da'lian'zhi'ye'ji'shu'xue'yuan
